tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-12,PETKOV Vladimir/KOSTADINOV David,BEKIR Eren/SARIEV Stoyan,3,2,"11,11,9,10,11|8,9,11,12,7",QR1,WTT_FEEDER,MD,2885,Qualification,PETKOV Vladimir/KOSTADINOV David (BUL),BEKIR Eren/SARIEV Stoyan (BUL),PETKOV Vladimir/KOSTADINOV David
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-12,OSIRO Pedro/TSCHANZ Cedric,DIMITROV Stefan/KOTEV Radoslav,3,0,"11,11,11|9,5,8",QR1,WTT_FEEDER,MD,2885,Qualification,OSIRO Pedro/TSCHANZ Cedric (SUI),DIMITROV Stefan/KOTEV Radoslav (BUL),OSIRO Pedro/TSCHANZ Cedric
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-12,CHEN Alexander/BAGGALEY Andrew,KRAMER Lukas/KRAMER Christopher,3,1,"11,11,8,11|4,7,11,4",QR1,WTT_FEEDER,MD,2885,Qualification,CHEN Alexander/BAGGALEY Andrew (AUT/ENG),KRAMER Lukas/KRAMER Christopher (AUT),CHEN Alexander/BAGGALEY Andrew
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-12,UEDA Jin/SAKAI Yuhi,KVETON Ondrej/VALENTA Jan,3,1,"9,11,11,11|11,3,8,8",QR1,WTT_FEEDER,MD,2885,Qualification,UEDA Jin/SAKAI Yuhi (JPN),KVETON Ondrej/VALENTA Jan (CZE),UEDA Jin/SAKAI Yuhi
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,RASSENFOSSE Adrien,YOKOTANI Jo,3,2,"9,11,8,11,11|11,5,11,3,6",R32,WTT_FEEDER,MS,2885,Main Draw,RASSENFOSSE Adrien (BEL),YOKOTANI Jo (JPN),RASSENFOSSE Adrien
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,LIND Anders,MENG Fanbo,3,1,"3,11,11,11|11,7,7,9",R32,WTT_FEEDER,MS,2885,Main Draw,LIND Anders (DEN),MENG Fanbo (GER),LIND Anders
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,KOLODZIEJCZYK Maciej,ALLEGRO Martin,3,1,"7,12,11,12|11,10,9,10",R32,WTT_FEEDER,MS,2885,Main Draw,KOLODZIEJCZYK Maciej (AUT),ALLEGRO Martin (BEL),KOLODZIEJCZYK Maciej
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,QUAN Kaiyuan,HAUG Borgar,3,0,"11,11,11|8,5,3",R32,WTT_FEEDER,MS,2885,Main Draw,QUAN Kaiyuan (CHN),HAUG Borgar (NOR),QUAN Kaiyuan
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,SIPOS Rares,KOJIC Frane,3,1,"11,6,12,11|8,11,10,7",R32,WTT_FEEDER,MS,2885,Main Draw,SIPOS Rares (ROU),KOJIC Frane (CRO),SIPOS Rares
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,BERTRAND Irvin,MUTTI Matteo,3,1,"11,5,12,12|5,11,10,10",R32,WTT_FEEDER,MS,2885,Main Draw,BERTRAND Irvin (FRA),MUTTI Matteo (ITA),BERTRAND Irvin
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,SUN Wen,CHANG Yu-An,3,0,"11,11,11|4,8,4",R32,WTT_FEEDER,MS,2885,Main Draw,SUN Wen (CHN),CHANG Yu-An (TPE),SUN Wen
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,ZELINKA Jakub,LEVENKO Andreas,3,0,"11,12,11|6,10,5",R32,WTT_FEEDER,MS,2885,Main Draw,ZELINKA Jakub (SVK),LEVENKO Andreas (AUT),ZELINKA Jakub
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,ZELJKO Filip,ZHOU Kai,3,1,"11,5,11,13|7,11,9,11",R32,WTT_FEEDER,MS,2885,Main Draw,ZELJKO Filip (CRO),ZHOU Kai (CHN),ZELJKO Filip
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,STUMPER Kay,BAGGALEY Andrew,3,2,"13,11,7,11,11|15,8,11,5,5",R32,WTT_FEEDER,MS,2885,Main Draw,STUMPER Kay (GER),BAGGALEY Andrew (ENG),STUMPER Kay
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,BAN Ivor,MENGEL Steffen,3,2,"12,11,6,13,14|10,8,11,15,12",R32,WTT_FEEDER,MS,2885,Main Draw,BAN Ivor (CRO),MENGEL Steffen (GER),BAN Ivor
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,COTON Flavien,UEDA Jin,3,0,"11,11,12|7,9,10",R32,WTT_FEEDER,MS,2885,Main Draw,COTON Flavien (FRA),UEDA Jin (JPN),COTON Flavien
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,REMBERT Bastien,PORET Thibault,3,0,"11,11,11|8,7,8",R32,WTT_FEEDER,MS,2885,Main Draw,REMBERT Bastien (FRA),PORET Thibault (FRA),REMBERT Bastien
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,XUE Fei,MEISSNER Cedric,3,0,"11,11,11|5,8,8",R32,WTT_FEEDER,MS,2885,Main Draw,XUE Fei (CHN),MEISSNER Cedric (GER),XUE Fei
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,ZENG Beixun,TSENG Tzu-Yu,3,0,"11,11,14|7,9,12",R32,WTT_FEEDER,MS,2885,Main Draw,ZENG Beixun (CHN),TSENG Tzu-Yu (TPE),ZENG Beixun
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,SAKAI Yuhi,LIAO Cheng-Ting,3,0,"11,13,11|5,11,8",R32,WTT_FEEDER,MS,2885,Main Draw,SAKAI Yuhi (JPN),LIAO Cheng-Ting (TPE),SAKAI Yuhi
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,HASHIMOTO Honoka,HUANG Yu-Chiao,3,0,"11,11,11|3,8,6",R32,WTT_FEEDER,WS,2885,Main Draw,HASHIMOTO Honoka (JPN),HUANG Yu-Chiao (TPE),HASHIMOTO Honoka
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,YANG Yiyun,YEH Yi-Tian,3,0,"11,11,11|5,7,9",R32,WTT_FEEDER,WS,2885,Main Draw,YANG Yiyun (CHN),YEH Yi-Tian (TPE),YANG Yiyun
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,ZONG Geman,SCHREINER Franziska,3,0,"11,11,11|7,6,5",R32,WTT_FEEDER,WS,2885,Main Draw,ZONG Geman (CHN),SCHREINER Franziska (GER),ZONG Geman
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,XU Yi,WIELGOS Zuzanna,3,1,"11,6,13,11|7,11,11,7",R32,WTT_FEEDER,WS,2885,Main Draw,XU Yi (CHN),WIELGOS Zuzanna (POL),XU Yi
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,OJIO Yuna,FAN Shuhan,3,2,"11,7,11,3,11|9,11,9,11,9",R32,WTT_FEEDER,WS,2885,Main Draw,OJIO Yuna (JPN),FAN Shuhan (CHN),OJIO Yuna
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,LIU Hsing-Yin,YOVKOVA Maria,3,2,"3,11,11,9,11|11,2,3,11,5",R32,WTT_FEEDER,WS,2885,Main Draw,LIU Hsing-Yin (TPE),YOVKOVA Maria (BUL),LIU Hsing-Yin
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,KUKULKOVA Tatiana,HRISTOVA Kalina,3,2,"11,10,9,11,11|7,12,11,8,6",R32,WTT_FEEDER,WS,2885,Main Draw,KUKULKOVA Tatiana (SVK),HRISTOVA Kalina (BUL),KUKULKOVA Tatiana
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,AKAE Kaho,PARK Gahyeon,3,1,"11,11,9,11|3,2,11,8",R32,WTT_FEEDER,WS,2885,Main Draw,AKAE Kaho (JPN),PARK Gahyeon (KOR),AKAE Kaho
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,SASAO Asuka,CHENG Pusyuan,3,0,"11,11,11|6,2,3",R32,WTT_FEEDER,WS,2885,Main Draw,SASAO Asuka (JPN),CHENG Pusyuan (TPE),SASAO Asuka
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,WANG Xiaotong,ZARIF Audrey,3,0,"11,11,11|4,6,5",R32,WTT_FEEDER,WS,2885,Main Draw,WANG Xiaotong (CHN),ZARIF Audrey (FRA),WANG Xiaotong
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,HAN Feier,PERSOVA Viktoria,3,0,"11,11,11|8,5,5",R32,WTT_FEEDER,WS,2885,Main Draw,HAN Feier (CHN),PERSOVA Viktoria (BUL),HAN Feier
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,BALAZOVA Barbora,KIM Seongjin,3,1,"5,11,11,16|11,6,7,14",R32,WTT_FEEDER,WS,2885,Main Draw,BALAZOVA Barbora (SVK),KIM Seongjin (KOR),BALAZOVA Barbora
WTT Feeder Panagyurishte 2024 Presented by Asarel,2024-09-13,SATO Hitomi,OKADA Kotona,3,0,"11,11,11|5,6,8",R32,WTT_FEEDER,WS,2885,Main Draw,SATO Hitomi (JPN),OKADA Kotona (JPN),SATO Hitomi
