tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Oceania Championships Geelong 2006,2006-06-26,TOWNSEND Wade,LOWE Matthew,4,2,"8,11,11,11,10,11|11,5,7,5,12,6",R32,OTHER,MS,1791,Main Draw,TOWNSEND Wade (AUS),LOWE Matthew (NZL)
Oceania Championships Geelong 2006,2006-06-26,ZENG Steven,SEMMLER Danny,4,3,"13,10,6,11,11,9,11|11,12,11,7,6,11,9",R32,OTHER,MS,1791,Main Draw,ZENG Steven (NZL),SEMMLER Danny (AUS)
Oceania Championships Geelong 2006,2006-06-26,HOUSTON Scott,PATERSON Blair,4,1,"11,10,11,11,11|7,12,9,6,5",R32,OTHER,MS,1791,Main Draw,HOUSTON Scott (AUS),PATERSON Blair (NZL)
Oceania Championships Geelong 2006,2006-06-26,LOWE Nathan,AKKURT Resul,4,1,"11,11,9,12,11|8,8,11,10,9",R32,OTHER,MS,1791,Main Draw,LOWE Nathan (NZL),AKKURT Resul (AUS)
Oceania Championships Geelong 2006,2006-06-26,CARTER Trent,KWONG Calvin,4,2,"13,6,11,11,7,11|11,11,5,8,11,2",R32,OTHER,MS,1791,Main Draw,CARTER Trent (AUS),KWONG Calvin (NZL)
Oceania Championships Geelong 2006,2006-06-26,HENZELL William,TOWNSEND Wade,4,0,"11,11,11,11|3,5,2,3",R16,OTHER,MS,1791,Main Draw,HENZELL William (AUS),TOWNSEND Wade (AUS)
Oceania Championships Geelong 2006,2006-06-26,ZHU Ryan,SHIH Andy,4,2,"11,11,11,1,3,11|3,3,7,11,11,2",R16,OTHER,MS,1791,Main Draw,ZHU Ryan (NZL),SHIH Andy (AUS)
Oceania Championships Geelong 2006,2006-06-26,CARTER Piers,ZENG Steven,4,1,"11,11,7,14,11|7,8,11,12,6",R16,OTHER,MS,1791,Main Draw,CARTER Piers (AUS),ZENG Steven (NZL)
Oceania Championships Geelong 2006,2006-06-26,DAVIS Kyle,HOUSTON Scott,4,1,"14,11,11,6,11|12,8,8,11,7",R16,OTHER,MS,1791,Main Draw,DAVIS Kyle (AUS),HOUSTON Scott (AUS)
Oceania Championships Geelong 2006,2006-06-26,TRAN Kiet,LOWE Nathan,4,3,"11,8,12,10,5,11,11|6,11,10,12,11,7,8",R16,OTHER,MS,1791,Main Draw,TRAN Kiet (AUS),LOWE Nathan (NZL)
Oceania Championships Geelong 2006,2006-06-26,FRANK Robert,CARTER Trent,4,0,"11,11,11,11|9,3,6,3",R16,OTHER,MS,1791,Main Draw,FRANK Robert (AUS),CARTER Trent (AUS)
Oceania Championships Geelong 2006,2006-06-26,FERNANDO Chamara,BROWN Michael,4,2,"11,9,11,11,9,11|6,11,2,2,11,9",R16,OTHER,MS,1791,Main Draw,FERNANDO Chamara (AUS),BROWN Michael (AUS)
Oceania Championships Geelong 2006,2006-06-26,CHEN Brad,TANG George,4,1,"11,11,11,6,11|8,8,6,11,5",R16,OTHER,MS,1791,Main Draw,CHEN Brad (NZL),TANG George (AUS)
Oceania Championships Geelong 2006,2006-06-26,HENZELL William,ZHU Ryan,4,3,"9,8,11,8,11,11,11|11,11,6,11,9,7,8",QuarterFinal,OTHER,MS,1791,Main Draw,HENZELL William (AUS),ZHU Ryan (NZL)
Oceania Championships Geelong 2006,2006-06-26,DAVIS Kyle,CARTER Piers,4,1,"11,9,11,11,11|9,11,3,7,9",QuarterFinal,OTHER,MS,1791,Main Draw,DAVIS Kyle (AUS),CARTER Piers (AUS)
Oceania Championships Geelong 2006,2006-06-26,TRAN Kiet,FRANK Robert,4,2,"10,4,11,14,11,11|12,11,7,12,3,5",QuarterFinal,OTHER,MS,1791,Main Draw,TRAN Kiet (AUS),FRANK Robert (AUS)
Oceania Championships Geelong 2006,2006-06-26,FERNANDO Chamara,CHEN Brad,4,1,"11,12,11,6,11|8,10,7,11,9",QuarterFinal,OTHER,MS,1791,Main Draw,FERNANDO Chamara (AUS),CHEN Brad (NZL)
Oceania Championships Geelong 2006,2006-06-26,HENZELL William,DAVIS Kyle,4,0,"11,11,11,11|5,4,5,5",SemiFinal,OTHER,MS,1791,Main Draw,HENZELL William (AUS),DAVIS Kyle (AUS)
Oceania Championships Geelong 2006,2006-06-26,FERNANDO Chamara,TRAN Kiet,4,0,"11,11,11,11|5,8,9,9",SemiFinal,OTHER,MS,1791,Main Draw,FERNANDO Chamara (AUS),TRAN Kiet (AUS)
Oceania Championships Geelong 2006,2006-06-26,HENZELL William,FERNANDO Chamara,4,0,"11,11,11,11|5,5,3,9",Final,OTHER,MS,1791,Main Draw,HENZELL William (AUS),FERNANDO Chamara (AUS)
Oceania Championships Geelong 2006,2006-06-26,HUNG Jenny,JOLLEY Ann Marie,4,3,"11,8,9,8,12,11,11|5,11,11,11,10,4,5",R32,OTHER,WS,1791,Main Draw,HUNG Jenny (NZL),JOLLEY Ann Marie (AUS)
Oceania Championships Geelong 2006,2006-06-26,MIAO Miao,HUNG Jenny,4,1,"9,11,11,11,11|11,8,8,5,9",R16,OTHER,WS,1791,Main Draw,MIAO Miao (AUS),HUNG Jenny (NZL)
Oceania Championships Geelong 2006,2006-06-26,BUNGEY Kerry,MCCARTHY Michelle,4,0,"11,11,11,11|9,7,6,9",R16,OTHER,WS,1791,Main Draw,BUNGEY Kerry (AUS),MCCARTHY Michelle (NZL)
