tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour Philippines Open Subic Bay 2014,2014-05-15,WU Zhikang,OIKAWA Mizuki,4,1,"12,5,11,12,11|10,11,6,10,8",R16,GRAND_SLAM,MS,132,Main Draw,OIKAWA Mizuki (JPN),WU Zhikang (SGP),WU Zhikang
World Tour Philippines Open Subic Bay 2014,2014-05-15,SAMBE Kohei,CHEN Feng,4,1,"3,11,11,13,11|11,9,8,11,8",R16,GRAND_SLAM,MS,132,Main Draw,CHEN Feng (SGP),SAMBE Kohei (JPN),SAMBE Kohei
World Tour Philippines Open Subic Bay 2014,2014-05-15,KIM Junghoon,SUN Chia-Hung,4,1,"11,11,9,11,11|3,4,11,5,5",R16,GRAND_SLAM,MS,132,Main Draw,SUN Chia-Hung (TPE),KIM Junghoon (KOR),KIM Junghoon
World Tour Philippines Open Subic Bay 2014,2014-05-15,YANG Zi,XIN Zhaoxu,4,3,"13,8,8,11,4,11,11|11,11,11,6,11,7,2",R16,GRAND_SLAM,MS,132,Main Draw,YANG Zi (SGP),XIN Zhaoxu (SGP),YANG Zi
World Tour Philippines Open Subic Bay 2014,2014-05-15,NUYTINCK Cedric,FILIMON Andrei,4,3,"8,9,11,11,9,11,11|11,11,5,9,11,2,9",R16,GRAND_SLAM,MS,132,Main Draw,NUYTINCK Cedric (BEL),FILIMON Andrei (ROU),NUYTINCK Cedric
World Tour Philippines Open Subic Bay 2014,2014-05-15,HO Kwan Kit,GONZALES Richard,4,0,"11,11,11,11|8,8,7,1",R16,GRAND_SLAM,MS,132,Main Draw,GONZALES Richard (PHI),HO Kwan Kit (HKG),HO Kwan Kit
World Tour Philippines Open Subic Bay 2014,2014-05-15,KANG Donghoon,LI Hu,4,3,"11,12,5,8,11,11,11|9,14,11,11,8,8,4",R16,GRAND_SLAM,MS,132,Main Draw,KANG Donghoon (KOR),LI Hu (SGP),KANG Donghoon
World Tour Philippines Open Subic Bay 2014,2014-05-15,ZHAN Jian,WU Zhikang,4,0,"11,11,13,14|6,2,11,12",QF,GRAND_SLAM,MS,132,Main Draw,ZHAN Jian (SGP),WU Zhikang (SGP),ZHAN Jian
World Tour Philippines Open Subic Bay 2014,2014-05-15,KIM Junghoon,SAMBE Kohei,4,2,"11,11,11,6,9,11|7,9,6,11,11,6",QF,GRAND_SLAM,MS,132,Main Draw,SAMBE Kohei (JPN),KIM Junghoon (KOR),KIM Junghoon
World Tour Philippines Open Subic Bay 2014,2014-05-15,YANG Zi,NUYTINCK Cedric,4,3,"12,11,9,14,11,6,12|10,13,11,12,4,11,10",QF,GRAND_SLAM,MS,132,Main Draw,YANG Zi (SGP),NUYTINCK Cedric (BEL),YANG Zi
World Tour Philippines Open Subic Bay 2014,2014-05-15,HO Kwan Kit,KANG Donghoon,4,1,"11,11,13,11,11|6,4,15,6,3",QF,GRAND_SLAM,MS,132,Main Draw,HO Kwan Kit (HKG),KANG Donghoon (KOR),HO Kwan Kit
World Tour Philippines Open Subic Bay 2014,2014-05-15,ZHAN Jian,KIM Junghoon,4,0,"11,13,11,11|7,11,6,8",SF,GRAND_SLAM,MS,132,Main Draw,ZHAN Jian (SGP),KIM Junghoon (KOR),ZHAN Jian
World Tour Philippines Open Subic Bay 2014,2014-05-15,HO Kwan Kit,YANG Zi,4,1,"11,6,11,11,11|6,11,6,7,4",SF,GRAND_SLAM,MS,132,Main Draw,YANG Zi (SGP),HO Kwan Kit (HKG),HO Kwan Kit
World Tour Philippines Open Subic Bay 2014,2014-05-15,HO Kwan Kit,ZHAN Jian,4,2,"9,11,11,11,9,12|11,7,4,8,11,10",F,GRAND_SLAM,MS,132,Main Draw,ZHAN Jian (SGP),HO Kwan Kit (HKG),HO Kwan Kit
World Tour Philippines Open Subic Bay 2014,2014-05-15,SAKAI Asuka,AKBAR Awang,4,0,"11,11,11,11|4,5,4,5",,GRAND_SLAM,MS,132,Qualification,SAKAI Asuka (JPN),AKBAR Awang (INA),SAKAI Asuka
World Tour Philippines Open Subic Bay 2014,2014-05-15,SAKAI Asuka,NAYRE Jann Mari,4,0,"11,11,11,13|2,3,6,11",,GRAND_SLAM,MS,132,Qualification,SAKAI Asuka (JPN),NAYRE Jann Mari (PHI),SAKAI Asuka
World Tour Philippines Open Subic Bay 2014,2014-05-15,NAYRE Jann Mari,AKBAR Awang,4,0,"11,11,13,11|8,6,11,7",,GRAND_SLAM,MS,132,Qualification,NAYRE Jann Mari (PHI),AKBAR Awang (INA),NAYRE Jann Mari
World Tour Philippines Open Subic Bay 2014,2014-05-15,SAMBE Kohei,HARURI Dahlan,4,1,"12,11,11,11,11|14,7,9,5,7",,GRAND_SLAM,MS,132,Qualification,SAMBE Kohei (JPN),HARURI Dahlan (INA),SAMBE Kohei
World Tour Philippines Open Subic Bay 2014,2014-05-15,SAMBE Kohei,AQUINO Harvey,4,0,"11,11,11,11|3,4,8,1",,GRAND_SLAM,MS,132,Qualification,SAMBE Kohei (JPN),AQUINO Harvey (PHI),SAMBE Kohei
World Tour Philippines Open Subic Bay 2014,2014-05-15,OIKAWA Mizuki,CHIN Mao-Cheng,4,1,"11,12,11,5,11|8,10,9,11,5",,GRAND_SLAM,MS,132,Qualification,OIKAWA Mizuki (JPN),CHIN Mao-Cheng (TPE),OIKAWA Mizuki
World Tour Philippines Open Subic Bay 2014,2014-05-15,OIKAWA Mizuki,TIMSON Stephen,4,0,"11,11,11,11|2,4,2,9",,GRAND_SLAM,MS,132,Qualification,OIKAWA Mizuki (JPN),TIMSON Stephen (PHI),OIKAWA Mizuki
World Tour Philippines Open Subic Bay 2014,2014-05-15,CHIN Mao-Cheng,TIMSON Stephen,4,0,"11,11,11,11|4,7,9,3",,GRAND_SLAM,MS,132,Qualification,TIMSON Stephen (PHI),CHIN Mao-Cheng (TPE),CHIN Mao-Cheng
World Tour Philippines Open Subic Bay 2014,2014-05-15,XIN Zhaoxu,HOTZ Christian,4,0,"11,11,14,11|7,5,12,7",,GRAND_SLAM,MS,132,Qualification,XIN Zhaoxu (SGP),HOTZ Christian (SUI),XIN Zhaoxu
World Tour Philippines Open Subic Bay 2014,2014-05-15,XIN Zhaoxu,PUENTESPINA Paul,4,0,"11,11,11,11|3,7,3,6",,GRAND_SLAM,MS,132,Qualification,XIN Zhaoxu (SGP),PUENTESPINA Paul (PHI),XIN Zhaoxu
World Tour Philippines Open Subic Bay 2014,2014-05-15,HOTZ Christian,PUENTESPINA Paul,4,0,"13,11,11,11|11,4,7,3",,GRAND_SLAM,MS,132,Qualification,PUENTESPINA Paul (PHI),HOTZ Christian (SUI),HOTZ Christian
World Tour Philippines Open Subic Bay 2014,2014-05-15,NUYTINCK Cedric,SETIAWAN Syapril,4,0,"12,11,11,11|10,8,2,6",,GRAND_SLAM,MS,132,Qualification,NUYTINCK Cedric (BEL),SETIAWAN Syapril (INA),NUYTINCK Cedric
World Tour Philippines Open Subic Bay 2014,2014-05-15,NUYTINCK Cedric,JIMENEZ Mark,4,0,"11,11,11,12|5,7,9,10",,GRAND_SLAM,MS,132,Qualification,NUYTINCK Cedric (BEL),JIMENEZ Mark (PHI),NUYTINCK Cedric
World Tour Philippines Open Subic Bay 2014,2014-05-15,JIMENEZ Mark,SETIAWAN Syapril,4,1,"11,11,9,11,11|6,2,11,7,4",,GRAND_SLAM,MS,132,Qualification,JIMENEZ Mark (PHI),SETIAWAN Syapril (INA),JIMENEZ Mark
World Tour Philippines Open Subic Bay 2014,2014-05-15,KANG Donghoon,TSE Ka Chun,4,0,"11,11,11,15|9,4,5,13",,GRAND_SLAM,MS,132,Qualification,TSE Ka Chun (HKG),KANG Donghoon (KOR),KANG Donghoon
World Tour Philippines Open Subic Bay 2014,2014-05-15,TSE Ka Chun,RUIZ Jeremy,4,0,"11,11,11,11|3,2,7,5",,GRAND_SLAM,MS,132,Qualification,TSE Ka Chun (HKG),RUIZ Jeremy (PHI),TSE Ka Chun
World Tour Philippines Open Subic Bay 2014,2014-05-15,KANG Donghoon,RUIZ Jeremy,4,0,"11,11,12,11|4,4,10,5",,GRAND_SLAM,MS,132,Qualification,RUIZ Jeremy (PHI),KANG Donghoon (KOR),KANG Donghoon
World Tour Philippines Open Subic Bay 2014,2014-05-15,SUN Chia-Hung,TSUBOI Yuma,4,0,"11,11,11,12|8,9,9,10",,GRAND_SLAM,MS,132,Qualification,SUN Chia-Hung (TPE),TSUBOI Yuma (JPN),SUN Chia-Hung
World Tour Philippines Open Subic Bay 2014,2014-05-15,SUN Chia-Hung,LEDESMA Walden,4,0,"11,11,11,11|4,4,5,2",,GRAND_SLAM,MS,132,Qualification,SUN Chia-Hung (TPE),LEDESMA Walden (PHI),SUN Chia-Hung
World Tour Philippines Open Subic Bay 2014,2014-05-15,TSUBOI Yuma,LEDESMA Walden,4,0,"11,12,11,11|7,10,2,9",,GRAND_SLAM,MS,132,Qualification,LEDESMA Walden (PHI),TSUBOI Yuma (JPN),TSUBOI Yuma
World Tour Philippines Open Subic Bay 2014,2014-05-15,CHEW Clarence,SAKTI Andika Prayoga,4,0,"11,11,11,11|3,4,3,4",,GRAND_SLAM,MS,132,Qualification,CHEW Clarence (SGP),SAKTI Andika Prayoga (INA),CHEW Clarence
World Tour Philippines Open Subic Bay 2014,2014-05-15,CHEW Clarence,ALVAREZ Hosea,4,0,"11,11,11,11|4,3,5,5",,GRAND_SLAM,MS,132,Qualification,CHEW Clarence (SGP),ALVAREZ Hosea (PHI),CHEW Clarence
World Tour Philippines Open Subic Bay 2014,2014-05-15,SAKTI Andika Prayoga,ALVAREZ Hosea,4,1,"11,9,11,11,11|7,11,5,7,9",,GRAND_SLAM,MS,132,Qualification,ALVAREZ Hosea (PHI),SAKTI Andika Prayoga (INA),SAKTI Andika Prayoga
World Tour Philippines Open Subic Bay 2014,2014-05-15,ROY Soumyadeep,VALLE Rodel,4,1,"6,12,11,11,11|11,10,4,3,6",,GRAND_SLAM,MS,132,Qualification,ROY Soumyadeep (IND),VALLE Rodel (PHI),ROY Soumyadeep
World Tour Philippines Open Subic Bay 2014,2014-05-15,ROY Soumyadeep,LEONG Chee Feng,4,1,"8,11,11,11,11|11,3,6,5,4",,GRAND_SLAM,MS,132,Qualification,ROY Soumyadeep (IND),LEONG Chee Feng (MAS),ROY Soumyadeep
World Tour Philippines Open Subic Bay 2014,2014-05-15,LEONG Chee Feng,VALLE Rodel,4,3,"6,12,7,11,9,11,12|11,10,11,6,11,3,10",,GRAND_SLAM,MS,132,Qualification,LEONG Chee Feng (MAS),VALLE Rodel (PHI),LEONG Chee Feng
World Tour Philippines Open Subic Bay 2014,2014-05-15,HO Kwan Kit,IBRAHIM Muhd Shakirin,4,0,"11,11,11,14|7,4,8,12",,GRAND_SLAM,MS,132,Qualification,IBRAHIM Muhd Shakirin (MAS),HO Kwan Kit (HKG),HO Kwan Kit
World Tour Philippines Open Subic Bay 2014,2014-05-15,MORADA Mervin,GALANG Gener,4,3,"4,11,11,8,11,6,11|11,8,5,11,5,11,9",,GRAND_SLAM,MS,132,Qualification,GALANG Gener (PHI),MORADA Mervin (PHI),MORADA Mervin
World Tour Philippines Open Subic Bay 2014,2014-05-15,IBRAHIM Muhd Shakirin,GALANG Gener,4,0,"11,11,11,11|3,4,2,2",,GRAND_SLAM,MS,132,Qualification,IBRAHIM Muhd Shakirin (MAS),GALANG Gener (PHI),IBRAHIM Muhd Shakirin
World Tour Philippines Open Subic Bay 2014,2014-05-15,HO Kwan Kit,MORADA Mervin,4,0,"11,11,11,11|3,2,6,3",,GRAND_SLAM,MS,132,Qualification,HO Kwan Kit (HKG),MORADA Mervin (PHI),HO Kwan Kit
World Tour Philippines Open Subic Bay 2014,2014-05-15,IBRAHIM Muhd Shakirin,MORADA Mervin,4,0,"11,11,11,11|3,6,7,5",,GRAND_SLAM,MS,132,Qualification,IBRAHIM Muhd Shakirin (MAS),MORADA Mervin (PHI),IBRAHIM Muhd Shakirin
World Tour Philippines Open Subic Bay 2014,2014-05-15,HO Kwan Kit,GALANG Gener,4,1,"11,7,11,11,11|7,11,8,6,3",,GRAND_SLAM,MS,132,Qualification,GALANG Gener (PHI),HO Kwan Kit (HKG),HO Kwan Kit
World Tour Philippines Open Subic Bay 2014,2014-05-15,MARDIYONO Yon,HAIQAL Muhamad Ashraf,4,2,"11,5,6,11,11,12|7,11,11,6,9,10",,GRAND_SLAM,MS,132,Qualification,MARDIYONO Yon (INA),HAIQAL Muhamad Ashraf (MAS),MARDIYONO Yon
World Tour Philippines Open Subic Bay 2014,2014-05-15,NAYRE Glendo,FLORENDO Fernando,4,0,"11,11,11,12|4,5,4,10",,GRAND_SLAM,MS,132,Qualification,NAYRE Glendo (PHI),FLORENDO Fernando (PHI),NAYRE Glendo
World Tour Philippines Open Subic Bay 2014,2014-05-15,MARDIYONO Yon,NAYRE Glendo,4,0,"11,11,11,14|4,8,6,12",,GRAND_SLAM,MS,132,Qualification,MARDIYONO Yon (INA),NAYRE Glendo (PHI),MARDIYONO Yon
World Tour Philippines Open Subic Bay 2014,2014-05-15,HAIQAL Muhamad Ashraf,FLORENDO Fernando,4,0,"11,11,11,11|5,7,7,8",,GRAND_SLAM,MS,132,Qualification,HAIQAL Muhamad Ashraf (MAS),FLORENDO Fernando (PHI),HAIQAL Muhamad Ashraf
World Tour Philippines Open Subic Bay 2014,2014-05-15,MARDIYONO Yon,FLORENDO Fernando,4,0,"11,11,12,11|5,3,10,5",,GRAND_SLAM,MS,132,Qualification,MARDIYONO Yon (INA),FLORENDO Fernando (PHI),MARDIYONO Yon
World Tour Philippines Open Subic Bay 2014,2014-05-15,HAIQAL Muhamad Ashraf,NAYRE Glendo,4,0,"11,11,11,14|7,9,8,12",,GRAND_SLAM,MS,132,Qualification,NAYRE Glendo (PHI),HAIQAL Muhamad Ashraf (MAS),HAIQAL Muhamad Ashraf
World Tour Philippines Open Subic Bay 2014,2014-05-15,PENG Wang-Wei,POUNGSRI Max,4,2,"12,11,9,9,11,11|10,9,11,11,5,6",,GRAND_SLAM,MS,132,Qualification,PENG Wang-Wei (TPE),POUNGSRI Max (THA),PENG Wang-Wei
