tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,JARVIS Tom,DEVOS Robin,4,3,"11,8,9,11,11,12,11|8,11,11,6,7,14,8",R64,OLYMPICS,MS,2030,Main Draw,DEVOS Robin (BEL),JARVIS Tom (ENG),JARVIS Tom
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,WANG Chuqin,SILVA Andre,4,1,"11,12,7,11,11|5,10,11,7,5",R64,OLYMPICS,MS,2030,Main Draw,SILVA Andre (POR),WANG Chuqin (CHN),WANG Chuqin
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,ZHANG Yudong,FEGERL Stefan,4,2,"11,11,9,11,6,11|6,5,11,9,11,6",R64,OLYMPICS,MS,2030,Main Draw,ZHANG Yudong (CHN),FEGERL Stefan (AUT),ZHANG Yudong
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,UDA Yukiya,CARVALHO Diogo,4,2,"13,11,8,13,11,14|11,8,11,15,8,12",R64,OLYMPICS,MS,2030,Main Draw,UDA Yukiya (JPN),CARVALHO Diogo (POR),UDA Yukiya
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,LIANG Jingkun,SIDORENKO Vladimir,4,0,"11,12,11,12|3,10,5,10",R64,OLYMPICS,MS,2030,Main Draw,LIANG Jingkun (CHN),SIDORENKO Vladimir (RUS),LIANG Jingkun
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,RANEFUR Elias,LAMBIET Florent,4,1,"11,11,11,5,11|7,9,9,11,5",R64,OLYMPICS,MS,2030,Main Draw,RANEFUR Elias (SWE),LAMBIET Florent (BEL),RANEFUR Elias
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,WISUTMAYTHANGKOON Supanut,MAJOROS Bence,4,1,"12,11,11,11,11|14,4,3,6,5",R64,OLYMPICS,MS,2030,Main Draw,WISUTMAYTHANGKOON Supanut (THA),MAJOROS Bence (HUN),WISUTMAYTHANGKOON Supanut
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,QIU Dang,PISTEJ Lubomir,4,2,"11,14,7,7,11,11|8,12,11,11,9,7",R64,OLYMPICS,MS,2030,Main Draw,PISTEJ Lubomir (SVK),QIU Dang (GER),QIU Dang
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,MINO Alberto,SAI Linwei,4,1,"11,14,11,10,12|8,12,6,12,10",R64,OLYMPICS,MS,2030,Main Draw,SAI Linwei (CHN),MINO Alberto (ECU),MINO Alberto
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,NIU Guankai,DRINKHALL Paul,4,2,"7,12,11,6,11,11|11,10,3,11,7,8",R64,OLYMPICS,MS,2030,Main Draw,DRINKHALL Paul (ENG),NIU Guankai (CHN),NIU Guankai
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,IONESCU Ovidiu,MENGEL Steffen,4,2,"10,11,7,11,15,11|12,7,11,5,13,4",R64,OLYMPICS,MS,2030,Main Draw,MENGEL Steffen (GER),IONESCU Ovidiu (ROU),IONESCU Ovidiu
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,ASSAR Omar,XIANG Peng,4,3,"12,5,2,11,12,6,12|10,11,11,9,10,11,10",R64,OLYMPICS,MS,2030,Main Draw,ASSAR Omar (EGY),XIANG Peng (CHN),ASSAR Omar
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,XU Haidong,ECSEKI Nandor,4,0,"11,11,11,11|4,8,8,5",R64,OLYMPICS,MS,2030,Main Draw,XU Haidong (CHN),ECSEKI Nandor (HUN),XU Haidong
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,LIU Yebo,LIVENTSOV Alexey,4,0,"11,11,11,11|4,6,6,9",R64,OLYMPICS,MS,2030,Main Draw,LIVENTSOV Alexey (RUS),LIU Yebo (CHN),LIU Yebo
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,TOGAMI Shunsuke,GROTH Jonathan,4,1,"11,10,11,15,11|6,12,9,13,4",R64,OLYMPICS,MS,2030,Main Draw,TOGAMI Shunsuke (JPN),GROTH Jonathan (DEN),TOGAMI Shunsuke
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,DESAI Harmeet,SIPOS Rares,4,0,"11,11,11,11|8,7,1,2",R64,OLYMPICS,MS,2030,Main Draw,SIPOS Rares (ROU),DESAI Harmeet (IND),DESAI Harmeet
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,SZOCS Hunor,KARAKASEVIC Aleksandar,4,2,"11,10,10,11,11,11|7,12,12,6,5,9",R64,OLYMPICS,MS,2030,Main Draw,SZOCS Hunor (ROU),KARAKASEVIC Aleksandar (SRB),SZOCS Hunor
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,LIN Gaoyuan/LIU Shiwen,BADOWSKI Marek/BAJOR Natalia,3,0,"11,11,11|4,6,9",R16,OLYMPICS,XD,2030,Main Draw,LIN Gaoyuan (CHN) / LIU Shiwen (CHN),BADOWSKI Marek (POL) / BAJOR Natalia (POL),LIN Gaoyuan
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,KARAKASEVIC Aleksandar/LUPULESKU Izabela,CARVALHO Diogo/SHAO Jieni,3,1,"11,5,14,11|5,11,12,9",R16,OLYMPICS,XD,2030,Main Draw,KARAKASEVIC Aleksandar (SRB) / LUPULESKU Izabela (SRB),CARVALHO Diogo (POR) / SHAO Jieni (POR),KARAKASEVIC Aleksandar
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,ORT Kilian/WAN Yuan,ALTO Gaston/ARGUELLES Camila,3,1,"11,10,11,11|8,12,3,6",R16,OLYMPICS,XD,2030,Main Draw,ORT Kilian (GER) / WAN Yuan (GER),ALTO Gaston (ARG) / ARGUELLES Camila (ARG),ORT Kilian
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,ECSEKI Nandor/MADARASZ Dora,TROMER Laurens/EERLAND Britt,3,0,"11,11,11|9,8,5",R16,OLYMPICS,XD,2030,Main Draw,ECSEKI Nandor (HUN) / MADARASZ Dora (HUN),TROMER Laurens (NED) / EERLAND Britt (NED),ECSEKI Nandor
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,WANG Chuqin/YANG Huijing,ZATOWKA Patryk/PARTYKA Natalia,3,0,"11,11,11|2,6,3",R16,OLYMPICS,XD,2030,Main Draw,WANG Chuqin (CHN) / YANG Huijing (CHN),ZATOWKA Patryk (POL) / PARTYKA Natalia (POL),WANG Chuqin
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,SZUDI Adam/PERGEL Szandra,FLORE Tristan/GASNIER Laura,3,1,"2,11,12,11|11,5,10,8",R16,OLYMPICS,XD,2030,Main Draw,SZUDI Adam (HUN) / PERGEL Szandra (HUN),FLORE Tristan (FRA) / GASNIER Laura (FRA),SZUDI Adam
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,PISTEJ Lubomir/KUKULKOVA Tatiana,GRININGER Thomas/MISCHEK-COLUCCI Karoline,3,1,"11,7,11,12|9,11,5,10",R16,OLYMPICS,XD,2030,Main Draw,PISTEJ Lubomir (SVK) / KUKULKOVA Tatiana (SVK),GRININGER Thomas (AUT) / MISCHEK-COLUCCI Karoline (AUT),PISTEJ Lubomir
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,LIU Shiwen,SHAO Jieni,4,0,"11,11,11,11|6,4,5,9",R32,OLYMPICS,WS,2030,Main Draw,LIU Shiwen (CHN),SHAO Jieni (POR),LIU Shiwen
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,KUAI Man,EERLAND Britt,4,2,"11,7,11,12,10,11|6,11,7,10,12,6",R32,OLYMPICS,WS,2030,Main Draw,KUAI Man (CHN),EERLAND Britt (NED),KUAI Man
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,HAYATA Hina,LIU Jia,2,0,"11,11|6,7",R32,OLYMPICS,WS,2030,Main Draw,LIU Jia (AUT),HAYATA Hina (JPN),HAYATA Hina
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,HUANG Hsin,NOSKOVA Yana,4,2,"11,11,10,9,11,11|6,9,12,11,6,7",R32,OLYMPICS,WS,2030,Main Draw,HUANG Hsin (TPE),NOSKOVA Yana (RUS),HUANG Hsin
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,POTA Georgina,SOMA Yumeno,4,0,"11,11,11,11|4,9,8,7",R32,OLYMPICS,WS,2030,Main Draw,SOMA Yumeno (JPN),POTA Georgina (HUN),POTA Georgina
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,HU Limei,HUANG Yingqi,4,0,"11,11,11,11|7,2,7,9",R32,OLYMPICS,WS,2030,Main Draw,HU Limei (CHN),HUANG Yingqi (CHN),HU Limei
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,SU Pei-Ling,BERGSTROM Linda,4,1,"11,6,11,11,11|6,11,7,7,7",R32,OLYMPICS,WS,2030,Main Draw,SU Pei-Ling (TPE),BERGSTROM Linda (SWE),SU Pei-Ling
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,SHIBATA Saki,ZHANG Lily,4,1,"11,11,11,7,11|6,9,7,11,5",R32,OLYMPICS,WS,2030,Main Draw,ZHANG Lily (USA),SHIBATA Saki (JPN),SHIBATA Saki
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,SAMARA Elizabeta,BOGDANOVA Nadezhda,4,1,"11,6,17,11,11|5,11,15,7,7",R32,OLYMPICS,WS,2030,Main Draw,SAMARA Elizabeta (ROU),BOGDANOVA Nadezhda (BLR),SAMARA Elizabeta
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,LI Jiayuan,NARUMOTO Ayami,4,2,"11,11,10,11,5,11|6,6,12,6,11,6",R32,OLYMPICS,WS,2030,Main Draw,LI Jiayuan (CHN),NARUMOTO Ayami (JPN),LI Jiayuan
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,SOO Wai Yam,DIACONU Adina,4,0,"11,11,11,11|8,5,5,7",R32,OLYMPICS,WS,2030,Main Draw,SOO Wai Yam (HKG),DIACONU Adina (ROU),SOO Wai Yam
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,KATO Miyu,WU Yangchen,4,3,"11,9,8,11,11,9,11|7,11,11,7,6,11,7",R32,OLYMPICS,WS,2030,Main Draw,WU Yangchen (CHN),KATO Miyu (JPN),KATO Miyu
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,HASHIMOTO Honoka,CHEN Yi,4,3,"9,11,9,11,12,11,11|11,3,11,5,14,8,6",R32,OLYMPICS,WS,2030,Main Draw,HASHIMOTO Honoka (JPN),CHEN Yi (CHN),HASHIMOTO Honoka
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,LIN Gaoyuan,GERALDO Joao,4,0,"11,11,11,11|4,8,9,7",R32,OLYMPICS,MS,2030,Main Draw,LIN Gaoyuan (CHN),GERALDO Joao (POR),LIN Gaoyuan
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,MOREGARD Truls,SUN Wen,4,1,"11,11,7,11,11|5,5,11,6,8",R32,OLYMPICS,MS,2030,Main Draw,SUN Wen (CHN),MOREGARD Truls (SWE),MOREGARD Truls
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,SIRUCEK Pavel,BOBOCICA Mihai,4,0,"12,11,11,13|10,5,4,11",R32,OLYMPICS,MS,2030,Main Draw,BOBOCICA Mihai (ITA),SIRUCEK Pavel (CZE),SIRUCEK Pavel
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,HABESOHN Daniel,ANTHONY Amalraj,4,2,"11,11,5,11,7,11|4,5,11,5,11,6",R32,OLYMPICS,MS,2030,Main Draw,HABESOHN Daniel (AUT),ANTHONY Amalraj (IND),HABESOHN Daniel
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,ARUNA Quadri,SODERLUND Simon,4,1,"11,11,10,11,11|9,6,12,5,4",R32,OLYMPICS,MS,2030,Main Draw,SODERLUND Simon (SWE),ARUNA Quadri (NGR),ARUNA Quadri
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,XU Yingbin,PLATONOV Pavel,4,3,"9,9,13,11,11,10,11|11,11,11,4,3,12,8",R32,OLYMPICS,MS,2030,Main Draw,PLATONOV Pavel (BLR),XU Yingbin (CHN),XU Yingbin
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,KOZUL Deni,TAKAMI Masaki,4,3,"11,9,7,11,7,11,11|8,11,11,6,11,9,7",R32,OLYMPICS,MS,2030,Main Draw,TAKAMI Masaki (JPN),KOZUL Deni (SLO),KOZUL Deni
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,SAMSONOV Vladimir,JARVIS Tom,4,0,"11,11,11,11|3,9,5,4",R32,OLYMPICS,MS,2030,Main Draw,JARVIS Tom (ENG),SAMSONOV Vladimir (BLR),SAMSONOV Vladimir
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,BAJOR Natalia,HAPONOVA Hanna,4,3,"13,5,11,11,6,11,12|15,11,9,8,11,8,10",R32,OLYMPICS,WS,2030,Main Draw,HAPONOVA Hanna (UKR),BAJOR Natalia (POL),BAJOR Natalia
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,FAN Siqi,GUO Yuhan,4,2,"6,11,11,11,11,11|11,5,8,13,2,9",R32,OLYMPICS,WS,2030,Main Draw,FAN Siqi (CHN),GUO Yuhan (CHN),FAN Siqi
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,SATO Hitomi,ODO Satsuki,4,3,"9,11,9,10,11,12,11|11,6,11,12,6,10,9",R32,OLYMPICS,WS,2030,Main Draw,ODO Satsuki (JPN),SATO Hitomi (JPN),SATO Hitomi
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,NIU Guankai,IONESCU Ovidiu,4,3,"11,9,11,4,10,11,12|4,11,8,11,12,8,10",R32,OLYMPICS,MS,2030,Main Draw,NIU Guankai (CHN),IONESCU Ovidiu (ROU),NIU Guankai
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,ASSAR Omar,XU Haidong,4,2,"13,13,12,11,8,11|11,11,10,13,11,5",R32,OLYMPICS,MS,2030,Main Draw,ASSAR Omar (EGY),XU Haidong (CHN),ASSAR Omar
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,LIANG Jingkun,RANEFUR Elias,4,0,"11,11,11,11|9,8,4,7",R32,OLYMPICS,MS,2030,Main Draw,LIANG Jingkun (CHN),RANEFUR Elias (SWE),LIANG Jingkun
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,WANG Chuqin,WISUTMAYTHANGKOON Supanut,4,0,"11,11,11,11|7,7,7,7",R32,OLYMPICS,MS,2030,Main Draw,WISUTMAYTHANGKOON Supanut (THA),WANG Chuqin (CHN),WANG Chuqin
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,QIU Dang,MINO Alberto,4,3,"13,11,9,3,11,11,11|15,5,11,11,9,9,3",R32,OLYMPICS,MS,2030,Main Draw,QIU Dang (GER),MINO Alberto (ECU),QIU Dang
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,UDA Yukiya,ZHANG Yudong,4,0,"14,11,11,11|12,8,8,9",R32,OLYMPICS,MS,2030,Main Draw,UDA Yukiya (JPN),ZHANG Yudong (CHN),UDA Yukiya
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,SZOCS Hunor,DESAI Harmeet,4,0,"11,11,13,11|2,5,11,7",R32,OLYMPICS,MS,2030,Main Draw,SZOCS Hunor (ROU),DESAI Harmeet (IND),SZOCS Hunor
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,LIU Yebo,TOGAMI Shunsuke,4,2,"14,7,13,8,11,11|12,11,11,11,8,8",R32,OLYMPICS,MS,2030,Main Draw,LIU Yebo (CHN),TOGAMI Shunsuke (JPN),LIU Yebo
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,LIN Gaoyuan/LIU Shiwen,SZUDI Adam/PERGEL Szandra,3,0,"11,11,11|7,9,9",QF,OLYMPICS,XD,2030,Main Draw,LIN Gaoyuan (CHN) / LIU Shiwen (CHN),SZUDI Adam (HUN) / PERGEL Szandra (HUN),LIN Gaoyuan
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,ECSEKI Nandor/MADARASZ Dora,ORT Kilian/WAN Yuan,3,1,"5,11,11,11|11,9,4,8",QF,OLYMPICS,XD,2030,Main Draw,ECSEKI Nandor (HUN) / MADARASZ Dora (HUN),ORT Kilian (GER) / WAN Yuan (GER),ECSEKI Nandor
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,KARAKASEVIC Aleksandar/LUPULESKU Izabela,LI Hsin-Yang/LIN Chia-Hsuan,3,2,"11,11,8,8,11|5,4,11,11,8",QF,OLYMPICS,XD,2030,Main Draw,KARAKASEVIC Aleksandar (SRB) / LUPULESKU Izabela (SRB),LI Hsin-Yang (TPE) / LIN Chia-Hsuan (TPE),KARAKASEVIC Aleksandar
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,PISTEJ Lubomir/KUKULKOVA Tatiana,WANG Chuqin/YANG Huijing,3,2,"11,11,5,11,11|9,5,11,13,8",QF,OLYMPICS,XD,2030,Main Draw,PISTEJ Lubomir (SVK) / KUKULKOVA Tatiana (SVK),WANG Chuqin (CHN) / YANG Huijing (CHN),PISTEJ Lubomir
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,CAO Wei/XU Yingbin,ANTHONY Amalraj/DESAI Harmeet,3,0,"11,11,11|6,7,8",R16,OLYMPICS,MD,2030,Main Draw,CAO Wei (CHN) / XU Yingbin (CHN),ANTHONY Amalraj (IND) / DESAI Harmeet (IND),CAO Wei
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,TOGAMI Shunsuke,LEVENKO Andreas,3,1,"12,6,11,11|10,11,4,8",SF,OLYMPICS,U21MS,2030,Main Draw,TOGAMI Shunsuke (JPN),LEVENKO Andreas (AUT),TOGAMI Shunsuke
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,DIACONU Adina,WU Yangchen,3,2,"11,3,8,11,11|8,11,11,7,6",SF,OLYMPICS,U21WS,2030,Main Draw,WU Yangchen (CHN),DIACONU Adina (ROU),DIACONU Adina
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,XIANG Peng,LIU Yebo,3,2,"12,11,7,9,11|10,5,11,11,6",SF,OLYMPICS,U21MS,2030,Main Draw,XIANG Peng (CHN),LIU Yebo (CHN),XIANG Peng
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,FAN Siqi,SOMA Yumeno,3,0,"11,11,11|6,4,7",SF,OLYMPICS,U21WS,2030,Main Draw,SOMA Yumeno (JPN),FAN Siqi (CHN),FAN Siqi
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,LIN Gaoyuan/LIU Shiwen,ECSEKI Nandor/MADARASZ Dora,3,1,"11,7,11,13|3,11,8,11",SF,OLYMPICS,XD,2030,Main Draw,LIN Gaoyuan (CHN) / LIU Shiwen (CHN),ECSEKI Nandor (HUN) / MADARASZ Dora (HUN),LIN Gaoyuan
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,PISTEJ Lubomir/KUKULKOVA Tatiana,KARAKASEVIC Aleksandar/LUPULESKU Izabela,3,2,"11,7,3,11,11|7,11,11,8,6",SF,OLYMPICS,XD,2030,Main Draw,PISTEJ Lubomir (SVK) / KUKULKOVA Tatiana (SVK),KARAKASEVIC Aleksandar (SRB) / LUPULESKU Izabela (SRB),PISTEJ Lubomir
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,HAYATA Hina,LIU Shiwen,4,2,"9,12,14,11,8,11|11,10,12,9,11,8",R16,OLYMPICS,WS,2030,Main Draw,LIU Shiwen (CHN),HAYATA Hina (JPN),HAYATA Hina
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,POTA Georgina,HUANG Hsin,4,0,"11,11,14,11|7,7,12,9",R16,OLYMPICS,WS,2030,Main Draw,HUANG Hsin (TPE),POTA Georgina (HUN),POTA Georgina
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,HU Limei,KUAI Man,4,2,"12,11,7,11,6,11|10,9,11,5,11,5",R16,OLYMPICS,WS,2030,Main Draw,HU Limei (CHN),KUAI Man (CHN),HU Limei
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,SHIBATA Saki,SU Pei-Ling,4,1,"11,14,8,11,11|4,12,11,5,7",R16,OLYMPICS,WS,2030,Main Draw,SU Pei-Ling (TPE),SHIBATA Saki (JPN),SHIBATA Saki
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,LI Jiayuan,SAMARA Elizabeta,4,1,"11,11,7,11,11|8,9,11,8,8",R16,OLYMPICS,WS,2030,Main Draw,SAMARA Elizabeta (ROU),LI Jiayuan (CHN),LI Jiayuan
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,FAN Siqi,SATO Hitomi,4,1,"9,11,13,11,11|11,9,11,5,8",R16,OLYMPICS,WS,2030,Main Draw,FAN Siqi (CHN),SATO Hitomi (JPN),FAN Siqi
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,KATO Miyu,SOO Wai Yam,4,3,"8,11,7,10,12,12,11|11,9,11,12,10,10,9",R16,OLYMPICS,WS,2030,Main Draw,SOO Wai Yam (HKG),KATO Miyu (JPN),KATO Miyu
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,HASHIMOTO Honoka,BAJOR Natalia,4,3,"11,11,8,12,11,11,11|6,13,11,14,5,3,8",R16,OLYMPICS,WS,2030,Main Draw,HASHIMOTO Honoka (JPN),BAJOR Natalia (POL),HASHIMOTO Honoka
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,XU Yingbin,HABESOHN Daniel,4,1,"11,11,4,16,11|7,4,11,14,3",R16,OLYMPICS,MS,2030,Main Draw,HABESOHN Daniel (AUT),XU Yingbin (CHN),XU Yingbin
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,LIN Gaoyuan,MOREGARD Truls,4,1,"11,11,11,11,12|7,6,9,13,10",R16,OLYMPICS,MS,2030,Main Draw,LIN Gaoyuan (CHN),MOREGARD Truls (SWE),LIN Gaoyuan
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,SAMSONOV Vladimir,KOZUL Deni,4,0,"11,11,11,11|6,8,8,3",R16,OLYMPICS,MS,2030,Main Draw,KOZUL Deni (SLO),SAMSONOV Vladimir (BLR),SAMSONOV Vladimir
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,SIRUCEK Pavel,ARUNA Quadri,4,2,"8,5,11,11,11,11|11,11,9,9,4,0",R16,OLYMPICS,MS,2030,Main Draw,SIRUCEK Pavel (CZE),ARUNA Quadri (NGR),SIRUCEK Pavel
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,LIU Yebo,SZOCS Hunor,4,3,"9,11,11,8,4,14,11|11,9,6,11,11,12,7",R16,OLYMPICS,MS,2030,Main Draw,SZOCS Hunor (ROU),LIU Yebo (CHN),LIU Yebo
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,NIU Guankai,QIU Dang,4,1,"11,12,10,11,11|8,10,12,9,6",R16,OLYMPICS,MS,2030,Main Draw,QIU Dang (GER),NIU Guankai (CHN),NIU Guankai
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,LIANG Jingkun,WANG Chuqin,4,1,"11,11,12,6,11|4,7,10,11,5",R16,OLYMPICS,MS,2030,Main Draw,LIANG Jingkun (CHN),WANG Chuqin (CHN),LIANG Jingkun
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,UDA Yukiya,ASSAR Omar,4,2,"11,11,11,7,7,11|6,8,7,11,11,2",R16,OLYMPICS,MS,2030,Main Draw,ASSAR Omar (EGY),UDA Yukiya (JPN),UDA Yukiya
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,HUANG Yu-Wen/LI Yu-Jhun,BAJOR Natalia/PARTYKA Natalia,3,1,"11,12,11,11|9,14,9,9",QF,OLYMPICS,WD,2030,Main Draw,HUANG Yu-Wen (TPE) / LI Yu-Jhun (TPE),BAJOR Natalia (POL) / PARTYKA Natalia (POL),HUANG Yu-Wen
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,FAN Siqi/YANG Huijing,HUANG Hsin/HUANG Yu-Chiao,3,0,"11,12,11|5,10,6",QF,OLYMPICS,WD,2030,Main Draw,FAN Siqi (CHN) / YANG Huijing (CHN),HUANG Hsin (TPE) / HUANG Yu-Chiao (TPE),FAN Siqi
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,MADARASZ Dora/PERGEL Szandra,OLIVEIRA Leila/SHAO Jieni,3,1,"7,11,11,11|11,6,7,7",QF,OLYMPICS,WD,2030,Main Draw,MADARASZ Dora (HUN) / PERGEL Szandra (HUN),OLIVEIRA Leila (POR) / SHAO Jieni (POR),MADARASZ Dora
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,DODEAN Daniela/SAMARA Elizabeta,ODO Satsuki/SHIBATA Saki,3,1,"11,11,9,11|4,5,11,9",QF,OLYMPICS,WD,2030,Main Draw,DODEAN Daniela (ROU) / SAMARA Elizabeta (ROU),ODO Satsuki (JPN) / SHIBATA Saki (JPN),DODEAN Daniela
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,ECSEKI Nandor/SZUDI Adam,CARVALHO Diogo/GERALDO Joao,3,0,"11,12,11|6,10,9",QF,OLYMPICS,MD,2030,Main Draw,ECSEKI Nandor (HUN) / SZUDI Adam (HUN),CARVALHO Diogo (POR) / GERALDO Joao (POR),ECSEKI Nandor
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,TOGAMI Shunsuke/UDA Yukiya,KALUZNY Samuel/PISTEJ Lubomir,3,2,"1,12,13,11,11|11,10,11,13,5",QF,OLYMPICS,MD,2030,Main Draw,TOGAMI Shunsuke (JPN) / UDA Yukiya (JPN),KALUZNY Samuel (SVK) / PISTEJ Lubomir (SVK),TOGAMI Shunsuke
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,CAO Wei/XU Yingbin,ORT Kilian/QIU Dang,3,0,"11,11,11|6,5,2",QF,OLYMPICS,MD,2030,Main Draw,CAO Wei (CHN) / XU Yingbin (CHN),ORT Kilian (GER) / QIU Dang (GER),CAO Wei
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,LIANG Jingkun/LIN Gaoyuan,MATSUYAMA Yuki/TAKAMI Masaki,3,0,"11,11,11|6,3,2",QF,OLYMPICS,MD,2030,Main Draw,LIANG Jingkun (CHN) / LIN Gaoyuan (CHN),MATSUYAMA Yuki (JPN) / TAKAMI Masaki (JPN),LIANG Jingkun
ITTF Challenge Plus Portugal Open Lisbon 2019,2019-02-13,FAN Siqi,DIACONU Adina,3,2,"11,12,2,8,11|8,10,11,11,9",F,OLYMPICS,U21WS,2030,Main Draw,DIACONU Adina (ROU),FAN Siqi (CHN),FAN Siqi
