tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Malaysian Open Johor Bahru 2003,2003-10-02,KONG Linghui,REMY Yaccob,4,0,"11,11,11,11|7,6,3,4",R64,GRAND_SLAM,MS,1609,Main Draw,KONG Linghui (CHN),REMY Yaccob (MAS),KONG Linghui
Malaysian Open Johor Bahru 2003,2003-10-02,GARDOS Robert,KITO Akira,4,0,"11,11,11,11|5,6,7,3",R64,GRAND_SLAM,MS,1609,Main Draw,GARDOS Robert (AUT),KITO Akira (JPN),GARDOS Robert
Malaysian Open Johor Bahru 2003,2003-10-02,SAIVE Philippe,LI Hang,4,0,"11,11,11,11|6,8,7,6",R64,GRAND_SLAM,MS,1609,Main Draw,SAIVE Philippe (BEL),LI Hang (SGP),SAIVE Philippe
Malaysian Open Johor Bahru 2003,2003-10-02,LI Ching,JUARDIS Nisban,4,0,"11,11,11,11|3,4,5,3",R64,GRAND_SLAM,MS,1609,Main Draw,LI Ching (HKG),JUARDIS Nisban (INA),LI Ching
Malaysian Open Johor Bahru 2003,2003-10-02,BENTSEN Allan,IBRAHIM Muhd Shakirin,4,0,"11,11,11,11|2,3,4,8",R64,GRAND_SLAM,MS,1609,Main Draw,BENTSEN Allan (DEN),IBRAHIM Muhd Shakirin (MAS),BENTSEN Allan
Malaysian Open Johor Bahru 2003,2003-10-02,FEJER-KONNERTH Zoltan,SEN Yew Fai,4,0,"11,11,11,11|7,3,6,7",R64,GRAND_SLAM,MS,1609,Main Draw,FEJER-KONNERTH Zoltan (GER),SEN Yew Fai (SGP),FEJER-KONNERTH Zoltan
Malaysian Open Johor Bahru 2003,2003-10-02,PERSSON Jorgen,LEE Kiat Li,4,0,"11,11,11,11|1,4,1,4",R64,GRAND_SLAM,MS,1609,Main Draw,PERSSON Jorgen (SWE),LEE Kiat Li (MAS),PERSSON Jorgen
Malaysian Open Johor Bahru 2003,2003-10-02,MAZE Michael,LEE Boon Cheong,4,0,"11,11,11,11|6,2,8,4",R64,GRAND_SLAM,MS,1609,Main Draw,MAZE Michael (DEN),LEE Boon Cheong (MAS),MAZE Michael
Malaysian Open Johor Bahru 2003,2003-10-02,LENGEROV Kostadin,ZHENG Qi,4,3,"11,14,11,7,9,8,11|9,12,6,11,11,11,8",R64,GRAND_SLAM,MS,1609,Main Draw,LENGEROV Kostadin (AUT),ZHENG Qi (SGP),LENGEROV Kostadin
Malaysian Open Johor Bahru 2003,2003-10-02,CHEN Qi,FETH Stefan,4,0,"11,14,11,15|7,12,5,13",R64,GRAND_SLAM,MS,1609,Main Draw,CHEN Qi (CHN),FETH Stefan (GER),CHEN Qi
Malaysian Open Johor Bahru 2003,2003-10-02,CHEUNG Yuk,SU Chu-Chao,4,2,"5,11,11,13,3,11|11,7,6,11,11,2",R64,GRAND_SLAM,MS,1609,Main Draw,CHEUNG Yuk (HKG),SU Chu-Chao (TPE),CHEUNG Yuk
Malaysian Open Johor Bahru 2003,2003-10-02,BLASZCZYK Lucjan,PENG Jia Ping,4,0,"11,12,11,11|6,10,6,4",R64,GRAND_SLAM,MS,1609,Main Draw,BLASZCZYK Lucjan (POL),PENG Jia Ping (MAS),BLASZCZYK Lucjan
Malaysian Open Johor Bahru 2003,2003-10-02,JINDRAK Karl,REED Barney,4,0,"11,11,11,15|6,6,6,13",R64,GRAND_SLAM,MS,1609,Main Draw,JINDRAK Karl (AUT),REED Barney (USA),JINDRAK Karl
Malaysian Open Johor Bahru 2003,2003-10-02,KRZESZEWSKI Tomasz,SUSENO Anton,4,0,"11,11,11,11|4,7,5,4",R64,GRAND_SLAM,MS,1609,Main Draw,KRZESZEWSKI Tomasz (POL),SUSENO Anton (INA),KRZESZEWSKI Tomasz
Malaysian Open Johor Bahru 2003,2003-10-02,LIU Guozheng,LING Tiing Sik,4,0,"11,11,11,11|3,6,3,7",R64,GRAND_SLAM,MS,1609,Main Draw,LIU Guozheng (CHN),LING Tiing Sik (MAS),LIU Guozheng
Malaysian Open Johor Bahru 2003,2003-10-02,HAO Shuai,ZHANG Yiqin,4,0,"11,11,11,11|7,7,5,2",R64,GRAND_SLAM,MS,1609,Main Draw,HAO Shuai (CHN),ZHANG Yiqin (SGP),HAO Shuai
Malaysian Open Johor Bahru 2003,2003-10-02,SANGUANSIN Phakpoom,CHAN Koon Wah,4,3,"11,11,10,8,4,12,11|7,9,12,11,11,10,8",R64,GRAND_SLAM,MS,1609,Main Draw,SANGUANSIN Phakpoom (THA),CHAN Koon Wah (MAS),SANGUANSIN Phakpoom
Malaysian Open Johor Bahru 2003,2003-10-02,MATSUSHITA Koji,SANGUANSIN Phuchong,4,1,"11,11,11,11,11|8,7,13,5,6",R64,GRAND_SLAM,MS,1609,Main Draw,MATSUSHITA Koji (JPN),SANGUANSIN Phuchong (THA),MATSUSHITA Koji
Malaysian Open Johor Bahru 2003,2003-10-02,KO Lai Chak,IPONG Hartanto,4,0,"11,11,11,11|4,4,3,3",R64,GRAND_SLAM,MS,1609,Main Draw,KO Lai Chak (HKG),IPONG Hartanto (INA),KO Lai Chak
Malaysian Open Johor Bahru 2003,2003-10-02,MOLDOVAN Istvan,CHOO Sim Guan,4,0,"11,11,11,11|5,3,6,5",R64,GRAND_SLAM,MS,1609,Main Draw,MOLDOVAN Istvan (NOR),CHOO Sim Guan (MAS),MOLDOVAN Istvan
Malaysian Open Johor Bahru 2003,2003-10-02,SHAN Mingjie,SU Chi-Young,4,1,"9,11,13,11,11|11,1,11,7,4",R64,GRAND_SLAM,MS,1609,Main Draw,SHAN Mingjie (CHN),SU Chi-Young (TPE),SHAN Mingjie
Malaysian Open Johor Bahru 2003,2003-10-02,QIU Yike,CHIN Seow Yu,4,0,"11,11,11,11|3,2,3,1",R64,GRAND_SLAM,MS,1609,Main Draw,QIU Yike (CHN),CHIN Seow Yu (MAS),QIU Yike
Malaysian Open Johor Bahru 2003,2003-10-02,WOSIK Torben,KER Sze Hau,4,0,"11,11,11,11|3,3,2,4",R64,GRAND_SLAM,MS,1609,Main Draw,WOSIK Torben (GER),KER Sze Hau (MAS),WOSIK Torben
Malaysian Open Johor Bahru 2003,2003-10-02,ZHANG Tai Yong,BRATANOV Martin,4,2,"11,6,11,8,11,11|8,11,7,11,6,9",R64,GRAND_SLAM,MS,1609,Main Draw,ZHANG Tai Yong (SGP),BRATANOV Martin (BEL),ZHANG Tai Yong
Malaysian Open Johor Bahru 2003,2003-10-02,LEUNG Chu Yan,TAN Chin,4,0,"11,11,11,13|3,8,8,11",R64,GRAND_SLAM,MS,1609,Main Draw,LEUNG Chu Yan (HKG),TAN Chin (MAS),LEUNG Chu Yan
Malaysian Open Johor Bahru 2003,2003-10-02,TASAKI Toshio,TORSUTKANOK Pornchai,4,0,"11,11,13,11|6,9,11,4",R64,GRAND_SLAM,MS,1609,Main Draw,TASAKI Toshio (JPN),TORSUTKANOK Pornchai (THA),TASAKI Toshio
Malaysian Open Johor Bahru 2003,2003-10-02,CHEN Weixing,FRENGKY Setyo,4,0,"11,11,11,11|2,5,2,4",R64,GRAND_SLAM,MS,1609,Main Draw,CHEN Weixing (AUT),FRENGKY Setyo (INA),CHEN Weixing
Malaysian Open Johor Bahru 2003,2003-10-02,ISEKI Seiko,KHOMKHAM Seksak,4,0,"11,11,11,11|0,3,3,4",R64,GRAND_SLAM,MS,1609,Main Draw,ISEKI Seiko (JPN),KHOMKHAM Seksak (THA),ISEKI Seiko
Malaysian Open Johor Bahru 2003,2003-10-02,ERLANDSEN Geir,CAI Xiaoli,4,3,"9,14,11,11,4,9,11|11,12,7,4,11,11,9",R64,GRAND_SLAM,MS,1609,Main Draw,ERLANDSEN Geir (NOR),CAI Xiaoli (SGP),ERLANDSEN Geir
Malaysian Open Johor Bahru 2003,2003-10-02,SAIVE Jean-Michel,YEUNG Din Han,4,0,"11,11,11,11|1,2,4,5",R64,GRAND_SLAM,MS,1609,Main Draw,SAIVE Jean-Michel (BEL),YEUNG Din Han (MAS),SAIVE Jean-Michel
Malaysian Open Johor Bahru 2003,2003-10-02,KONG Linghui,GARDOS Robert,4,1,"11,8,11,11,11|6,11,5,8,5",R32,GRAND_SLAM,MS,1609,Main Draw,KONG Linghui (CHN),GARDOS Robert (AUT),KONG Linghui
Malaysian Open Johor Bahru 2003,2003-10-02,ROSSKOPF Jorg,SAIVE Philippe,4,2,"11,8,11,11,9,13|6,11,7,8,11,11",R32,GRAND_SLAM,MS,1609,Main Draw,ROSSKOPF Jorg (GER),SAIVE Philippe (BEL),ROSSKOPF Jorg
Malaysian Open Johor Bahru 2003,2003-10-02,BENTSEN Allan,LI Ching,4,1,"4,15,11,11,14|11,13,4,8,12",R32,GRAND_SLAM,MS,1609,Main Draw,BENTSEN Allan (DEN),LI Ching (HKG),BENTSEN Allan
Malaysian Open Johor Bahru 2003,2003-10-02,PERSSON Jorgen,FEJER-KONNERTH Zoltan,4,1,"11,10,11,11,11|8,12,8,5,4",R32,GRAND_SLAM,MS,1609,Main Draw,PERSSON Jorgen (SWE),FEJER-KONNERTH Zoltan (GER),PERSSON Jorgen
Malaysian Open Johor Bahru 2003,2003-10-02,MAZE Michael,LENGEROV Kostadin,4,0,"11,11,11,11|9,9,7,9",R32,GRAND_SLAM,MS,1609,Main Draw,MAZE Michael (DEN),LENGEROV Kostadin (AUT),MAZE Michael
Malaysian Open Johor Bahru 2003,2003-10-02,CHEN Qi,CHEUNG Yuk,4,0,"11,11,11,11|6,6,9,8",R32,GRAND_SLAM,MS,1609,Main Draw,CHEN Qi (CHN),CHEUNG Yuk (HKG),CHEN Qi
Malaysian Open Johor Bahru 2003,2003-10-02,JINDRAK Karl,BLASZCZYK Lucjan,4,3,"8,11,5,10,11,11,11|11,3,11,12,9,9,8",R32,GRAND_SLAM,MS,1609,Main Draw,JINDRAK Karl (AUT),BLASZCZYK Lucjan (POL),JINDRAK Karl
Malaysian Open Johor Bahru 2003,2003-10-02,LIU Guozheng,KRZESZEWSKI Tomasz,4,3,"11,6,11,6,11,6,11|6,11,2,11,6,11,7",R32,GRAND_SLAM,MS,1609,Main Draw,LIU Guozheng (CHN),KRZESZEWSKI Tomasz (POL),LIU Guozheng
Malaysian Open Johor Bahru 2003,2003-10-02,HAO Shuai,LUNDQVIST Jens,4,0,"11,11,11,12|8,5,9,10",R32,GRAND_SLAM,MS,1609,Main Draw,HAO Shuai (CHN),LUNDQVIST Jens (SWE),HAO Shuai
Malaysian Open Johor Bahru 2003,2003-10-02,MATSUSHITA Koji,SANGUANSIN Phakpoom,4,0,"11,11,11,11|5,6,3,4",R32,GRAND_SLAM,MS,1609,Main Draw,MATSUSHITA Koji (JPN),SANGUANSIN Phakpoom (THA),MATSUSHITA Koji
Malaysian Open Johor Bahru 2003,2003-10-02,KO Lai Chak,MOLDOVAN Istvan,4,1,"11,6,15,11,11|5,11,13,3,8",R32,GRAND_SLAM,MS,1609,Main Draw,KO Lai Chak (HKG),MOLDOVAN Istvan (NOR),KO Lai Chak
Malaysian Open Johor Bahru 2003,2003-10-02,QIU Yike,SHAN Mingjie,4,2,"11,3,5,11,11,11|6,11,11,6,5,8",R32,GRAND_SLAM,MS,1609,Main Draw,QIU Yike (CHN),SHAN Mingjie (CHN),QIU Yike
Malaysian Open Johor Bahru 2003,2003-10-02,ZHANG Tai Yong,WOSIK Torben,4,3,"3,11,12,4,13,3,11|11,9,10,11,11,11,7",R32,GRAND_SLAM,MS,1609,Main Draw,ZHANG Tai Yong (SGP),WOSIK Torben (GER),ZHANG Tai Yong
Malaysian Open Johor Bahru 2003,2003-10-02,LEUNG Chu Yan,TASAKI Toshio,4,2,"9,11,10,11,11,11|11,4,12,2,7,9",R32,GRAND_SLAM,MS,1609,Main Draw,LEUNG Chu Yan (HKG),TASAKI Toshio (JPN),LEUNG Chu Yan
Malaysian Open Johor Bahru 2003,2003-10-02,CHEN Weixing,ISEKI Seiko,4,2,"11,18,7,7,11,18|6,16,11,11,6,16",R32,GRAND_SLAM,MS,1609,Main Draw,CHEN Weixing (AUT),ISEKI Seiko (JPN),CHEN Weixing
Malaysian Open Johor Bahru 2003,2003-10-02,SAIVE Jean-Michel,ERLANDSEN Geir,4,1,"7,11,11,11,11|11,3,2,9,3",R32,GRAND_SLAM,MS,1609,Main Draw,SAIVE Jean-Michel (BEL),ERLANDSEN Geir (NOR),SAIVE Jean-Michel
