tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
2025 National Games (Mixed Doubles),2025-11-07,徐海东/陈幸同,严升/冷雨桐,CHN,CHN,3,2,,R32,CN_NATIONAL_GAMES,XD,,Main Draw,徐海东/陈幸同,严升/冷雨桐
2025 National Games (Mixed Doubles),2025-11-07,郝帅/刘炜珊,黄友政/孙晨,CHN,CHN,3,0,,R32,CN_NATIONAL_GAMES,XD,,Main Draw,郝帅/刘炜珊,黄友政/孙晨
2025 National Games (Mixed Doubles),2025-11-07,周雨/臧小桐,于子洋/范思琦,CHN,CHN,3,2,,R32,CN_NATIONAL_GAMES,XD,,Main Draw,周雨/臧小桐,于子洋/范思琦
2025 National Games (Mixed Doubles),2025-11-07,徐瑛彬/范姝涵,郑孔崴/石慧莉,CHN,CHN,3,0,,R32,CN_NATIONAL_GAMES,XD,,Main Draw,徐瑛彬/范姝涵,郑孔崴/石慧莉
2025 National Games (Mixed Doubles),2025-11-07,赵子豪/陈熠,陈俊菘/魏闻声,CHN,CHN,3,1,,R32,CN_NATIONAL_GAMES,XD,,Main Draw,赵子豪/陈熠,陈俊菘/魏闻声
2025 National Games (Mixed Doubles),2025-11-07,马特/徐嘉忆,周恺/马小惠,CHN,CHN,3,0,,R32,CN_NATIONAL_GAMES,XD,,Main Draw,马特/徐嘉忆,周恺/马小惠
2025 National Games (Mixed Doubles),2025-11-07,姚钧涛/吴咏琳,蔡伟/王澜睿,CHN,CHN,3,2,,R32,CN_NATIONAL_GAMES,XD,,Main Draw,姚钧涛/吴咏琳,蔡伟/王澜睿
2025 National Games (Mixed Doubles),2025-11-07,梁俨苧/何卓佳,孙闻/钱天一,CHN,CHN,3,2,,R32,CN_NATIONAL_GAMES,XD,,Main Draw,梁俨苧/何卓佳,孙闻/钱天一
2025 National Games (Mixed Doubles),2025-11-07,赵钊彦/孙铭阳,韩欣沅/王一朵,CHN,CHN,3,0,,R32,CN_NATIONAL_GAMES,XD,,Main Draw,赵钊彦/孙铭阳,韩欣沅/王一朵
2025 National Games (Mixed Doubles),2025-11-07,郑培锋/李仁思佳,刘丁硕/孙艺祯,CHN,CHN,3,1,,R32,CN_NATIONAL_GAMES,XD,,Main Draw,郑培锋/李仁思佳,刘丁硕/孙艺祯
