tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,CHANDRA Jeet,ALMUTAIRI Turki,4,0,"11,11,11,11|5,9,3,5",QUAL,WTT_CONTENDER,MS,2484,Qualification,CHANDRA Jeet (IND),ALMUTAIRI Turki (KSA),CHANDRA Jeet
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,PANDE Siddhesh,ALSHAREIF Khalid,4,0,"0,0,0,0|0,0,0,0",QUAL,WTT_CONTENDER,MS,2484,Qualification,PANDE Siddhesh (IND),ALSHAREIF Khalid (KSA),PANDE Siddhesh
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,AL-JADAI Naif,KURMANGALIYEV Alan,4,2,"11,9,11,8,11,11|1,11,7,11,5,5",QUAL,WTT_CONTENDER,MS,2484,Qualification,AL-JADAI Naif (KSA),KURMANGALIYEV Alan (KAZ),AL-JADAI Naif
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SURAVAJJULA Snehit,AKIMALI Bakdaulet,4,0,"11,11,11,12|6,8,5,10",QUAL,WTT_CONTENDER,MS,2484,Qualification,SURAVAJJULA Snehit (IND),AKIMALI Bakdaulet (KAZ),SURAVAJJULA Snehit
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,UKTAMBOEV Mukhammad,ZHOLUDEV Denis,4,3,"12,7,4,12,8,11,11|10,11,11,10,11,6,9",QUAL,WTT_CONTENDER,MS,2484,Qualification,UKTAMBOEV Mukhammad (UZB),ZHOLUDEV Denis (KAZ),UKTAMBOEV Mukhammad
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KHOLIKOV Elmurod,KIM Temirlan,4,0,"11,11,11,14|5,9,6,12",QUAL,WTT_CONTENDER,MS,2484,Qualification,KHOLIKOV Elmurod (UZB),KIM Temirlan (KAZ),KHOLIKOV Elmurod
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,GROVER Sudhanshu,KASYMOV Atai,4,0,"11,11,11,11|4,6,4,7",QUAL,WTT_CONTENDER,MS,2484,Qualification,GROVER Sudhanshu (IND),KASYMOV Atai (KGZ),GROVER Sudhanshu
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,ANORBOEV Abdulaziz,ZAKHAROV Vladislav,4,3,"15,8,5,5,15,11,13|13,11,11,11,13,3,11",QUAL,WTT_CONTENDER,MS,2484,Qualification,ANORBOEV Abdulaziz (UZB),ZAKHAROV Vladislav (KAZ),ANORBOEV Abdulaziz
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,TYAN Stanislav,NASIRDINOV Adilet,4,0,"11,11,11,11|4,2,3,3",QUAL,WTT_CONTENDER,MS,2484,Qualification,TYAN Stanislav (UZB),NASIRDINOV Adilet (KGZ),TYAN Stanislav
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KURMAMBAYEV Sagantay,TSYHANOUSKI Mikhail,4,3,"12,11,10,14,10,11,11|10,6,12,16,12,5,7",QUAL,WTT_CONTENDER,MS,2484,Qualification,KURMAMBAYEV Sagantay (KAZ),TSYHANOUSKI Mikhail (BLR),KURMAMBAYEV Sagantay
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,RAITER Erik,RAKHIMBERGANOV Jamshchid,4,2,"7,12,11,8,11,11|11,10,8,11,9,5",QUAL,WTT_CONTENDER,MS,2484,Qualification,RAITER Erik (KAZ),RAKHIMBERGANOV Jamshchid (UZB),RAITER Erik
