tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,BATIX Ylane,SINDAYIHEBURA Davy,3,0,"11,11,11|4,4,2",,OTHER,MT,2753,Qualification,BATIX Ylane (CMR),SINDAYIHEBURA Davy (BDI),BATIX Ylane
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,EBODE Simon,KABURA Alain,3,2,"6,11,11,11,11|11,8,13,6,2",,OTHER,MT,2753,Qualification,EBODE Simon (CMR),KABURA Alain (BDI),EBODE Simon
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,NYOH OFON Derek,MANIRAMBONA Libere,3,0,"11,13,11|2,11,2",,OTHER,MT,2753,Qualification,NYOH OFON Derek (CMR),MANIRAMBONA Libere (BDI),NYOH OFON Derek
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,IDOWU Saheed,NGEFUASSA Exauce,3,0,"11,11,11|8,2,5",,OTHER,MT,2753,Qualification,IDOWU Saheed (CGO),NGEFUASSA Exauce (COD),IDOWU Saheed
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,KASSA Gedeon,GAUCHY Arxy,3,0,"11,11,11|2,8,3",,OTHER,MT,2753,Qualification,GAUCHY Arxy (CGO),KASSA Gedeon (COD),KASSA Gedeon
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,MBONGIA Christian,TANDO Brijack,3,0,"13,11,11|11,4,3",,OTHER,MT,2753,Qualification,TANDO Brijack (CGO),MBONGIA Christian (COD),MBONGIA Christian
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,IDOWU Saheed,KASSA Gedeon,3,1,"12,13,11,11|10,15,8,9",,OTHER,MT,2753,Qualification,IDOWU Saheed (CGO),KASSA Gedeon (COD),IDOWU Saheed
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,NGEFUASSA Exauce,GAUCHY Arxy,3,2,"8,8,11,11,11|11,11,7,7,3",,OTHER,MT,2753,Qualification,GAUCHY Arxy (CGO),NGEFUASSA Exauce (COD),NGEFUASSA Exauce
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,KAYEMBE Julie,MUNEZERO Marie,3,0,"11,11,11|2,8,3",,OTHER,WT,2753,Qualification,MUNEZERO Marie (BDI),KAYEMBE Julie (COD),KAYEMBE Julie
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,LITOBAKA Ammadine,KANEZA Kevine,3,0,"11,11,11|5,2,2",,OTHER,WT,2753,Qualification,KANEZA Kevine (BDI),LITOBAKA Ammadine (COD),LITOBAKA Ammadine
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,DIALUMONA Muteba Peguy,INGABIRE Ange Belyse,3,0,"0,0,0|0,0,0",,OTHER,WT,2753,Qualification,INGABIRE Ange Belyse (BDI),DIALUMONA Muteba Peguy (COD),DIALUMONA Muteba Peguy
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,MOHAMED Abdoulaye,KASSA Gedeon,3,2,"11,6,12,4,11|5,11,10,11,8",,OTHER,MT,2753,Qualification,KASSA Gedeon (COD),MOHAMED Abdoulaye (CMR),MOHAMED Abdoulaye
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,BATIX Ylane,KASOTA Rabby,3,0,"13,11,11|11,9,6",,OTHER,MT,2753,Qualification,KASOTA Rabby (COD),BATIX Ylane (CMR),BATIX Ylane
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,NGEFUASSA Exauce,NYOH OFON Derek,3,2,"11,11,10,10,13|3,9,12,12,11",,OTHER,MT,2753,Qualification,NGEFUASSA Exauce (COD),NYOH OFON Derek (CMR),NGEFUASSA Exauce
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,BATIX Ylane,KASSA Gedeon,3,1,"11,8,13,11|7,11,11,9",,OTHER,MT,2753,Qualification,KASSA Gedeon (COD),BATIX Ylane (CMR),BATIX Ylane
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,TANDO Brijack,SINDAYIHEBURA Davy,3,0,"11,11,11|6,8,8",,OTHER,MT,2753,Qualification,SINDAYIHEBURA Davy (BDI),TANDO Brijack (CGO),TANDO Brijack
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,IDOWU Saheed,MANIRAMBONA Libere,3,0,"11,11,11|1,5,8",,OTHER,MT,2753,Qualification,MANIRAMBONA Libere (BDI),IDOWU Saheed (CGO),IDOWU Saheed
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,KABURA Alain,GAUCHY Arxy,3,1,"3,11,11,11|11,9,8,6",,OTHER,MT,2753,Qualification,KABURA Alain (BDI),GAUCHY Arxy (CGO),KABURA Alain
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,IDOWU Saheed,SINDAYIHEBURA Davy,3,0,"11,11,11|3,2,2",,OTHER,MT,2753,Qualification,SINDAYIHEBURA Davy (BDI),IDOWU Saheed (CGO),IDOWU Saheed
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,NTUMNYUY Harriet,MUNEZERO Marie,3,0,"11,11,11|8,3,3",,OTHER,WT,2753,Qualification,NTUMNYUY Harriet (CMR),MUNEZERO Marie (BDI),NTUMNYUY Harriet
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,GUIMFACK Saurelle,KANEZA Kevine,3,1,"11,11,9,11|6,2,11,5",,OTHER,WT,2753,Qualification,GUIMFACK Saurelle (CMR),KANEZA Kevine (BDI),GUIMFACK Saurelle
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,TOUOZE Annie,INGABIRE Ange Belyse,3,0,"0,0,0|0,0,0",,OTHER,WT,2753,Qualification,TOUOZE Annie (CMR),INGABIRE Ange Belyse (BDI),TOUOZE Annie
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,NTUMNYUY Harriet,KAYEMBE Julie,3,0,"11,11,11|4,6,7",,OTHER,WT,2753,Qualification,NTUMNYUY Harriet (CMR),KAYEMBE Julie (COD),NTUMNYUY Harriet
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,LITOBAKA Ammadine,TOUOZE Annie,3,1,"11,7,11,11|9,11,8,9",,OTHER,WT,2753,Qualification,TOUOZE Annie (CMR),LITOBAKA Ammadine (COD),LITOBAKA Ammadine
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,GUIMFACK Saurelle,DINANGA Lily,3,0,"11,11,11|7,6,9",,OTHER,WT,2753,Qualification,GUIMFACK Saurelle (CMR),DINANGA Lily (COD),GUIMFACK Saurelle
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,NTUMNYUY Harriet,LITOBAKA Ammadine,3,1,"11,6,11,12|6,11,7,10",,OTHER,WT,2753,Qualification,NTUMNYUY Harriet (CMR),LITOBAKA Ammadine (COD),NTUMNYUY Harriet
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,NYOH OFON Derek,TANDO Brijack,3,0,"11,11,11|4,2,4",,OTHER,MT,2753,Qualification,NYOH OFON Derek (CMR),TANDO Brijack (CGO),NYOH OFON Derek
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,BATIX Ylane,GAUCHY Arxy,3,0,"11,11,11|4,2,3",,OTHER,MT,2753,Qualification,BATIX Ylane (CMR),GAUCHY Arxy (CGO),BATIX Ylane
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,IDOWU Saheed,MOHAMED Abdoulaye,3,0,"11,11,11|5,6,7",,OTHER,MT,2753,Qualification,MOHAMED Abdoulaye (CMR),IDOWU Saheed (CGO),IDOWU Saheed
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,NYOH OFON Derek,GAUCHY Arxy,3,0,"11,11,11|3,6,5",,OTHER,MT,2753,Qualification,NYOH OFON Derek (CMR),GAUCHY Arxy (CGO),NYOH OFON Derek
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,NGEFUASSA Exauce,SINDAYIHEBURA Davy,3,0,"11,11,11|6,3,3",,OTHER,MT,2753,Qualification,NGEFUASSA Exauce (COD),SINDAYIHEBURA Davy (BDI),NGEFUASSA Exauce
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,KASOTA Rabby,KABURA Alain,3,2,"11,8,9,11,11|2,11,11,6,5",,OTHER,MT,2753,Qualification,KASOTA Rabby (COD),KABURA Alain (BDI),KASOTA Rabby
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,KASSA Gedeon,MANIRAMBONA Libere,3,0,"11,11,12|4,2,10",,OTHER,MT,2753,Qualification,KASSA Gedeon (COD),MANIRAMBONA Libere (BDI),KASSA Gedeon
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,MAMBENGA Ruth,DIALUMONA Muteba Peguy,3,1,"11,11,9,11|3,6,11,9",,OTHER,WS,2753,Qualification,MAMBENGA Ruth (COD),DIALUMONA Muteba Peguy (COD),MAMBENGA Ruth
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,DIANDA Gloria,NZANGANI Cyntia,3,1,"11,8,11,11|5,11,8,4",,OTHER,WS,2753,Qualification,NZANGANI Cyntia (COD),DIANDA Gloria (COD),DIANDA Gloria
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,LITOBAKA Ammadine,KAYEMBE Julie,3,0,"11,11,11|6,6,8",,OTHER,WS,2753,Qualification,LITOBAKA Ammadine (COD),KAYEMBE Julie (COD),LITOBAKA Ammadine
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,TOUOZE Annie,DJAGANA Guynehe,3,1,"11,11,9,11|1,4,11,5",,OTHER,WS,2753,Qualification,DJAGANA Guynehe (CGO),TOUOZE Annie (CMR),TOUOZE Annie
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,DINANGA Lily,ILUNGA Kabedi Terfile,3,0,"11,11,13|8,6,11",,OTHER,WS,2753,Qualification,DINANGA Lily (COD),ILUNGA Kabedi Terfile (COD),DINANGA Lily
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,NYOH OFON Derek,MBONGIA Christian,3,0,"11,11,11|6,3,9",,OTHER,MS,2753,Qualification,NYOH OFON Derek (CMR),MBONGIA Christian (COD),NYOH OFON Derek
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,BATIX Ylane,PENA Chelvy,3,0,"11,11,11|3,7,6",,OTHER,MS,2753,Qualification,BATIX Ylane (CMR),PENA Chelvy (CGO),BATIX Ylane
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,NGEFUASSA Exauce,MANIRAMBONA Libere,3,0,"11,11,11|5,3,4",,OTHER,MS,2753,Qualification,NGEFUASSA Exauce (COD),MANIRAMBONA Libere (BDI),NGEFUASSA Exauce
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,MINGASHANGA Bertin,KABURA Alain,3,0,"11,11,11|6,5,3",,OTHER,MS,2753,Qualification,KABURA Alain (BDI),MINGASHANGA Bertin (COD),MINGASHANGA Bertin
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,IDOWU Saheed,AHMED NENBA Yaoussou,3,0,"12,16,11|10,14,4",,OTHER,MS,2753,Qualification,IDOWU Saheed (CGO),AHMED NENBA Yaoussou (CMR),IDOWU Saheed
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,KASOTA Rabby,MUABI Isaac,3,0,"13,11,11|11,6,9",,OTHER,MS,2753,Qualification,KASOTA Rabby (COD),MUABI Isaac (COD),KASOTA Rabby
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,KASSA Gedeon,MUTSHU Neredi Bovoyi,3,0,"11,11,11|9,8,7",,OTHER,MS,2753,Qualification,KASSA Gedeon (COD),MUTSHU Neredi Bovoyi (COD),KASSA Gedeon
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,MOHAMED Abdoulaye,GAUCHY Arxy,3,0,"12,11,11|10,4,7",,OTHER,MS,2753,Qualification,GAUCHY Arxy (CGO),MOHAMED Abdoulaye (CMR),MOHAMED Abdoulaye
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,NTUMNYUY Harriet,MAMBENGA Ruth,3,1,"11,12,7,11|7,10,11,9",,OTHER,WS,2753,Qualification,MAMBENGA Ruth (COD),NTUMNYUY Harriet (CMR),NTUMNYUY Harriet
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,MUNEZERO Marie,NZANGANI Cyntia,3,2,"5,11,7,11,11|11,8,11,9,7",,OTHER,WS,2753,Qualification,NZANGANI Cyntia (COD),MUNEZERO Marie (BDI),MUNEZERO Marie
WTTC 2024 Central Africa Regional Qualifications,2023-05-10,GUIMFACK Saurelle,KAYEMBE Julie,3,2,"13,7,7,11,11|11,11,11,5,5",,OTHER,WS,2753,Qualification,KAYEMBE Julie (COD),GUIMFACK Saurelle (CMR),GUIMFACK Saurelle
