tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,AKULA Sreeja,NIKITCHANKA Alina,3,0,"11,11,12|3,2,10",R32,OLYMPICS,U21WS,889,Main Draw,NIKITCHANKA Alina (BLR),AKULA Sreeja (IND),AKULA Sreeja
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,KIM Youjin,WAN Yuan,3,0,"11,11,11|9,2,8",R32,OLYMPICS,U21WS,889,Main Draw,KIM Youjin (KOR),WAN Yuan (GER),KIM Youjin
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,CHO Seungmin,DEVOS Laurens,3,0,"11,11,11|8,9,8",R32,OLYMPICS,U21MS,889,Main Draw,DEVOS Laurens (BEL),CHO Seungmin (KOR),CHO Seungmin
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,SONE Kakeru,AFANADOR Brian,3,2,"15,8,11,8,11|13,11,6,11,8",R32,OLYMPICS,U21MS,889,Main Draw,AFANADOR Brian (PUR),SONE Kakeru (JPN),SONE Kakeru
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,BHANJA Ronit,KHANIN Aleksandr,3,2,"11,5,11,13,11|5,11,8,15,8",R32,OLYMPICS,U21MS,889,Main Draw,KHANIN Aleksandr (BLR),BHANJA Ronit (IND),BHANJA Ronit
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,TANAKA Yuta,KULCZYCKI Samuel,3,1,"10,11,11,11|12,7,5,7",R32,OLYMPICS,U21MS,889,Main Draw,KULCZYCKI Samuel (POL),TANAKA Yuta (JPN),TANAKA Yuta
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,ENGEMANN Gerrit,FENG Yi-Hsin,3,2,"5,8,11,11,11|11,11,4,5,8",R32,OLYMPICS,U21MS,889,Main Draw,FENG Yi-Hsin (TPE),ENGEMANN Gerrit (GER),ENGEMANN Gerrit
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,NG Pak Nam,HELMY Mahmoud,3,1,"11,11,8,11|4,7,11,7",R32,OLYMPICS,U21MS,889,Main Draw,NG Pak Nam (HKG),HELMY Mahmoud (EGY),NG Pak Nam
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,SIPOS Rares,PICCOLIN Jordy,3,1,"11,11,9,11|8,6,11,4",R32,OLYMPICS,U21MS,889,Main Draw,SIPOS Rares (ROU),PICCOLIN Jordy (ITA),SIPOS Rares
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,MAJOROS Bence,IVONIN Denis,3,2,"9,7,11,11,11|11,11,9,8,4",R32,OLYMPICS,U21MS,889,Main Draw,MAJOROS Bence (HUN),IVONIN Denis (RUS),MAJOROS Bence
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,ASAZU Aoto,BERGLUND Simon,3,2,"11,12,10,8,11|3,10,12,11,9",R32,OLYMPICS,U21MS,889,Main Draw,ASAZU Aoto (JPN),BERGLUND Simon (SWE),ASAZU Aoto
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,MENG Fanbo,TIO Nicholas,3,1,"11,11,7,12|6,9,11,10",R32,OLYMPICS,U21MS,889,Main Draw,MENG Fanbo (GER),TIO Nicholas (USA),MENG Fanbo
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,LIND Anders,KLEIN Dennis,3,1,"11,11,11,11|9,9,13,6",R32,OLYMPICS,U21MS,889,Main Draw,KLEIN Dennis (GER),LIND Anders (DEN),LIND Anders
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,THAKKAR Manav,MARTINKO Jiri,3,1,"11,11,8,11|3,4,11,4",R32,OLYMPICS,U21MS,889,Main Draw,THAKKAR Manav (IND),MARTINKO Jiri (CZE),THAKKAR Manav
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,TOGAMI Shunsuke,GRININGER Thomas,3,0,"11,11,11|3,9,7",R32,OLYMPICS,U21MS,889,Main Draw,TOGAMI Shunsuke (JPN),GRININGER Thomas (AUT),TOGAMI Shunsuke
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,HIPPLER Tobias,CABALLERO Carlos,3,2,"11,6,11,9,11|7,11,5,11,9",R32,OLYMPICS,U21MS,889,Main Draw,CABALLERO Carlos (ESP),HIPPLER Tobias (GER),HIPPLER Tobias
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,AN Jaehyun,LEVENKO Andreas,3,1,"11,8,11,13|1,11,3,11",R32,OLYMPICS,U21MS,889,Main Draw,AN Jaehyun (KOR),LEVENKO Andreas (AUT),AN Jaehyun
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,PUTUNTICA Andrei,LI Hsin-Yang,3,1,"10,11,13,11|12,4,11,5",R32,OLYMPICS,U21MS,889,Main Draw,LI Hsin-Yang (TPE),PUTUNTICA Andrei (MDA),PUTUNTICA Andrei
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,GUO Xinyi,POTA Georgina,4,1,"11,13,11,8,13|8,11,3,11,11",R32,OLYMPICS,WS,889,Main Draw,GUO Xinyi (CHN),POTA Georgina (HUN),GUO Xinyi
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,SHIBATA Saki,SOLJA Amelie,4,0,"11,11,11,11|5,9,6,6",R32,OLYMPICS,WS,889,Main Draw,SHIBATA Saki (JPN),SOLJA Amelie (AUT),SHIBATA Saki
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,NAGASAKI Miyu,BERGAND Filippa,4,0,"11,11,13,11|6,8,11,7",R32,OLYMPICS,WS,889,Main Draw,BERGAND Filippa (SWE),NAGASAKI Miyu (JPN),NAGASAKI Miyu
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,DE NUTTE Sarah,CAREY Charlotte,4,0,"11,11,13,11|8,6,11,7",R32,OLYMPICS,WS,889,Main Draw,DE NUTTE Sarah (LUX),CAREY Charlotte (WAL),DE NUTTE Sarah
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,HASHIMOTO Honoka,GUI Lin,4,0,"11,11,11,11|4,7,4,6",R32,OLYMPICS,WS,889,Main Draw,HASHIMOTO Honoka (JPN),GUI Lin (BRA),HASHIMOTO Honoka
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,ZHU Chengzhu,CECHOVA Dana,4,3,"12,9,11,9,8,11,11|10,11,4,11,11,8,2",R32,OLYMPICS,WS,889,Main Draw,CECHOVA Dana (CZE),ZHU Chengzhu (HKG),ZHU Chengzhu
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,MADARASZ Dora,VARADY Barbora,4,2,"11,11,8,11,10,11|7,5,11,8,12,9",R32,OLYMPICS,WS,889,Main Draw,VARADY Barbora (SVK),MADARASZ Dora (HUN),MADARASZ Dora
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,MUKHERJEE Ayhika,MORET Rachel,4,3,"10,11,4,12,7,11,11|12,2,11,10,11,7,8",R32,OLYMPICS,WS,889,Main Draw,MUKHERJEE Ayhika (IND),MORET Rachel (SUI),MUKHERJEE Ayhika
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,ZARIF Audrey,PICCOLIN Giorgia,4,0,"11,11,11,11|5,8,9,8",R32,OLYMPICS,WS,889,Main Draw,PICCOLIN Giorgia (ITA),ZARIF Audrey (FRA),ZARIF Audrey
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,KIM Youjin,BAJOR Natalia,4,1,"11,12,14,11,11|6,14,12,7,7",R32,OLYMPICS,WS,889,Main Draw,KIM Youjin (KOR),BAJOR Natalia (POL),KIM Youjin
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,YANG Xiaoxin,BATRA Manika,4,2,"11,11,11,12,7,12|6,3,5,14,11,10",R32,OLYMPICS,WS,889,Main Draw,YANG Xiaoxin (MON),BATRA Manika (IND),YANG Xiaoxin
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,MESHREF Dina,COLANTONI Chiara,4,2,"11,11,11,4,9,11|7,8,5,11,11,5",R32,OLYMPICS,WS,889,Main Draw,COLANTONI Chiara (ITA),MESHREF Dina (EGY),MESHREF Dina
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,SHIN Yubin,LOEUILLETTE Stephanie,4,2,"10,11,12,11,9,12|12,2,10,2,11,10",R32,OLYMPICS,WS,889,Main Draw,SHIN Yubin (KOR),LOEUILLETTE Stephanie (FRA),SHIN Yubin
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,EKHOLM Matilda,GALIC Alex,4,3,"14,10,3,12,7,16,11|12,12,11,10,11,14,2",R32,OLYMPICS,WS,889,Main Draw,GALIC Alex (SLO),EKHOLM Matilda (SWE),EKHOLM Matilda
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,NI Xia Lian,GASNIER Laura,4,2,"11,12,10,11,11,11|4,14,12,6,4,9",R32,OLYMPICS,WS,889,Main Draw,NI Xia Lian (LUX),GASNIER Laura (FRA),NI Xia Lian
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,MITTELHAM Nina,BERGSTROM Linda,4,1,"11,10,12,11,11|8,12,10,8,8",R32,OLYMPICS,WS,889,Main Draw,BERGSTROM Linda (SWE),MITTELHAM Nina (GER),MITTELHAM Nina
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,PARK Ganghyeon,ASSAR Omar,4,3,"13,10,5,12,11,11,11|11,12,11,14,8,8,7",R32,OLYMPICS,MS,889,Main Draw,ASSAR Omar (EGY),PARK Ganghyeon (KOR),PARK Ganghyeon
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,DE NODREST Leo,DEVOS Robin,4,2,"11,11,6,11,9,11|6,6,11,3,11,3",R32,OLYMPICS,MS,889,Main Draw,DEVOS Robin (BEL),DE NODREST Leo (FRA),DE NODREST Leo
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,WALKER Samuel,TANAKA Yuta,4,0,"11,11,11,12|6,4,9,10",R32,OLYMPICS,MS,889,Main Draw,TANAKA Yuta (JPN),WALKER Samuel (ENG),WALKER Samuel
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,JORGIC Darko,PLATONOV Pavel,4,0,"11,11,11,11|9,8,8,4",R32,OLYMPICS,MS,889,Main Draw,PLATONOV Pavel (BLR),JORGIC Darko (SLO),JORGIC Darko
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,QIU Dang,MINO Alberto,4,2,"10,11,10,11,11,11|12,8,12,8,6,5",R32,OLYMPICS,MS,889,Main Draw,QIU Dang (GER),MINO Alberto (ECU),QIU Dang
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,MADRID Marcos,LEVENKO Andreas,4,1,"11,10,11,11,11|7,12,7,8,5",R32,OLYMPICS,MS,889,Main Draw,MADRID Marcos (MEX),LEVENKO Andreas (AUT),MADRID Marcos
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,SU Zhi,AGUIRRE Marcelo,4,3,"5,6,11,11,11,9,11|11,11,6,7,9,11,6",R32,OLYMPICS,MS,889,Main Draw,SU Zhi (HKG),AGUIRRE Marcelo (PAR),SU Zhi
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,LIND Anders,LAMADRID Juan,4,0,"11,16,11,13|5,14,4,11",R32,OLYMPICS,MS,889,Main Draw,LAMADRID Juan (CHI),LIND Anders (DEN),LIND Anders
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,NUYTINCK Cedric,WISUTMAYTHANGKOON Supanut,4,2,"11,9,8,11,11,11|6,11,11,4,7,4",R32,OLYMPICS,MS,889,Main Draw,WISUTMAYTHANGKOON Supanut (THA),NUYTINCK Cedric (BEL),NUYTINCK Cedric
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,UDA Yukiya,ALAMIAN Nima,4,0,"11,11,11,11|8,4,6,8",R32,OLYMPICS,MS,889,Main Draw,ALAMIAN Nima (IRI),UDA Yukiya (JPN),UDA Yukiya
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,ENGEMANN Gerrit,LAMBIET Florent,4,3,"11,4,11,11,6,5,12|8,11,9,6,11,11,10",R32,OLYMPICS,MS,889,Main Draw,LAMBIET Florent (BEL),ENGEMANN Gerrit (GER),ENGEMANN Gerrit
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,ISHIY Vitor,DUDA Benedikt,4,3,"7,13,12,6,11,11,11|11,11,14,11,9,9,6",R32,OLYMPICS,MS,889,Main Draw,DUDA Benedikt (GER),ISHIY Vitor (BRA),ISHIY Vitor
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,AN Jaehyun,JOUTI Eric,4,1,"12,4,11,11,11|10,11,6,6,6",R32,OLYMPICS,MS,889,Main Draw,AN Jaehyun (KOR),JOUTI Eric (BRA),AN Jaehyun
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,CHO Seungmin,AFANADOR Brian,4,2,"11,9,11,11,2,11|8,11,7,4,11,3",R32,OLYMPICS,MS,889,Main Draw,CHO Seungmin (KOR),AFANADOR Brian (PUR),CHO Seungmin
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,KASHIWA Takeru,BAGGALEY Andrew,4,3,"11,11,11,8,9,8,11|4,9,7,11,11,11,8",R32,OLYMPICS,MS,889,Main Draw,BAGGALEY Andrew (ENG),KASHIWA Takeru (JPN),KASHIWA Takeru
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,LI Hsin-Yang,SEYFRIED Joe,4,1,"11,11,4,11,11|9,4,11,9,9",R32,OLYMPICS,MS,889,Main Draw,SEYFRIED Joe (FRA),LI Hsin-Yang (TPE),LI Hsin-Yang
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,NAGASAKI Miyu,DEGRAEF Margo,3,2,"11,9,11,7,11|9,11,4,11,7",R16,OLYMPICS,U21WS,889,Main Draw,NAGASAKI Miyu (JPN),DEGRAEF Margo (BEL),NAGASAKI Miyu
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,ZHU Chengzhu,MIGOT Marie,3,1,"13,11,6,11|11,5,11,6",R16,OLYMPICS,U21WS,889,Main Draw,MIGOT Marie (FRA),ZHU Chengzhu (HKG),ZHU Chengzhu
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,SHIN Yubin,MAK Tze Wing,3,0,"11,11,11|8,8,8",R16,OLYMPICS,U21WS,889,Main Draw,SHIN Yubin (KOR),MAK Tze Wing (HKG),SHIN Yubin
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,KUO Chia-Yun,LIN Chia-Hsuan,3,1,"11,7,11,12|8,11,7,10",R16,OLYMPICS,U21WS,889,Main Draw,KUO Chia-Yun (TPE),LIN Chia-Hsuan (TPE),KUO Chia-Yun
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,GUO Xinyi,BERGAND Filippa,3,0,"11,11,11|5,3,3",R16,OLYMPICS,U21WS,889,Main Draw,GUO Xinyi (CHN),BERGAND Filippa (SWE),GUO Xinyi
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,KIM Youjin,AKULA Sreeja,3,0,"11,12,11|2,10,6",R16,OLYMPICS,U21WS,889,Main Draw,AKULA Sreeja (IND),KIM Youjin (KOR),KIM Youjin
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,MUKHERJEE Ayhika,ZARIF Audrey,3,0,"11,11,11|7,7,6",R16,OLYMPICS,U21WS,889,Main Draw,MUKHERJEE Ayhika (IND),ZARIF Audrey (FRA),MUKHERJEE Ayhika
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,ODO Satsuki,SEVCIKOVA Marketa,3,0,"11,11,11|2,6,6",R16,OLYMPICS,U21WS,889,Main Draw,SEVCIKOVA Marketa (CZE),ODO Satsuki (JPN),ODO Satsuki
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,NG Pak Nam,THAKKAR Manav,3,1,"6,11,12,11|11,4,10,1",R16,OLYMPICS,U21MS,889,Main Draw,NG Pak Nam (HKG),THAKKAR Manav (IND),NG Pak Nam
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,SIPOS Rares,ENGEMANN Gerrit,3,0,"11,11,11|7,7,7",R16,OLYMPICS,U21MS,889,Main Draw,SIPOS Rares (ROU),ENGEMANN Gerrit (GER),SIPOS Rares
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,LIND Anders,ASAZU Aoto,3,0,"11,11,11|6,9,4",R16,OLYMPICS,U21MS,889,Main Draw,ASAZU Aoto (JPN),LIND Anders (DEN),LIND Anders
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,TOGAMI Shunsuke,HIPPLER Tobias,3,1,"12,7,11,11|10,11,5,8",R16,OLYMPICS,U21MS,889,Main Draw,TOGAMI Shunsuke (JPN),HIPPLER Tobias (GER),TOGAMI Shunsuke
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,AN Jaehyun,MENG Fanbo,3,0,"11,11,12|4,8,10",R16,OLYMPICS,U21MS,889,Main Draw,MENG Fanbo (GER),AN Jaehyun (KOR),AN Jaehyun
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,PUTUNTICA Andrei,MAJOROS Bence,3,0,"11,11,11|3,7,4",R16,OLYMPICS,U21MS,889,Main Draw,MAJOROS Bence (HUN),PUTUNTICA Andrei (MDA),PUTUNTICA Andrei
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,TANAKA Yuta,BHANJA Ronit,3,1,"12,11,7,11|10,5,11,8",R16,OLYMPICS,U21MS,889,Main Draw,BHANJA Ronit (IND),TANAKA Yuta (JPN),TANAKA Yuta
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,SONE Kakeru,CHO Seungmin,3,1,"11,11,10,13|6,9,12,11",R16,OLYMPICS,U21MS,889,Main Draw,SONE Kakeru (JPN),CHO Seungmin (KOR),SONE Kakeru
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,SIPOS Rares,AN Jaehyun,3,0,"11,11,11|8,4,9",QF,OLYMPICS,U21MS,889,Main Draw,SIPOS Rares (ROU),AN Jaehyun (KOR),SIPOS Rares
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,NAGASAKI Miyu,KUO Chia-Yun,3,0,"11,11,11|5,8,7",QF,OLYMPICS,U21WS,889,Main Draw,NAGASAKI Miyu (JPN),KUO Chia-Yun (TPE),NAGASAKI Miyu
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,TOGAMI Shunsuke,NG Pak Nam,3,1,"7,11,11,11|11,3,6,3",QF,OLYMPICS,U21MS,889,Main Draw,NG Pak Nam (HKG),TOGAMI Shunsuke (JPN),TOGAMI Shunsuke
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,MUKHERJEE Ayhika,ODO Satsuki,3,1,"11,11,4,11|9,9,11,4",QF,OLYMPICS,U21WS,889,Main Draw,MUKHERJEE Ayhika (IND),ODO Satsuki (JPN),MUKHERJEE Ayhika
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,PUTUNTICA Andrei,LIND Anders,3,1,"11,12,11,13|7,14,9,11",QF,OLYMPICS,U21MS,889,Main Draw,PUTUNTICA Andrei (MDA),LIND Anders (DEN),PUTUNTICA Andrei
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,KIM Youjin,GUO Xinyi,3,0,"11,11,11|6,7,9",QF,OLYMPICS,U21WS,889,Main Draw,GUO Xinyi (CHN),KIM Youjin (KOR),KIM Youjin
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,SONE Kakeru,TANAKA Yuta,3,0,"11,11,11|3,3,1",QF,OLYMPICS,U21MS,889,Main Draw,TANAKA Yuta (JPN),SONE Kakeru (JPN),SONE Kakeru
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,ZHU Chengzhu,SHIN Yubin,3,0,"11,11,14|6,4,12",QF,OLYMPICS,U21WS,889,Main Draw,SHIN Yubin (KOR),ZHU Chengzhu (HKG),ZHU Chengzhu
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,CECHOVA Dana/EERLAND Britt,DEGRAEF Margo/LUNG Lisa,3,1,"8,11,11,11|11,8,5,4",R16,OLYMPICS,WD,889,Main Draw,CECHOVA Dana (CZE) / EERLAND Britt (NED),DEGRAEF Margo (BEL) / LUNG Lisa (BEL),CECHOVA Dana
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,EKHOLM Matilda/POTA Georgina,GU Tingting/MA Ruijia,3,0,"11,11,12|4,8,10",R16,OLYMPICS,WD,889,Main Draw,EKHOLM Matilda (SWE) / POTA Georgina (HUN),GU Tingting (CHN) / MA Ruijia (CHN),EKHOLM Matilda
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,DE NUTTE Sarah/NI Xia Lian,CHASSELIN Pauline/MIGOT Marie,3,0,"12,11,11|10,5,3",R16,OLYMPICS,WD,889,Main Draw,DE NUTTE Sarah (LUX) / NI Xia Lian (LUX),CHASSELIN Pauline (FRA) / MIGOT Marie (FRA),DE NUTTE Sarah
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,GASNIER Laura/ZARIF Audrey,GALIC Alex/MORET Rachel,3,1,"12,8,11,11|10,11,6,5",R16,OLYMPICS,WD,889,Main Draw,GASNIER Laura (FRA) / ZARIF Audrey (FRA),GALIC Alex (SLO) / MORET Rachel (SUI),GASNIER Laura
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,ODO Satsuki/SHIBATA Saki,JEGER Mateja/SUN Jiayi,3,0,"12,11,11|10,7,6",R16,OLYMPICS,WD,889,Main Draw,ODO Satsuki (JPN) / SHIBATA Saki (JPN),JEGER Mateja (CRO) / SUN Jiayi (CRO),ODO Satsuki
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,BATRA Manika/KAMATH Archana,LI Ching Wan/ZHU Chengzhu,3,1,"11,11,8,11|9,7,11,5",R16,OLYMPICS,WD,889,Main Draw,BATRA Manika (IND) / KAMATH Archana (IND),LI Ching Wan (HKG) / ZHU Chengzhu (HKG),BATRA Manika
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,BALINT Bernadett/MADARASZ Dora,MORALES Judith/VEGA Paulina,3,1,"11,8,11,11|7,11,8,4",R16,OLYMPICS,WD,889,Main Draw,BALINT Bernadett (HUN) / MADARASZ Dora (HUN),MORALES Judith (CHI) / VEGA Paulina (CHI),BALINT Bernadett
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,MISCHEK-COLUCCI Karoline/SOLJA Amelie,GUISNEL Oceane/LOEUILLETTE Stephanie,3,0,"11,11,13|6,5,11",R16,OLYMPICS,WD,889,Main Draw,MISCHEK-COLUCCI Karoline (AUT) / SOLJA Amelie (AUT),GUISNEL Oceane (FRA) / LOEUILLETTE Stephanie (FRA),MISCHEK-COLUCCI Karoline
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,DEVOS Robin/NUYTINCK Cedric,ARVIDSSON Simon/RANEFUR Elias,3,1,"11,11,10,11|9,5,12,9",R16,OLYMPICS,MD,889,Main Draw,DEVOS Robin (BEL) / NUYTINCK Cedric (BEL),ARVIDSSON Simon (SWE) / RANEFUR Elias (SWE),DEVOS Robin
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,DUDA Benedikt/QIU Dang,NG Pak Nam/SU Zhi,3,0,"11,11,11|7,9,6",R16,OLYMPICS,MD,889,Main Draw,DUDA Benedikt (GER) / QIU Dang (GER),NG Pak Nam (HKG) / SU Zhi (HKG),DUDA Benedikt
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,AGUIRRE Marcelo/MADRID Marcos,ECSEKI Nandor/SIPOS Rares,3,0,"11,11,11|8,7,6",R16,OLYMPICS,MD,889,Main Draw,AGUIRRE Marcelo (PAR) / MADRID Marcos (MEX),ECSEKI Nandor (HUN) / SIPOS Rares (ROU),AGUIRRE Marcelo
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,ISHIY Vitor/JOUTI Eric,OLAVE Alfonso/OLIVARES Felipe,3,1,"8,11,11,11|11,9,8,5",R16,OLYMPICS,MD,889,Main Draw,ISHIY Vitor (BRA) / JOUTI Eric (BRA),OLAVE Alfonso (CHI) / OLIVARES Felipe (CHI),ISHIY Vitor
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,SONE Kakeru/TANAKA Yuta,ELBEIALI Mohamed/SALEH Ahmed,3,0,,R16,OLYMPICS,MD,889,Main Draw,SONE Kakeru (JPN) / TANAKA Yuta (JPN),ELBEIALI Mohamed (EGY) / SALEH Ahmed (EGY),SONE Kakeru
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,ANTHONY Amalraj/SHETTY Sanil,DEVOS Laurens/KOSOLOSKY Olav,3,1,"10,15,11,11|12,13,9,6",R16,OLYMPICS,MD,889,Main Draw,ANTHONY Amalraj (IND) / SHETTY Sanil (IND),DEVOS Laurens (BEL) / KOSOLOSKY Olav (BEL),ANTHONY Amalraj
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,BERGLUND Simon/BRODD Viktor,KHANIN Aleksandr/PLATONOV Pavel,3,2,"11,11,12,9,11|4,13,10,11,7",R16,OLYMPICS,MD,889,Main Draw,BERGLUND Simon (SWE) / BRODD Viktor (SWE),KHANIN Aleksandr (BLR) / PLATONOV Pavel (BLR),BERGLUND Simon
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,AN Jaehyun/CHO Seungmin,ALLEGRO Martin/LAMBIET Florent,3,2,"9,9,11,11,11|11,11,6,5,7",R16,OLYMPICS,MD,889,Main Draw,AN Jaehyun (KOR) / CHO Seungmin (KOR),ALLEGRO Martin (BEL) / LAMBIET Florent (BEL),AN Jaehyun
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,KIM Youjin,NAGASAKI Miyu,3,2,"11,3,11,4,11|8,11,4,11,7",SF,OLYMPICS,U21WS,889,Main Draw,NAGASAKI Miyu (JPN),KIM Youjin (KOR),KIM Youjin
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,MUKHERJEE Ayhika,ZHU Chengzhu,3,1,"6,11,11,11|11,3,7,8",SF,OLYMPICS,U21WS,889,Main Draw,ZHU Chengzhu (HKG),MUKHERJEE Ayhika (IND),MUKHERJEE Ayhika
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,PUTUNTICA Andrei,SONE Kakeru,3,1,"11,6,16,11|4,11,14,8",SF,OLYMPICS,U21MS,889,Main Draw,PUTUNTICA Andrei (MDA),SONE Kakeru (JPN),PUTUNTICA Andrei
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,TOGAMI Shunsuke,SIPOS Rares,3,0,"11,11,11|7,5,8",SF,OLYMPICS,U21MS,889,Main Draw,TOGAMI Shunsuke (JPN),SIPOS Rares (ROU),TOGAMI Shunsuke
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,HASHIMOTO Honoka,ZARIF Audrey,4,0,"11,11,11,11|3,7,6,2",R16,OLYMPICS,WS,889,Main Draw,HASHIMOTO Honoka (JPN),ZARIF Audrey (FRA),HASHIMOTO Honoka
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,SHIBATA Saki,ZHU Chengzhu,4,2,"11,9,10,11,11,11|9,11,12,9,8,9",R16,OLYMPICS,WS,889,Main Draw,SHIBATA Saki (JPN),ZHU Chengzhu (HKG),SHIBATA Saki
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,SHIN Yubin,EKHOLM Matilda,4,3,"10,5,11,11,9,11,11|12,11,8,9,11,4,9",R16,OLYMPICS,WS,889,Main Draw,SHIN Yubin (KOR),EKHOLM Matilda (SWE),SHIN Yubin
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,MUKHERJEE Ayhika,MESHREF Dina,4,1,"11,11,11,7,11|9,7,7,11,8",R16,OLYMPICS,WS,889,Main Draw,MUKHERJEE Ayhika (IND),MESHREF Dina (EGY),MUKHERJEE Ayhika
