tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF-Americas North American Championships San Francisco 2026,2026-02-02,CHEN Hildy,KE Tiffany,4,3,"9,11,8,12,7,12,11|11,7,11,10,11,10,8",R16,OTHER,WS,3470,Main Draw,CHEN Hildy (USA),KE Tiffany (USA)
ITTF-Americas North American Championships San Francisco 2026,2026-02-02,LY Edward,NOORANI Kef,4,2,"11,6,11,11,9,11|1,11,3,5,11,8",QF,OTHER,MS,3470,Main Draw,LY Edward (CAN),NOORANI Kef (USA)
ITTF-Americas North American Championships San Francisco 2026,2026-02-02,LIANG Jishan,LEBAKA Nishant,4,0,"11,11,11,11|5,5,9,8",QF,OTHER,MS,3470,Main Draw,LIANG Jishan (USA),LEBAKA Nishant (USA)
ITTF-Americas North American Championships San Francisco 2026,2026-02-02,NARESH Nandan,JUTRAS-VIGNEAULT Laurent,4,1,"13,11,11,10,11|11,8,7,12,4",QF,OTHER,MS,3470,Main Draw,NARESH Nandan (USA),JUTRAS-VIGNEAULT Laurent (CAN)
ITTF-Americas North American Championships San Francisco 2026,2026-02-02,SHETH Ved,GUPTA Anav,4,2,"11,11,8,4,11,11|4,3,11,11,8,8",QF,OTHER,MS,3470,Main Draw,SHETH Ved (USA),GUPTA Anav (USA)
ITTF-Americas North American Championships San Francisco 2026,2026-02-02,REYES LAI Jessica,ASPATHI Satya,4,3,"10,8,11,11,11,8,11|12,11,7,5,8,11,2",QF,OTHER,WS,3470,Main Draw,REYES LAI Jessica (USA),ASPATHI Satya (USA)
ITTF-Americas North American Championships San Francisco 2026,2026-02-02,WANG Ke,ZHANG Mo,4,0,"11,11,11,11|0,0,0,0",QF,OTHER,WS,3470,Main Draw,WANG Ke (USA),ZHANG Mo (CAN)
ITTF-Americas North American Championships San Francisco 2026,2026-02-02,MOYLAND Sally,HUANG Olivia,4,0,"12,11,11,11|10,8,2,6",QF,OTHER,WS,3470,Main Draw,MOYLAND Sally (USA),HUANG Olivia (CAN)
ITTF-Americas North American Championships San Francisco 2026,2026-02-02,YEOH Irene,CHEN Hildy,4,1,"9,12,11,11,11|11,10,7,8,8",QF,OTHER,WS,3470,Main Draw,YEOH Irene (USA),CHEN Hildy (USA)
ITTF-Americas North American Championships San Francisco 2026,2026-02-02,KUMAR Nikhil,BOTHA Bosman,3,1,"11,11,7,14|9,8,11,12",SF,OTHER,MD,3470,Main Draw,KUMAR Nikhil (USA),BOTHA Bosman (USA)
ITTF-Americas North American Championships San Francisco 2026,2026-02-02,JUTRAS-VIGNEAULT Laurent,SHETH Ved,3,2,"8,8,11,11,13|11,11,8,9,11",SF,OTHER,MD,3470,Main Draw,JUTRAS-VIGNEAULT Laurent (CAN),SHETH Ved (USA)
ITTF-Americas North American Championships San Francisco 2026,2026-02-02,REYES LAI Jessica,WANG Ke,4,3,"11,11,8,11,9,9,11|4,7,11,8,11,11,6",SF,OTHER,WS,3470,Main Draw,REYES LAI Jessica (USA),WANG Ke (USA)
ITTF-Americas North American Championships San Francisco 2026,2026-02-02,MOYLAND Sally,YEOH Irene,4,1,"11,11,9,11,11|9,6,11,2,5",SF,OTHER,WS,3470,Main Draw,MOYLAND Sally (USA),YEOH Irene (USA)
ITTF-Americas North American Championships San Francisco 2026,2026-02-02,NARESH Nandan,SHETH Ved,4,3,"9,7,10,11,11,11,11|11,11,12,9,8,5,7",SF,OTHER,MS,3470,Main Draw,NARESH Nandan (USA),SHETH Ved (USA)
ITTF-Americas North American Championships San Francisco 2026,2026-02-02,JUTRAS-VIGNEAULT Laurent,KUMAR Nikhil,3,1,"11,11,15,11|13,5,13,3",F,OTHER,MD,3470,Main Draw,JUTRAS-VIGNEAULT Laurent (CAN),KUMAR Nikhil (USA)
ITTF-Americas North American Championships San Francisco 2026,2026-02-02,MOYLAND Sally,REYES LAI Jessica,4,1,"11,5,14,11,11|4,11,12,6,6",F,OTHER,WS,3470,Main Draw,MOYLAND Sally (USA),REYES LAI Jessica (USA)
ITTF-Americas North American Championships San Francisco 2026,2026-02-02,LY Edward,NARESH Nandan,4,2,"13,11,10,11,11,11|15,6,12,7,6,2",F,OTHER,MS,3470,Main Draw,LY Edward (CAN),NARESH Nandan (USA)
