tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Men's and Women's World Cup Hangzhou 2004,2004-10-27,WANG Hao,SAMSONOV Vladimir,4,3,"9,11,5,16,11,9,12|11,8,11,14,6,11,10",QR2,WORLD_CUP,MS,1707,Qualification,WANG Hao (CHN),SAMSONOV Vladimir (BLR),WANG Hao
Men's and Women's World Cup Hangzhou 2004,2004-10-27,KREANGA Kalinikos,HUANG Johnny,4,1,"11,11,5,11,11|9,5,11,8,5",QR2,WORLD_CUP,MS,1707,Qualification,KREANGA Kalinikos (GRE),HUANG Johnny (CAN),KREANGA Kalinikos
Men's and Women's World Cup Hangzhou 2004,2004-10-27,MONTEIRO Thiago,RYU Seungmin,4,3,"5,10,11,11,8,11,11|11,12,8,6,11,8,8",3,WORLD_CUP,MS,1707,Qualification,MONTEIRO Thiago (BRA),RYU Seungmin (KOR),MONTEIRO Thiago
Men's and Women's World Cup Hangzhou 2004,2004-10-27,SCHLAGER Werner,WALDNER Jan-Ove,4,1,"11,9,11,11,11|7,11,8,8,5",3,WORLD_CUP,MS,1707,Qualification,SCHLAGER Werner (AUT),WALDNER Jan-Ove (SWE),SCHLAGER Werner
Men's and Women's World Cup Hangzhou 2004,2004-10-27,RYU Seungmin,WALDNER Jan-Ove,4,3,"11,11,10,11,11,8,11|7,9,12,9,13,11,9",1,WORLD_CUP,MS,1707,Qualification,RYU Seungmin (KOR),WALDNER Jan-Ove (SWE),RYU Seungmin
Men's and Women's World Cup Hangzhou 2004,2004-10-27,SCHLAGER Werner,MONTEIRO Thiago,4,0,"11,11,11,11|4,5,8,8",,WORLD_CUP,MS,1707,Qualification,SCHLAGER Werner (AUT),MONTEIRO Thiago (BRA),SCHLAGER Werner
Men's and Women's World Cup Hangzhou 2004,2004-10-27,SCHLAGER Werner,RYU Seungmin,4,2,"12,9,11,11,7,11|10,11,5,6,11,5",QR2,WORLD_CUP,MS,1707,Qualification,SCHLAGER Werner (AUT),RYU Seungmin (KOR),SCHLAGER Werner
Men's and Women's World Cup Hangzhou 2004,2004-10-27,WALDNER Jan-Ove,MONTEIRO Thiago,4,2,"8,11,11,11,7,13|11,8,5,8,11,11",QR2,WORLD_CUP,MS,1707,Qualification,WALDNER Jan-Ove (SWE),MONTEIRO Thiago (BRA),WALDNER Jan-Ove
Men's and Women's World Cup Hangzhou 2004,2004-10-27,JOO Saehyuk,CHIANG Peng-Lung,4,0,"14,11,11,14|12,4,4,12",QF,WORLD_CUP,MS,1707,Main Draw,JOO Saehyuk (KOR),CHIANG Peng-Lung (TPE),JOO Saehyuk
Men's and Women's World Cup Hangzhou 2004,2004-10-27,KREANGA Kalinikos,SCHLAGER Werner,4,1,"12,11,6,11,11|10,9,11,9,6",QF,WORLD_CUP,MS,1707,Main Draw,KREANGA Kalinikos (GRE),SCHLAGER Werner (AUT),KREANGA Kalinikos
