tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HIRANO Sayaka,WAKAMIYA Misako,4,3,"9,7,11,11,6,11,11|11,11,7,4,11,4,7",R32,GRAND_SLAM,WS,22,Main Draw,HIRANO Sayaka (JPN),WAKAMIYA Misako (JPN),HIRANO Sayaka
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ISHIKAWA Kasumi,TIE Yana,4,1,"8,11,11,11,11|11,5,8,7,9",R32,GRAND_SLAM,WS,22,Main Draw,ISHIKAWA Kasumi (JPN),TIE Yana (HKG),ISHIKAWA Kasumi
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,SHAN Xiaona,SATO Hitomi,4,0,"12,11,11,11|10,7,5,9",R32,GRAND_SLAM,WS,22,Main Draw,SATO Hitomi (JPN),SHAN Xiaona (GER),SHAN Xiaona
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ITO Mima,MORIZONO Misaki,4,1,"11,11,9,11,11|3,4,11,3,8",R32,GRAND_SLAM,WS,22,Main Draw,ITO Mima (JPN),MORIZONO Misaki (JPN),ITO Mima
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FUKUHARA Ai,ISHIGAKI Yuka,4,2,"11,7,9,11,12,11|9,11,11,8,10,3",R32,GRAND_SLAM,WS,22,Main Draw,ISHIGAKI Yuka (JPN),FUKUHARA Ai (JPN),FUKUHARA Ai
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ZHU Yuling,PARTYKA Natalia,4,0,"12,11,11,11|10,7,8,9",R32,GRAND_SLAM,WS,22,Main Draw,ZHU Yuling (MAC),PARTYKA Natalia (POL),ZHU Yuling
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,JIANG Huajun,KATO Miyu,4,2,"13,11,11,11,11,11|11,13,13,8,1,9",R32,GRAND_SLAM,WS,22,Main Draw,KATO Miyu (JPN),JIANG Huajun (HKG),JIANG Huajun
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LI Qian,JEON Jihee,4,2,"11,11,11,4,11,11|6,5,13,11,8,7",R32,GRAND_SLAM,WS,22,Main Draw,JEON Jihee (KOR),LI Qian (POL),LI Qian
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,YU Fu,BILENKO Tetyana,4,2,"10,11,11,12,5,11|12,4,9,10,11,7",R32,GRAND_SLAM,WS,22,Main Draw,YU Fu (POR),BILENKO Tetyana (UKR),YU Fu
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,CHEN Meng,YU Mengyu,4,0,"11,11,11,13|3,9,5,11",R32,GRAND_SLAM,WS,22,Main Draw,CHEN Meng (CHN),YU Mengyu (SGP),CHEN Meng
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HAN Ying,NOSKOVA Yana,4,0,"11,11,11,11|7,6,7,8",R32,GRAND_SLAM,WS,22,Main Draw,NOSKOVA Yana (RUS),HAN Ying (GER),HAN Ying
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,CHENG I-Ching,LEE Ho Ching,4,2,"9,7,11,11,11,11|11,11,4,8,8,7",R32,GRAND_SLAM,WS,22,Main Draw,CHENG I-Ching (TPE),LEE Ho Ching (HKG),CHENG I-Ching
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LIU Shiwen,LIU Jia,4,0,"11,11,11,11|7,5,7,9",R32,GRAND_SLAM,WS,22,Main Draw,LIU Jia (AUT),LIU Shiwen (CHN),LIU Shiwen
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,MU Zi,DING Ning,4,0,"11,11,14,11|8,7,12,2",R16,GRAND_SLAM,WS,22,Main Draw,DING Ning (CHN),MU Zi (CHN),MU Zi
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HIRANO Miu,HIRANO Sayaka,4,3,"11,11,6,9,11,4,11|6,9,11,11,3,11,9",R16,GRAND_SLAM,WS,22,Main Draw,HIRANO Miu (JPN),HIRANO Sayaka (JPN),HIRANO Miu
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ISHIKAWA Kasumi,SHAN Xiaona,4,3,"1,11,6,13,11,11,11|11,6,11,15,8,9,8",R16,GRAND_SLAM,WS,22,Main Draw,ISHIKAWA Kasumi (JPN),SHAN Xiaona (GER),ISHIKAWA Kasumi
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FUKUHARA Ai,ITO Mima,4,3,"11,8,12,11,10,10,11|8,11,10,4,12,12,9",R16,GRAND_SLAM,WS,22,Main Draw,ITO Mima (JPN),FUKUHARA Ai (JPN),FUKUHARA Ai
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ZHU Yuling,JIANG Huajun,4,0,"11,11,11,11|5,9,7,9",R16,GRAND_SLAM,WS,22,Main Draw,ZHU Yuling (MAC),JIANG Huajun (HKG),ZHU Yuling
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,YU Fu,LI Qian,4,0,"13,13,11,11|11,11,5,7",R16,GRAND_SLAM,WS,22,Main Draw,LI Qian (POL),YU Fu (POR),YU Fu
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HAN Ying,CHEN Meng,4,0,"11,11,11,11|5,9,6,6",R16,GRAND_SLAM,WS,22,Main Draw,CHEN Meng (CHN),HAN Ying (GER),HAN Ying
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LIU Shiwen,CHENG I-Ching,4,0,"11,11,11,11|4,5,1,8",R16,GRAND_SLAM,WS,22,Main Draw,CHENG I-Ching (TPE),LIU Shiwen (CHN),LIU Shiwen
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,MU Zi,HIRANO Miu,4,0,"11,15,11,11|8,13,4,8",QF,GRAND_SLAM,WS,22,Main Draw,MU Zi (CHN),HIRANO Miu (JPN),MU Zi
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ISHIKAWA Kasumi,FUKUHARA Ai,4,1,"12,6,11,11,14|10,11,7,3,12",QF,GRAND_SLAM,WS,22,Main Draw,ISHIKAWA Kasumi (JPN),FUKUHARA Ai (JPN),ISHIKAWA Kasumi
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ZHU Yuling,YU Fu,4,0,"11,11,11,11|7,8,8,3",QF,GRAND_SLAM,WS,22,Main Draw,ZHU Yuling (MAC),YU Fu (POR),ZHU Yuling
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LIU Shiwen,HAN Ying,4,1,"11,8,11,11,11|6,11,4,6,5",QF,GRAND_SLAM,WS,22,Main Draw,HAN Ying (GER),LIU Shiwen (CHN),LIU Shiwen
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,MU Zi,ISHIKAWA Kasumi,4,1,"11,13,11,14,11|9,11,9,16,3",SF,GRAND_SLAM,WS,22,Main Draw,MU Zi (CHN),ISHIKAWA Kasumi (JPN),MU Zi
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ZHU Yuling,LIU Shiwen,4,3,"11,9,11,8,7,11,11|8,11,9,11,11,6,6",SF,GRAND_SLAM,WS,22,Main Draw,ZHU Yuling (MAC),LIU Shiwen (CHN),ZHU Yuling
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,MU Zi,ZHU Yuling,4,3,"11,9,11,11,4,5,11|8,11,9,8,11,11,3",F,GRAND_SLAM,WS,22,Main Draw,MU Zi (CHN),ZHU Yuling (MAC),MU Zi
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HO Kwan Kit,SERDAROGLU David,3,0,"11,11,11|7,2,6",R32,GRAND_SLAM,U21MS,22,Main Draw,HO Kwan Kit (HKG),SERDAROGLU David (AUT),HO Kwan Kit
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,DUDA Benedikt,SHVETC Kirill,3,2,"7,11,10,11,11|11,6,12,6,8",R32,GRAND_SLAM,U21MS,22,Main Draw,SHVETC Kirill (RUS),DUDA Benedikt (GER),DUDA Benedikt
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,OIKAWA Mizuki,AHLANDER-J Carl,3,0,"12,11,11|10,7,3",R32,GRAND_SLAM,U21MS,22,Main Draw,OIKAWA Mizuki (JPN),AHLANDER-J Carl (SWE),OIKAWA Mizuki
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HACHARD Antoine,CHERNOV Konstantin,3,0,"11,11,11|4,1,5",R32,GRAND_SLAM,U21MS,22,Main Draw,CHERNOV Konstantin (RUS),HACHARD Antoine (FRA),HACHARD Antoine
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,OGATA Ryotaro,BROSSIER Benjamin,3,0,"11,11,11|8,5,5",R32,GRAND_SLAM,U21MS,22,Main Draw,BROSSIER Benjamin (FRA),OGATA Ryotaro (JPN),OGATA Ryotaro
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LEE Chia-Sheng,KOPANYI Tomas,3,0,"11,11,12|3,7,10",R32,GRAND_SLAM,U21MS,22,Main Draw,KOPANYI Tomas (SVK),LEE Chia-Sheng (TPE),LEE Chia-Sheng
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FLORE Tristan,PFEFFER Simon,3,2,"11,9,11,9,11|9,11,6,11,3",R32,GRAND_SLAM,U21MS,22,Main Draw,FLORE Tristan (FRA),PFEFFER Simon (AUT),FLORE Tristan
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,GERALDO Joao,YANG Tzu-Yi,3,1,"11,11,6,11|9,9,11,6",R32,GRAND_SLAM,U21MS,22,Main Draw,YANG Tzu-Yi (TPE),GERALDO Joao (POR),GERALDO Joao
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,SAMBE Kohei,WALKER Samuel,3,1,"9,11,11,11|11,4,8,7",R32,GRAND_SLAM,U21MS,22,Main Draw,SAMBE Kohei (JPN),WALKER Samuel (ENG),SAMBE Kohei
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,RANEFUR Elias,DEVOS Robin,3,2,"9,12,11,11,11|11,10,13,6,4",R32,GRAND_SLAM,U21MS,22,Main Draw,DEVOS Robin (BEL),RANEFUR Elias (SWE),RANEFUR Elias
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ROBINOT Alexandre,AFANADOR Brian,3,1,"11,12,11,12|13,10,2,10",R32,GRAND_SLAM,U21MS,22,Main Draw,ROBINOT Alexandre (FRA),AFANADOR Brian (PUR),ROBINOT Alexandre
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,KIZUKURI Yuto,LIAO Cheng-Ting,3,2,"7,8,11,11,11|11,11,8,8,8",R32,GRAND_SLAM,U21MS,22,Main Draw,KIZUKURI Yuto (JPN),LIAO Cheng-Ting (TPE),KIZUKURI Yuto
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,PUCAR Tomislav,DYJAS Jakub,3,2,"11,9,11,8,11|9,11,9,11,3",R32,GRAND_SLAM,U21MS,22,Main Draw,DYJAS Jakub (POL),PUCAR Tomislav (CRO),PUCAR Tomislav
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ZELJKO Filip,SUN Chia-Hung,3,0,"11,11,13|9,5,11",R32,GRAND_SLAM,U21MS,22,Main Draw,ZELJKO Filip (CRO),SUN Chia-Hung (TPE),ZELJKO Filip
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HARIMOTO Tomokazu,CHEN Feng,3,2,"11,9,4,15,13|8,11,11,13,11",R32,GRAND_SLAM,U21MS,22,Main Draw,CHEN Feng (SGP),HARIMOTO Tomokazu (JPN),HARIMOTO Tomokazu
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,KALLBERG Anton,GERASSIMENKO Kirill,3,1,"11,11,6,11|9,5,11,5",R32,GRAND_SLAM,U21MS,22,Main Draw,GERASSIMENKO Kirill (KAZ),KALLBERG Anton (SWE),KALLBERG Anton
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HO Kwan Kit,DUDA Benedikt,3,1,"11,8,11,13|6,11,9,11",R16,GRAND_SLAM,U21MS,22,Main Draw,HO Kwan Kit (HKG),DUDA Benedikt (GER),HO Kwan Kit
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HACHARD Antoine,OIKAWA Mizuki,3,1,"8,11,11,11|11,5,6,7",R16,GRAND_SLAM,U21MS,22,Main Draw,OIKAWA Mizuki (JPN),HACHARD Antoine (FRA),HACHARD Antoine
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LEE Chia-Sheng,OGATA Ryotaro,3,2,"3,11,12,12,11|11,5,14,10,8",R16,GRAND_SLAM,U21MS,22,Main Draw,OGATA Ryotaro (JPN),LEE Chia-Sheng (TPE),LEE Chia-Sheng
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FLORE Tristan,GERALDO Joao,3,0,"11,11,12|9,8,10",R16,GRAND_SLAM,U21MS,22,Main Draw,FLORE Tristan (FRA),GERALDO Joao (POR),FLORE Tristan
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,RANEFUR Elias,SAMBE Kohei,3,1,"11,11,3,11|5,6,11,6",R16,GRAND_SLAM,U21MS,22,Main Draw,SAMBE Kohei (JPN),RANEFUR Elias (SWE),RANEFUR Elias
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ROBINOT Alexandre,KIZUKURI Yuto,3,0,"12,11,11|10,7,9",R16,GRAND_SLAM,U21MS,22,Main Draw,ROBINOT Alexandre (FRA),KIZUKURI Yuto (JPN),ROBINOT Alexandre
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ZELJKO Filip,PUCAR Tomislav,3,2,"11,15,11,9,11|5,17,6,11,5",R16,GRAND_SLAM,U21MS,22,Main Draw,PUCAR Tomislav (CRO),ZELJKO Filip (CRO),ZELJKO Filip
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,KALLBERG Anton,HARIMOTO Tomokazu,3,0,"11,11,11|8,9,9",R16,GRAND_SLAM,U21MS,22,Main Draw,HARIMOTO Tomokazu (JPN),KALLBERG Anton (SWE),KALLBERG Anton
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HO Kwan Kit,HACHARD Antoine,3,0,"11,14,11|9,12,5",QF,GRAND_SLAM,U21MS,22,Main Draw,HO Kwan Kit (HKG),HACHARD Antoine (FRA),HO Kwan Kit
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FLORE Tristan,LEE Chia-Sheng,3,1,"3,11,11,12|11,8,7,10",QF,GRAND_SLAM,U21MS,22,Main Draw,LEE Chia-Sheng (TPE),FLORE Tristan (FRA),FLORE Tristan
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,RANEFUR Elias,ROBINOT Alexandre,3,2,"11,11,3,4,13|9,8,11,11,11",QF,GRAND_SLAM,U21MS,22,Main Draw,RANEFUR Elias (SWE),ROBINOT Alexandre (FRA),RANEFUR Elias
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ZELJKO Filip,KALLBERG Anton,3,1,"10,11,11,11|12,3,7,8",QF,GRAND_SLAM,U21MS,22,Main Draw,ZELJKO Filip (CRO),KALLBERG Anton (SWE),ZELJKO Filip
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FLORE Tristan,HO Kwan Kit,3,2,"9,6,11,11,15|11,11,7,4,13",SF,GRAND_SLAM,U21MS,22,Main Draw,HO Kwan Kit (HKG),FLORE Tristan (FRA),FLORE Tristan
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ZELJKO Filip,RANEFUR Elias,3,2,"11,12,9,8,11|8,10,11,11,6",SF,GRAND_SLAM,U21MS,22,Main Draw,RANEFUR Elias (SWE),ZELJKO Filip (CRO),ZELJKO Filip
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FLORE Tristan,ZELJKO Filip,3,1,"11,11,5,11|7,9,11,6",F,GRAND_SLAM,U21MS,22,Main Draw,FLORE Tristan (FRA),ZELJKO Filip (CRO),FLORE Tristan
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HIRANO Miu,GUSEVA Ekaterina,3,0,"11,15,11|8,13,8",R32,GRAND_SLAM,U21WS,22,Main Draw,HIRANO Miu (JPN),GUSEVA Ekaterina (RUS),HIRANO Miu
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,KATO Miyu,JHA Prachi,3,0,"11,11,12|8,4,10",R32,GRAND_SLAM,U21WS,22,Main Draw,JHA Prachi (USA),KATO Miyu (JPN),KATO Miyu
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,XIAO Maria,RAKOVAC Lea,3,0,"11,12,16|6,10,14",R32,GRAND_SLAM,U21WS,22,Main Draw,RAKOVAC Lea (CRO),XIAO Maria (ESP),XIAO Maria
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HAMAMOTO Yui,WAN Yuan,3,1,"11,11,11,11|5,13,7,4",R32,GRAND_SLAM,U21WS,22,Main Draw,WAN Yuan (GER),HAMAMOTO Yui (AUT),HAMAMOTO Yui
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HAYATA Hina,MANTZ Chantal,3,2,"9,10,11,11,16|11,12,7,4,14",R32,GRAND_SLAM,U21WS,22,Main Draw,HAYATA Hina (JPN),MANTZ Chantal (GER),HAYATA Hina
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,BERGSTROM Linda,SOO Wai Yam,3,2,"7,9,11,11,11|11,11,9,9,7",R32,GRAND_SLAM,U21WS,22,Main Draw,BERGSTROM Linda (SWE),SOO Wai Yam (HKG),BERGSTROM Linda
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,MAEDA Miyu,TAILAKOVA Mariia,3,0,"12,11,11|10,6,2",R32,GRAND_SLAM,U21WS,22,Main Draw,MAEDA Miyu (JPN),TAILAKOVA Mariia (RUS),MAEDA Miyu
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LIN Ye,HORGEN Sarah,3,0,"11,11,11|2,3,6",R32,GRAND_SLAM,U21WS,22,Main Draw,HORGEN Sarah (NOR),LIN Ye (CAN),LIN Ye
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,SHAO Jieni,HASHIMOTO Honoka,3,1,"11,9,11,11|8,11,8,8",R32,GRAND_SLAM,U21WS,22,Main Draw,SHAO Jieni (POR),HASHIMOTO Honoka (JPN),SHAO Jieni
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,SZOCS Bernadette,HUANG Yu-Chiao,3,0,"11,12,11|6,10,7",R32,GRAND_SLAM,U21WS,22,Main Draw,HUANG Yu-Chiao (TPE),SZOCS Bernadette (ROU),SZOCS Bernadette
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ZHANG Lily,MAK Tze Wing,3,0,"11,11,11|7,6,5",R32,GRAND_SLAM,U21WS,22,Main Draw,ZHANG Lily (USA),MAK Tze Wing (HKG),ZHANG Lily
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,POLCANOVA Sofia,KHETKHUAN Tamolwan,3,0,"11,11,11|5,9,2",R32,GRAND_SLAM,U21WS,22,Main Draw,POLCANOVA Sofia (AUT),KHETKHUAN Tamolwan (THA),POLCANOVA Sofia
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ZENG Jian,BAJOR Natalia,3,2,"9,11,12,8,11|11,9,10,11,4",R32,GRAND_SLAM,U21WS,22,Main Draw,BAJOR Natalia (POL),ZENG Jian (SGP),ZENG Jian
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,MORI Sakura,LIU Qi,3,0,"15,11,11|13,7,5",R32,GRAND_SLAM,U21WS,22,Main Draw,MORI Sakura (JPN),LIU Qi (HKG),MORI Sakura
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ZHOU Yihan,BATRA Manika,3,2,"11,11,11,10,11|7,5,13,12,4",R32,GRAND_SLAM,U21WS,22,Main Draw,BATRA Manika (IND),ZHOU Yihan (SGP),ZHOU Yihan
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,KATO Miyu,HIRANO Miu,3,2,"4,7,11,12,12|11,11,7,10,10",R16,GRAND_SLAM,U21WS,22,Main Draw,HIRANO Miu (JPN),KATO Miyu (JPN),KATO Miyu
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HAMAMOTO Yui,XIAO Maria,3,0,"11,11,11|5,7,8",R16,GRAND_SLAM,U21WS,22,Main Draw,XIAO Maria (ESP),HAMAMOTO Yui (AUT),HAMAMOTO Yui
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HAYATA Hina,BERGSTROM Linda,3,1,"11,13,11,11|7,15,6,4",R16,GRAND_SLAM,U21WS,22,Main Draw,HAYATA Hina (JPN),BERGSTROM Linda (SWE),HAYATA Hina
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LIN Ye,MAEDA Miyu,3,0,"14,11,11|12,9,5",R16,GRAND_SLAM,U21WS,22,Main Draw,MAEDA Miyu (JPN),LIN Ye (CAN),LIN Ye
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,SZOCS Bernadette,SHAO Jieni,3,2,"11,9,11,3,11|8,11,5,11,8",R16,GRAND_SLAM,U21WS,22,Main Draw,SHAO Jieni (POR),SZOCS Bernadette (ROU),SZOCS Bernadette
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ZHANG Lily,GALIC Alex,3,0,"12,11,12|10,6,10",R16,GRAND_SLAM,U21WS,22,Main Draw,ZHANG Lily (USA),GALIC Alex (SLO),ZHANG Lily
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ZENG Jian,POLCANOVA Sofia,3,2,"11,2,15,7,12|8,11,13,11,10",R16,GRAND_SLAM,U21WS,22,Main Draw,POLCANOVA Sofia (AUT),ZENG Jian (SGP),ZENG Jian
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ZHOU Yihan,MORI Sakura,3,0,"11,11,11|7,9,4",R16,GRAND_SLAM,U21WS,22,Main Draw,MORI Sakura (JPN),ZHOU Yihan (SGP),ZHOU Yihan
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HAMAMOTO Yui,KATO Miyu,3,2,"13,11,7,5,11|11,7,11,11,8",QF,GRAND_SLAM,U21WS,22,Main Draw,KATO Miyu (JPN),HAMAMOTO Yui (AUT),HAMAMOTO Yui
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HAYATA Hina,LIN Ye,3,0,"11,11,11|7,9,6",QF,GRAND_SLAM,U21WS,22,Main Draw,HAYATA Hina (JPN),LIN Ye (CAN),HAYATA Hina
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,SZOCS Bernadette,ZHANG Lily,3,1,"13,11,8,11|11,4,11,6",QF,GRAND_SLAM,U21WS,22,Main Draw,SZOCS Bernadette (ROU),ZHANG Lily (USA),SZOCS Bernadette
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ZHOU Yihan,ZENG Jian,3,1,"9,11,11,11|11,5,5,7",QF,GRAND_SLAM,U21WS,22,Main Draw,ZENG Jian (SGP),ZHOU Yihan (SGP),ZHOU Yihan
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HAMAMOTO Yui,HAYATA Hina,3,0,"11,11,11|5,9,8",SF,GRAND_SLAM,U21WS,22,Main Draw,HAMAMOTO Yui (AUT),HAYATA Hina (JPN),HAMAMOTO Yui
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,SZOCS Bernadette,ZHOU Yihan,3,2,"6,9,11,11,11|11,11,5,4,7",SF,GRAND_SLAM,U21WS,22,Main Draw,SZOCS Bernadette (ROU),ZHOU Yihan (SGP),SZOCS Bernadette
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HAMAMOTO Yui,SZOCS Bernadette,3,1,"11,11,6,11|8,5,11,9",F,GRAND_SLAM,U21WS,22,Main Draw,HAMAMOTO Yui (AUT),SZOCS Bernadette (ROU),HAMAMOTO Yui
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FAN Zhendong/ZHANG Jike,BROSSIER Benjamin/HACHARD Antoine,3,2,"9,11,9,11,11|11,5,11,3,4",R16,GRAND_SLAM,MD,22,Main Draw,FAN Zhendong (CHN) / ZHANG Jike (CHN),BROSSIER Benjamin (FRA) / HACHARD Antoine (FRA),FAN Zhendong
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FAN Zhendong/ZHANG Jike,FLORE Tristan/LEBESSON Emmanuel,3,1,"12,12,7,11|10,10,11,5",QF,GRAND_SLAM,MD,22,Main Draw,FAN Zhendong (CHN) / ZHANG Jike (CHN),FLORE Tristan (FRA) / LEBESSON Emmanuel (FRA),FAN Zhendong
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FAN Zhendong/ZHANG Jike,MORIZONO Masataka/OSHIMA Yuya,3,2,"9,11,11,9,11|11,9,6,11,9",SF,GRAND_SLAM,MD,22,Main Draw,FAN Zhendong (CHN) / ZHANG Jike (CHN),MORIZONO Masataka (JPN) / OSHIMA Yuya (JPN),FAN Zhendong
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FANG Bo/XU Xin,FAN Zhendong/ZHANG Jike,3,1,"13,11,7,11|11,9,11,8",F,GRAND_SLAM,MD,22,Main Draw,FANG Bo (KAZ) / XU Xin (CHN),FAN Zhendong (CHN) / ZHANG Jike (CHN),FANG Bo
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LI Xiaoxia/LIU Shiwen,MAK Tze Wing/SOO Wai Yam,3,2,"7,11,9,11,11|11,7,11,3,5",R16,GRAND_SLAM,WD,22,Main Draw,LI Xiaoxia (CHN) / LIU Shiwen (CHN),MAK Tze Wing (HKG) / SOO Wai Yam (HKG),LI Xiaoxia
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LI Xiaoxia/LIU Shiwen,HAN Ying/IVANCAN Irene,3,1,"14,11,11,11|16,7,8,9",QF,GRAND_SLAM,WD,22,Main Draw,LI Xiaoxia (CHN) / LIU Shiwen (CHN),HAN Ying (GER) / IVANCAN Irene (GER),LI Xiaoxia
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,CHEN Meng/MU Zi,DING Ning/ZHU Yuling,3,2,"9,11,11,8,11|11,4,6,11,4",QF,GRAND_SLAM,WD,22,Main Draw,CHEN Meng (CHN) / MU Zi (CHN),DING Ning (CHN) / ZHU Yuling (MAC),CHEN Meng
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,CHEN Meng/MU Zi,LI Xiaoxia/LIU Shiwen,3,2,"7,11,11,3,11|11,9,9,11,9",SF,GRAND_SLAM,WD,22,Main Draw,CHEN Meng (CHN) / MU Zi (CHN),LI Xiaoxia (CHN) / LIU Shiwen (CHN),CHEN Meng
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,DRINKHALL Paul/PITCHFORD Liam,GERELL Par/PERSSON Jon,3,0,"15,11,11|13,6,5",QF,GRAND_SLAM,MD,22,Main Draw,DRINKHALL Paul (ENG) / PITCHFORD Liam (ENG),GERELL Par (SWE) / PERSSON Jon (SWE),DRINKHALL Paul
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FANG Bo/XU Xin,DRINKHALL Paul/PITCHFORD Liam,3,1,"9,11,11,11|11,8,9,8",SF,GRAND_SLAM,MD,22,Main Draw,FANG Bo (KAZ) / XU Xin (CHN),DRINKHALL Paul (ENG) / PITCHFORD Liam (ENG),FANG Bo
