tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,SHIBAEV Alexander,ZHMUDENKO Yaroslav,4,2,"12,11,6,9,11,11|10,3,11,11,6,6",R64,GRAND_SLAM,MS,22,Main Draw,ZHMUDENKO Yaroslav (UKR),SHIBAEV Alexander (RUS),SHIBAEV Alexander
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,GHOSH Soumyajit,APOLONIA Tiago,4,3,"12,11,8,5,6,11,13|10,7,11,11,11,4,11",R64,GRAND_SLAM,MS,22,Main Draw,APOLONIA Tiago (POR),GHOSH Soumyajit (IND),GHOSH Soumyajit
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LUNDQVIST Jens,MAZE Michael,4,3,"11,6,12,11,11,9,11|13,11,10,8,3,11,7",R64,GRAND_SLAM,MS,22,Main Draw,LUNDQVIST Jens (SWE),MAZE Michael (DEN),LUNDQVIST Jens
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,MATTENET Adrien,VLASOV Grigory,4,3,"8,13,5,11,7,11,11|11,11,11,9,11,7,8",R64,GRAND_SLAM,MS,22,Main Draw,MATTENET Adrien (FRA),VLASOV Grigory (RUS),MATTENET Adrien
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ZHANG Jike,LI Ahmet,4,0,"11,11,11,11|5,7,6,7",R64,GRAND_SLAM,MS,22,Main Draw,LI Ahmet (TUR),ZHANG Jike (CHN),ZHANG Jike
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,MIZUTANI Jun,NUYTINCK Cedric,4,0,"11,12,11,11|5,10,6,7",R64,GRAND_SLAM,MS,22,Main Draw,MIZUTANI Jun (JPN),NUYTINCK Cedric (BEL),MIZUTANI Jun
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LIANG Jingkun,GNANASEKARAN Sathiyan,4,0,"11,11,11,11|7,3,7,7",R64,GRAND_SLAM,MS,22,Main Draw,GNANASEKARAN Sathiyan (IND),LIANG Jingkun (CHN),LIANG Jingkun
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,STEGER Bastian,KARAKASEVIC Aleksandar,4,3,"12,15,11,11,9,9,11|10,17,8,5,11,11,6",R64,GRAND_SLAM,MS,22,Main Draw,STEGER Bastian (GER),KARAKASEVIC Aleksandar (SRB),STEGER Bastian
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,GERELL Par,GERALDO Joao,4,1,"11,11,10,11,11|2,8,12,8,8",R64,GRAND_SLAM,MS,22,Main Draw,GERALDO Joao (POR),GERELL Par (SWE),GERELL Par
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,GAO Ning,SAMBE Kohei,4,3,"7,4,14,11,11,11,11|11,11,16,8,8,5,9",R64,GRAND_SLAM,MS,22,Main Draw,GAO Ning (SGP),SAMBE Kohei (JPN),GAO Ning
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HO Kwan Kit,KISHIKAWA Seiya,4,2,"3,11,11,11,14,11|11,6,7,3,16,1",R64,GRAND_SLAM,MS,22,Main Draw,KISHIKAWA Seiya (JPN),HO Kwan Kit (HKG),HO Kwan Kit
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ELOI Damien,ARUNA Quadri,4,1,"11,11,13,8,11|8,7,11,11,6",R64,GRAND_SLAM,MS,22,Main Draw,ARUNA Quadri (NGR),ELOI Damien (FRA),ELOI Damien
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FREITAS Marcos,WALKER Samuel,4,1,"11,11,7,12,11|6,6,11,10,3",R64,GRAND_SLAM,MS,22,Main Draw,WALKER Samuel (ENG),FREITAS Marcos (POR),FREITAS Marcos
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,YAN An,CANTERO Jesus,4,0,"11,11,11,11|5,1,3,7",R64,GRAND_SLAM,MS,22,Main Draw,YAN An (CHN),CANTERO Jesus (ESP),YAN An
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,KALLBERG Anton,PITCHFORD Liam,4,1,"11,11,12,7,11|6,7,10,11,5",R64,GRAND_SLAM,MS,22,Main Draw,KALLBERG Anton (SWE),PITCHFORD Liam (ENG),KALLBERG Anton
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LAKEEV Vasily,DRINKHALL Paul,4,1,"11,11,1,11,11|7,9,11,8,7",R64,GRAND_SLAM,MS,22,Main Draw,DRINKHALL Paul (ENG),LAKEEV Vasily (RUS),LAKEEV Vasily
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,OGATA Ryotaro,GAUZY Simon,4,3,"11,6,2,11,9,11,11|9,11,11,9,11,5,5",R64,GRAND_SLAM,MS,22,Main Draw,OGATA Ryotaro (JPN),GAUZY Simon (FRA),OGATA Ryotaro
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,MATSUDAIRA Kenta,ISMAILOV Sadi,4,0,"13,11,11,11|11,8,4,9",R64,GRAND_SLAM,MS,22,Main Draw,MATSUDAIRA Kenta (JPN),ISMAILOV Sadi (RUS),MATSUDAIRA Kenta
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LI Hu,SALIFOU Abdel-Kader,4,0,"11,11,11,11|9,9,4,6",R64,GRAND_SLAM,MS,22,Main Draw,SALIFOU Abdel-Kader (BEN),LI Hu (SGP),LI Hu
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,WANG Zengyi,TOKIC Bojan,4,0,"11,17,13,11|6,15,11,8",R64,GRAND_SLAM,MS,22,Main Draw,TOKIC Bojan (SLO),WANG Zengyi (POL),WANG Zengyi
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FAN Zhendong,OUAICHE Stephane,4,0,"11,13,11,11|6,11,6,4",R64,GRAND_SLAM,MS,22,Main Draw,OUAICHE Stephane (ALG),FAN Zhendong (CHN),FAN Zhendong
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,XU Xin,KARLSSON Mattias,4,1,"11,8,11,11,11|5,11,5,4,8",R32,GRAND_SLAM,MS,22,Main Draw,XU Xin (CHN),KARLSSON Mattias (SWE),XU Xin
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,BROSSIER Benjamin,OSHIMA Yuya,4,3,"9,11,11,8,8,17,11|11,3,7,11,11,15,6",R32,GRAND_SLAM,MS,22,Main Draw,BROSSIER Benjamin (FRA),OSHIMA Yuya (JPN),BROSSIER Benjamin
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,MORIZONO Masataka,MONTEIRO Joao,4,1,"9,12,11,11,11|11,10,6,5,3",R32,GRAND_SLAM,MS,22,Main Draw,MORIZONO Masataka (JPN),MONTEIRO Joao (POR),MORIZONO Masataka
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,CHUANG Chih-Yuan,SKACHKOV Kirill,4,1,"11,11,7,11,11|1,9,11,1,7",R32,GRAND_SLAM,MS,22,Main Draw,SKACHKOV Kirill (RUS),CHUANG Chih-Yuan (TPE),CHUANG Chih-Yuan
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,WANG Eugene,FANG Bo,4,3,"10,11,11,4,11,9,11|12,2,9,11,8,11,5",R32,GRAND_SLAM,MS,22,Main Draw,FANG Bo (KAZ),WANG Eugene (CAN),WANG Eugene
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,KARLSSON Kristian,SHIBAEV Alexander,4,3,"5,11,11,7,11,11,11|11,6,8,11,13,9,9",R32,GRAND_SLAM,MS,22,Main Draw,KARLSSON Kristian (SWE),SHIBAEV Alexander (RUS),KARLSSON Kristian
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LUNDQVIST Jens,GHOSH Soumyajit,4,2,"11,11,11,8,4,11|6,8,6,11,11,7",R32,GRAND_SLAM,MS,22,Main Draw,GHOSH Soumyajit (IND),LUNDQVIST Jens (SWE),LUNDQVIST Jens
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ZHANG Jike,MATTENET Adrien,4,0,"11,11,11,11|5,8,6,9",R32,GRAND_SLAM,MS,22,Main Draw,MATTENET Adrien (FRA),ZHANG Jike (CHN),ZHANG Jike
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LIANG Jingkun,MIZUTANI Jun,4,3,"11,9,11,11,7,6,11|9,11,5,5,11,11,8",R32,GRAND_SLAM,MS,22,Main Draw,MIZUTANI Jun (JPN),LIANG Jingkun (CHN),LIANG Jingkun
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,GERELL Par,STEGER Bastian,4,0,"13,11,11,13|11,9,7,11",R32,GRAND_SLAM,MS,22,Main Draw,STEGER Bastian (GER),GERELL Par (SWE),GERELL Par
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HO Kwan Kit,GAO Ning,4,2,"11,7,9,11,11,11|4,11,11,7,9,5",R32,GRAND_SLAM,MS,22,Main Draw,GAO Ning (SGP),HO Kwan Kit (HKG),HO Kwan Kit
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FREITAS Marcos,ELOI Damien,4,1,"11,11,6,11,11|7,7,11,5,5",R32,GRAND_SLAM,MS,22,Main Draw,ELOI Damien (FRA),FREITAS Marcos (POR),FREITAS Marcos
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,KALLBERG Anton,YAN An,4,3,"15,8,13,6,6,11,11|13,11,11,11,11,9,9",R32,GRAND_SLAM,MS,22,Main Draw,YAN An (CHN),KALLBERG Anton (SWE),KALLBERG Anton
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LAKEEV Vasily,OGATA Ryotaro,4,0,"11,11,11,12|9,9,5,10",R32,GRAND_SLAM,MS,22,Main Draw,LAKEEV Vasily (RUS),OGATA Ryotaro (JPN),LAKEEV Vasily
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,MATSUDAIRA Kenta,LI Hu,4,0,"11,11,11,11|9,8,6,7",R32,GRAND_SLAM,MS,22,Main Draw,MATSUDAIRA Kenta (JPN),LI Hu (SGP),MATSUDAIRA Kenta
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FAN Zhendong,WANG Zengyi,4,1,"11,8,11,11,11|9,11,5,7,3",R32,GRAND_SLAM,MS,22,Main Draw,WANG Zengyi (POL),FAN Zhendong (CHN),FAN Zhendong
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,XU Xin,BROSSIER Benjamin,4,0,"11,11,11,11|8,9,5,8",R16,GRAND_SLAM,MS,22,Main Draw,XU Xin (CHN),BROSSIER Benjamin (FRA),XU Xin
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,CHUANG Chih-Yuan,MORIZONO Masataka,4,0,"12,12,11,11|10,10,8,7",R16,GRAND_SLAM,MS,22,Main Draw,MORIZONO Masataka (JPN),CHUANG Chih-Yuan (TPE),CHUANG Chih-Yuan
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,KARLSSON Kristian,WANG Eugene,4,2,"9,11,13,7,11,11|11,2,11,11,4,4",R16,GRAND_SLAM,MS,22,Main Draw,WANG Eugene (CAN),KARLSSON Kristian (SWE),KARLSSON Kristian
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LUNDQVIST Jens,ZHANG Jike,4,2,"11,5,11,11,5,12|6,11,9,3,11,10",R16,GRAND_SLAM,MS,22,Main Draw,LUNDQVIST Jens (SWE),ZHANG Jike (CHN),LUNDQVIST Jens
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LIANG Jingkun,GERELL Par,4,2,"11,11,11,11,5,11|5,6,13,9,11,3",R16,GRAND_SLAM,MS,22,Main Draw,LIANG Jingkun (CHN),GERELL Par (SWE),LIANG Jingkun
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FREITAS Marcos,HO Kwan Kit,4,2,"11,9,11,6,11,12|5,11,4,11,7,10",R16,GRAND_SLAM,MS,22,Main Draw,HO Kwan Kit (HKG),FREITAS Marcos (POR),FREITAS Marcos
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,KALLBERG Anton,LAKEEV Vasily,4,0,"11,11,11,11|6,9,9,4",R16,GRAND_SLAM,MS,22,Main Draw,KALLBERG Anton (SWE),LAKEEV Vasily (RUS),KALLBERG Anton
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FAN Zhendong,MATSUDAIRA Kenta,4,2,"11,11,10,9,11,11|9,6,12,11,5,7",R16,GRAND_SLAM,MS,22,Main Draw,MATSUDAIRA Kenta (JPN),FAN Zhendong (CHN),FAN Zhendong
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,XU Xin,CHUANG Chih-Yuan,4,1,"9,12,11,11,11|11,10,4,9,8",QF,GRAND_SLAM,MS,22,Main Draw,XU Xin (CHN),CHUANG Chih-Yuan (TPE),XU Xin
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,KARLSSON Kristian,LUNDQVIST Jens,4,0,"12,11,11,11|10,6,6,3",QF,GRAND_SLAM,MS,22,Main Draw,KARLSSON Kristian (SWE),LUNDQVIST Jens (SWE),KARLSSON Kristian
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LIANG Jingkun,FREITAS Marcos,4,3,"16,10,9,5,11,11,11|14,12,11,11,3,5,8",QF,GRAND_SLAM,MS,22,Main Draw,LIANG Jingkun (CHN),FREITAS Marcos (POR),LIANG Jingkun
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FAN Zhendong,KALLBERG Anton,4,2,"11,11,11,7,7,11|9,6,6,11,11,7",QF,GRAND_SLAM,MS,22,Main Draw,KALLBERG Anton (SWE),FAN Zhendong (CHN),FAN Zhendong
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,XU Xin,KARLSSON Kristian,4,0,"11,11,11,11|5,4,3,8",SF,GRAND_SLAM,MS,22,Main Draw,XU Xin (CHN),KARLSSON Kristian (SWE),XU Xin
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FAN Zhendong,LIANG Jingkun,4,2,"11,8,10,11,11,11|5,11,12,9,8,7",SF,GRAND_SLAM,MS,22,Main Draw,LIANG Jingkun (CHN),FAN Zhendong (CHN),FAN Zhendong
