tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Pro Tour Grand Finals Stockholm 2002,2002-12-12,MA Lin,SMIRNOV Alexey,4,2,"11,11,5,11,1,11|9,7,11,9,11,4",R16,GRAND_SLAM,MS,1509,Main Draw,MA Lin (CHN),SMIRNOV Alexey (RUS),MA Lin
Pro Tour Grand Finals Stockholm 2002,2002-12-12,WANG Hao,SAMSONOV Vladimir,4,3,"12,10,11,8,11,8,11|10,12,6,11,4,11,4",R16,GRAND_SLAM,MS,1509,Main Draw,WANG Hao (CHN),SAMSONOV Vladimir (BLR),WANG Hao
Pro Tour Grand Finals Stockholm 2002,2002-12-12,CHUANG Chih-Yuan,KONG Linghui,4,3,"7,13,11,11,10,9,11|11,11,9,6,12,11,7",R16,GRAND_SLAM,MS,1509,Main Draw,CHUANG Chih-Yuan (TPE),KONG Linghui (CHN),CHUANG Chih-Yuan
Pro Tour Grand Finals Stockholm 2002,2002-12-12,SAIVE Jean-Michel,MAZE Michael,4,1,"11,7,11,11,11|6,11,9,8,3",R16,GRAND_SLAM,MS,1509,Main Draw,SAIVE Jean-Michel (BEL),MAZE Michael (DEN),SAIVE Jean-Michel
Pro Tour Grand Finals Stockholm 2002,2002-12-12,BOLL Timo,KARLSSON Peter,4,2,"7,11,11,9,11,12|11,3,6,11,9,10",R16,GRAND_SLAM,MS,1509,Main Draw,BOLL Timo (GER),KARLSSON Peter (SWE),BOLL Timo
Pro Tour Grand Finals Stockholm 2002,2002-12-12,WANG Liqin,RYU Seungmin,4,2,"6,10,11,12,11,11|11,12,5,10,4,2",R16,GRAND_SLAM,MS,1509,Main Draw,WANG Liqin (CHN),RYU Seungmin (KOR),WANG Liqin
Pro Tour Grand Finals Stockholm 2002,2002-12-12,KREANGA Kalinikos,QIN Zhijian,4,0,"11,12,11,11|9,10,6,9",R16,GRAND_SLAM,MS,1509,Main Draw,KREANGA Kalinikos (GRE),QIN Zhijian (CHN),KREANGA Kalinikos
Pro Tour Grand Finals Stockholm 2002,2002-12-12,HEISTER Danny,SCHLAGER Werner,4,2,"11,11,6,5,11,11|2,7,11,11,8,1",R16,GRAND_SLAM,MS,1509,Main Draw,HEISTER Danny (NED),SCHLAGER Werner (AUT),HEISTER Danny
Pro Tour Grand Finals Stockholm 2002,2002-12-12,WANG Hao,MA Lin,4,3,"13,11,10,7,5,11,13|11,8,12,11,11,8,11",QF,GRAND_SLAM,MS,1509,Main Draw,WANG Hao (CHN),MA Lin (CHN),WANG Hao
Pro Tour Grand Finals Stockholm 2002,2002-12-12,CHUANG Chih-Yuan,SAIVE Jean-Michel,4,2,"11,7,11,11,8,12|6,11,7,9,11,10",QF,GRAND_SLAM,MS,1509,Main Draw,CHUANG Chih-Yuan (TPE),SAIVE Jean-Michel (BEL),CHUANG Chih-Yuan
Pro Tour Grand Finals Stockholm 2002,2002-12-12,BOLL Timo,WANG Liqin,4,3,"7,11,11,7,8,11,11|11,8,9,11,11,9,6",QF,GRAND_SLAM,MS,1509,Main Draw,BOLL Timo (GER),WANG Liqin (CHN),BOLL Timo
Pro Tour Grand Finals Stockholm 2002,2002-12-12,KREANGA Kalinikos,HEISTER Danny,4,1,"11,11,11,6,15|7,3,5,11,13",QF,GRAND_SLAM,MS,1509,Main Draw,KREANGA Kalinikos (GRE),HEISTER Danny (NED),KREANGA Kalinikos
Pro Tour Grand Finals Stockholm 2002,2002-12-12,CHUANG Chih-Yuan,WANG Hao,4,3,"8,12,11,11,7,8,11|11,10,7,7,11,11,8",SF,GRAND_SLAM,MS,1509,Main Draw,CHUANG Chih-Yuan (TPE),WANG Hao (CHN),CHUANG Chih-Yuan
Pro Tour Grand Finals Stockholm 2002,2002-12-12,KREANGA Kalinikos,BOLL Timo,4,3,"13,11,11,11,6,7,11|11,8,9,13,11,11,4",SF,GRAND_SLAM,MS,1509,Main Draw,KREANGA Kalinikos (GRE),BOLL Timo (GER),KREANGA Kalinikos
Pro Tour Grand Finals Stockholm 2002,2002-12-12,CHUANG Chih-Yuan,KREANGA Kalinikos,4,3,"11,11,9,10,11,7,11|9,7,11,12,1,11,6",F,GRAND_SLAM,MS,1509,Main Draw,CHUANG Chih-Yuan (TPE),KREANGA Kalinikos (GRE),CHUANG Chih-Yuan
Pro Tour Grand Finals Stockholm 2002,2002-12-12,ZHANG Yining,STEFF Mihaela,4,1,"14,11,11,11,11|12,13,5,2,5",R16,GRAND_SLAM,WS,1509,Main Draw,ZHANG Yining (CHN),STEFF Mihaela (ROU),ZHANG Yining
Pro Tour Grand Finals Stockholm 2002,2002-12-12,LIN Ling,JOHANSSON Sandra,4,1,"13,11,11,10,11|11,2,7,12,7",R16,GRAND_SLAM,WS,1509,Main Draw,LIN Ling (HKG),JOHANSSON Sandra (SWE),LIN Ling
Pro Tour Grand Finals Stockholm 2002,2002-12-12,GUO Yan (1982),UMEMURA Aya,4,2,"9,11,5,12,11,16|11,7,11,10,8,14",R16,GRAND_SLAM,WS,1509,Main Draw,GUO Yan (1982) (CHN),UMEMURA Aya (JPN),GUO Yan (1982)
Pro Tour Grand Finals Stockholm 2002,2002-12-12,LI Jiawei,BOROS Tamara,4,2,"11,11,9,9,12,11|4,5,11,11,10,5",R16,GRAND_SLAM,WS,1509,Main Draw,LI Jiawei (SGP),BOROS Tamara (CRO),LI Jiawei
Pro Tour Grand Finals Stockholm 2002,2002-12-12,NIU Jianfeng,JING Junhong,4,2,"8,11,11,6,13,13|11,4,9,11,11,11",R16,GRAND_SLAM,WS,1509,Main Draw,NIU Jianfeng (CHN),JING Junhong (SGP),NIU Jianfeng
Pro Tour Grand Finals Stockholm 2002,2002-12-12,STRUSE Nicole,TIE Yana,4,3,"11,3,11,11,11,13,11|9,11,6,9,13,15,6",R16,GRAND_SLAM,WS,1509,Main Draw,STRUSE Nicole (GER),TIE Yana (HKG),STRUSE Nicole
Pro Tour Grand Finals Stockholm 2002,2002-12-12,LAU Sui Fei,FUJINUMA Ai,4,0,"16,11,11,11|14,8,9,4",R16,GRAND_SLAM,WS,1509,Main Draw,LAU Sui Fei (HKG),FUJINUMA Ai (JPN),LAU Sui Fei
Pro Tour Grand Finals Stockholm 2002,2002-12-12,GUO Yue,LI Nan,4,2,"11,8,8,11,11,11|5,11,11,5,6,8",R16,GRAND_SLAM,WS,1509,Main Draw,GUO Yue (CHN),LI Nan (CHN),GUO Yue
Pro Tour Grand Finals Stockholm 2002,2002-12-12,ZHANG Yining,LIN Ling,4,2,"11,11,8,10,11,11|7,4,11,12,4,2",QF,GRAND_SLAM,WS,1509,Main Draw,ZHANG Yining (CHN),LIN Ling (HKG),ZHANG Yining
Pro Tour Grand Finals Stockholm 2002,2002-12-12,GUO Yan (1982),LI Jiawei,4,3,"11,11,1,8,6,11,12|4,6,11,11,11,2,10",QF,GRAND_SLAM,WS,1509,Main Draw,GUO Yan (1982) (CHN),LI Jiawei (SGP),GUO Yan (1982)
Pro Tour Grand Finals Stockholm 2002,2002-12-12,NIU Jianfeng,STRUSE Nicole,4,0,"11,11,11,11|7,2,8,6",QF,GRAND_SLAM,WS,1509,Main Draw,NIU Jianfeng (CHN),STRUSE Nicole (GER),NIU Jianfeng
Pro Tour Grand Finals Stockholm 2002,2002-12-12,GUO Yue,LAU Sui Fei,4,2,"11,11,6,11,8,12|9,6,11,5,11,10",QF,GRAND_SLAM,WS,1509,Main Draw,GUO Yue (CHN),LAU Sui Fei (HKG),GUO Yue
Pro Tour Grand Finals Stockholm 2002,2002-12-12,ZHANG Yining,GUO Yan (1982),4,1,"11,11,12,7,11|9,8,10,11,9",SF,GRAND_SLAM,WS,1509,Main Draw,ZHANG Yining (CHN),GUO Yan (1982) (CHN),ZHANG Yining
Pro Tour Grand Finals Stockholm 2002,2002-12-12,GUO Yue,NIU Jianfeng,4,2,"11,5,15,11,3,12|9,11,13,2,11,10",SF,GRAND_SLAM,WS,1509,Main Draw,GUO Yue (CHN),NIU Jianfeng (CHN),GUO Yue
Pro Tour Grand Finals Stockholm 2002,2002-12-12,ZHANG Yining,GUO Yue,4,1,"11,13,4,11,11|7,11,11,8,9",F,GRAND_SLAM,WS,1509,Main Draw,ZHANG Yining (CHN),GUO Yue (CHN),ZHANG Yining
