tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Team Table Tennis Championships Dortmund 2012,2012-03-25,LI Ching,GIONIS Panagiotis,3,1,"8,11,11,11|11,7,9,9",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,LI Ching (HKG),GIONIS Panagiotis (GRE),LI Ching
World Team Table Tennis Championships Dortmund 2012,2012-03-25,TANG Peng,PAPAGEORGIOU Konstantinos,3,1,"14,9,11,11|12,11,7,1",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,TANG Peng (HKG),PAPAGEORGIOU Konstantinos (GRE),TANG Peng
World Team Table Tennis Championships Dortmund 2012,2012-03-25,JANG Song Man,HORVAT Mitja,3,0,"11,12,11|8,10,6",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,JANG Song Man (PRK),HORVAT Mitja (SLO),JANG Song Man
World Team Table Tennis Championships Dortmund 2012,2012-03-25,KIM Hyok Bong,ZIBRAT Jan,3,1,"11,9,11,12|9,11,3,10",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,KIM Hyok Bong (PRK),ZIBRAT Jan (SLO),KIM Hyok Bong
World Team Table Tennis Championships Dortmund 2012,2012-03-25,KIM Song Nam,PERSOLJA Ludvik,3,0,"11,11,11|2,6,7",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,KIM Song Nam (PRK),PERSOLJA Ludvik (SLO),KIM Song Nam
World Team Table Tennis Championships Dortmund 2012,2012-03-25,ZHANG Jike,LEUNG Chu Yan,3,0,"11,11,11|5,7,8",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,ZHANG Jike (CHN),LEUNG Chu Yan (HKG),ZHANG Jike
World Team Table Tennis Championships Dortmund 2012,2012-03-25,WANG Hao,LI Ching,3,0,"11,11,11|6,6,9",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,WANG Hao (CHN),LI Ching (HKG),WANG Hao
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MA Lin,CHEUNG Yuk,3,2,"7,11,11,8,11|11,9,5,11,4",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MA Lin (CHN),CHEUNG Yuk (HKG),MA Lin
World Team Table Tennis Championships Dortmund 2012,2012-03-25,GERELL Par,LASAN Sas,3,0,"11,15,13|7,13,11",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,GERELL Par (SWE),LASAN Sas (SLO),GERELL Par
World Team Table Tennis Championships Dortmund 2012,2012-03-25,ZIBRAT Jan,PERSSON Jorgen,3,2,"5,11,9,11,11|11,9,11,7,7",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,ZIBRAT Jan (SLO),PERSSON Jorgen (SWE),ZIBRAT Jan
World Team Table Tennis Championships Dortmund 2012,2012-03-25,LUNDQVIST Jens,HORVAT Mitja,3,0,"11,11,11|9,6,7",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,LUNDQVIST Jens (SWE),HORVAT Mitja (SLO),LUNDQVIST Jens
World Team Table Tennis Championships Dortmund 2012,2012-03-25,ZIBRAT Jan,GERELL Par,3,2,"12,4,3,11,11|10,11,11,9,6",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,ZIBRAT Jan (SLO),GERELL Par (SWE),ZIBRAT Jan
World Team Table Tennis Championships Dortmund 2012,2012-03-25,PERSSON Jorgen,LASAN Sas,3,1,"9,11,11,11|11,8,8,9",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,PERSSON Jorgen (SWE),LASAN Sas (SLO),PERSSON Jorgen
World Team Table Tennis Championships Dortmund 2012,2012-03-25,KIM Hyok Bong,GIONIS Panagiotis,3,2,"5,11,6,11,11|11,8,11,9,6",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,KIM Hyok Bong (PRK),GIONIS Panagiotis (GRE),KIM Hyok Bong
World Team Table Tennis Championships Dortmund 2012,2012-03-25,KREANGA Kalinikos,JANG Song Man,3,0,"13,12,11|11,10,7",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,KREANGA Kalinikos (GRE),JANG Song Man (PRK),KREANGA Kalinikos
World Team Table Tennis Championships Dortmund 2012,2012-03-25,PAPAGEORGIOU Konstantinos,KIM Song Nam,3,0,"11,11,11|9,4,7",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,PAPAGEORGIOU Konstantinos (GRE),KIM Song Nam (PRK),PAPAGEORGIOU Konstantinos
World Team Table Tennis Championships Dortmund 2012,2012-03-25,GIONIS Panagiotis,JANG Song Man,3,2,"11,8,8,11,11|4,11,11,6,8",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,GIONIS Panagiotis (GRE),JANG Song Man (PRK),GIONIS Panagiotis
