tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Team Table Tennis Championships Dortmund 2012,2012-03-25,ZHMUDENKO Yaroslav,JEAN Lauric,3,2,"4,11,11,7,11|11,8,7,11,6",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,ZHMUDENKO Yaroslav (UKR),JEAN Lauric (BEL),ZHMUDENKO Yaroslav
World Team Table Tennis Championships Dortmund 2012,2012-03-25,KOU Lei,NUYTINCK Cedric,3,2,"8,9,11,11,11|11,11,9,5,4",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,KOU Lei (UKR),NUYTINCK Cedric (BEL),KOU Lei
World Team Table Tennis Championships Dortmund 2012,2012-03-25,DIDUKH Oleksandr,ROGIERS Benjamin,3,1,"9,11,11,11|11,4,3,8",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,DIDUKH Oleksandr (UKR),ROGIERS Benjamin (BEL),DIDUKH Oleksandr
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MENGE Gencay,CIOCIU Traian,3,0,"11,11,11|5,5,6",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MENGE Gencay (TUR),CIOCIU Traian (LUX),MENGE Gencay
World Team Table Tennis Championships Dortmund 2012,2012-03-25,VANG Bora,MICHELY Gilles,3,0,"11,11,11|1,4,8",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,VANG Bora (TUR),MICHELY Gilles (LUX),VANG Bora
World Team Table Tennis Championships Dortmund 2012,2012-03-25,AVCI Safa,BAST Mike,3,2,"9,11,9,11,11|11,4,11,2,8",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,AVCI Safa (TUR),BAST Mike (LUX),AVCI Safa
World Team Table Tennis Championships Dortmund 2012,2012-03-25,GOLOVANOV Stanislav,RABINOVICH Shimon,3,1,"11,8,11,12|6,11,7,10",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,GOLOVANOV Stanislav (BUL),RABINOVICH Shimon (ISR),GOLOVANOV Stanislav
World Team Table Tennis Championships Dortmund 2012,2012-03-25,BEN ARI Omri,GABROVSKI Petko,3,1,"11,12,8,11|9,10,11,6",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,BEN ARI Omri (ISR),GABROVSKI Petko (BUL),BEN ARI Omri
World Team Table Tennis Championships Dortmund 2012,2012-03-25,YORDANOV Teodor,SHARON Yaniv,3,0,"11,11,11|6,7,8",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,YORDANOV Teodor (BUL),SHARON Yaniv (ISR),YORDANOV Teodor
World Team Table Tennis Championships Dortmund 2012,2012-03-25,RABINOVICH Shimon,GABROVSKI Petko,3,0,"11,11,11|6,8,8",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,RABINOVICH Shimon (ISR),GABROVSKI Petko (BUL),RABINOVICH Shimon
World Team Table Tennis Championships Dortmund 2012,2012-03-25,GOLOVANOV Stanislav,BEN ARI Omri,3,1,"11,9,11,11|5,11,4,9",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,GOLOVANOV Stanislav (BUL),BEN ARI Omri (ISR),GOLOVANOV Stanislav
World Team Table Tennis Championships Dortmund 2012,2012-03-25,KATKOV Ivan,BAST Mike,3,0,"11,11,11|9,6,6",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,KATKOV Ivan (UKR),BAST Mike (LUX),KATKOV Ivan
World Team Table Tennis Championships Dortmund 2012,2012-03-25,DIDUKH Oleksandr,KILL Christian,3,0,"11,11,11|4,9,7",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,DIDUKH Oleksandr (UKR),KILL Christian (LUX),DIDUKH Oleksandr
World Team Table Tennis Championships Dortmund 2012,2012-03-25,KOU Lei,MICHELY Gilles,3,1,"11,7,11,11|4,11,6,8",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,KOU Lei (UKR),MICHELY Gilles (LUX),KOU Lei
World Team Table Tennis Championships Dortmund 2012,2012-03-25,SAIVE Jean-Michel,BEN ARI Omri,3,1,"11,6,11,11|4,11,6,2",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,SAIVE Jean-Michel (BEL),BEN ARI Omri (ISR),SAIVE Jean-Michel
World Team Table Tennis Championships Dortmund 2012,2012-03-25,VOSTES Yannick,TAUBER Michael,3,0,"11,11,11|5,9,4",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,VOSTES Yannick (BEL),TAUBER Michael (ISR),VOSTES Yannick
World Team Table Tennis Championships Dortmund 2012,2012-03-25,JEAN Lauric,DAVIDOVITZ Ron,3,0,"13,16,11|11,14,9",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,JEAN Lauric (BEL),DAVIDOVITZ Ron (ISR),JEAN Lauric
World Team Table Tennis Championships Dortmund 2012,2012-03-25,GOLOVANOV Stanislav,MENGE Gencay,3,0,"11,11,11|3,8,4",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,GOLOVANOV Stanislav (BUL),MENGE Gencay (TUR),GOLOVANOV Stanislav
World Team Table Tennis Championships Dortmund 2012,2012-03-25,VANG Bora,GABROVSKI Petko,3,1,"11,11,9,13|6,7,11,11",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,VANG Bora (TUR),GABROVSKI Petko (BUL),VANG Bora
World Team Table Tennis Championships Dortmund 2012,2012-03-25,AVCI Safa,YORDANOV Teodor,3,0,"11,11,11|4,8,5",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,AVCI Safa (TUR),YORDANOV Teodor (BUL),AVCI Safa
World Team Table Tennis Championships Dortmund 2012,2012-03-25,GOLOVANOV Stanislav,VANG Bora,3,2,"5,10,17,11,13|11,12,15,8,11",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,GOLOVANOV Stanislav (BUL),VANG Bora (TUR),GOLOVANOV Stanislav
World Team Table Tennis Championships Dortmund 2012,2012-03-25,GABROVSKI Petko,MENGE Gencay,3,0,"11,11,11|6,8,7",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,GABROVSKI Petko (BUL),MENGE Gencay (TUR),GABROVSKI Petko
World Team Table Tennis Championships Dortmund 2012,2012-03-25,DRINKHALL Paul,PEREIRA Andy,3,0,"11,11,11|7,7,4",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,DRINKHALL Paul (ENG),PEREIRA Andy (CUB),DRINKHALL Paul
World Team Table Tennis Championships Dortmund 2012,2012-03-25,PITCHFORD Liam,CAMPOS Jorge,3,1,"7,11,11,11|11,8,9,7",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,PITCHFORD Liam (ENG),CAMPOS Jorge (CUB),PITCHFORD Liam
World Team Table Tennis Championships Dortmund 2012,2012-03-25,BAGGALEY Andrew,MORA Yohan,3,0,,GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,BAGGALEY Andrew (ENG),MORA Yohan (CUB),BAGGALEY Andrew
World Team Table Tennis Championships Dortmund 2012,2012-03-25,LASHIN Elsayed,CARTER Trent,3,0,"11,11,11|3,3,5",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,LASHIN Elsayed (EGY),CARTER Trent (AUS),LASHIN Elsayed
World Team Table Tennis Championships Dortmund 2012,2012-03-25,HENZELL William,ASSAR Omar,3,0,"11,11,11|8,8,6",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,HENZELL William (AUS),ASSAR Omar (EGY),HENZELL William
World Team Table Tennis Championships Dortmund 2012,2012-03-25,SALEH Ahmed,FRANK Robert,3,0,"11,11,11|7,5,7",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,SALEH Ahmed (EGY),FRANK Robert (AUS),SALEH Ahmed
World Team Table Tennis Championships Dortmund 2012,2012-03-25,LASHIN Elsayed,HENZELL William,3,2,"11,10,11,9,13|7,12,6,11,11",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,LASHIN Elsayed (EGY),HENZELL William (AUS),LASHIN Elsayed
World Team Table Tennis Championships Dortmund 2012,2012-03-25,LIU Song,MUJICA Henry,3,0,"11,11,11|8,6,9",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,LIU Song (ARG),MUJICA Henry (VEN),LIU Song
World Team Table Tennis Championships Dortmund 2012,2012-03-25,ALTO Gaston,NAVAS Marco,3,1,"6,11,11,11|11,9,9,9",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,ALTO Gaston (ARG),NAVAS Marco (VEN),ALTO Gaston
World Team Table Tennis Championships Dortmund 2012,2012-03-25,TABACHNIK Pablo,MEDINA Jan,3,0,"11,11,11|9,7,5",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,TABACHNIK Pablo (ARG),MEDINA Jan (VEN),TABACHNIK Pablo
World Team Table Tennis Championships Dortmund 2012,2012-03-25,BAGGALEY Andrew,MUJICA Henry,3,0,"11,11,11|4,5,5",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,BAGGALEY Andrew (ENG),MUJICA Henry (VEN),BAGGALEY Andrew
World Team Table Tennis Championships Dortmund 2012,2012-03-25,DRINKHALL Paul,NAVAS Marco,3,2,"11,11,3,6,11|4,6,11,11,1",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,DRINKHALL Paul (ENG),NAVAS Marco (VEN),DRINKHALL Paul
World Team Table Tennis Championships Dortmund 2012,2012-03-25,REED Daniel,CORREA Cecilio,3,1,"6,11,11,11|11,6,9,7",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,REED Daniel (ENG),CORREA Cecilio (VEN),REED Daniel
World Team Table Tennis Championships Dortmund 2012,2012-03-25,LIU Song,LASHIN Elsayed,3,1,"12,3,11,11|10,11,8,4",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,LIU Song (ARG),LASHIN Elsayed (EGY),LIU Song
World Team Table Tennis Championships Dortmund 2012,2012-03-25,ASSAR Omar,TABACHNIK Pablo,3,0,"11,16,11|8,14,3",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,ASSAR Omar (EGY),TABACHNIK Pablo (ARG),ASSAR Omar
World Team Table Tennis Championships Dortmund 2012,2012-03-25,SALEH Ahmed,ALTO Gaston,3,0,"11,11,13|7,4,11",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,SALEH Ahmed (EGY),ALTO Gaston (ARG),SALEH Ahmed
World Team Table Tennis Championships Dortmund 2012,2012-03-25,ASSAR Omar,LIU Song,3,0,"12,11,11|10,8,9",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,ASSAR Omar (EGY),LIU Song (ARG),ASSAR Omar
World Team Table Tennis Championships Dortmund 2012,2012-03-25,FRANK Robert,PEREIRA Andy,3,2,"7,11,9,11,13|11,9,11,6,11",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,FRANK Robert (AUS),PEREIRA Andy (CUB),FRANK Robert
World Team Table Tennis Championships Dortmund 2012,2012-03-25,HENZELL William,CAMPOS Jorge,3,1,"11,9,12,11|4,11,10,1",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,HENZELL William (AUS),CAMPOS Jorge (CUB),HENZELL William
World Team Table Tennis Championships Dortmund 2012,2012-03-25,POWELL David,MORA Yohan,3,0,,GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,POWELL David (AUS),MORA Yohan (CUB),POWELL David
World Team Table Tennis Championships Dortmund 2012,2012-03-25,DRINKHALL Paul,TABACHNIK Pablo,3,0,"11,11,11|7,1,3",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,DRINKHALL Paul (ENG),TABACHNIK Pablo (ARG),DRINKHALL Paul
World Team Table Tennis Championships Dortmund 2012,2012-03-25,PITCHFORD Liam,ALTO Gaston,3,1,"11,11,11,16|13,4,7,14",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,PITCHFORD Liam (ENG),ALTO Gaston (ARG),PITCHFORD Liam
World Team Table Tennis Championships Dortmund 2012,2012-03-25,CHEN Weixing,GORAK Daniel,3,0,"11,11,11|7,7,9",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,CHEN Weixing (AUT),GORAK Daniel (POL),CHEN Weixing
World Team Table Tennis Championships Dortmund 2012,2012-03-25,GARDOS Robert,SUCH Bartosz,3,0,"11,11,11|8,4,2",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,GARDOS Robert (AUT),SUCH Bartosz (POL),GARDOS Robert
World Team Table Tennis Championships Dortmund 2012,2012-03-25,FLORAS Robert,SCHLAGER Werner,3,1,"11,11,11,11|8,6,13,8",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,FLORAS Robert (POL),SCHLAGER Werner (AUT),FLORAS Robert
World Team Table Tennis Championships Dortmund 2012,2012-03-25,GARDOS Robert,GORAK Daniel,3,0,"11,14,11|8,12,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,GARDOS Robert (AUT),GORAK Daniel (POL),GARDOS Robert
World Team Table Tennis Championships Dortmund 2012,2012-03-25,CHUANG Chih-Yuan,LEUNG Chu Yan,3,2,"11,8,6,11,11|6,11,11,7,9",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,CHUANG Chih-Yuan (TPE),LEUNG Chu Yan (HKG),CHUANG Chih-Yuan
World Team Table Tennis Championships Dortmund 2012,2012-03-25,JIANG Tianyi,CHEN Chien-An,3,1,"11,13,8,11|7,11,11,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,JIANG Tianyi (HKG),CHEN Chien-An (TPE),JIANG Tianyi
World Team Table Tennis Championships Dortmund 2012,2012-03-25,WU Chih-Chi,TANG Peng,3,0,"11,11,11|8,9,8",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,WU Chih-Chi (TPE),TANG Peng (HKG),WU Chih-Chi
World Team Table Tennis Championships Dortmund 2012,2012-03-25,JIANG Tianyi,CHUANG Chih-Yuan,3,1,"11,11,8,11|8,5,11,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,JIANG Tianyi (HKG),CHUANG Chih-Yuan (TPE),JIANG Tianyi
World Team Table Tennis Championships Dortmund 2012,2012-03-25,CHEN Chien-An,LEUNG Chu Yan,3,1,"13,11,11,11|11,7,13,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,CHEN Chien-An (TPE),LEUNG Chu Yan (HKG),CHEN Chien-An
World Team Table Tennis Championships Dortmund 2012,2012-03-25,SAMSONOV Vladimir,PANG Xue Jie,3,0,"11,11,11|2,3,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,SAMSONOV Vladimir (BLR),PANG Xue Jie (SGP),SAMSONOV Vladimir
World Team Table Tennis Championships Dortmund 2012,2012-03-25,GAO Ning,CHTCHETININE Evgueni,3,2,"5,11,5,11,11|11,6,11,9,3",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,GAO Ning (SGP),CHTCHETININE Evgueni (BLR),GAO Ning
World Team Table Tennis Championships Dortmund 2012,2012-03-25,YANG Zi,PLATONOV Pavel,3,1,"11,11,9,15|9,6,11,13",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,YANG Zi (SGP),PLATONOV Pavel (BLR),YANG Zi
World Team Table Tennis Championships Dortmund 2012,2012-03-25,GAO Ning,SAMSONOV Vladimir,3,0,"11,11,13|8,8,11",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,GAO Ning (SGP),SAMSONOV Vladimir (BLR),GAO Ning
World Team Table Tennis Championships Dortmund 2012,2012-03-25,LUNDQVIST Jens,MONTEIRO Joao,3,1,"9,11,11,11|11,9,5,9",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,LUNDQVIST Jens (SWE),MONTEIRO Joao (POR),LUNDQVIST Jens
World Team Table Tennis Championships Dortmund 2012,2012-03-25,GERELL Par,FREITAS Marcos,3,1,"11,11,9,16|6,6,11,14",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,GERELL Par (SWE),FREITAS Marcos (POR),GERELL Par
World Team Table Tennis Championships Dortmund 2012,2012-03-25,PERSSON Jorgen,SILVA Andre,3,1,"11,11,5,11|5,6,11,4",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,PERSSON Jorgen (SWE),SILVA Andre (POR),PERSSON Jorgen
World Team Table Tennis Championships Dortmund 2012,2012-03-25,ZHANG Jike,CHEN Weixing,3,0,"11,11,12|8,8,10",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,ZHANG Jike (CHN),CHEN Weixing (AUT),ZHANG Jike
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MA Lin,GARDOS Robert,3,1,"11,10,11,11|9,12,9,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MA Lin (CHN),GARDOS Robert (AUT),MA Lin
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MA Long,HABESOHN Daniel,3,0,"11,11,11|8,4,9",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MA Long (CHN),HABESOHN Daniel (AUT),MA Long
World Team Table Tennis Championships Dortmund 2012,2012-03-25,OH Sangeun,CHEN Chien-An,3,0,"11,11,11|8,7,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,OH Sangeun (KOR),CHEN Chien-An (TPE),OH Sangeun
World Team Table Tennis Championships Dortmund 2012,2012-03-25,RYU Seungmin,WU Chih-Chi,3,0,"11,11,11|9,4,8",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,RYU Seungmin (KOR),WU Chih-Chi (TPE),RYU Seungmin
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MIZUTANI Jun,PANG Xue Jie,3,0,"11,11,11|7,6,3",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MIZUTANI Jun (JPN),PANG Xue Jie (SGP),MIZUTANI Jun
World Team Table Tennis Championships Dortmund 2012,2012-03-25,NIWA Koki,GAO Ning,3,0,"13,11,13|11,7,11",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,NIWA Koki (JPN),GAO Ning (SGP),NIWA Koki
World Team Table Tennis Championships Dortmund 2012,2012-03-25,YANG Zi,MATSUDAIRA Kenji,3,1,"11,9,12,11|4,11,10,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,YANG Zi (SGP),MATSUDAIRA Kenji (JPN),YANG Zi
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MIZUTANI Jun,GAO Ning,3,2,"11,11,7,10,13|7,8,11,12,11",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MIZUTANI Jun (JPN),GAO Ning (SGP),MIZUTANI Jun
World Team Table Tennis Championships Dortmund 2012,2012-03-25,OVTCHAROV Dimitrij,PERSSON Jorgen,3,0,"11,13,11|5,11,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,OVTCHAROV Dimitrij (GER),PERSSON Jorgen (SWE),OVTCHAROV Dimitrij
World Team Table Tennis Championships Dortmund 2012,2012-03-25,BOLL Timo,LUNDQVIST Jens,3,1,"11,11,11,11|3,13,6,2",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,BOLL Timo (GER),LUNDQVIST Jens (SWE),BOLL Timo
World Team Table Tennis Championships Dortmund 2012,2012-03-25,BAUM Patrick,GERELL Par,3,0,"11,11,11|5,5,4",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,BAUM Patrick (GER),GERELL Par (SWE),BAUM Patrick
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MA Long,OH Sangeun,3,0,"11,11,12|2,7,10",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MA Long (CHN),OH Sangeun (KOR),MA Long
World Team Table Tennis Championships Dortmund 2012,2012-03-25,WANG Hao,RYU Seungmin,3,1,"4,11,11,11|11,5,3,8",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,WANG Hao (CHN),RYU Seungmin (KOR),WANG Hao
World Team Table Tennis Championships Dortmund 2012,2012-03-25,ZHANG Jike,KIM Minseok,3,1,"8,12,11,11|11,10,5,2",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,ZHANG Jike (CHN),KIM Minseok (KOR),ZHANG Jike
World Team Table Tennis Championships Dortmund 2012,2012-03-25,OVTCHAROV Dimitrij,MIZUTANI Jun,3,0,"11,15,13|7,13,11",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,OVTCHAROV Dimitrij (GER),MIZUTANI Jun (JPN),OVTCHAROV Dimitrij
World Team Table Tennis Championships Dortmund 2012,2012-03-25,BOLL Timo,NIWA Koki,3,0,"11,11,11|5,7,9",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,BOLL Timo (GER),NIWA Koki (JPN),BOLL Timo
World Team Table Tennis Championships Dortmund 2012,2012-03-25,KISHIKAWA Seiya,BAUM Patrick,3,1,"11,11,5,13|9,6,11,11",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,KISHIKAWA Seiya (JPN),BAUM Patrick (GER),KISHIKAWA Seiya
World Team Table Tennis Championships Dortmund 2012,2012-03-25,BOLL Timo,MIZUTANI Jun,3,0,"11,11,13|6,8,11",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,BOLL Timo (GER),MIZUTANI Jun (JPN),BOLL Timo
World Team Table Tennis Championships Dortmund 2012,2012-03-25,ZHANG Jike,BOLL Timo,3,2,"12,11,9,10,11|10,6,11,12,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,ZHANG Jike (CHN),BOLL Timo (GER),ZHANG Jike
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MA Long,OVTCHAROV Dimitrij,3,0,"11,11,13|3,9,11",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MA Long (CHN),OVTCHAROV Dimitrij (GER),MA Long
World Team Table Tennis Championships Dortmund 2012,2012-03-25,WANG Hao,BAUM Patrick,3,1,"8,11,11,12|11,5,5,10",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,WANG Hao (CHN),BAUM Patrick (GER),WANG Hao
World Team Table Tennis Championships Dortmund 2012,2012-03-25,HABESOHN Daniel,CHIANG Hung-Chieh,3,2,"8,12,11,5,11|11,10,8,11,5",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,HABESOHN Daniel (AUT),CHIANG Hung-Chieh (TPE),HABESOHN Daniel
World Team Table Tennis Championships Dortmund 2012,2012-03-25,GARDOS Robert,WU Chih-Chi,3,1,"11,14,9,11|6,12,11,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,GARDOS Robert (AUT),WU Chih-Chi (TPE),GARDOS Robert
World Team Table Tennis Championships Dortmund 2012,2012-03-25,CHEN Weixing,LEE Chia-Sheng,3,0,"11,11,11|3,8,5",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,CHEN Weixing (AUT),LEE Chia-Sheng (TPE),CHEN Weixing
World Team Table Tennis Championships Dortmund 2012,2012-03-25,LUNDQVIST Jens,YANG Zi,3,0,"11,11,12|9,8,10",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,LUNDQVIST Jens (SWE),YANG Zi (SGP),LUNDQVIST Jens
World Team Table Tennis Championships Dortmund 2012,2012-03-25,GAO Ning,PERSSON Jorgen,3,2,"6,11,11,7,11|11,6,3,11,5",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,GAO Ning (SGP),PERSSON Jorgen (SWE),GAO Ning
World Team Table Tennis Championships Dortmund 2012,2012-03-25,LUNDQVIST Jens,GAO Ning,3,1,"11,6,11,11|7,11,9,5",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,LUNDQVIST Jens (SWE),GAO Ning (SGP),LUNDQVIST Jens
World Team Table Tennis Championships Dortmund 2012,2012-03-25,HABESOHN Daniel,KARLSSON Kristian,3,2,"8,11,11,11,11|11,13,6,7,5",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,HABESOHN Daniel (AUT),KARLSSON Kristian (SWE),HABESOHN Daniel
World Team Table Tennis Championships Dortmund 2012,2012-03-25,SVENSSON Robert,FEGERL Stefan,3,2,"8,11,11,7,11|11,8,5,11,5",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,SVENSSON Robert (SWE),FEGERL Stefan (AUT),SVENSSON Robert
World Team Table Tennis Championships Dortmund 2012,2012-03-25,CHEN Weixing,LUNDQVIST Jens,3,1,"7,11,11,11|11,8,9,5",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,CHEN Weixing (AUT),LUNDQVIST Jens (SWE),CHEN Weixing
World Team Table Tennis Championships Dortmund 2012,2012-03-25,HABESOHN Daniel,SVENSSON Robert,3,1,"11,11,12,11|9,5,14,8",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,HABESOHN Daniel (AUT),SVENSSON Robert (SWE),HABESOHN Daniel
World Team Table Tennis Championships Dortmund 2012,2012-03-25,CHIANG Hung-Chieh,YANG Zi,3,0,"11,11,11|7,5,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,CHIANG Hung-Chieh (TPE),YANG Zi (SGP),CHIANG Hung-Chieh
World Team Table Tennis Championships Dortmund 2012,2012-03-25,CHEW Clarence,CHEN Chien-An,3,1,"11,11,5,11|9,8,11,8",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,CHEW Clarence (SGP),CHEN Chien-An (TPE),CHEW Clarence
World Team Table Tennis Championships Dortmund 2012,2012-03-25,GAO Ning,LEE Chia-Sheng,3,0,"11,11,11|5,6,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,GAO Ning (SGP),LEE Chia-Sheng (TPE),GAO Ning
World Team Table Tennis Championships Dortmund 2012,2012-03-25,CHEN Chien-An,YANG Zi,3,1,"8,11,11,11|11,4,9,6",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,CHEN Chien-An (TPE),YANG Zi (SGP),CHEN Chien-An
World Team Table Tennis Championships Dortmund 2012,2012-03-25,CHIANG Hung-Chieh,CHEW Clarence,3,0,"15,11,11|13,7,9",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,CHIANG Hung-Chieh (TPE),CHEW Clarence (SGP),CHIANG Hung-Chieh
World Team Table Tennis Championships Dortmund 2012,2012-03-25,JIANG Tianyi,FLORAS Robert,3,0,"12,11,11|10,2,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,JIANG Tianyi (HKG),FLORAS Robert (POL),JIANG Tianyi
World Team Table Tennis Championships Dortmund 2012,2012-03-25,GORAK Daniel,TANG Peng,3,2,"11,11,9,6,11|7,7,11,11,7",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,GORAK Daniel (POL),TANG Peng (HKG),GORAK Daniel
World Team Table Tennis Championships Dortmund 2012,2012-03-25,CHEUNG Yuk,SUCH Bartosz,3,1,"12,12,11,11|14,10,2,3",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,CHEUNG Yuk (HKG),SUCH Bartosz (POL),CHEUNG Yuk
World Team Table Tennis Championships Dortmund 2012,2012-03-25,JIANG Tianyi,GORAK Daniel,3,1,"12,14,7,11|10,12,11,8",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,JIANG Tianyi (HKG),GORAK Daniel (POL),JIANG Tianyi
World Team Table Tennis Championships Dortmund 2012,2012-03-25,SAMSONOV Vladimir,MONTEIRO Joao,3,2,"8,11,10,11,11|11,9,12,4,9",,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,SAMSONOV Vladimir (BLR),MONTEIRO Joao (POR),SAMSONOV Vladimir
