tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
WTT Cup Finals Singapore 2021,2021-12-04,WANG Yidi,DIAZ Adriana,CHN,PUR,3,1,"13,11,5,11|11,3,11,9",R16,WTT_CHAMPIONS,WS,2516,Main Draw,WANG Yidi (CHN),DIAZ Adriana (PUR),,,3 - 1,13:11 11:3 5:11 11:9,WANG Yidi,2021
WTT Cup Finals Singapore 2021,2021-12-04,SATO Hitomi,POLCANOVA Sofia,JPN,AUT,3,1,"11,12,13,11|13,10,11,9",R16,WTT_CHAMPIONS,WS,2516,Main Draw,SATO Hitomi (JPN),POLCANOVA Sofia (AUT),,,3 - 1,11:13 12:10 13:11 11:9,SATO Hitomi,2021
WTT Cup Finals Singapore 2021,2021-12-04,JEOUNG Youngsik,LEE Sang Su,KOR,KOR,3,1,"11,5,11,11|3,11,6,5",R16,WTT_CHAMPIONS,MS,2516,Main Draw,JEOUNG Youngsik (KOR),LEE Sang Su (KOR),,,3 - 1,11:3 5:11 11:6 11:5,JEOUNG Youngsik,2021
WTT Cup Finals Singapore 2021,2021-12-04,CHEN Xingtong,HIRANO Miu,CHN,JPN,3,0,"11,11,11|6,7,8",R16,WTT_CHAMPIONS,WS,2516,Main Draw,CHEN Xingtong (CHN),HIRANO Miu (JPN),,,0 - 3,6:11 7:11 8:11,CHEN Xingtong,2021
WTT Cup Finals Singapore 2021,2021-12-04,CHEN Meng,ISHIKAWA Kasumi,CHN,JPN,3,1,"11,9,11,12|8,11,5,10",R16,WTT_CHAMPIONS,WS,2516,Main Draw,CHEN Meng (CHN),ISHIKAWA Kasumi (JPN),,,3 - 1,11:8 9:11 11:5 12:10,CHEN Meng,2021
WTT Cup Finals Singapore 2021,2021-12-04,PITCHFORD Liam,JANG Woojin,ENG,KOR,3,2,"12,8,13,11,11|10,11,15,8,6",R16,WTT_CHAMPIONS,MS,2516,Main Draw,PITCHFORD Liam (ENG),JANG Woojin (KOR),,,3 - 2,12:10 8:11 13:15 11:8 11:6,PITCHFORD Liam,2021
WTT Cup Finals Singapore 2021,2021-12-04,FENG Tianwei,JEON Jihee,SGP,KOR,3,1,"11,11,8,11|6,8,11,5",R16,WTT_CHAMPIONS,WS,2516,Main Draw,FENG Tianwei (SGP),JEON Jihee (KOR),,,3 - 1,11:6 11:8 8:11 11:5,FENG Tianwei,2021
WTT Cup Finals Singapore 2021,2021-12-04,WANG Chuqin,LIN Yun-Ju,CHN,TPE,3,0,"11,11,11|5,8,7",R16,WTT_CHAMPIONS,MS,2516,Main Draw,WANG Chuqin (CHN),LIN Yun-Ju (TPE),,,0 - 3,5:11 8:11 7:11,WANG Chuqin,2021
WTT Cup Finals Singapore 2021,2021-12-04,FAN Zhendong,FRANZISKA Patrick,CHN,GER,3,0,"14,11,11|12,7,9",R16,WTT_CHAMPIONS,MS,2516,Main Draw,FAN Zhendong (CHN),FRANZISKA Patrick (GER),,,3 - 0,14:12 11:7 11:9,FAN Zhendong,2021
WTT Cup Finals Singapore 2021,2021-12-04,DOO Hoi Kem,WANG Manyu,HKG,CHN,3,0,"11,11,11|7,6,7",R16,WTT_CHAMPIONS,WS,2516,Main Draw,DOO Hoi Kem (HKG),WANG Manyu (CHN),,,3 - 0,11:7 11:6 11:7,DOO Hoi Kem,2021
WTT Cup Finals Singapore 2021,2021-12-04,HAYATA Hina,CHENG I-Ching,JPN,TPE,3,1,"11,11,14,14|6,13,12,12",R16,WTT_CHAMPIONS,WS,2516,Main Draw,HAYATA Hina (JPN),CHENG I-Ching (TPE),,,3 - 1,11:6 11:13 14:12 14:12,HAYATA Hina,2021
WTT Cup Finals Singapore 2021,2021-12-04,ARUNA Quadri,LIANG Jingkun,NGR,CHN,3,1,"7,11,14,11|11,1,12,5",R16,WTT_CHAMPIONS,MS,2516,Main Draw,ARUNA Quadri (NGR),LIANG Jingkun (CHN),,,1 - 3,11:7 1:11 12:14 5:11,ARUNA Quadri,2021
WTT Cup Finals Singapore 2021,2021-12-04,SUN Yingsha,SOLJA Petrissa,CHN,GER,3,0,"11,11,11|4,5,7",R16,WTT_CHAMPIONS,WS,2516,Main Draw,SUN Yingsha (CHN),SOLJA Petrissa (GER),,,0 - 3,4:11 5:11 7:11,SUN Yingsha,2021
WTT Cup Finals Singapore 2021,2021-12-04,WONG Chun Ting,GAUZY Simon,HKG,FRA,3,1,"11,7,11,11|7,11,8,8",R16,WTT_CHAMPIONS,MS,2516,Main Draw,WONG Chun Ting (HKG),GAUZY Simon (FRA),,,1 - 3,7:11 11:7 8:11 8:11,WONG Chun Ting,2021
WTT Cup Finals Singapore 2021,2021-12-04,HARIMOTO Tomokazu,KARLSSON Mattias,JPN,SWE,3,0,"11,11,11|6,8,8",R16,WTT_CHAMPIONS,MS,2516,Main Draw,HARIMOTO Tomokazu (JPN),KARLSSON Mattias (SWE),,,0 - 3,6:11 8:11 8:11,HARIMOTO Tomokazu,2021
WTT Cup Finals Singapore 2021,2021-12-04,CALDERANO Hugo,LIN Gaoyuan,BRA,CHN,3,0,"11,11,13|8,9,11",R16,WTT_CHAMPIONS,MS,2516,Main Draw,CALDERANO Hugo (BRA),LIN Gaoyuan (CHN),,,0 - 3,8:11 9:11 11:13,CALDERANO Hugo,2021
WTT Cup Finals Singapore 2021,2021-12-04,FAN Zhendong,JEOUNG Youngsik,CHN,KOR,3,0,"11,16,11|6,14,6",QF,WTT_CHAMPIONS,MS,2516,Main Draw,FAN Zhendong (CHN),JEOUNG Youngsik (KOR),,,3 - 0,11:6 16:14 11:6,FAN Zhendong,2021
WTT Cup Finals Singapore 2021,2021-12-04,CHEN Meng,FENG Tianwei,CHN,SGP,3,0,"11,11,11|6,5,7",QF,WTT_CHAMPIONS,WS,2516,Main Draw,CHEN Meng (CHN),FENG Tianwei (SGP),,,3 - 0,11:6 11:5 11:7,CHEN Meng,2021
WTT Cup Finals Singapore 2021,2021-12-04,WANG Yidi,SATO Hitomi,CHN,JPN,3,1,"9,11,11,11|11,7,9,8",QF,WTT_CHAMPIONS,WS,2516,Main Draw,WANG Yidi (CHN),SATO Hitomi (JPN),,,3 - 1,9:11 11:7 11:9 11:8,WANG Yidi,2021
WTT Cup Finals Singapore 2021,2021-12-04,WANG Chuqin,PITCHFORD Liam,CHN,ENG,3,0,"11,11,12|8,6,10",QF,WTT_CHAMPIONS,MS,2516,Main Draw,WANG Chuqin (CHN),PITCHFORD Liam (ENG),,,3 - 0,11:8 11:6 12:10,WANG Chuqin,2021
WTT Cup Finals Singapore 2021,2021-12-04,HAYATA Hina,DOO Hoi Kem,JPN,HKG,3,1,"11,11,6,11|1,5,11,8",QF,WTT_CHAMPIONS,WS,2516,Main Draw,HAYATA Hina (JPN),DOO Hoi Kem (HKG),,,3 - 1,11:1 11:5 6:11 11:8,HAYATA Hina,2021
WTT Cup Finals Singapore 2021,2021-12-04,SUN Yingsha,CHEN Xingtong,CHN,CHN,3,0,"11,11,11|5,9,7",QF,WTT_CHAMPIONS,WS,2516,Main Draw,SUN Yingsha (CHN),CHEN Xingtong (CHN),,,0 - 3,5:11 9:11 7:11,SUN Yingsha,2021
WTT Cup Finals Singapore 2021,2021-12-04,HARIMOTO Tomokazu,WONG Chun Ting,JPN,HKG,3,1,"11,7,11,13|4,11,6,11",QF,WTT_CHAMPIONS,MS,2516,Main Draw,HARIMOTO Tomokazu (JPN),WONG Chun Ting (HKG),,,1 - 3,4:11 11:7 6:11 11:13,HARIMOTO Tomokazu,2021
WTT Cup Finals Singapore 2021,2021-12-04,CALDERANO Hugo,ARUNA Quadri,BRA,NGR,3,1,"11,6,11,11|6,11,8,4",QF,WTT_CHAMPIONS,MS,2516,Main Draw,CALDERANO Hugo (BRA),ARUNA Quadri (NGR),,,1 - 3,6:11 11:6 8:11 4:11,CALDERANO Hugo,2021
WTT Cup Finals Singapore 2021,2021-12-04,WANG Yidi,CHEN Meng,CHN,CHN,4,3,"11,8,12,11,5,11,12|8,11,14,4,11,8,10",SF,WTT_CHAMPIONS,WS,2516,Main Draw,WANG Yidi (CHN),CHEN Meng (CHN),,,3 - 4,8:11 11:8 14:12 4:11 11:5 8:11 10:12,WANG Yidi,2021
WTT Cup Finals Singapore 2021,2021-12-04,SUN Yingsha,HAYATA Hina,CHN,JPN,4,1,"6,11,11,11,11|11,9,6,9,8",SF,WTT_CHAMPIONS,WS,2516,Main Draw,SUN Yingsha (CHN),HAYATA Hina (JPN),,,1 - 4,11:6 9:11 6:11 9:11 8:11,SUN Yingsha,2021
WTT Cup Finals Singapore 2021,2021-12-04,FAN Zhendong,WANG Chuqin,CHN,CHN,4,2,"9,11,12,6,11,11|11,9,10,11,7,9",SF,WTT_CHAMPIONS,MS,2516,Main Draw,FAN Zhendong (CHN),WANG Chuqin (CHN),,,4 - 2,9:11 11:9 12:10 6:11 11:7 11:9,FAN Zhendong,2021
WTT Cup Finals Singapore 2021,2021-12-04,HARIMOTO Tomokazu,CALDERANO Hugo,JPN,BRA,4,1,"11,11,14,11,11|6,9,16,5,3",SF,WTT_CHAMPIONS,MS,2516,Main Draw,HARIMOTO Tomokazu (JPN),CALDERANO Hugo (BRA),,,4 - 1,11:6 11:9 14:16 11:5 11:3,HARIMOTO Tomokazu,2021
WTT Cup Finals Singapore 2021,2021-12-04,SUN Yingsha,WANG Yidi,CHN,CHN,4,2,"11,17,11,7,6,11|3,15,6,11,11,8",F,WTT_CHAMPIONS,WS,2516,Main Draw,SUN Yingsha (CHN),WANG Yidi (CHN),,,2 - 4,3:11 15:17 6:11 11:7 11:6 8:11,SUN Yingsha,2021
WTT Cup Finals Singapore 2021,2021-12-04,FAN Zhendong,HARIMOTO Tomokazu,CHN,JPN,4,1,"11,9,11,11,11|8,11,9,7,5",F,WTT_CHAMPIONS,MS,2516,Main Draw,FAN Zhendong (CHN),HARIMOTO Tomokazu (JPN),,,4 - 1,11:8 9:11 11:9 11:7 11:5,FAN Zhendong,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,FRANSSON Alexander,BJURSTROM Jacob,NOR,LUX,3,0,"11,15,11|9,13,5",,WTT_CONTENDER,MS,2479,Main Draw,FRANSSON Alexander (NOR),BJURSTROM Jacob (LUX),,,0 - 3,9:11 13:15 5:11,FRANSSON Alexander,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,SKARSHOLM Patrick,NIELSEN Ivik,DEN,GRL,3,1,"16,11,11,12|18,2,7,10",,WTT_CONTENDER,MS,2479,Main Draw,SKARSHOLM Patrick (DEN),NIELSEN Ivik (GRL),,,1 - 3,18:16 2:11 7:11 10:12,SKARSHOLM Patrick,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,HARDMEIER Elias,EVANS Louie,SUI,WAL,3,0,"11,11,11|3,4,2",,WTT_CONTENDER,MS,2479,Main Draw,HARDMEIER Elias (SUI),EVANS Louie (WAL),,,3 - 0,11:3 11:4 11:2,HARDMEIER Elias,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,MOULLET Barish,TORNER Jakob,SUI,SWE,3,0,"11,11,11|7,6,6",,WTT_CONTENDER,MS,2479,Main Draw,MOULLET Barish (SUI),TORNER Jakob (SWE),,,3 - 0,11:7 11:6 11:6,MOULLET Barish,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,DE HOOP Jochem,THOMIS Felix,NED,ENG,3,1,"11,11,2,13|3,7,11,11",,WTT_CONTENDER,MS,2479,Main Draw,DE HOOP Jochem (NED),THOMIS Felix (ENG),,,1 - 3,3:11 7:11 11:2 11:13,DE HOOP Jochem,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,BERNHARD Denis,GREEN Connor,SUI,ENG,3,1,"11,2,11,11|3,11,7,8",,WTT_CONTENDER,MS,2479,Main Draw,BERNHARD Denis (SUI),GREEN Connor (ENG),,,1 - 3,3:11 11:2 7:11 8:11,BERNHARD Denis,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,SCHARRER Mauro,VETVIK Finn,SUI,NOR,3,0,"11,11,11|6,5,5",,WTT_CONTENDER,MS,2479,Main Draw,SCHARRER Mauro (SUI),VETVIK Finn (NOR),,,0 - 3,6:11 5:11 5:11,SCHARRER Mauro,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,AYUSO Angel,KIM Temirlan,ESP,KAZ,3,0,"11,11,11|2,7,7",,WTT_CONTENDER,MS,2479,Main Draw,AYUSO Angel (ESP),KIM Temirlan (KAZ),,,0 - 3,2:11 7:11 7:11,AYUSO Angel,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,DYEKJAER Theo,BAECHLER Martin,DEN,FRA,3,1,"5,11,11,14|11,6,6,12",,WTT_CONTENDER,MS,2479,Main Draw,DYEKJAER Theo (DEN),BAECHLER Martin (FRA),,,1 - 3,11:5 6:11 6:11 12:14,DYEKJAER Theo,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,SUNDIN Isak Theodor Mikael,HETHERTON Rhys Conor,SWE,WAL,3,0,"11,11,11|7,4,9",,WTT_CONTENDER,MS,2479,Main Draw,SUNDIN Isak Theodor Mikael (SWE),HETHERTON Rhys Conor (WAL),,,0 - 3,7:11 4:11 9:11,SUNDIN Isak Theodor Mikael,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,GILLES Sohan,ELLIS Tobias,FRA,ENG,3,0,"11,11,11|5,9,5",,WTT_CONTENDER,MS,2479,Main Draw,GILLES Sohan (FRA),ELLIS Tobias (ENG),,,0 - 3,5:11 9:11 5:11,GILLES Sohan,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,HEDBOM Max,AHMAD Faisal,SWE,UAE,3,0,"11,11,11|2,5,7",,WTT_CONTENDER,MS,2479,Main Draw,HEDBOM Max (SWE),AHMAD Faisal (UAE),,,0 - 3,2:11 5:11 7:11,HEDBOM Max,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,VAN DESSEL Mael,TRUMMLER Linus,LUX,SUI,3,1,"11,11,10,14|3,3,12,12",,WTT_CONTENDER,MS,2479,Main Draw,VAN DESSEL Mael (LUX),TRUMMLER Linus (SUI),,,1 - 3,3:11 3:11 12:10 12:14,VAN DESSEL Mael,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,ROUINTANESFAHANI Mohammadali,STEVENS Maxim Oliver,IRI,ENG,3,2,"7,12,11,7,11|11,10,5,11,9",,WTT_CONTENDER,MS,2479,Main Draw,ROUINTANESFAHANI Mohammadali (IRI),STEVENS Maxim Oliver (ENG),,,3 - 2,7:11 12:10 11:5 7:11 11:9,ROUINTANESFAHANI Mohammadali,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,SINKEVYCH Bohdan,TUUTTILA Juhana,UKR,FIN,3,0,"11,11,11|4,6,6",,WTT_CONTENDER,MS,2479,Main Draw,SINKEVYCH Bohdan (UKR),TUUTTILA Juhana (FIN),,,3 - 0,11:4 11:6 11:6,SINKEVYCH Bohdan,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,LEBEDA Matyas,RAITER Erik,CZE,KAZ,3,0,"11,19,11|5,17,8",,WTT_CONTENDER,MS,2479,Main Draw,LEBEDA Matyas (CZE),RAITER Erik (KAZ),,,0 - 3,5:11 17:19 8:11,LEBEDA Matyas,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,ZAVADA Mykyta,PIGGOTT Benjamin,UKR,ENG,3,0,"11,11,15|7,6,13",,WTT_CONTENDER,MS,2479,Main Draw,ZAVADA Mykyta (UKR),PIGGOTT Benjamin (ENG),,,0 - 3,7:11 6:11 13:15,ZAVADA Mykyta,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,VALENTA Jan,SANCHEZ Juan Pedro,CZE,ESP,3,0,"11,13,15|3,11,13",,WTT_CONTENDER,MS,2479,Main Draw,VALENTA Jan (CZE),SANCHEZ Juan Pedro (ESP),,,3 - 0,11:3 13:11 15:13,VALENTA Jan,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,DORCESCU Denis,BELAKON Viachaslau,FRA,BLR,3,0,"11,11,11|5,4,2",,WTT_CONTENDER,MS,2479,Main Draw,DORCESCU Denis (FRA),BELAKON Viachaslau (BLR),,,3 - 0,11:5 11:4 11:2,DORCESCU Denis,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,LINDSO Daniel,TRETIAK Nazar,SWE,UKR,3,1,"12,9,11,13|10,11,6,11",,WTT_CONTENDER,MS,2479,Main Draw,LINDSO Daniel (SWE),TRETIAK Nazar (UKR),,,3 - 1,12:10 9:11 11:6 13:11,LINDSO Daniel,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,PEDRAZA Matias,OLESKEVYCH Yaroslav,CHI,UKR,3,1,"11,10,11,11|8,12,7,9",,WTT_CONTENDER,MS,2479,Main Draw,PEDRAZA Matias (CHI),OLESKEVYCH Yaroslav (UKR),,,3 - 1,11:8 10:12 11:7 11:9,PEDRAZA Matias,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,OLAH Benedek,FRANSSON Alexander,FIN,NOR,3,1,"8,11,11,11|11,6,3,8",,WTT_CONTENDER,MS,2479,Main Draw,OLAH Benedek (FIN),FRANSSON Alexander (NOR),,,3 - 1,8:11 11:6 11:3 11:8,OLAH Benedek,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,KUNATS Heorhi,KURMANGALIYEV Alan,BLR,KAZ,3,1,"5,11,11,11|11,8,7,8",,WTT_CONTENDER,MS,2479,Main Draw,KUNATS Heorhi (BLR),KURMANGALIYEV Alan (KAZ),,,1 - 3,11:5 8:11 7:11 8:11,KUNATS Heorhi,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,SKARSHOLM Patrick,PIHKALA Arttu,DEN,FIN,3,0,"11,11,11|4,2,8",,WTT_CONTENDER,MS,2479,Main Draw,SKARSHOLM Patrick (DEN),PIHKALA Arttu (FIN),,,0 - 3,4:11 2:11 8:11,SKARSHOLM Patrick,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,HARDMEIER Elias,VILLANUEVA Nelson,SUI,VEN,3,1,"7,11,11,12|11,5,5,10",,WTT_CONTENDER,MS,2479,Main Draw,HARDMEIER Elias (SUI),VILLANUEVA Nelson (VEN),,,3 - 1,7:11 11:5 11:5 12:10,HARDMEIER Elias,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,MOULLET Barish,ALBALOOSHI Abdulla,SUI,UAE,3,0,"11,14,14|7,12,12",,WTT_CONTENDER,MS,2479,Main Draw,MOULLET Barish (SUI),ALBALOOSHI Abdulla (UAE),,,0 - 3,7:11 12:14 12:14,MOULLET Barish,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,HVID Noah,CARLSSON Charlie,DEN,SWE,3,2,"3,11,11,5,12|11,9,9,11,10",,WTT_CONTENDER,MS,2479,Main Draw,HVID Noah (DEN),CARLSSON Charlie (SWE),,,3 - 2,3:11 11:9 11:9 5:11 12:10,HVID Noah,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,STOLL Loic,VUHKA Maksim,SUI,EST,3,1,"11,9,11,11|6,11,5,5",,WTT_CONTENDER,MS,2479,Main Draw,STOLL Loic (SUI),VUHKA Maksim (EST),,,1 - 3,6:11 11:9 5:11 5:11,STOLL Loic,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,DE HOOP Jochem,TSCHANZ Cedric,NED,SUI,3,0,"11,11,13|5,6,11",,WTT_CONTENDER,MS,2479,Main Draw,DE HOOP Jochem (NED),TSCHANZ Cedric (SUI),,,3 - 0,11:5 11:6 13:11,DE HOOP Jochem,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,PINTO Daniele,BERNHARD Denis,ITA,SUI,3,0,"11,11,12|2,3,10",,WTT_CONTENDER,MS,2479,Main Draw,PINTO Daniele (ITA),BERNHARD Denis (SUI),,,3 - 0,11:2 11:3 12:10,PINTO Daniele,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,CAMARA Gabrielius,PUKK Oskar,NED,EST,3,0,"14,11,11|12,5,7",,WTT_CONTENDER,MS,2479,Main Draw,CAMARA Gabrielius (NED),PUKK Oskar (EST),,,3 - 0,14:12 11:5 11:7,CAMARA Gabrielius,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,TSYHANOUSKI Mikhail,SCHARRER Mauro,BLR,SUI,3,2,"9,7,11,13,11|11,11,7,11,4",,WTT_CONTENDER,MS,2479,Main Draw,TSYHANOUSKI Mikhail (BLR),SCHARRER Mauro (SUI),,,3 - 2,9:11 7:11 11:7 13:11 11:4,TSYHANOUSKI Mikhail,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,AYUSO Angel,EVANS Callum,ESP,WAL,3,1,"7,11,12,13|11,8,10,11",,WTT_CONTENDER,MS,2479,Main Draw,AYUSO Angel (ESP),EVANS Callum (WAL),,,3 - 1,7:11 11:8 12:10 13:11,AYUSO Angel,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,DYEKJAER Theo,ALBALUSHI Salah,DEN,UAE,3,1,"11,5,11,11|5,11,5,5",,WTT_CONTENDER,MS,2479,Main Draw,DYEKJAER Theo (DEN),ALBALUSHI Salah (UAE),,,1 - 3,5:11 11:5 5:11 5:11,DYEKJAER Theo,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,SUNDIN Isak Theodor Mikael,RASANEN Aleksi,SWE,FIN,3,1,"8,11,11,11|11,7,5,9",,WTT_CONTENDER,MS,2479,Main Draw,SUNDIN Isak Theodor Mikael (SWE),RASANEN Aleksi (FIN),,,3 - 1,8:11 11:7 11:5 11:9,SUNDIN Isak Theodor Mikael,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,ZAKHAROV Vladislav,STROGOV Stanislav,KAZ,EST,3,0,"11,11,11|5,3,9",,WTT_CONTENDER,MS,2479,Main Draw,ZAKHAROV Vladislav (KAZ),STROGOV Stanislav (EST),,,0 - 3,5:11 3:11 9:11,ZAKHAROV Vladislav,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,ANGLES Enzo,GILLES Sohan,FRA,FRA,3,1,"11,12,8,11|7,10,11,8",,WTT_CONTENDER,MS,2479,Main Draw,ANGLES Enzo (FRA),GILLES Sohan (FRA),,,1 - 3,7:11 10:12 11:8 8:11,ANGLES Enzo,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,HODAEI Amir Hossein,HEDBOM Max,IRI,SWE,3,2,"16,8,9,11,13|14,11,11,9,11",,WTT_CONTENDER,MS,2479,Main Draw,HODAEI Amir Hossein (IRI),HEDBOM Max (SWE),,,3 - 2,16:14 8:11 9:11 11:9 13:11,HODAEI Amir Hossein,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,KHOSRAVI Sam,LAANE Lauri,FIN,EST,3,0,"11,11,11|9,5,7",,WTT_CONTENDER,MS,2479,Main Draw,KHOSRAVI Sam (FIN),LAANE Lauri (EST),,,0 - 3,9:11 5:11 7:11,KHOSRAVI Sam,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,VAN DESSEL Mael,RODRIGUEZ Ingi Darvis,LUX,ISL,3,0,"11,11,11|7,8,9",,WTT_CONTENDER,MS,2479,Main Draw,VAN DESSEL Mael (LUX),RODRIGUEZ Ingi Darvis (ISL),,,0 - 3,7:11 8:11 9:11,VAN DESSEL Mael,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,ROUINTANESFAHANI Mohammadali,SOINE Samuli,IRI,FIN,3,1,"7,11,11,11|11,3,9,7",,WTT_CONTENDER,MS,2479,Main Draw,ROUINTANESFAHANI Mohammadali (IRI),SOINE Samuli (FIN),,,3 - 1,7:11 11:3 11:9 11:7,ROUINTANESFAHANI Mohammadali,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,OSIRO Pedro,SINKEVYCH Bohdan,SUI,UKR,3,1,"8,12,12,11|11,10,10,7",,WTT_CONTENDER,MS,2479,Main Draw,OSIRO Pedro (SUI),SINKEVYCH Bohdan (UKR),,,3 - 1,8:11 12:10 12:10 11:7,OSIRO Pedro,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,HORT Tomas,HAKASTE Lauri,CZE,FIN,3,2,"11,6,9,11,11|4,11,11,2,5",,WTT_CONTENDER,MS,2479,Main Draw,HORT Tomas (CZE),HAKASTE Lauri (FIN),,,3 - 2,11:4 6:11 9:11 11:2 11:5,HORT Tomas,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,SORHEIM Sigurd,NUNEZ Miguel,NOR,ESP,3,2,"9,12,11,11,11|11,14,9,7,5",,WTT_CONTENDER,MS,2479,Main Draw,SORHEIM Sigurd (NOR),NUNEZ Miguel (ESP),,,2 - 3,11:9 14:12 9:11 7:11 5:11,SORHEIM Sigurd,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,NAUMI Alex,LEBEDA Matyas,FIN,CZE,3,0,"11,11,11|4,7,6",,WTT_CONTENDER,MS,2479,Main Draw,NAUMI Alex (FIN),LEBEDA Matyas (CZE),,,0 - 3,4:11 7:11 6:11,NAUMI Alex,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,AHMADIAN Amin,ZAVADA Mykyta,IRI,UKR,3,1,"11,11,8,11|8,7,11,9",,WTT_CONTENDER,MS,2479,Main Draw,AHMADIAN Amin (IRI),ZAVADA Mykyta (UKR),,,3 - 1,11:8 11:7 8:11 11:9,AHMADIAN Amin,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,BLINKA Michal,THILLEN Eric,CZE,LUX,3,1,"11,8,12,11|4,11,10,5",,WTT_CONTENDER,MS,2479,Main Draw,BLINKA Michal (CZE),THILLEN Eric (LUX),,,1 - 3,4:11 11:8 10:12 5:11,BLINKA Michal,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,KOGANS Daniels,MOHAMMED Jassem,LAT,UAE,3,0,"11,11,11|6,4,9",,WTT_CONTENDER,MS,2479,Main Draw,KOGANS Daniels (LAT),MOHAMMED Jassem (UAE),,,3 - 0,11:6 11:4 11:9,KOGANS Daniels,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,VALENTA Jan,OCONNOR Miikka,CZE,FIN,3,0,"12,11,11|10,3,8",,WTT_CONTENDER,MS,2479,Main Draw,VALENTA Jan (CZE),OCONNOR Miikka (FIN),,,3 - 0,12:10 11:3 11:8,VALENTA Jan,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,LIMONOV Anton,DORCESCU Denis,UKR,FRA,3,0,"11,11,11|6,3,8",,WTT_CONTENDER,MS,2479,Main Draw,LIMONOV Anton (UKR),DORCESCU Denis (FRA),,,3 - 0,11:6 11:3 11:8,LIMONOV Anton,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,LINDSO Daniel,MUSTONEN Aleksi,SWE,FIN,3,0,"11,11,11|5,7,7",,WTT_CONTENDER,MS,2479,Main Draw,LINDSO Daniel (SWE),MUSTONEN Aleksi (FIN),,,3 - 0,11:5 11:7 11:7,LINDSO Daniel,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,PUKK Markkos,ULFARSSON Magnus,EST,ISL,3,0,"11,11,11|9,8,8",,WTT_CONTENDER,MS,2479,Main Draw,PUKK Markkos (EST),ULFARSSON Magnus (ISL),,,0 - 3,9:11 8:11 8:11,PUKK Markkos,2021
ITTF Finlandia Open Lohja 2021,2021-12-02,GERALDO Joao,PEDRAZA Matias,POR,CHI,3,0,"11,11,11|6,6,3",,WTT_CONTENDER,MS,2479,Main Draw,GERALDO Joao (POR),PEDRAZA Matias (CHI),,,0 - 3,6:11 6:11 3:11,GERALDO Joao,2021
