tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
ITTF-Oceania Cup 2022,2022-12-17,YEE Grace Rosi,WANEGUI Julie,FIJ,NCL,4,3,"11,9,11,11,9,9,11|4,11,8,6,11,11,6",QUAL,OTHER,WS,2670,Qualification,YEE Grace Rosi (FIJ),WANEGUI Julie (NCL),,,4 - 3,11:4 9:11 11:8 11:6 9:11 9:11 11:6,YEE Grace Rosi,2022
ITTF-Oceania Cup 2022,2022-12-17,LUM Nicholas,ZHANG Bei Yan,AUS,FIJ,4,0,"11,11,11,11|6,5,6,5",QUAL,OTHER,MS,2670,Qualification,LUM Nicholas (AUS),ZHANG Bei Yan (FIJ),,,4 - 0,11:6 11:5 11:6 11:5,LUM Nicholas,2022
ITTF-Oceania Cup 2022,2022-12-17,DEY Jeremy,AMOR Kelsey,NCL,NZL,4,0,"11,11,11,11|8,4,4,7",QUAL,OTHER,MS,2670,Qualification,DEY Jeremy (NCL),AMOR Kelsey (NZL),,,4 - 0,11:8 11:4 11:4 11:7,DEY Jeremy,2022
ITTF-Oceania Cup 2022,2022-12-17,LIU Yangzi,HANE Maryanne,AUS,PNG,4,0,"11,11,11,11|0,0,5,2",QUAL,OTHER,WS,2670,Qualification,LIU Yangzi (AUS),HANE Maryanne (PNG),,,4 - 0,11:0 11:0 11:5 11:2,LIU Yangzi,2022
ITTF-Oceania Cup 2022,2022-12-17,LI Carolyn,PAUL Anais,FIJ,NCL,4,3,"11,8,9,9,11,11,11|3,11,11,11,8,8,3",QUAL,OTHER,WS,2670,Qualification,LI Carolyn (FIJ),PAUL Anais (NCL),,,4 - 3,11:3 8:11 9:11 9:11 11:8 11:8 11:3,LI Carolyn,2022
ITTF-Oceania Cup 2022,2022-12-17,YAN Xin,WU Vicky,AUS,FIJ,4,0,"11,11,11,11|4,5,2,4",QUAL,OTHER,MS,2670,Qualification,YAN Xin (AUS),WU Vicky (FIJ),,,4 - 0,11:4 11:5 11:2 11:4,YAN Xin,2022
ITTF-Oceania Cup 2022,2022-12-17,DELA PENA Alfred,LOI Geoffrey,NZL,PNG,4,2,"7,11,11,11,11,11|11,6,2,13,7,8",QUAL,OTHER,MS,2670,Qualification,DELA PENA Alfred (NZL),LOI Geoffrey (PNG),,,4 - 2,7:11 11:6 11:2 11:13 11:7 11:8,DELA PENA Alfred,2022
ITTF-Oceania Cup 2022,2022-12-17,JEE Minhyung,AGARI Tammi,AUS,PNG,4,0,"11,11,11,11|3,4,2,3",QUAL,OTHER,WS,2670,Qualification,JEE Minhyung (AUS),AGARI Tammi (PNG),,,4 - 0,11:3 11:4 11:2 11:3,JEE Minhyung,2022
ITTF-Oceania Cup 2022,2022-12-17,YEE Grace Rosi,HANE Maryanne,FIJ,PNG,4,0,"11,11,11,11|6,6,5,3",QUAL,OTHER,WS,2670,Qualification,YEE Grace Rosi (FIJ),HANE Maryanne (PNG),,,4 - 0,11:6 11:6 11:5 11:3,YEE Grace Rosi,2022
ITTF-Oceania Cup 2022,2022-12-17,DEY Jeremy,ZHANG Bei Yan,NCL,FIJ,4,1,"11,11,9,11,11|3,3,11,5,8",QUAL,OTHER,MS,2670,Qualification,DEY Jeremy (NCL),ZHANG Bei Yan (FIJ),,,4 - 1,11:3 11:3 9:11 11:5 11:8,DEY Jeremy,2022
ITTF-Oceania Cup 2022,2022-12-17,LUM Nicholas,AMOR Kelsey,AUS,NZL,4,0,"11,11,11,11|5,7,4,2",QUAL,OTHER,MS,2670,Qualification,LUM Nicholas (AUS),AMOR Kelsey (NZL),,,4 - 0,11:5 11:7 11:4 11:2,LUM Nicholas,2022
