tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
Women's World Cup Guangzhou 2005,2005-12-13,ZHANG Yining,GUO Yue,CHN,CHN,4,2,"9,7,11,11,11,13|11,11,8,6,8,11",QuarterFinal,WORLD_CUP,WS,1761,Main Draw,ZHANG Yining (CHN),GUO Yue (CHN),,,4 - 2,9:11 7:11 11:8 11:6 11:8 13:11,ZHANG Yining,2005
Women's World Cup Guangzhou 2005,2005-12-13,TIE Yana,LIN Ling,HKG,HKG,4,3,"11,11,6,6,11,8,11|8,6,11,11,9,11,9",QuarterFinal,WORLD_CUP,WS,1761,Main Draw,TIE Yana (HKG),LIN Ling (HKG),,,3 - 4,8:11 6:11 11:6 11:6 9:11 11:8 9:11,TIE Yana,2005
Women's World Cup Guangzhou 2005,2005-12-13,FUKUHARA Ai,GAO Jun,JPN,USA,4,2,"13,10,7,11,11,11|11,12,11,6,8,7",QuarterFinal,WORLD_CUP,WS,1761,Main Draw,FUKUHARA Ai (JPN),GAO Jun (USA),,,4 - 2,13:11 10:12 7:11 11:6 11:8 11:7,FUKUHARA Ai,2005
Women's World Cup Guangzhou 2005,2005-12-13,GUO Yan (1982),BOROS Tamara,CHN,CRO,4,1,"11,11,11,7,13|7,6,8,11,11",QuarterFinal,WORLD_CUP,WS,1761,Main Draw,GUO Yan (1982) (CHN),BOROS Tamara (CRO),,,4 - 1,11:7 11:6 11:8 7:11 13:11,GUO Yan (1982),2005
Women's World Cup Guangzhou 2005,2005-12-13,ZHANG Yining,TIE Yana,CHN,HKG,4,0,"11,11,11,11|8,9,5,9",SemiFinal,WORLD_CUP,WS,1761,Main Draw,ZHANG Yining (CHN),TIE Yana (HKG),,,4 - 0,11:8 11:9 11:5 11:9,ZHANG Yining,2005
Women's World Cup Guangzhou 2005,2005-12-13,GUO Yan (1982),FUKUHARA Ai,CHN,JPN,4,3,"6,11,7,12,9,11,11|11,3,11,10,11,2,6",SemiFinal,WORLD_CUP,WS,1761,Main Draw,GUO Yan (1982) (CHN),FUKUHARA Ai (JPN),,,3 - 4,11:6 3:11 11:7 10:12 11:9 2:11 6:11,GUO Yan (1982),2005
Women's World Cup Guangzhou 2005,2005-12-13,FUKUHARA Ai,TIE Yana,JPN,HKG,4,1,"11,11,3,11,11|6,6,11,6,8",2,WORLD_CUP,WS,1761,Position Draw,FUKUHARA Ai (JPN),TIE Yana (HKG),,,1 - 4,6:11 6:11 11:3 6:11 8:11,FUKUHARA Ai,2005
Women's World Cup Guangzhou 2005,2005-12-13,ZHANG Yining,GAO Jun,CHN,USA,4,3,"7,5,11,11,5,11,11|11,11,3,3,11,8,7",,WORLD_CUP,WS,1761,Qualification,ZHANG Yining (CHN),GAO Jun (USA),,,4 - 3,7:11 5:11 11:3 11:3 5:11 11:8 11:7,ZHANG Yining,2005
Women's World Cup Guangzhou 2005,2005-12-13,KIM Kyungah,FOMUM Victorine Agum,KOR,CMR,4,0,"11,11,11,11|3,3,1,2",QR2,WORLD_CUP,WS,1761,Qualification,KIM Kyungah (KOR),FOMUM Victorine Agum (CMR),,,0 - 4,3:11 3:11 1:11 2:11,KIM Kyungah,2005
Women's World Cup Guangzhou 2005,2005-12-13,ZHANG Yining,KIM Kyungah,CHN,KOR,4,0,"11,11,11,11|5,6,9,9",3,WORLD_CUP,WS,1761,Qualification,ZHANG Yining (CHN),KIM Kyungah (KOR),,,4 - 0,11:5 11:6 11:9 11:9,ZHANG Yining,2005
Women's World Cup Guangzhou 2005,2005-12-13,GAO Jun,FOMUM Victorine Agum,USA,CMR,4,0,"11,11,11,11|2,4,5,5",QR4,WORLD_CUP,WS,1761,Qualification,GAO Jun (USA),FOMUM Victorine Agum (CMR),,,4 - 0,11:2 11:4 11:5 11:5,GAO Jun,2005
Women's World Cup Guangzhou 2005,2005-12-13,ZHANG Yining,FOMUM Victorine Agum,CHN,CMR,4,0,"11,11,11,11|3,4,2,3",5,WORLD_CUP,WS,1761,Qualification,ZHANG Yining (CHN),FOMUM Victorine Agum (CMR),,,4 - 0,11:3 11:4 11:2 11:3,ZHANG Yining,2005
Women's World Cup Guangzhou 2005,2005-12-13,GAO Jun,KIM Kyungah,USA,KOR,4,1,"11,11,10,11,11|8,4,12,6,7",6,WORLD_CUP,WS,1761,Qualification,GAO Jun (USA),KIM Kyungah (KOR),,,1 - 4,8:11 4:11 12:10 6:11 7:11,GAO Jun,2005
Women's World Cup Guangzhou 2005,2005-12-13,GUO Yue,PAVLOVICH Viktoria,CHN,BLR,4,0,"11,11,11,11|5,4,2,4",,WORLD_CUP,WS,1761,Qualification,GUO Yue (CHN),PAVLOVICH Viktoria (BLR),,,4 - 0,11:5 11:4 11:2 11:4,GUO Yue,2005
Women's World Cup Guangzhou 2005,2005-12-13,BOROS Tamara,LIAN Qian,CRO,DOM,4,2,"8,11,11,11,3,11|11,2,7,4,11,9",QR2,WORLD_CUP,WS,1761,Qualification,BOROS Tamara (CRO),LIAN Qian (DOM),,,2 - 4,11:8 2:11 7:11 4:11 11:3 9:11,BOROS Tamara,2005
Women's World Cup Guangzhou 2005,2005-12-13,BOROS Tamara,GUO Yue,CRO,CHN,4,3,"10,11,11,11,5,12,16|12,7,6,13,11,10,14",3,WORLD_CUP,WS,1761,Qualification,BOROS Tamara (CRO),GUO Yue (CHN),,,3 - 4,12:10 7:11 6:11 13:11 11:5 10:12 14:16,BOROS Tamara,2005
Women's World Cup Guangzhou 2005,2005-12-13,PAVLOVICH Viktoria,LIAN Qian,BLR,DOM,4,2,"11,12,2,12,11,11|6,14,11,10,8,6",QR4,WORLD_CUP,WS,1761,Qualification,PAVLOVICH Viktoria (BLR),LIAN Qian (DOM),,,4 - 2,11:6 12:14 2:11 12:10 11:8 11:6,PAVLOVICH Viktoria,2005
Women's World Cup Guangzhou 2005,2005-12-13,GUO Yue,LIAN Qian,CHN,DOM,4,0,"11,11,11,11|6,6,4,8",5,WORLD_CUP,WS,1761,Qualification,GUO Yue (CHN),LIAN Qian (DOM),,,4 - 0,11:6 11:6 11:4 11:8,GUO Yue,2005
Women's World Cup Guangzhou 2005,2005-12-13,BOROS Tamara,PAVLOVICH Viktoria,CRO,BLR,4,0,"11,11,12,11|5,4,10,3",6,WORLD_CUP,WS,1761,Qualification,BOROS Tamara (CRO),PAVLOVICH Viktoria (BLR),,,4 - 0,11:5 11:4 12:10 11:3,BOROS Tamara,2005
Women's World Cup Guangzhou 2005,2005-12-13,LI Jiawei,LAU Sui Fei,SGP,HKG,4,0,"11,11,11,11|9,7,9,7",,WORLD_CUP,WS,1761,Qualification,LI Jiawei (SGP),LAU Sui Fei (HKG),,,4 - 0,11:9 11:7 11:9 11:7,LI Jiawei,2005
Women's World Cup Guangzhou 2005,2005-12-13,FUKUHARA Ai,LIN Ling,JPN,HKG,4,0,"12,11,11,11|10,6,9,7",QR2,WORLD_CUP,WS,1761,Qualification,FUKUHARA Ai (JPN),LIN Ling (HKG),,,4 - 0,12:10 11:6 11:9 11:7,FUKUHARA Ai,2005
Women's World Cup Guangzhou 2005,2005-12-13,LIN Ling,LI Jiawei,HKG,SGP,4,1,"11,4,11,12,11|7,11,7,10,6",3,WORLD_CUP,WS,1761,Qualification,LIN Ling (HKG),LI Jiawei (SGP),,,1 - 4,7:11 11:4 7:11 10:12 6:11,LIN Ling,2005
Women's World Cup Guangzhou 2005,2005-12-13,FUKUHARA Ai,LAU Sui Fei,JPN,HKG,4,1,"11,11,11,10,12|7,5,8,12,10",QR4,WORLD_CUP,WS,1761,Qualification,FUKUHARA Ai (JPN),LAU Sui Fei (HKG),,,1 - 4,7:11 5:11 8:11 12:10 10:12,FUKUHARA Ai,2005
Women's World Cup Guangzhou 2005,2005-12-13,FUKUHARA Ai,LI Jiawei,JPN,SGP,4,1,"11,11,14,6,12|4,3,12,11,10",5,WORLD_CUP,WS,1761,Qualification,FUKUHARA Ai (JPN),LI Jiawei (SGP),,,1 - 4,4:11 3:11 12:14 11:6 10:12,FUKUHARA Ai,2005
Women's World Cup Guangzhou 2005,2005-12-13,LIN Ling,LAU Sui Fei,HKG,HKG,4,0,"11,12,12,11|6,10,10,5",6,WORLD_CUP,WS,1761,Qualification,LIN Ling (HKG),LAU Sui Fei (HKG),,,4 - 0,11:6 12:10 12:10 11:5,LIN Ling,2005
Women's World Cup Guangzhou 2005,2005-12-13,GUO Yan (1982),LIU Jia,CHN,AUT,4,2,"11,13,11,10,9,11|8,11,7,12,11,8",,WORLD_CUP,WS,1761,Qualification,GUO Yan (1982) (CHN),LIU Jia (AUT),,,4 - 2,11:8 13:11 11:7 10:12 9:11 11:8,GUO Yan (1982),2005
Women's World Cup Guangzhou 2005,2005-12-13,TIE Yana,LAY Jian Fang,HKG,AUS,4,2,"9,14,11,11,11,11|11,16,6,7,3,9",QR2,WORLD_CUP,WS,1761,Qualification,TIE Yana (HKG),LAY Jian Fang (AUS),,,2 - 4,11:9 16:14 6:11 7:11 3:11 9:11,TIE Yana,2005
Women's World Cup Guangzhou 2005,2005-12-13,TIE Yana,GUO Yan (1982),HKG,CHN,4,2,"2,12,12,7,11,11|11,10,10,11,8,9",3,WORLD_CUP,WS,1761,Qualification,TIE Yana (HKG),GUO Yan (1982) (CHN),,,2 - 4,11:2 10:12 10:12 11:7 8:11 9:11,TIE Yana,2005
Women's World Cup Guangzhou 2005,2005-12-13,LIU Jia,LAY Jian Fang,AUT,AUS,4,0,"11,11,11,11|3,8,7,7",QR4,WORLD_CUP,WS,1761,Qualification,LIU Jia (AUT),LAY Jian Fang (AUS),,,4 - 0,11:3 11:8 11:7 11:7,LIU Jia,2005
Women's World Cup Guangzhou 2005,2005-12-13,GUO Yan (1982),LAY Jian Fang,CHN,AUS,4,1,"8,11,11,11,11|11,3,9,5,3",5,WORLD_CUP,WS,1761,Qualification,GUO Yan (1982) (CHN),LAY Jian Fang (AUS),,,4 - 1,8:11 11:3 11:9 11:5 11:3,GUO Yan (1982),2005
Women's World Cup Guangzhou 2005,2005-12-13,TIE Yana,LIU Jia,HKG,AUT,4,2,"11,6,11,10,11,11|9,11,9,12,7,8",6,WORLD_CUP,WS,1761,Qualification,TIE Yana (HKG),LIU Jia (AUT),,,4 - 2,11:9 6:11 11:9 10:12 11:7 11:8,TIE Yana,2005
Women's World Cup Guangzhou 2005,2005-12-13,ZHANG Yining,GUO Yan (1982),CHN,CHN,4,0,"11,14,11,11|8,12,7,5",Final,WORLD_CUP,WS,1761,Main Draw,ZHANG Yining (CHN),GUO Yan (1982) (CHN),,,4 - 0,11:8 14:12 11:7 11:5,ZHANG Yining,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,SAIVE Jean-Michel,SAMSONOV Vladimir,BEL,BLR,4,3,"11,13,14,7,8,5,14|9,11,12,11,11,11,12",R16,GRAND_SLAM,MS,1760,Main Draw,SAIVE Jean-Michel (BEL),SAMSONOV Vladimir (BLR),,,3 - 4,9:11 11:13 12:14 11:7 11:8 11:5 12:14,SAIVE Jean-Michel,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,CRISAN Adrian,SCHLAGER Werner,ROU,AUT,4,3,"12,11,6,8,8,13,11|10,6,11,11,11,11,6",R16,GRAND_SLAM,MS,1760,Main Draw,CRISAN Adrian (ROU),SCHLAGER Werner (AUT),,,3 - 4,10:12 6:11 11:6 11:8 11:8 11:13 6:11,CRISAN Adrian,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,MA Long,FRANZ Peter,CHN,GER,4,1,"9,11,11,11,11|11,6,4,7,8",R16,GRAND_SLAM,MS,1760,Main Draw,MA Long (CHN),FRANZ Peter (GER),,,4 - 1,9:11 11:6 11:4 11:7 11:8,MA Long,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,OH Sangeun,CHILA Patrick,KOR,FRA,4,2,"6,12,8,11,11,11|11,10,11,6,6,1",R16,GRAND_SLAM,MS,1760,Main Draw,OH Sangeun (KOR),CHILA Patrick (FRA),,,2 - 4,11:6 10:12 11:8 6:11 6:11 1:11,OH Sangeun,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,KUZMIN Fedor,LEE Jungwoo,RUS,KOR,4,1,"11,11,5,11,11|5,6,11,5,8",R16,GRAND_SLAM,MS,1760,Main Draw,KUZMIN Fedor (RUS),LEE Jungwoo (KOR),,,1 - 4,5:11 6:11 11:5 5:11 8:11,KUZMIN Fedor,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,RYU Seungmin,LIM Jaehyun,KOR,KOR,4,1,"11,11,9,16,11|5,2,11,14,6",R16,GRAND_SLAM,MS,1760,Main Draw,RYU Seungmin (KOR),LIM Jaehyun (KOR),,,1 - 4,5:11 2:11 11:9 14:16 6:11,RYU Seungmin,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,KO Lai Chak,CHEN Weixing,HKG,AUT,4,1,"9,11,11,11,14|11,9,9,6,12",R16,GRAND_SLAM,MS,1760,Main Draw,KO Lai Chak (HKG),CHEN Weixing (AUT),,,1 - 4,11:9 9:11 9:11 6:11 12:14,KO Lai Chak,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,BOLL Timo,CHUANG Chih-Yuan,GER,TPE,4,3,"11,11,8,7,9,11,11|5,6,11,11,11,4,6",R16,GRAND_SLAM,MS,1760,Main Draw,BOLL Timo (GER),CHUANG Chih-Yuan (TPE),,,3 - 4,5:11 6:11 11:8 11:7 11:9 4:11 6:11,BOLL Timo,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,SAIVE Jean-Michel,CRISAN Adrian,BEL,ROU,4,0,"11,11,11,11|5,6,6,6",QuarterFinal,GRAND_SLAM,MS,1760,Main Draw,SAIVE Jean-Michel (BEL),CRISAN Adrian (ROU),,,4 - 0,11:5 11:6 11:6 11:6,SAIVE Jean-Michel,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,OH Sangeun,MA Long,KOR,CHN,4,1,"11,11,11,11,11|7,9,13,8,9",QuarterFinal,GRAND_SLAM,MS,1760,Main Draw,OH Sangeun (KOR),MA Long (CHN),,,1 - 4,7:11 9:11 13:11 8:11 9:11,OH Sangeun,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,RYU Seungmin,KUZMIN Fedor,KOR,RUS,4,0,"11,11,11,11|7,7,8,9",QuarterFinal,GRAND_SLAM,MS,1760,Main Draw,RYU Seungmin (KOR),KUZMIN Fedor (RUS),,,0 - 4,7:11 7:11 8:11 9:11,RYU Seungmin,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,BOLL Timo,KO Lai Chak,GER,HKG,4,3,"11,11,11,4,7,6,11|6,7,8,11,11,11,3",QuarterFinal,GRAND_SLAM,MS,1760,Main Draw,BOLL Timo (GER),KO Lai Chak (HKG),,,3 - 4,6:11 7:11 8:11 11:4 11:7 11:6 3:11,BOLL Timo,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,SAIVE Jean-Michel,OH Sangeun,BEL,KOR,4,2,"11,13,6,11,11,11|13,11,11,9,7,3",SemiFinal,GRAND_SLAM,MS,1760,Main Draw,SAIVE Jean-Michel (BEL),OH Sangeun (KOR),,,4 - 2,11:13 13:11 6:11 11:9 11:7 11:3,SAIVE Jean-Michel,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,BOLL Timo,RYU Seungmin,GER,KOR,4,1,"11,7,11,11,11|7,11,4,6,8",SemiFinal,GRAND_SLAM,MS,1760,Main Draw,BOLL Timo (GER),RYU Seungmin (KOR),,,1 - 4,7:11 11:7 4:11 6:11 8:11,BOLL Timo,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,BOLL Timo,SAIVE Jean-Michel,GER,BEL,4,1,"11,11,11,9,11|6,8,7,11,5",Final,GRAND_SLAM,MS,1760,Main Draw,BOLL Timo (GER),SAIVE Jean-Michel (BEL),,,1 - 4,6:11 8:11 7:11 11:9 5:11,BOLL Timo,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,YANG Zi,AXELQVIST Johan,SGP,SWE,4,2,"11,11,5,10,11,11|9,7,11,12,1,7",SemiFinal,GRAND_SLAM,U21MS,1760,Main Draw,YANG Zi (SGP),AXELQVIST Johan (SWE),,,4 - 2,11:9 11:7 5:11 10:12 11:1 11:7,YANG Zi,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,CHO Eonrae,LIM Jaehyun,KOR,KOR,4,2,"7,11,16,4,11,11|11,8,14,11,5,7",SemiFinal,GRAND_SLAM,U21MS,1760,Main Draw,CHO Eonrae (KOR),LIM Jaehyun (KOR),,,2 - 4,11:7 8:11 14:16 11:4 5:11 7:11,CHO Eonrae,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,YANG Zi,CHO Eonrae,SGP,KOR,4,0,"13,11,11,11|11,7,2,4",Final,GRAND_SLAM,U21MS,1760,Main Draw,YANG Zi (SGP),CHO Eonrae (KOR),,,4 - 0,13:11 11:7 11:2 11:4,YANG Zi,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,JAKAB Janos,PISTEJ Lubomir,HUN,SVK,4,2,"9,11,10,11,13,12|11,7,12,8,11,10",QR2,GRAND_SLAM,U21MS,1760,Qualification,JAKAB Janos (HUN),PISTEJ Lubomir (SVK),,,4 - 2,9:11 11:7 10:12 11:8 13:11 12:10,JAKAB Janos,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,CHO Eonrae,JAKAB Janos,KOR,HUN,4,2,"11,3,9,11,11,11|4,11,11,9,3,9",3,GRAND_SLAM,U21MS,1760,Qualification,CHO Eonrae (KOR),JAKAB Janos (HUN),,,4 - 2,11:4 3:11 9:11 11:9 11:3 11:9,CHO Eonrae,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,YANG Zi,PISTEJ Lubomir,SGP,SVK,4,2,"7,11,11,5,11,11|11,8,8,11,8,6",QR4,GRAND_SLAM,U21MS,1760,Qualification,YANG Zi (SGP),PISTEJ Lubomir (SVK),,,4 - 2,7:11 11:8 11:8 5:11 11:8 11:6,YANG Zi,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,PISTEJ Lubomir,CHO Eonrae,SVK,KOR,4,3,"11,5,6,11,9,11,11|8,11,11,9,11,9,8",5,GRAND_SLAM,U21MS,1760,Qualification,PISTEJ Lubomir (SVK),CHO Eonrae (KOR),,,3 - 4,8:11 11:5 11:6 9:11 11:9 9:11 8:11,PISTEJ Lubomir,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,YANG Zi,JAKAB Janos,SGP,HUN,4,2,"12,9,12,9,11,11|10,11,10,11,8,8",6,GRAND_SLAM,U21MS,1760,Qualification,YANG Zi (SGP),JAKAB Janos (HUN),,,2 - 4,10:12 11:9 10:12 11:9 8:11 8:11,YANG Zi,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,LIM Jaehyun,SEREDA Peter,KOR,SVK,4,2,"8,12,9,12,13,11|11,10,11,10,11,1",,GRAND_SLAM,U21MS,1760,Qualification,LIM Jaehyun (KOR),SEREDA Peter (SVK),,,4 - 2,8:11 12:10 9:11 12:10 13:11 11:1,LIM Jaehyun,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,BOBILLIER Loic,AXELQVIST Johan,FRA,SWE,4,2,"5,11,11,3,11,11|11,5,6,11,6,4",QR2,GRAND_SLAM,U21MS,1760,Qualification,BOBILLIER Loic (FRA),AXELQVIST Johan (SWE),,,4 - 2,5:11 11:5 11:6 3:11 11:6 11:4,BOBILLIER Loic,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,LIM Jaehyun,BOBILLIER Loic,KOR,FRA,4,0,"14,11,14,13|12,5,12,11",3,GRAND_SLAM,U21MS,1760,Qualification,LIM Jaehyun (KOR),BOBILLIER Loic (FRA),,,4 - 0,14:12 11:5 14:12 13:11,LIM Jaehyun,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,AXELQVIST Johan,SEREDA Peter,SWE,SVK,4,3,"7,6,16,11,11,11,11|11,11,18,9,8,9,9",QR4,GRAND_SLAM,U21MS,1760,Qualification,AXELQVIST Johan (SWE),SEREDA Peter (SVK),,,3 - 4,11:7 11:6 18:16 9:11 8:11 9:11 9:11,AXELQVIST Johan,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,AXELQVIST Johan,LIM Jaehyun,SWE,KOR,4,2,"11,9,11,11,6,11|7,11,8,9,11,6",5,GRAND_SLAM,U21MS,1760,Qualification,AXELQVIST Johan (SWE),LIM Jaehyun (KOR),,,2 - 4,7:11 11:9 8:11 9:11 11:6 6:11,AXELQVIST Johan,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,BOBILLIER Loic,SEREDA Peter,FRA,SVK,4,1,"11,11,11,6,11|6,6,9,11,6",6,GRAND_SLAM,U21MS,1760,Qualification,BOBILLIER Loic (FRA),SEREDA Peter (SVK),,,4 - 1,11:6 11:6 11:9 6:11 11:6,BOBILLIER Loic,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,ZHANG Yining,SCHALL Elke,CHN,GER,4,0,"11,11,13,11|7,8,11,6",R16,GRAND_SLAM,WS,1760,Main Draw,ZHANG Yining (CHN),SCHALL Elke (GER),,,4 - 0,11:7 11:8 13:11 11:6,ZHANG Yining,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,STRUSE Nicole,ZHANG Rui,GER,HKG,4,1,"11,14,11,11,11|5,16,6,6,7",R16,GRAND_SLAM,WS,1760,Main Draw,STRUSE Nicole (GER),ZHANG Rui (HKG),,,4 - 1,11:5 14:16 11:6 11:6 11:7,STRUSE Nicole,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,MOON Hyunjung,PAVLOVICH Viktoria,KOR,BLR,4,3,"11,10,11,9,6,11,11|3,12,4,11,11,2,4",R16,GRAND_SLAM,WS,1760,Main Draw,MOON Hyunjung (KOR),PAVLOVICH Viktoria (BLR),,,3 - 4,3:11 12:10 4:11 11:9 11:6 2:11 4:11,MOON Hyunjung,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,KIM Kyungah,SHEN Yanfei,KOR,ESP,4,0,"11,11,11,11|8,8,2,5",R16,GRAND_SLAM,WS,1760,Main Draw,KIM Kyungah (KOR),SHEN Yanfei (ESP),,,0 - 4,8:11 8:11 2:11 5:11,KIM Kyungah,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,TIE Yana,LAU Sui Fei,HKG,HKG,4,2,"10,11,11,9,11,11|12,6,6,11,4,2",R16,GRAND_SLAM,WS,1760,Main Draw,TIE Yana (HKG),LAU Sui Fei (HKG),,,4 - 2,10:12 11:6 11:6 9:11 11:4 11:2,TIE Yana,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,GAO Jun,SUN Beibei,USA,SGP,4,2,"11,11,6,13,3,11|8,7,11,11,11,9",R16,GRAND_SLAM,WS,1760,Main Draw,GAO Jun (USA),SUN Beibei (SGP),,,2 - 4,8:11 7:11 11:6 11:13 11:3 9:11,GAO Jun,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,BOROS Tamara,LIN Ling,CRO,HKG,4,1,"11,12,7,11,13|3,10,11,9,11",R16,GRAND_SLAM,WS,1760,Main Draw,BOROS Tamara (CRO),LIN Ling (HKG),,,4 - 1,11:3 12:10 7:11 11:9 13:11,BOROS Tamara,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,LI Jiawei,WANG Yuegu,SGP,SGP,4,1,"13,10,11,11,11|11,12,9,7,8",R16,GRAND_SLAM,WS,1760,Main Draw,LI Jiawei (SGP),WANG Yuegu (SGP),,,1 - 4,11:13 12:10 9:11 7:11 8:11,LI Jiawei,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,ZHANG Yining,STRUSE Nicole,CHN,GER,4,0,"11,11,11,11|7,8,5,4",QuarterFinal,GRAND_SLAM,WS,1760,Main Draw,ZHANG Yining (CHN),STRUSE Nicole (GER),,,4 - 0,11:7 11:8 11:5 11:4,ZHANG Yining,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,MOON Hyunjung,KIM Kyungah,KOR,KOR,4,3,"6,8,11,9,12,11,11|11,11,5,11,10,5,7",QuarterFinal,GRAND_SLAM,WS,1760,Main Draw,MOON Hyunjung (KOR),KIM Kyungah (KOR),,,4 - 3,6:11 8:11 11:5 9:11 12:10 11:5 11:7,MOON Hyunjung,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,TIE Yana,GAO Jun,HKG,USA,4,1,"11,9,11,13,11|5,11,5,11,8",QuarterFinal,GRAND_SLAM,WS,1760,Main Draw,TIE Yana (HKG),GAO Jun (USA),,,4 - 1,11:5 9:11 11:5 13:11 11:8,TIE Yana,2005
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,LI Jiawei,BOROS Tamara,SGP,CRO,4,1,"12,11,8,11,11|10,9,11,7,9",QuarterFinal,GRAND_SLAM,WS,1760,Main Draw,LI Jiawei (SGP),BOROS Tamara (CRO),,,1 - 4,10:12 9:11 11:8 7:11 9:11,LI Jiawei,2005
