tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,JHA Kanak,XIE Tianming,USA,USA,4,0,"11,11,11,11|5,2,6,4",R16,OTHER,JBS,510,Main Draw,JHA Kanak (USA),XIE Tianming (USA),,,4 - 0,11:5 11:2 11:6 11:4,JHA Kanak,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,SICARD Luc,HUANG Edison,CAN,CAN,4,3,"5,11,6,12,10,11,11|11,6,11,10,12,9,9",R16,OTHER,JBS,510,Main Draw,SICARD Luc (CAN),HUANG Edison (CAN),,,4 - 3,5:11 11:6 6:11 12:10 10:12 11:9 11:9,SICARD Luc,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,KUMAR Nikhil,XU Tommy,USA,CAN,4,0,"11,11,12,11|4,6,10,9",R16,OTHER,JBS,510,Main Draw,KUMAR Nikhil (USA),XU Tommy (CAN),,,4 - 0,11:4 11:6 12:10 11:9,KUMAR Nikhil,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,TIO Nicholas,BU Alexander,USA,CAN,4,1,"11,11,11,7,11|7,9,3,11,9",R16,OTHER,JBS,510,Main Draw,BU Alexander (CAN),TIO Nicholas (USA),,,1 - 4,7:11 9:11 3:11 11:7 9:11,TIO Nicholas,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,LIU Victor,YEUNG Terence,USA,CAN,4,1,"11,4,11,11,12|8,11,5,9,10",R16,OTHER,JBS,510,Main Draw,LIU Victor (USA),YEUNG Terence (CAN),,,4 - 1,11:8 4:11 11:5 11:9 12:10,LIU Victor,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,TRAN Michael Minh,SOSIS Eliel,USA,USA,4,0,"11,11,11,11|5,4,7,5",R16,OTHER,JBS,510,Main Draw,SOSIS Eliel (USA),TRAN Michael Minh (USA),,,0 - 4,5:11 4:11 7:11 5:11,TRAN Michael Minh,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,WANG Jack,RAYMOND Zakary,USA,CAN,4,0,"11,11,12,11|7,5,10,6",R16,OTHER,JBS,510,Main Draw,WANG Jack (USA),RAYMOND Zakary (CAN),,,4 - 0,11:7 11:5 12:10 11:6,WANG Jack,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,HAZIN Jeremy,LY Edward,CAN,CAN,4,2,"11,11,11,4,6,11|9,6,5,11,11,5",R16,OTHER,JBS,510,Main Draw,LY Edward (CAN),HAZIN Jeremy (CAN),,,2 - 4,9:11 6:11 5:11 11:4 11:6 5:11,HAZIN Jeremy,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,JHA Kanak,SICARD Luc,USA,CAN,4,0,"11,11,11,11|9,4,9,5",QuarterFinal,OTHER,JBS,510,Main Draw,JHA Kanak (USA),SICARD Luc (CAN),,,4 - 0,11:9 11:4 11:9 11:5,JHA Kanak,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,KUMAR Nikhil,TIO Nicholas,USA,USA,4,2,"9,11,11,11,8,11|11,5,3,1,11,7",QuarterFinal,OTHER,JBS,510,Main Draw,KUMAR Nikhil (USA),TIO Nicholas (USA),,,4 - 2,9:11 11:5 11:3 11:1 8:11 11:7,KUMAR Nikhil,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,LIU Victor,TRAN Michael Minh,USA,USA,4,2,"11,10,8,11,11,11|7,12,11,5,9,4",QuarterFinal,OTHER,JBS,510,Main Draw,LIU Victor (USA),TRAN Michael Minh (USA),,,4 - 2,11:7 10:12 8:11 11:5 11:9 11:4,LIU Victor,2017
