tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
World Tour Grand Finals Bangkok 2014,2014-12-11,MIZUTANI Jun,MORIZONO Masataka,JPN,JPN,4,3,"7,7,8,11,11,11,11|11,11,11,3,7,6,8",R16,GRAND_SLAM,MS,145,Main Draw,MIZUTANI Jun (JPN),MORIZONO Masataka (JPN),,,4 - 3,7:11 7:11 8:11 11:3 11:7 11:6 11:8,MIZUTANI Jun,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,MENGEL Steffen,POUNGSRI Max,GER,THA,4,0,"11,11,11,11|4,6,5,7",R16,GRAND_SLAM,MS,145,Main Draw,POUNGSRI Max (THA),MENGEL Steffen (GER),,,0 - 4,4:11 6:11 5:11 7:11,MENGEL Steffen,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,FREITAS Marcos,WONG Chun Ting,POR,HKG,4,0,"12,14,11,11|10,12,8,6",R16,GRAND_SLAM,MS,145,Main Draw,FREITAS Marcos (POR),WONG Chun Ting (HKG),,,4 - 0,12:10 14:12 11:8 11:6,FREITAS Marcos,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,NIWA Koki,CHO Eonrae,JPN,KOR,4,2,"7,14,10,11,11,11|11,12,12,7,6,7",R16,GRAND_SLAM,MS,145,Main Draw,CHO Eonrae (KOR),NIWA Koki (JPN),,,2 - 4,11:7 12:14 12:10 7:11 6:11 7:11,NIWA Koki,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,TANG Peng,DRINKHALL Paul,HKG,ENG,4,2,"8,11,9,13,11,11|11,5,11,11,8,8",R16,GRAND_SLAM,MS,145,Main Draw,DRINKHALL Paul (ENG),TANG Peng (HKG),,,2 - 4,11:8 5:11 11:9 11:13 8:11 8:11,TANG Peng,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,SAMSONOV Vladimir,SAMBE Kohei,BLR,JPN,4,2,"11,6,12,8,11,11|5,11,10,11,5,7",R16,GRAND_SLAM,MS,145,Main Draw,SAMBE Kohei (JPN),SAMSONOV Vladimir (BLR),,,2 - 4,5:11 11:6 10:12 11:8 5:11 7:11,SAMSONOV Vladimir,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,CHUANG Chih-Yuan,APOLONIA Tiago,TPE,POR,4,0,"11,11,11,11|7,5,8,2",R16,GRAND_SLAM,MS,145,Main Draw,CHUANG Chih-Yuan (TPE),APOLONIA Tiago (POR),,,4 - 0,11:7 11:5 11:8 11:2,CHUANG Chih-Yuan,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,OVTCHAROV Dimitrij,MURAMATSU Yuto,GER,JPN,4,0,"11,11,11,11|1,9,6,4",R16,GRAND_SLAM,MS,145,Main Draw,MURAMATSU Yuto (JPN),OVTCHAROV Dimitrij (GER),,,0 - 4,1:11 9:11 6:11 4:11,OVTCHAROV Dimitrij,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,MIZUTANI Jun,MENGEL Steffen,JPN,GER,4,1,"11,9,11,11,11|6,11,5,9,3",QuarterFinal,GRAND_SLAM,MS,145,Main Draw,MIZUTANI Jun (JPN),MENGEL Steffen (GER),,,4 - 1,11:6 9:11 11:5 11:9 11:3,MIZUTANI Jun,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,FREITAS Marcos,NIWA Koki,POR,JPN,4,2,"11,11,7,11,11,11|8,8,11,13,9,9",QuarterFinal,GRAND_SLAM,MS,145,Main Draw,FREITAS Marcos (POR),NIWA Koki (JPN),,,4 - 2,11:8 11:8 7:11 11:13 11:9 11:9,FREITAS Marcos,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,TANG Peng,SAMSONOV Vladimir,HKG,BLR,4,1,"11,11,11,9,11|9,6,9,11,8",QuarterFinal,GRAND_SLAM,MS,145,Main Draw,TANG Peng (HKG),SAMSONOV Vladimir (BLR),,,4 - 1,11:9 11:6 11:9 9:11 11:8,TANG Peng,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,OVTCHAROV Dimitrij,CHUANG Chih-Yuan,GER,TPE,4,3,"11,7,9,11,7,11,11|8,11,11,5,11,7,9",QuarterFinal,GRAND_SLAM,MS,145,Main Draw,CHUANG Chih-Yuan (TPE),OVTCHAROV Dimitrij (GER),,,3 - 4,8:11 11:7 11:9 5:11 11:7 7:11 9:11,OVTCHAROV Dimitrij,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,MIZUTANI Jun,FREITAS Marcos,JPN,POR,4,1,"11,11,11,4,11|9,7,6,11,9",SemiFinal,GRAND_SLAM,MS,145,Main Draw,MIZUTANI Jun (JPN),FREITAS Marcos (POR),,,4 - 1,11:9 11:7 11:6 4:11 11:9,MIZUTANI Jun,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,OVTCHAROV Dimitrij,TANG Peng,GER,HKG,4,0,"11,11,11,11|6,8,6,7",SemiFinal,GRAND_SLAM,MS,145,Main Draw,TANG Peng (HKG),OVTCHAROV Dimitrij (GER),,,0 - 4,6:11 8:11 6:11 7:11,OVTCHAROV Dimitrij,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,MIZUTANI Jun,OVTCHAROV Dimitrij,JPN,GER,4,3,"14,12,8,11,6,12,11|12,10,11,3,11,14,6",Final,GRAND_SLAM,MS,145,Main Draw,MIZUTANI Jun (JPN),OVTCHAROV Dimitrij (GER),,,4 - 3,14:12 12:10 8:11 11:3 6:11 12:14 11:6,MIZUTANI Jun,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,FENG Tianwei,KOMWONG Nanthana,SGP,THA,4,1,"15,11,7,11,11|13,7,11,8,9",R16,GRAND_SLAM,WS,145,Main Draw,FENG Tianwei (SGP),KOMWONG Nanthana (THA),,,4 - 1,15:13 11:7 7:11 11:8 11:9,FENG Tianwei,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,SUH Hyo Won,LIU Jia,KOR,AUT,4,2,"8,11,11,9,11,11|11,7,7,11,8,2",R16,GRAND_SLAM,WS,145,Main Draw,SUH Hyo Won (KOR),LIU Jia (AUT),,,4 - 2,8:11 11:7 11:7 9:11 11:8 11:2,SUH Hyo Won,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,HIRANO Sayaka,LI Fen,JPN,SWE,4,0,"11,11,11,11|7,2,9,5",R16,GRAND_SLAM,WS,145,Main Draw,LI Fen (SWE),HIRANO Sayaka (JPN),,,0 - 4,7:11 2:11 9:11 5:11,HIRANO Sayaka,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,YU Mengyu,HAN Ying,SGP,GER,4,2,"11,13,5,11,4,11|9,11,11,6,11,7",R16,GRAND_SLAM,WS,145,Main Draw,YU Mengyu (SGP),HAN Ying (GER),,,4 - 2,11:9 13:11 5:11 11:6 4:11 11:7,YU Mengyu,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,YU Fu,SHAN Xiaona,POR,GER,4,3,"10,11,11,5,11,7,11|12,9,9,11,6,11,5",R16,GRAND_SLAM,WS,145,Main Draw,SHAN Xiaona (GER),YU Fu (POR),,,3 - 4,12:10 9:11 9:11 11:5 6:11 11:7 5:11,YU Fu,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,POTA Georgina,SAMARA Elizabeta,HUN,ROU,4,2,"11,11,10,6,12,11|6,8,12,11,10,9",R16,GRAND_SLAM,WS,145,Main Draw,POTA Georgina (HUN),SAMARA Elizabeta (ROU),,,4 - 2,11:6 11:8 10:12 6:11 12:10 11:9,POTA Georgina,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,FUKUHARA Ai,MORIZONO Misaki,JPN,JPN,4,3,"7,11,7,11,11,8,14|11,5,11,7,7,11,12",R16,GRAND_SLAM,WS,145,Main Draw,FUKUHARA Ai (JPN),MORIZONO Misaki (JPN),,,4 - 3,7:11 11:5 7:11 11:7 11:7 8:11 14:12,FUKUHARA Ai,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,ISHIKAWA Kasumi,ISHIGAKI Yuka,JPN,JPN,4,1,"7,11,12,11,11|11,7,10,6,8",R16,GRAND_SLAM,WS,145,Main Draw,ISHIGAKI Yuka (JPN),ISHIKAWA Kasumi (JPN),,,1 - 4,11:7 7:11 10:12 6:11 8:11,ISHIKAWA Kasumi,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,SUH Hyo Won,FENG Tianwei,KOR,SGP,4,1,"13,11,11,6,11|11,3,8,11,8",QuarterFinal,GRAND_SLAM,WS,145,Main Draw,FENG Tianwei (SGP),SUH Hyo Won (KOR),,,1 - 4,11:13 3:11 8:11 11:6 8:11,SUH Hyo Won,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,YU Mengyu,HIRANO Sayaka,SGP,JPN,4,1,"11,5,11,11,11|5,11,6,7,8",QuarterFinal,GRAND_SLAM,WS,145,Main Draw,HIRANO Sayaka (JPN),YU Mengyu (SGP),,,1 - 4,5:11 11:5 6:11 7:11 8:11,YU Mengyu,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,POTA Georgina,YU Fu,HUN,POR,4,1,"12,7,11,11,11|10,11,7,5,9",QuarterFinal,GRAND_SLAM,WS,145,Main Draw,YU Fu (POR),POTA Georgina (HUN),,,1 - 4,10:12 11:7 7:11 5:11 9:11,POTA Georgina,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,ISHIKAWA Kasumi,FUKUHARA Ai,JPN,JPN,4,0,"11,11,13,11|6,6,11,6",QuarterFinal,GRAND_SLAM,WS,145,Main Draw,FUKUHARA Ai (JPN),ISHIKAWA Kasumi (JPN),,,0 - 4,6:11 6:11 11:13 6:11,ISHIKAWA Kasumi,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,SUH Hyo Won,YU Mengyu,KOR,SGP,4,2,"4,11,11,11,8,11|11,5,6,8,11,9",SemiFinal,GRAND_SLAM,WS,145,Main Draw,SUH Hyo Won (KOR),YU Mengyu (SGP),,,4 - 2,4:11 11:5 11:6 11:8 8:11 11:9,SUH Hyo Won,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,ISHIKAWA Kasumi,POTA Georgina,JPN,HUN,4,0,"11,11,11,11|6,3,7,5",SemiFinal,GRAND_SLAM,WS,145,Main Draw,POTA Georgina (HUN),ISHIKAWA Kasumi (JPN),,,0 - 4,6:11 3:11 7:11 5:11,ISHIKAWA Kasumi,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,ISHIKAWA Kasumi,SUH Hyo Won,JPN,KOR,4,0,"11,11,11,11|7,7,3,9",Final,GRAND_SLAM,WS,145,Main Draw,SUH Hyo Won (KOR),ISHIKAWA Kasumi (JPN),,,0 - 4,7:11 7:11 3:11 9:11,ISHIKAWA Kasumi,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,JANG Woojin,CALDERANO Hugo,KOR,BRA,4,2,"6,2,11,11,11,14|11,11,7,9,6,12",SemiFinal,GRAND_SLAM,U21MS,145,Main Draw,CALDERANO Hugo (BRA),JANG Woojin (KOR),,,2 - 4,11:6 11:2 7:11 9:11 6:11 12:14,JANG Woojin,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,MACHI Asuka,SAKAI Asuka,JPN,JPN,4,2,"4,6,11,11,11,11|11,11,5,4,4,7",SemiFinal,GRAND_SLAM,U21MS,145,Main Draw,SAKAI Asuka (JPN),MACHI Asuka (JPN),,,2 - 4,11:4 11:6 5:11 4:11 4:11 7:11,MACHI Asuka,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,MACHI Asuka,JANG Woojin,JPN,KOR,4,1,"11,11,11,9,11|3,7,6,11,8",Final,GRAND_SLAM,U21MS,145,Main Draw,JANG Woojin (KOR),MACHI Asuka (JPN),,,1 - 4,3:11 7:11 6:11 11:9 8:11,MACHI Asuka,2014
World Tour Grand Finals Bangkok 2014,2014-12-11,MAEDA Miyu,SOLJA Petrissa,JPN,GER,4,1,"11,11,6,19,11|7,2,11,17,6",SemiFinal,GRAND_SLAM,U21WS,145,Main Draw,MAEDA Miyu (JPN),SOLJA Petrissa (GER),,,4 - 1,11:7 11:2 6:11 19:17 11:6,MAEDA Miyu,2014
