tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
Pro Tour Grand Finals Seoul 2010,2010-12-16,GAO Ning/YANG Zi,ROGIERS Benjamin/VOSTES Yannick,SGP,BEL,4,0,"11,11,11,11|4,4,6,9",SemiFinal,GRAND_SLAM,MD,64,Main Draw,GAO Ning (SGP) / YANG Zi (SGP),ROGIERS Benjamin (BEL) / VOSTES Yannick (BEL),YANG Zi (SGP),VOSTES Yannick (BEL),0 - 4,4:11 4:11 6:11 9:11,GAO Ning,2010
Pro Tour Grand Finals Seoul 2010,2010-12-16,ROGIERS Benjamin/VOSTES Yannick,BAUM Patrick/STEGER Bastian,BEL,GER,4,1,"8,11,11,11,13|11,8,6,8,11",QuarterFinal,GRAND_SLAM,MD,64,Main Draw,ROGIERS Benjamin (BEL) / VOSTES Yannick (BEL),BAUM Patrick (GER) / STEGER Bastian (GER),VOSTES Yannick (BEL),STEGER Bastian (GER),1 - 4,11:8 8:11 6:11 8:11 11:13,ROGIERS Benjamin,2010
Pro Tour Grand Finals Seoul 2010,2010-12-16,JIANG Tianyi/TANG Peng,GAVLAS Antonin/KORBEL Petr,HKG,CZE,4,2,"11,11,11,4,6,11|5,6,6,11,11,5",QuarterFinal,GRAND_SLAM,MD,64,Main Draw,JIANG Tianyi (HKG) / TANG Peng (HKG),GAVLAS Antonin (CZE) / KORBEL Petr (CZE),TANG Peng (HKG),KORBEL Petr (CZE),4 - 2,11:5 11:6 11:6 4:11 6:11 11:5,JIANG Tianyi,2010
Pro Tour Grand Finals Seoul 2010,2010-12-16,JIANG Tianyi/TANG Peng,LEE Sang Su/SEO Hyundeok,HKG,KOR,4,2,"9,10,11,11,13,11|11,12,5,9,11,8",SemiFinal,GRAND_SLAM,MD,64,Main Draw,JIANG Tianyi (HKG) / TANG Peng (HKG),LEE Sang Su (KOR) / SEO Hyundeok (KOR),TANG Peng (HKG),SEO Hyundeok (KOR),4 - 2,9:11 10:12 11:5 11:9 13:11 11:8,JIANG Tianyi,2010
Pro Tour Grand Finals Seoul 2010,2010-12-16,GAO Ning/YANG Zi,ACHANTA Sharath/SAHA Subhajit,SGP,IND,4,0,"11,11,11,11|8,1,3,7",QuarterFinal,GRAND_SLAM,MD,64,Main Draw,GAO Ning (SGP) / YANG Zi (SGP),ACHANTA Sharath (IND) / SAHA Subhajit (IND),YANG Zi (SGP),SAHA Subhajit (IND),0 - 4,8:11 1:11 3:11 7:11,GAO Ning,2010
Pro Tour Grand Finals Seoul 2010,2010-12-16,LEE Sang Su/SEO Hyundeok,MATSUDAIRA Kenta/NIWA Koki,KOR,JPN,4,1,"12,11,11,11,11|10,4,7,13,9",QuarterFinal,GRAND_SLAM,MD,64,Main Draw,LEE Sang Su (KOR) / SEO Hyundeok (KOR),MATSUDAIRA Kenta (JPN) / NIWA Koki (JPN),SEO Hyundeok (KOR),NIWA Koki (JPN),4 - 1,12:10 11:4 11:7 11:13 11:9,LEE Sang Su,2010
Pro Tour Grand Finals Seoul 2010,2010-12-16,JIANG Tianyi/TANG Peng,GAO Ning/YANG Zi,HKG,SGP,4,2,"9,11,11,5,11,11|11,8,7,11,4,9",Final,GRAND_SLAM,MD,64,Main Draw,JIANG Tianyi (HKG) / TANG Peng (HKG),GAO Ning (SGP) / YANG Zi (SGP),TANG Peng (HKG),YANG Zi (SGP),2 - 4,11:9 8:11 7:11 11:5 4:11 9:11,JIANG Tianyi,2010
Pro Tour Grand Finals Seoul 2010,2010-12-16,SAMSONOV Vladimir,CHEN Weixing,BLR,AUT,4,1,"11,11,6,11,11|9,5,11,2,6",R16,GRAND_SLAM,MS,64,Main Draw,SAMSONOV Vladimir (BLR),CHEN Weixing (AUT),,,4 - 1,11:9 11:5 6:11 11:2 11:6,SAMSONOV Vladimir,2010
Pro Tour Grand Finals Seoul 2010,2010-12-16,CHUANG Chih-Yuan,SMIRNOV Alexey,TPE,RUS,4,1,"13,11,7,11,15|11,8,11,8,13",R16,GRAND_SLAM,MS,64,Main Draw,CHUANG Chih-Yuan (TPE),SMIRNOV Alexey (RUS),,,1 - 4,11:13 8:11 11:7 8:11 13:15,CHUANG Chih-Yuan,2010
Pro Tour Grand Finals Seoul 2010,2010-12-16,TANG Peng,OH Sangeun,HKG,KOR,4,2,"6,13,11,12,11,11|11,15,8,10,7,4",R16,GRAND_SLAM,MS,64,Main Draw,TANG Peng (HKG),OH Sangeun (KOR),,,2 - 4,11:6 15:13 8:11 10:12 7:11 4:11,TANG Peng,2010
Pro Tour Grand Finals Seoul 2010,2010-12-16,MIZUTANI Jun,JEOUNG Youngsik,JPN,KOR,4,2,"11,8,5,11,11,11|9,11,11,6,6,9",R16,GRAND_SLAM,MS,64,Main Draw,MIZUTANI Jun (JPN),JEOUNG Youngsik (KOR),,,2 - 4,9:11 11:8 11:5 6:11 6:11 9:11,MIZUTANI Jun,2010
Pro Tour Grand Finals Seoul 2010,2010-12-16,ACHANTA Sharath,LEE Sang Su,IND,KOR,4,3,"11,11,5,11,11,8,15|13,9,11,9,9,11,13",R16,GRAND_SLAM,MS,64,Main Draw,ACHANTA Sharath (IND),LEE Sang Su (KOR),,,3 - 4,13:11 9:11 11:5 9:11 9:11 11:8 13:15,ACHANTA Sharath,2010
Pro Tour Grand Finals Seoul 2010,2010-12-16,RYU Seungmin,LUNDQVIST Jens,KOR,SWE,4,3,"11,3,11,8,9,12,12|6,11,9,11,11,10,10",R16,GRAND_SLAM,MS,64,Main Draw,RYU Seungmin (KOR),LUNDQVIST Jens (SWE),,,3 - 4,6:11 11:3 9:11 11:8 11:9 10:12 10:12,RYU Seungmin,2010
Pro Tour Grand Finals Seoul 2010,2010-12-16,GAO Ning,SEO Hyundeok,SGP,KOR,4,3,"8,8,11,4,11,11,11|11,11,6,11,9,4,8",R16,GRAND_SLAM,MS,64,Main Draw,GAO Ning (SGP),SEO Hyundeok (KOR),,,4 - 3,8:11 8:11 11:6 4:11 11:9 11:4 11:8,GAO Ning,2010
Pro Tour Grand Finals Seoul 2010,2010-12-16,STEGER Bastian,OVTCHAROV Dimitrij,GER,GER,4,3,"10,11,7,11,11,9,11|12,4,11,2,8,11,8",R16,GRAND_SLAM,MS,64,Main Draw,STEGER Bastian (GER),OVTCHAROV Dimitrij (GER),,,4 - 3,10:12 11:4 7:11 11:2 11:8 9:11 11:8,STEGER Bastian,2010
