tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
2nd Fajr Cup International Tournament Tehran 2012,2012-12-13,SHISHEGARHA Roohollah,NOURY Mohamed,IRI,IRQ,3,0,,,OTHER,MS,526,Qualification,SHISHEGARHA Roohollah (IRI),NOURY Mohamed (IRQ),,,3 - 0,,SHISHEGARHA Roohollah,2012
2nd Fajr Cup International Tournament Tehran 2012,2012-12-13,NOROUZI Peyman,NOURY Mohamed,IRI,IRQ,3,0,,,OTHER,MS,526,Qualification,NOROUZI Peyman (IRI),NOURY Mohamed (IRQ),,,3 - 0,,NOROUZI Peyman,2012
2nd Fajr Cup International Tournament Tehran 2012,2012-12-13,NOROUZI Peyman,SHISHEGARHA Roohollah,IRI,IRI,3,0,,,OTHER,MS,526,Qualification,NOROUZI Peyman (IRI),SHISHEGARHA Roohollah (IRI),,,3 - 0,,NOROUZI Peyman,2012
2nd Fajr Cup International Tournament Tehran 2012,2012-12-13,BARABANOV Kiryl,LOTFOLLAH NASABI Matin,BLR,IRI,3,0,,,OTHER,MS,526,Qualification,BARABANOV Kiryl (BLR),LOTFOLLAH NASABI Matin (IRI),,,3 - 0,,BARABANOV Kiryl,2012
2nd Fajr Cup International Tournament Tehran 2012,2012-12-13,HOSSEINI Sajad,LOTFOLLAH NASABI Matin,IRI,IRI,3,0,,,OTHER,MS,526,Qualification,HOSSEINI Sajad (IRI),LOTFOLLAH NASABI Matin (IRI),,,3 - 0,,HOSSEINI Sajad,2012
2nd Fajr Cup International Tournament Tehran 2012,2012-12-13,HOSSEINI Sajad,BARABANOV Kiryl,IRI,BLR,3,0,,,OTHER,MS,526,Qualification,HOSSEINI Sajad (IRI),BARABANOV Kiryl (BLR),,,3 - 0,,HOSSEINI Sajad,2012
2nd Fajr Cup International Tournament Tehran 2012,2012-12-13,DESAI Harmeet,LOTFIJANABADI Miad,IND,IRI,3,0,,,OTHER,MS,526,Qualification,DESAI Harmeet (IND),LOTFIJANABADI Miad (IRI),,,3 - 0,,DESAI Harmeet,2012
2nd Fajr Cup International Tournament Tehran 2012,2012-12-13,BAKHTIYARI Mustafa,LOTFIJANABADI Miad,AFG,IRI,3,0,,,OTHER,MS,526,Qualification,BAKHTIYARI Mustafa (AFG),LOTFIJANABADI Miad (IRI),,,3 - 0,,BAKHTIYARI Mustafa,2012
2nd Fajr Cup International Tournament Tehran 2012,2012-12-13,DESAI Harmeet,BAKHTIYARI Mustafa,IND,AFG,3,0,,,OTHER,MS,526,Qualification,DESAI Harmeet (IND),BAKHTIYARI Mustafa (AFG),,,3 - 0,,DESAI Harmeet,2012
2nd Fajr Cup International Tournament Tehran 2012,2012-12-13,ROUINTANESFAHANI Mohammadali,HASHIMLI Khayal,IRI,AZE,3,0,,,OTHER,MS,526,Qualification,ROUINTANESFAHANI Mohammadali (IRI),HASHIMLI Khayal (AZE),,,3 - 0,,ROUINTANESFAHANI Mohammadali,2012
