tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
2023 China Table Tennis Super League (Men's Finals),2023-12-24,YUAN LiCen/XU Yingbin,Wang Chuqin/Liang Jingkun,CHN,CHN,3,0,"11,15,11|6,13,9",Final,CN_NATIONAL_LEAGUE,MD,,Main Draw,YUAN LiCen (CHN) / XU Yingbin (CHN),Wang Chuqin (CHN) / Liang Jingkun (CHN),XU Yingbin (CHN),Liang Jingkun (CHN),3 - 0,11:6 15:13 11:9,YUAN LiCen,2023
2023 China Table Tennis Super League (Men's Finals),2023-12-24,Ma Long,ZHOU Qihao,CHN,CHN,3,0,"11,11,11|4,3,5",Final,CN_NATIONAL_LEAGUE,MS,,Main Draw,Ma Long (CHN),ZHOU Qihao (CHN),,,3 - 0,11:4 11:3 11:5,Ma Long,2023
2023 China Table Tennis Super League (Men's Finals),2023-12-24,XU Yingbin,Liang Jingkun,CHN,CHN,1,3,"8,5,11,7|11,11,7,11",Final,CN_NATIONAL_LEAGUE,MS,,Main Draw,XU Yingbin (CHN),Liang Jingkun (CHN),,,1 - 3,8:11 5:11 11:7 7:11,XU Yingbin,2023
2023 China Table Tennis Super League (Men's Finals),2023-12-24,YUAN LiCen,ZHOU Qihao,CHN,CHN,3,1,"12,11,6,11|10,5,11,5",Final,CN_NATIONAL_LEAGUE,MS,,Main Draw,YUAN LiCen (CHN),ZHOU Qihao (CHN),,,3 - 1,12:10 11:5 6:11 11:5,YUAN LiCen,2023
2023 China Table Tennis Super League (Women's Finals),2023-12-24,KUAI Man/Chen Meng,FAN Siqi/QIAN TianYi,CHN,CHN,3,2,"11,11,12,9,11|9,13,10,11,7",Final,CN_NATIONAL_LEAGUE,WD,,Main Draw,KUAI Man (CHN) / Chen Meng (CHN),FAN Siqi (CHN) / QIAN TianYi (CHN),Chen Meng (CHN),QIAN TianYi (CHN),3 - 2,11:9 11:13 12:10 9:11 11:7,KUAI Man,2023
2023 China Table Tennis Super League (Women's Finals),2023-12-24,Wang Manyu,Sun Yingsha,CHN,CHN,3,2,"4,11,7,11,11|11,4,11,9,9",Final,CN_NATIONAL_LEAGUE,WS,,Main Draw,Wang Manyu (CHN),Sun Yingsha (CHN),,,3 - 2,4:11 11:4 7:11 11:9 11:9,Wang Manyu,2023
2023 China Table Tennis Super League (Women's Finals),2023-12-24,Chen Meng,QIAN TianYi,CHN,CHN,3,0,"11,11,12|7,3,10",Final,CN_NATIONAL_LEAGUE,WS,,Main Draw,Chen Meng (CHN),QIAN TianYi (CHN),,,3 - 0,11:7 11:3 12:10,Chen Meng,2023
2023 China Table Tennis Super League (Women's Finals),2023-12-24,Wang Manyu,KUAI Man,CHN,CHN,3,0,"11,13,11|6,11,5",Final,CN_NATIONAL_LEAGUE,WS,,Main Draw,Wang Manyu (CHN),KUAI Man (CHN),,,3 - 0,11:6 13:11 11:5,Wang Manyu,2023
2023 China Table Tennis Super League (Women's Finals),2023-12-24,Sun Yingsha,FAN Siqi,CHN,CHN,3,0,"11,11,17|6,5,15",Final,CN_NATIONAL_LEAGUE,WS,,Main Draw,Sun Yingsha (CHN),FAN Siqi (CHN),,,3 - 0,11:6 11:5 17:15,Sun Yingsha,2023
2023 China Table Tennis Super League (Women's Regular Season),2023-07-20,QIAN TianYi/Chen Xingtong,KUAI Man/Chen Meng,CHN,CHN,3,2,,GROUP,CN_NATIONAL_LEAGUE,WD,,Main Draw,QIAN TianYi (CHN) / Chen Xingtong (CHN),KUAI Man (CHN) / Chen Meng (CHN),Chen Xingtong (CHN),Chen Meng (CHN),3 - 2,,QIAN TianYi,2023
2023 China Table Tennis Super League (Women's Regular Season),2023-07-20,Wang Manyu,Sun Yingsha,CHN,CHN,3,1,,GROUP,CN_NATIONAL_LEAGUE,WS,,Main Draw,Wang Manyu (CHN),Sun Yingsha (CHN),,,3 - 1,,Wang Manyu,2023
2023 China Table Tennis Super League (Women's Regular Season),2023-07-20,Chen Meng,Chen Xingtong,CHN,CHN,3,2,,GROUP,CN_NATIONAL_LEAGUE,WS,,Main Draw,Chen Meng (CHN),Chen Xingtong (CHN),,,3 - 2,,Chen Meng,2023
2023 China Table Tennis Super League (Women's Regular Season),2023-07-20,KUAI Man,Wang Manyu,CHN,CHN,3,2,,GROUP,CN_NATIONAL_LEAGUE,WS,,Main Draw,KUAI Man (CHN),Wang Manyu (CHN),,,3 - 2,,KUAI Man,2023
2023 China Table Tennis Super League (Women's Regular Season),2023-07-20,QIAN TianYi,Sun Yingsha,CHN,CHN,3,2,,GROUP,CN_NATIONAL_LEAGUE,WS,,Main Draw,QIAN TianYi (CHN),Sun Yingsha (CHN),,,3 - 2,,QIAN TianYi,2023
