tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier
2026 中国乒乓球俱乐部超级联赛 男团常规赛,2026-07-24,薛飞/闫安,牛冠凯/唐乙仁,3,0,"11,11,11|9,6,7",GROUP,CN_NATIONAL_LEAGUE
2026 中国乒乓球俱乐部超级联赛 男团常规赛,2026-07-24,向鹏,徐瑛彬,2,1,"9,12,11|11,10,9",GROUP,CN_NATIONAL_LEAGUE
2026 中国乒乓球俱乐部超级联赛 男团常规赛,2026-07-24,黄友政,温瑞博,2,1,"11,6,4|2,11,11",GROUP,CN_NATIONAL_LEAGUE
2026 中国乒乓球俱乐部超级联赛 男团常规赛,2026-07-24,徐瑛彬/黄友政,温瑞博/向鹏,3,0,"8,10,11|11,12,13",GROUP,CN_NATIONAL_LEAGUE
2026 中国乒乓球俱乐部超级联赛 男团常规赛,2026-07-24,薛飞,牛冠凯,2,0,"11,11|6,9",GROUP,CN_NATIONAL_LEAGUE
2026 中国乒乓球俱乐部超级联赛 男团常规赛,2026-07-25,周启豪/李和宸,薛飞/闫安,2,1,"11,11,7|5,13,11",GROUP,CN_NATIONAL_LEAGUE
2026 中国乒乓球俱乐部超级联赛 男团常规赛,2026-07-25,王楚钦,向鹏,2,1,"6,11,11|11,9,9",GROUP,CN_NATIONAL_LEAGUE
2026 中国乒乓球俱乐部超级联赛 男团常规赛,2026-07-25,梁靖崑,温瑞博,2,1,"11,11,7|6,8,11",GROUP,CN_NATIONAL_LEAGUE
2026 中国乒乓球俱乐部超级联赛 男团常规赛,2026-07-25,温瑞博/向鹏,王楚钦/梁靖崑,2,1,"9,7|11,11",GROUP,CN_NATIONAL_LEAGUE
2026 中国乒乓球俱乐部超级联赛 男团常规赛,2026-07-25,周启豪,薛飞,1,0,,GROUP,CN_NATIONAL_LEAGUE
2026 中国乒乓球俱乐部超级联赛 男团常规赛,2026-07-26,梁靖崑/李和宸,罗铮/周锦泉,2,1,"11,10,11|6,12,3",GROUP,CN_NATIONAL_LEAGUE
2026 中国乒乓球俱乐部超级联赛 男团常规赛,2026-07-26,王楚钦,黄旭男,2,1,"11,11,11|4,6,13",GROUP,CN_NATIONAL_LEAGUE
2026 中国乒乓球俱乐部超级联赛 男团常规赛,2026-07-26,周启豪,伍毅菲,3,0,"11,11,11|4,9,1",GROUP,CN_NATIONAL_LEAGUE
2026 中国乒乓球俱乐部超级联赛 男团常规赛,2026-07-26,王楚钦/周启豪,伍毅菲/黄旭男,1,0,11|9,GROUP,CN_NATIONAL_LEAGUE
2026 中国乒乓球俱乐部超级联赛 男团常规赛,2026-07-30,薛飞/闫安,夏易正/李明旭,3,0,"11,12,11|9,10,4",GROUP,CN_NATIONAL_LEAGUE
2026 中国乒乓球俱乐部超级联赛 男团常规赛,2026-07-30,陈垣宇,向鹏,3,0,"8,9,6|11,11,11",GROUP,CN_NATIONAL_LEAGUE
2026 中国乒乓球俱乐部超级联赛 男团常规赛,2026-07-30,温瑞博,徐海东,2,1,"14,11,11|16,4,7",GROUP,CN_NATIONAL_LEAGUE
2026 中国乒乓球俱乐部超级联赛 男团常规赛,2026-07-30,温瑞博/向鹏,徐海东/陈垣宇,2,1,"11,11,7|9,9,11",GROUP,CN_NATIONAL_LEAGUE
2026 中国乒乓球俱乐部超级联赛 男团常规赛,2026-07-30,薛飞,李明旭,1,0,11|6,GROUP,CN_NATIONAL_LEAGUE
2026 中国乒乓球俱乐部超级联赛 男团常规赛,2026-07-29,梁靖崑/周启豪,赵子豪/赵钊彦,2,1,"9,13,11|11,11,7",GROUP,CN_NATIONAL_LEAGUE
2026 中国乒乓球俱乐部超级联赛 男团常规赛,2026-07-29,于海洋,孙正,3,0,,GROUP,CN_NATIONAL_LEAGUE
2026 中国乒乓球俱乐部超级联赛 男团常规赛,2026-07-29,周冠宏,李和宸,2,1,,GROUP,CN_NATIONAL_LEAGUE
