tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
US Open Florida Orlando 2018,2018-12-17,ZHANG Kai,FUJIKI Shoji,USA,JPN,4,2,"12,9,3,13,11,11|10,11,11,11,6,4",R64,WTT_CONTENDER,MS,1996,Main Draw,FUJIKI Shoji (JPN),ZHANG Kai (USA),,,2 - 4,10:12 11:9 11:3 11:13 6:11 4:11,ZHANG Kai,2018
US Open Florida Orlando 2018,2018-12-17,KANOYA Ryohei,SICARD Luc,JPN,CAN,4,0,"11,11,11,11|3,3,4,2",R64,WTT_CONTENDER,MS,1996,Main Draw,KANOYA Ryohei (JPN),SICARD Luc (CAN),,,4 - 0,11:3 11:3 11:4 11:2,KANOYA Ryohei,2018
US Open Florida Orlando 2018,2018-12-17,YU Di,ECHEVARRIA Sebastian,USA,PUR,4,2,"11,11,11,7,5,11|9,6,5,11,11,9",R64,WTT_CONTENDER,MS,1996,Main Draw,ECHEVARRIA Sebastian (PUR),YU Di (USA),,,2 - 4,9:11 6:11 5:11 11:7 11:5 9:11,YU Di,2018
US Open Florida Orlando 2018,2018-12-17,WANG Jinxin,KITAGUCHI Daisuke,USA,JPN,4,0,"11,12,11,11|4,10,8,7",R64,WTT_CONTENDER,MS,1996,Main Draw,WANG Jinxin (USA),KITAGUCHI Daisuke (JPN),,,4 - 0,11:4 12:10 11:8 11:7,WANG Jinxin,2018
US Open Florida Orlando 2018,2018-12-17,CHEN Bowen,NIU Jiang,USA,USA,4,2,"12,13,9,11,11,11|14,11,11,4,7,5",R64,WTT_CONTENDER,MS,1996,Main Draw,CHEN Bowen (USA),NIU Jiang (USA),,,4 - 2,12:14 13:11 9:11 11:4 11:7 11:5,CHEN Bowen,2018
US Open Florida Orlando 2018,2018-12-17,ATSUYA Takeshi,TRAN Michael Minh,JPN,USA,4,2,"6,11,12,12,13,11|11,6,10,14,11,5",R64,WTT_CONTENDER,MS,1996,Main Draw,ATSUYA Takeshi (JPN),TRAN Michael Minh (USA),,,4 - 2,6:11 11:6 12:10 12:14 13:11 11:5,ATSUYA Takeshi,2018
US Open Florida Orlando 2018,2018-12-17,MURAI Kei,DUBINA Samson,JPN,USA,4,1,"11,11,11,8,11|4,7,7,11,9",R64,WTT_CONTENDER,MS,1996,Main Draw,DUBINA Samson (USA),MURAI Kei (JPN),,,1 - 4,4:11 7:11 7:11 11:8 9:11,MURAI Kei,2018
US Open Florida Orlando 2018,2018-12-17,CHEN Baiyu,XU Tommy,USA,CAN,4,0,"11,11,12,11|5,9,10,4",R64,WTT_CONTENDER,MS,1996,Main Draw,CHEN Baiyu (USA),XU Tommy (CAN),,,4 - 0,11:5 11:9 12:10 11:4,CHEN Baiyu,2018
US Open Florida Orlando 2018,2018-12-17,TOKUSHIMA Tsuyoshi,TORRES Jabdiel,JPN,PUR,4,0,"11,11,11,13|9,5,8,11",R64,WTT_CONTENDER,MS,1996,Main Draw,TORRES Jabdiel (PUR),TOKUSHIMA Tsuyoshi (JPN),,,0 - 4,9:11 5:11 8:11 11:13,TOKUSHIMA Tsuyoshi,2018
US Open Florida Orlando 2018,2018-12-17,LI Jian,MA Victor,USA,NZL,4,1,"11,11,10,11,11|8,5,12,5,9",R64,WTT_CONTENDER,MS,1996,Main Draw,LI Jian (USA),MA Victor (NZL),,,4 - 1,11:8 11:5 10:12 11:5 11:9,LI Jian,2018
US Open Florida Orlando 2018,2018-12-17,SHIMOYAMA Yuki,BRYAND Joris,JPN,FRA,4,2,"11,10,12,9,11,11|6,12,10,11,3,5",R64,WTT_CONTENDER,MS,1996,Main Draw,BRYAND Joris (FRA),SHIMOYAMA Yuki (JPN),,,2 - 4,6:11 12:10 10:12 11:9 3:11 5:11,SHIMOYAMA Yuki,2018
US Open Florida Orlando 2018,2018-12-17,LEIBOVITZ Tahl,BU Alexander,USA,CAN,4,2,"9,13,11,11,8,11|11,11,9,6,11,4",R64,WTT_CONTENDER,MS,1996,Main Draw,BU Alexander (CAN),LEIBOVITZ Tahl (USA),,,2 - 4,11:9 11:13 9:11 6:11 11:8 4:11,LEIBOVITZ Tahl,2018
US Open Florida Orlando 2018,2018-12-17,LIU Dan,YEUNG Terence,USA,CAN,4,2,"11,11,10,9,12,11|7,4,12,11,10,8",R64,WTT_CONTENDER,MS,1996,Main Draw,LIU Dan (USA),YEUNG Terence (CAN),,,4 - 2,11:7 11:4 10:12 9:11 12:10 11:8,LIU Dan,2018
US Open Florida Orlando 2018,2018-12-17,XU Kaden,NARANJO Angel,USA,PUR,4,0,"11,11,11,11|7,6,7,5",R64,WTT_CONTENDER,MS,1996,Main Draw,NARANJO Angel (PUR),XU Kaden (USA),,,0 - 4,7:11 6:11 7:11 5:11,XU Kaden,2018
US Open Florida Orlando 2018,2018-12-17,UEZU Koji,YOU Jie,JPN,USA,4,1,"11,11,11,11,11|4,13,7,8,1",R64,WTT_CONTENDER,MS,1996,Main Draw,YOU Jie (USA),UEZU Koji (JPN),,,1 - 4,4:11 13:11 7:11 8:11 1:11,UEZU Koji,2018
US Open Florida Orlando 2018,2018-12-17,JU Mingwei,CASTRO Lidney,USA,USA,4,1,"9,11,11,11,11|11,4,7,4,9",R64,WTT_CONTENDER,MS,1996,Main Draw,JU Mingwei (USA),CASTRO Lidney (USA),,,4 - 1,9:11 11:4 11:7 11:4 11:9,JU Mingwei,2018
US Open Florida Orlando 2018,2018-12-17,JHA Kanak,ZHANG Kai,USA,USA,4,0,"13,11,12,11|11,4,10,6",R32,WTT_CONTENDER,MS,1996,Main Draw,JHA Kanak (USA),ZHANG Kai (USA),,,4 - 0,13:11 11:4 12:10 11:6,JHA Kanak,2018
US Open Florida Orlando 2018,2018-12-17,KANOYA Ryohei,SANCHEZ Alfredo,JPN,CRC,4,0,"11,11,11,11|4,8,4,4",R32,WTT_CONTENDER,MS,1996,Main Draw,KANOYA Ryohei (JPN),SANCHEZ Alfredo (CRC),,,4 - 0,11:4 11:8 11:4 11:4,KANOYA Ryohei,2018
US Open Florida Orlando 2018,2018-12-17,MA Jinbao,YU Di,USA,USA,4,0,"11,11,11,13|5,9,6,11",R32,WTT_CONTENDER,MS,1996,Main Draw,MA Jinbao (USA),YU Di (USA),,,4 - 0,11:5 11:9 11:6 13:11,MA Jinbao,2018
US Open Florida Orlando 2018,2018-12-17,HAZIN Jeremy,WANG Jinxin,CAN,USA,4,1,"11,8,11,11,12|7,11,8,9,10",R32,WTT_CONTENDER,MS,1996,Main Draw,WANG Jinxin (USA),HAZIN Jeremy (CAN),,,1 - 4,7:11 11:8 8:11 9:11 10:12,HAZIN Jeremy,2018
US Open Florida Orlando 2018,2018-12-17,ENGEMANN Gerrit,CHEN Bowen,GER,USA,4,1,"11,11,11,5,11|9,8,3,11,5",R32,WTT_CONTENDER,MS,1996,Main Draw,ENGEMANN Gerrit (GER),CHEN Bowen (USA),,,4 - 1,11:9 11:8 11:3 5:11 11:5,ENGEMANN Gerrit,2018
US Open Florida Orlando 2018,2018-12-17,ATSUYA Takeshi,TIAN Ye,JPN,USA,4,0,"11,14,11,11|8,12,7,8",R32,WTT_CONTENDER,MS,1996,Main Draw,ATSUYA Takeshi (JPN),TIAN Ye (USA),,,4 - 0,11:8 14:12 11:7 11:8,ATSUYA Takeshi,2018
US Open Florida Orlando 2018,2018-12-17,MURAI Kei,TORRES Derek,JPN,PUR,4,0,"11,11,11,11|6,3,4,6",R32,WTT_CONTENDER,MS,1996,Main Draw,TORRES Derek (PUR),MURAI Kei (JPN),,,0 - 4,6:11 3:11 4:11 6:11,MURAI Kei,2018
US Open Florida Orlando 2018,2018-12-17,GOMMERS Rajko,CHEN Baiyu,NED,USA,4,2,"10,6,11,11,11,11|12,11,5,7,9,9",R32,WTT_CONTENDER,MS,1996,Main Draw,CHEN Baiyu (USA),GOMMERS Rajko (NED),,,2 - 4,12:10 11:6 5:11 7:11 9:11 9:11,GOMMERS Rajko,2018
US Open Florida Orlando 2018,2018-12-17,WANG Eugene,TOKUSHIMA Tsuyoshi,CAN,JPN,4,2,"11,14,9,11,6,11|9,12,11,4,11,7",R32,WTT_CONTENDER,MS,1996,Main Draw,WANG Eugene (CAN),TOKUSHIMA Tsuyoshi (JPN),,,4 - 2,11:9 14:12 9:11 11:4 6:11 11:7,WANG Eugene,2018
US Open Florida Orlando 2018,2018-12-17,SHIMOYAMA Yuki,GONZALEZ Yomar,JPN,PUR,4,1,"11,8,11,11,11|9,11,7,6,8",R32,WTT_CONTENDER,MS,1996,Main Draw,GONZALEZ Yomar (PUR),SHIMOYAMA Yuki (JPN),,,1 - 4,9:11 11:8 7:11 6:11 8:11,SHIMOYAMA Yuki,2018
US Open Florida Orlando 2018,2018-12-17,TIO Nicholas,LEIBOVITZ Tahl,USA,USA,4,2,"11,13,10,11,9,11|7,11,12,4,11,6",R32,WTT_CONTENDER,MS,1996,Main Draw,LEIBOVITZ Tahl (USA),TIO Nicholas (USA),,,2 - 4,7:11 11:13 12:10 4:11 11:9 6:11,TIO Nicholas,2018
US Open Florida Orlando 2018,2018-12-17,HIPPLER Tobias,LIU Dan,GER,USA,4,2,"5,11,17,5,11,11|11,7,15,11,5,9",R32,WTT_CONTENDER,MS,1996,Main Draw,HIPPLER Tobias (GER),LIU Dan (USA),,,4 - 2,5:11 11:7 17:15 5:11 11:5 11:9,HIPPLER Tobias,2018
