tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
Women's World Cup Taipei 1998,1998-11-06,LI Chunli,LI Ju,NZL,CHN,2,1,,,WORLD_CUP,WS,1233,Qualification,LI Chunli (NZL),LI Ju (CHN),,,2 - 1,,LI Chunli,1998
Women's World Cup Taipei 1998,1998-11-06,LI Chunli,TOTH Krisztina,NZL,HUN,2,0,,,WORLD_CUP,WS,1233,Qualification,LI Chunli (NZL),TOTH Krisztina (HUN),,,2 - 0,,LI Chunli,1998
Women's World Cup Taipei 1998,1998-11-06,GENG Lijuan,LI Chunli,CAN,NZL,2,1,,,WORLD_CUP,WS,1233,Qualification,GENG Lijuan (CAN),LI Chunli (NZL),,,1 - 2,,GENG Lijuan,1998
Women's World Cup Taipei 1998,1998-11-06,LI Ju,TOTH Krisztina,CHN,HUN,2,0,,,WORLD_CUP,WS,1233,Qualification,LI Ju (CHN),TOTH Krisztina (HUN),,,2 - 0,,LI Ju,1998
Women's World Cup Taipei 1998,1998-11-06,LI Ju,GENG Lijuan,CHN,CAN,2,0,,,WORLD_CUP,WS,1233,Qualification,LI Ju (CHN),GENG Lijuan (CAN),,,2 - 0,,LI Ju,1998
Women's World Cup Taipei 1998,1998-11-06,TOTH Krisztina,GENG Lijuan,HUN,CAN,2,0,,,WORLD_CUP,WS,1233,Qualification,TOTH Krisztina (HUN),GENG Lijuan (CAN),,,2 - 0,,TOTH Krisztina,1998
Women's World Cup Taipei 1998,1998-11-06,TIAN-ZORNER Jing,WANG Nan,GER,CHN,2,1,,,WORLD_CUP,WS,1233,Qualification,TIAN-ZORNER Jing (GER),WANG Nan (CHN),,,2 - 1,,TIAN-ZORNER Jing,1998
Women's World Cup Taipei 1998,1998-11-06,TIAN-ZORNER Jing,SCHOPP Jie,GER,GER,2,1,,,WORLD_CUP,WS,1233,Qualification,TIAN-ZORNER Jing (GER),SCHOPP Jie (GER),,,2 - 1,,TIAN-ZORNER Jing,1998
Women's World Cup Taipei 1998,1998-11-06,TIAN-ZORNER Jing,TSUI Hsiu-Li,GER,TPE,2,0,,,WORLD_CUP,WS,1233,Qualification,TIAN-ZORNER Jing (GER),TSUI Hsiu-Li (TPE),,,2 - 0,,TIAN-ZORNER Jing,1998
Women's World Cup Taipei 1998,1998-11-06,WANG Nan,SCHOPP Jie,CHN,GER,2,0,,,WORLD_CUP,WS,1233,Qualification,WANG Nan (CHN),SCHOPP Jie (GER),,,2 - 0,,WANG Nan,1998
Women's World Cup Taipei 1998,1998-11-06,WANG Nan,TSUI Hsiu-Li,CHN,TPE,2,1,,,WORLD_CUP,WS,1233,Qualification,WANG Nan (CHN),TSUI Hsiu-Li (TPE),,,2 - 1,,WANG Nan,1998
Women's World Cup Taipei 1998,1998-11-06,SCHOPP Jie,TSUI Hsiu-Li,GER,TPE,2,0,,,WORLD_CUP,WS,1233,Qualification,SCHOPP Jie (GER),TSUI Hsiu-Li (TPE),,,2 - 0,,SCHOPP Jie,1998
Women's World Cup Taipei 1998,1998-11-06,RYU Jihae,YANG Ying,KOR,CHN,2,1,,,WORLD_CUP,WS,1233,Qualification,RYU Jihae (KOR),YANG Ying (CHN),,,1 - 2,,RYU Jihae,1998
Women's World Cup Taipei 1998,1998-11-06,YANG Ying,BATORFI Csilla,CHN,HUN,2,0,,,WORLD_CUP,WS,1233,Qualification,YANG Ying (CHN),BATORFI Csilla (HUN),,,2 - 0,,YANG Ying,1998
Women's World Cup Taipei 1998,1998-11-06,YANG Ying,XU Jing,CHN,TPE,2,0,,,WORLD_CUP,WS,1233,Qualification,YANG Ying (CHN),XU Jing (TPE),,,2 - 0,,YANG Ying,1998
Women's World Cup Taipei 1998,1998-11-06,BATORFI Csilla,RYU Jihae,HUN,KOR,2,1,,,WORLD_CUP,WS,1233,Qualification,BATORFI Csilla (HUN),RYU Jihae (KOR),,,1 - 2,,BATORFI Csilla,1998
Women's World Cup Taipei 1998,1998-11-06,RYU Jihae,XU Jing,KOR,TPE,2,0,,,WORLD_CUP,WS,1233,Qualification,RYU Jihae (KOR),XU Jing (TPE),,,2 - 0,,RYU Jihae,1998
Women's World Cup Taipei 1998,1998-11-06,BATORFI Csilla,XU Jing,HUN,TPE,2,0,,,WORLD_CUP,WS,1233,Qualification,BATORFI Csilla (HUN),XU Jing (TPE),,,2 - 0,,BATORFI Csilla,1998
Women's World Cup Taipei 1998,1998-11-06,NI Xia Lian,CHEN TONG Fei-Ming,LUX,TPE,2,1,,,WORLD_CUP,WS,1233,Qualification,NI Xia Lian (LUX),CHEN TONG Fei-Ming (TPE),,,2 - 1,,NI Xia Lian,1998
Women's World Cup Taipei 1998,1998-11-06,NI Xia Lian,PARK Haejung,LUX,KOR,2,1,,,WORLD_CUP,WS,1233,Qualification,NI Xia Lian (LUX),PARK Haejung (KOR),,,2 - 1,,NI Xia Lian,1998
Women's World Cup Taipei 1998,1998-11-06,STRUSE Nicole,NI Xia Lian,GER,LUX,2,1,,,WORLD_CUP,WS,1233,Qualification,STRUSE Nicole (GER),NI Xia Lian (LUX),,,1 - 2,,STRUSE Nicole,1998
Women's World Cup Taipei 1998,1998-11-06,CHEN TONG Fei-Ming,PARK Haejung,TPE,KOR,2,0,,,WORLD_CUP,WS,1233,Qualification,CHEN TONG Fei-Ming (TPE),PARK Haejung (KOR),,,2 - 0,,CHEN TONG Fei-Ming,1998
Women's World Cup Taipei 1998,1998-11-06,CHEN TONG Fei-Ming,STRUSE Nicole,TPE,GER,2,0,,,WORLD_CUP,WS,1233,Qualification,CHEN TONG Fei-Ming (TPE),STRUSE Nicole (GER),,,2 - 0,,CHEN TONG Fei-Ming,1998
Women's World Cup Taipei 1998,1998-11-06,PARK Haejung,STRUSE Nicole,KOR,GER,2,0,,,WORLD_CUP,WS,1233,Qualification,PARK Haejung (KOR),STRUSE Nicole (GER),,,2 - 0,,PARK Haejung,1998
Women's World Cup Taipei 1998,1998-11-06,CHEN TONG Fei-Ming,LI Chunli,TPE,NZL,3,0,,QuarterFinal,WORLD_CUP,WS,1233,Main Draw,CHEN TONG Fei-Ming (TPE),LI Chunli (NZL),,,0 - 3,,CHEN TONG Fei-Ming,1998
Women's World Cup Taipei 1998,1998-11-06,WANG Nan,YANG Ying,CHN,CHN,3,0,,QuarterFinal,WORLD_CUP,WS,1233,Main Draw,WANG Nan (CHN),YANG Ying (CHN),,,3 - 0,,WANG Nan,1998
Women's World Cup Taipei 1998,1998-11-06,RYU Jihae,NI Xia Lian,KOR,LUX,3,1,,QuarterFinal,WORLD_CUP,WS,1233,Main Draw,RYU Jihae (KOR),NI Xia Lian (LUX),,,1 - 3,,RYU Jihae,1998
Women's World Cup Taipei 1998,1998-11-06,LI Ju,TIAN-ZORNER Jing,CHN,GER,3,0,,QuarterFinal,WORLD_CUP,WS,1233,Main Draw,LI Ju (CHN),TIAN-ZORNER Jing (GER),,,3 - 0,,LI Ju,1998
Women's World Cup Taipei 1998,1998-11-06,WANG Nan,CHEN TONG Fei-Ming,CHN,TPE,3,0,,SemiFinal,WORLD_CUP,WS,1233,Main Draw,WANG Nan (CHN),CHEN TONG Fei-Ming (TPE),,,0 - 3,,WANG Nan,1998
Women's World Cup Taipei 1998,1998-11-06,LI Ju,RYU Jihae,CHN,KOR,3,1,,SemiFinal,WORLD_CUP,WS,1233,Main Draw,LI Ju (CHN),RYU Jihae (KOR),,,1 - 3,,LI Ju,1998
