tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
Commonwealth Table Tennis Championships Surat 2015,2015-12-16,SHETTY Sanil,WYKES Jordan,IND,JEY,3,0,"11,11,11|6,2,5",1,OTHER,MS,146,Qualification,SHETTY Sanil (IND),WYKES Jordan (JEY),,,3 - 0,11:6 11:2 11:5,SHETTY Sanil,2015
Commonwealth Table Tennis Championships Surat 2015,2015-12-16,YIANGOU Marios,LINGEVELDT Keegan,CYP,RSA,3,0,"11,11,11|5,2,3",1,OTHER,MS,146,Qualification,YIANGOU Marios (CYP),LINGEVELDT Keegan (RSA),,,3 - 0,11:5 11:2 11:3,YIANGOU Marios,2015
Commonwealth Table Tennis Championships Surat 2015,2015-12-16,MCBEATH David,MAIN Calum,ENG,SCO,3,0,"11,11,11|6,8,8",1,OTHER,MS,146,Qualification,MCBEATH David (ENG),MAIN Calum (SCO),,,3 - 0,11:6 11:8 11:8,MCBEATH David,2015
Commonwealth Table Tennis Championships Surat 2015,2015-12-16,PANG Xue Jie,COLLINS Ben,SGP,NZL,3,0,"11,11,12|8,6,10",1,OTHER,MS,146,Qualification,PANG Xue Jie (SGP),COLLINS Ben (NZL),,,3 - 0,11:8 11:6 12:10,PANG Xue Jie,2015
Commonwealth Table Tennis Championships Surat 2015,2015-12-16,GROVER Sudhanshu,TUPPER Hugo,IND,JEY,3,0,"11,11,11|4,5,5",1,OTHER,MS,146,Qualification,GROVER Sudhanshu (IND),TUPPER Hugo (JEY),,,3 - 0,11:4 11:5 11:5,GROVER Sudhanshu,2015
Commonwealth Table Tennis Championships Surat 2015,2015-12-16,MCCREERY Paul,BAND Joshua,IRL,JEY,3,0,"11,11,11|5,4,6",1,OTHER,MS,146,Qualification,MCCREERY Paul (IRL),BAND Joshua (JEY),,,3 - 0,11:5 11:4 11:6,MCCREERY Paul,2015
Commonwealth Table Tennis Championships Surat 2015,2015-12-16,HOWIESON Craig,MATHOLE Terrence,SCO,RSA,3,0,"11,11,11|3,7,4",1,OTHER,MS,146,Qualification,HOWIESON Craig (SCO),MATHOLE Terrence (RSA),,,3 - 0,11:3 11:7 11:4,HOWIESON Craig,2015
Commonwealth Table Tennis Championships Surat 2015,2015-12-16,GRIFFITHS Chris,GINIGE Chameera,WAL,SRI,3,1,"11,8,11,11|9,11,7,5",1,OTHER,MS,146,Qualification,GRIFFITHS Chris (WAL),GINIGE Chameera (SRI),,,3 - 1,11:9 8:11 11:7 11:5,GRIFFITHS Chris,2015
Commonwealth Table Tennis Championships Surat 2015,2015-12-16,KARIA Devesh,ALEXANDRE Josh,IND,NZL,3,0,"11,11,11|2,1,2",1,OTHER,MS,146,Qualification,KARIA Devesh (IND),ALEXANDRE Josh (NZL),,,3 - 0,11:2 11:1 11:2,KARIA Devesh,2015
Commonwealth Table Tennis Championships Surat 2015,2015-12-16,JENKINS Ryan,WILSON Aaron,WAL,TTO,3,1,"11,12,9,11|7,10,11,7",1,OTHER,MS,146,Qualification,WILSON Aaron (TTO),JENKINS Ryan (WAL),,,1 - 3,7:11 10:12 11:9 7:11,JENKINS Ryan,2015
Commonwealth Table Tennis Championships Surat 2015,2015-12-16,YADAV Abhishek,LINGEVELDT Kurt,IND,RSA,3,1,"11,12,4,11|8,10,11,6",1,OTHER,MS,146,Qualification,YADAV Abhishek (IND),LINGEVELDT Kurt (RSA),,,3 - 1,11:8 12:10 4:11 11:6,YADAV Abhishek,2015
Commonwealth Table Tennis Championships Surat 2015,2015-12-16,JARVIS Tom,HUMPHREYS Curtis,ENG,TTO,3,0,"11,12,11|4,10,6",1,OTHER,MS,146,Qualification,JARVIS Tom (ENG),HUMPHREYS Curtis (TTO),,,3 - 0,11:4 12:10 11:6,JARVIS Tom,2015
