tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
Pro Tour Grand Finals Stockholm 2002,2002-12-12,MA Lin,SMIRNOV Alexey,CHN,RUS,4,2,"11,11,5,11,1,11|9,7,11,9,11,4",R16,GRAND_SLAM,MS,1509,Main Draw,MA Lin (CHN),SMIRNOV Alexey (RUS),,,4 - 2,11:9 11:7 5:11 11:9 1:11 11:4,MA Lin,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,WANG Hao,SAMSONOV Vladimir,CHN,BLR,4,3,"12,10,11,8,11,8,11|10,12,6,11,4,11,4",R16,GRAND_SLAM,MS,1509,Main Draw,WANG Hao (CHN),SAMSONOV Vladimir (BLR),,,3 - 4,10:12 12:10 6:11 11:8 4:11 11:8 4:11,WANG Hao,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,CHUANG Chih-Yuan,KONG Linghui,TPE,CHN,4,3,"7,13,11,11,10,9,11|11,11,9,6,12,11,7",R16,GRAND_SLAM,MS,1509,Main Draw,CHUANG Chih-Yuan (TPE),KONG Linghui (CHN),,,4 - 3,7:11 13:11 11:9 11:6 10:12 9:11 11:7,CHUANG Chih-Yuan,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,SAIVE Jean-Michel,MAZE Michael,BEL,DEN,4,1,"11,7,11,11,11|6,11,9,8,3",R16,GRAND_SLAM,MS,1509,Main Draw,SAIVE Jean-Michel (BEL),MAZE Michael (DEN),,,1 - 4,6:11 11:7 9:11 8:11 3:11,SAIVE Jean-Michel,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,BOLL Timo,KARLSSON Peter,GER,SWE,4,2,"7,11,11,9,11,12|11,3,6,11,9,10",R16,GRAND_SLAM,MS,1509,Main Draw,BOLL Timo (GER),KARLSSON Peter (SWE),,,4 - 2,7:11 11:3 11:6 9:11 11:9 12:10,BOLL Timo,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,WANG Liqin,RYU Seungmin,CHN,KOR,4,2,"6,10,11,12,11,11|11,12,5,10,4,2",R16,GRAND_SLAM,MS,1509,Main Draw,WANG Liqin (CHN),RYU Seungmin (KOR),,,2 - 4,11:6 12:10 5:11 10:12 4:11 2:11,WANG Liqin,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,KREANGA Kalinikos,QIN Zhijian,GRE,CHN,4,0,"11,12,11,11|9,10,6,9",R16,GRAND_SLAM,MS,1509,Main Draw,KREANGA Kalinikos (GRE),QIN Zhijian (CHN),,,4 - 0,11:9 12:10 11:6 11:9,KREANGA Kalinikos,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,HEISTER Danny,SCHLAGER Werner,NED,AUT,4,2,"11,11,6,5,11,11|2,7,11,11,8,1",R16,GRAND_SLAM,MS,1509,Main Draw,HEISTER Danny (NED),SCHLAGER Werner (AUT),,,4 - 2,11:2 11:7 6:11 5:11 11:8 11:1,HEISTER Danny,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,WANG Hao,MA Lin,CHN,CHN,4,3,"13,11,10,7,5,11,13|11,8,12,11,11,8,11",QuarterFinal,GRAND_SLAM,MS,1509,Main Draw,WANG Hao (CHN),MA Lin (CHN),,,3 - 4,11:13 8:11 12:10 11:7 11:5 8:11 11:13,WANG Hao,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,CHUANG Chih-Yuan,SAIVE Jean-Michel,TPE,BEL,4,2,"11,7,11,11,8,12|6,11,7,9,11,10",QuarterFinal,GRAND_SLAM,MS,1509,Main Draw,CHUANG Chih-Yuan (TPE),SAIVE Jean-Michel (BEL),,,4 - 2,11:6 7:11 11:7 11:9 8:11 12:10,CHUANG Chih-Yuan,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,BOLL Timo,WANG Liqin,GER,CHN,4,3,"7,11,11,7,8,11,11|11,8,9,11,11,9,6",QuarterFinal,GRAND_SLAM,MS,1509,Main Draw,BOLL Timo (GER),WANG Liqin (CHN),,,4 - 3,7:11 11:8 11:9 7:11 8:11 11:9 11:6,BOLL Timo,2002
