tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
2023 Pacific Games,2023-11-20,LULU Anolyn,ALATINA Ioanina,VAN,SAM,3,0,"11,11,11|2,2,8",QUAL,OTHER,WS,2715,Qualification,LULU Anolyn (VAN),ALATINA Ioanina (SAM),,,3 - 0,11:2 11:2 11:8,LULU Anolyn,2023
2023 Pacific Games,2023-11-20,FAEHAU Fabiana,LEILUA Emma,NCL,SAM,3,2,"10,11,6,11,11|12,6,11,4,7",QUAL,OTHER,WS,2715,Qualification,FAEHAU Fabiana (NCL),LEILUA Emma (SAM),,,3 - 2,10:12 11:6 6:11 11:4 11:7,FAEHAU Fabiana,2023
2023 Pacific Games,2023-11-20,LA Lorie,CHIN Meilin,NCL,PLW,3,0,"11,11,11|2,4,2",QUAL,OTHER,WS,2715,Qualification,LA Lorie (NCL),CHIN Meilin (PLW),,,3 - 0,11:2 11:4 11:2,LA Lorie,2023
2023 Pacific Games,2023-11-20,TEAWAKE Matita,WATANABE Jeramei,KIR,PLW,3,0,"11,11,11|8,9,7",QUAL,OTHER,WS,2715,Qualification,TEAWAKE Matita (KIR),WATANABE Jeramei (PLW),,,0 - 3,8:11 9:11 7:11,TEAWAKE Matita,2023
2023 Pacific Games,2023-11-20,TEHAHETUA Keala,WATANABE Meg,PYF,PLW,3,0,"11,11,11|4,3,4",QUAL,OTHER,WS,2715,Qualification,TEHAHETUA Keala (PYF),WATANABE Meg (PLW),,,3 - 0,11:4 11:3 11:4,TEHAHETUA Keala,2023
2023 Pacific Games,2023-11-20,SIFI Connie,LOI Samantha,SOL,PNG,3,0,"11,11,12|5,5,10",QUAL,OTHER,WS,2715,Qualification,SIFI Connie (SOL),LOI Samantha (PNG),,,3 - 0,11:5 11:5 12:10,SIFI Connie,2023
2023 Pacific Games,2023-11-20,QWEA Stephanie,LUKAS Denglei,VAN,PLW,3,0,"11,11,11|4,5,5",QUAL,OTHER,WS,2715,Qualification,QWEA Stephanie (VAN),LUKAS Denglei (PLW),,,3 - 0,11:4 11:5 11:5,QWEA Stephanie,2023
2023 Pacific Games,2023-11-20,MANUTAHI Takihei,FUNGAVAI Melekaufusi,PYF,TGA,3,1,"7,11,11,13|11,8,6,11",QUAL,OTHER,WS,2715,Qualification,MANUTAHI Takihei (PYF),FUNGAVAI Melekaufusi (TGA),,,3 - 1,7:11 11:8 11:6 13:11,MANUTAHI Takihei,2023
2023 Pacific Games,2023-11-20,YEE Grace Rosi,PEPA Barbara,FIJ,TGA,3,0,"11,11,11|7,6,5",QUAL,OTHER,WS,2715,Qualification,YEE Grace Rosi (FIJ),PEPA Barbara (TGA),,,3 - 0,11:7 11:6 11:5,YEE Grace Rosi,2023
2023 Pacific Games,2023-11-20,LI Carolyn,WINNIE Emilly,FIJ,PNG,3,0,"11,11,11|3,2,1",QUAL,OTHER,WS,2715,Qualification,LI Carolyn (FIJ),WINNIE Emilly (PNG),,,3 - 0,11:3 11:2 11:1,LI Carolyn,2023
2023 Pacific Games,2023-11-20,WANEGUI Julie,TOUTAI Talita,NCL,TGA,3,0,"11,11,11|3,2,5",QUAL,OTHER,WS,2715,Qualification,WANEGUI Julie (NCL),TOUTAI Talita (TGA),,,3 - 0,11:3 11:2 11:5,WANEGUI Julie,2023
2023 Pacific Games,2023-11-20,PAUL Anais,NOTTE Uzzaniah Grace,NCL,NRU,3,0,"11,11,11|3,8,2",QUAL,OTHER,WS,2715,Qualification,PAUL Anais (NCL),NOTTE Uzzaniah Grace (NRU),,,3 - 0,11:3 11:8 11:2,PAUL Anais,2023
2023 Pacific Games,2023-11-20,YEE Grace Rosi,LOHIA Geru Elizabeth,FIJ,PNG,3,0,"11,11,11|5,6,5",QUAL,OTHER,WS,2715,Qualification,YEE Grace Rosi (FIJ),LOHIA Geru Elizabeth (PNG),,,3 - 0,11:5 11:6 11:5,YEE Grace Rosi,2023
2023 Pacific Games,2023-11-20,WONG Heimoe,LI Carolyn,PYF,FIJ,3,1,"4,11,11,11|11,8,6,6",QUAL,OTHER,WS,2715,Qualification,WONG Heimoe (PYF),LI Carolyn (FIJ),,,1 - 3,11:4 8:11 6:11 6:11,WONG Heimoe,2023
2023 Pacific Games,2023-11-20,WANEGUI Julie,AGARI Tammi,NCL,PNG,3,2,"11,9,12,11,11|4,11,14,9,9",QUAL,OTHER,WS,2715,Qualification,WANEGUI Julie (NCL),AGARI Tammi (PNG),,,3 - 2,11:4 9:11 12:14 11:9 11:9,WANEGUI Julie,2023
2023 Pacific Games,2023-11-20,SOGAVARE Shannon,MAWA Tracey,SOL,VAN,3,0,"11,12,11|6,10,9",QUAL,OTHER,WS,2715,Qualification,SOGAVARE Shannon (SOL),MAWA Tracey (VAN),,,0 - 3,6:11 10:12 9:11,SOGAVARE Shannon,2023
2023 Pacific Games,2023-11-20,LOHIA Geru Elizabeth,PEPA Barbara,PNG,TGA,3,1,"11,11,4,11|2,7,11,9",QUAL,OTHER,WS,2715,Qualification,LOHIA Geru Elizabeth (PNG),PEPA Barbara (TGA),,,3 - 1,11:2 11:7 4:11 11:9,LOHIA Geru Elizabeth,2023
2023 Pacific Games,2023-11-20,WONG Heimoe,WINNIE Emilly,PYF,PNG,3,0,"11,11,11|2,4,1",QUAL,OTHER,WS,2715,Qualification,WONG Heimoe (PYF),WINNIE Emilly (PNG),,,3 - 0,11:2 11:4 11:1,WONG Heimoe,2023
2023 Pacific Games,2023-11-20,AGARI Tammi,TOUTAI Talita,PNG,TGA,3,0,"11,12,11|2,10,9",QUAL,OTHER,WS,2715,Qualification,AGARI Tammi (PNG),TOUTAI Talita (TGA),,,3 - 0,11:2 12:10 11:9,AGARI Tammi,2023
2023 Pacific Games,2023-11-20,MAWA Tracey,PAUL Anais,VAN,NCL,3,1,"9,11,11,14|11,6,5,12",QUAL,OTHER,WS,2715,Qualification,MAWA Tracey (VAN),PAUL Anais (NCL),,,1 - 3,11:9 6:11 5:11 12:14,MAWA Tracey,2023
2023 Pacific Games,2023-11-20,SOGAVARE Shannon,NOTTE Uzzaniah Grace,SOL,NRU,3,0,"11,11,11|7,5,9",QUAL,OTHER,WS,2715,Qualification,SOGAVARE Shannon (SOL),NOTTE Uzzaniah Grace (NRU),,,0 - 3,7:11 5:11 9:11,SOGAVARE Shannon,2023
2023 Pacific Games,2023-11-20,PAUL Anais,SOGAVARE Shannon,NCL,SOL,3,1,"11,11,8,11|6,7,11,4",QUAL,OTHER,WS,2715,Qualification,PAUL Anais (NCL),SOGAVARE Shannon (SOL),,,3 - 1,11:6 11:7 8:11 11:4,PAUL Anais,2023
2023 Pacific Games,2023-11-20,MAWA Tracey,NOTTE Uzzaniah Grace,VAN,NRU,3,0,"11,11,11|6,4,3",QUAL,OTHER,WS,2715,Qualification,MAWA Tracey (VAN),NOTTE Uzzaniah Grace (NRU),,,3 - 0,11:6 11:4 11:3,MAWA Tracey,2023
2023 Pacific Games,2023-11-20,PERROT Adrien,BOBBY Boe,NCL,PNG,3,0,"11,11,11|3,5,3",QUAL,OTHER,MS,2715,Qualification,PERROT Adrien (NCL),BOBBY Boe (PNG),,,3 - 0,11:3 11:5 11:3,PERROT Adrien,2023
2023 Pacific Games,2023-11-20,SEPA Gasika,PEPA Simote,PNG,TGA,3,0,"11,11,11|4,3,4",QUAL,OTHER,MS,2715,Qualification,SEPA Gasika (PNG),PEPA Simote (TGA),,,3 - 0,11:4 11:3 11:4,SEPA Gasika,2023
2023 Pacific Games,2023-11-20,NUOPULA Gary,ONGOSIA Viliami,SOL,TGA,3,0,"11,11,11|7,2,6",QUAL,OTHER,MS,2715,Qualification,NUOPULA Gary (SOL),ONGOSIA Viliami (TGA),,,3 - 0,11:7 11:2 11:6,NUOPULA Gary,2023
2023 Pacific Games,2023-11-20,YEE Joshua,ENESA Maeli,FIJ,SAM,3,0,"11,11,11|1,6,1",QUAL,OTHER,MS,2715,Qualification,YEE Joshua (FIJ),ENESA Maeli (SAM),,,3 - 0,11:1 11:6 11:1,YEE Joshua,2023
2023 Pacific Games,2023-11-20,MORISSEAU Jerome,REO Kevin,NCL,KIR,3,0,"11,11,11|5,4,7",QUAL,OTHER,MS,2715,Qualification,MORISSEAU Jerome (NCL),REO Kevin (KIR),,,3 - 0,11:5 11:4 11:7,MORISSEAU Jerome,2023
2023 Pacific Games,2023-11-20,CLOUET Olivier,VIRA Reuben,NCL,VAN,3,0,"11,11,11|7,2,1",QUAL,OTHER,MS,2715,Qualification,CLOUET Olivier (NCL),VIRA Reuben (VAN),,,3 - 0,11:7 11:2 11:1,CLOUET Olivier,2023
2023 Pacific Games,2023-11-20,BOKADRIK Ricky,AGUON Elias,MHL,PLW,3,0,"11,11,12|5,5,10",QUAL,OTHER,MS,2715,Qualification,BOKADRIK Ricky (MHL),AGUON Elias (PLW),,,3 - 0,11:5 11:5 12:10,BOKADRIK Ricky,2023
2023 Pacific Games,2023-11-20,GENDRON Hugo,GUA Lenson,PYF,SOL,3,0,"11,11,11|3,7,2",QUAL,OTHER,MS,2715,Qualification,GENDRON Hugo (PYF),GUA Lenson (SOL),,,3 - 0,11:3 11:7 11:2,GENDRON Hugo,2023
2023 Pacific Games,2023-11-20,LOI David,VEA Ata,PNG,SAM,3,0,"11,11,11|6,4,5",QUAL,OTHER,MS,2715,Qualification,LOI David (PNG),VEA Ata (SAM),,,3 - 0,11:6 11:4 11:5,LOI David,2023
2023 Pacific Games,2023-11-20,SALVI Clement,TAKOOA Nooa,WLF,KIR,3,2,"11,9,11,7,11|5,11,6,11,4",QUAL,OTHER,MS,2715,Qualification,SALVI Clement (WLF),TAKOOA Nooa (KIR),,,3 - 2,11:5 9:11 11:6 7:11 11:4,SALVI Clement,2023
2023 Pacific Games,2023-11-20,LULU Edwin,NGIRUOS Abba,VAN,PLW,3,0,"11,11,11|3,6,3",QUAL,OTHER,MS,2715,Qualification,LULU Edwin (VAN),NGIRUOS Abba (PLW),,,3 - 0,11:3 11:6 11:3,LULU Edwin,2023
2023 Pacific Games,2023-11-20,BWEBWENIMEANG Iotebwa,ZHANG Bei Yan,KIR,FIJ,3,2,"7,5,12,11,11|11,11,10,8,3",QUAL,OTHER,MS,2715,Qualification,BWEBWENIMEANG Iotebwa (KIR),ZHANG Bei Yan (FIJ),,,2 - 3,11:7 11:5 10:12 8:11 3:11,BWEBWENIMEANG Iotebwa,2023
2023 Pacific Games,2023-11-20,GENDRON Hugo,SEPA Gasika,PYF,PNG,3,0,"11,11,11|7,6,9",QUAL,OTHER,MS,2715,Qualification,GENDRON Hugo (PYF),SEPA Gasika (PNG),,,0 - 3,7:11 6:11 9:11,GENDRON Hugo,2023
2023 Pacific Games,2023-11-20,LOI David,NUOPULA Gary,PNG,SOL,3,1,"11,11,7,11|4,7,11,3",QUAL,OTHER,MS,2715,Qualification,LOI David (PNG),NUOPULA Gary (SOL),,,1 - 3,4:11 7:11 11:7 3:11,LOI David,2023
2023 Pacific Games,2023-11-20,YEE Joshua,SALVI Clement,FIJ,WLF,3,0,"11,11,11|6,8,6",QUAL,OTHER,MS,2715,Qualification,YEE Joshua (FIJ),SALVI Clement (WLF),,,3 - 0,11:6 11:8 11:6,YEE Joshua,2023
2023 Pacific Games,2023-11-20,MORISSEAU Jerome,LULU Edwin,NCL,VAN,3,0,"11,11,11|6,5,4",QUAL,OTHER,MS,2715,Qualification,MORISSEAU Jerome (NCL),LULU Edwin (VAN),,,3 - 0,11:6 11:5 11:4,MORISSEAU Jerome,2023
2023 Pacific Games,2023-11-20,CLOUET Olivier,ZHANG Bei Yan,NCL,FIJ,3,0,"11,11,13|6,6,11",QUAL,OTHER,MS,2715,Qualification,CLOUET Olivier (NCL),ZHANG Bei Yan (FIJ),,,3 - 0,11:6 11:6 13:11,CLOUET Olivier,2023
2023 Pacific Games,2023-11-20,BOBBY Boe,AGUON Elias,PNG,PLW,3,1,"7,11,11,11|11,8,9,8",QUAL,OTHER,MS,2715,Qualification,BOBBY Boe (PNG),AGUON Elias (PLW),,,3 - 1,7:11 11:8 11:9 11:8,BOBBY Boe,2023
2023 Pacific Games,2023-11-20,GUA Lenson,PEPA Simote,SOL,TGA,3,0,"11,11,11|4,8,5",QUAL,OTHER,MS,2715,Qualification,GUA Lenson (SOL),PEPA Simote (TGA),,,0 - 3,4:11 8:11 5:11,GUA Lenson,2023
2023 Pacific Games,2023-11-20,VEA Ata,ONGOSIA Viliami,SAM,TGA,3,0,"11,11,11|7,7,3",QUAL,OTHER,MS,2715,Qualification,VEA Ata (SAM),ONGOSIA Viliami (TGA),,,0 - 3,7:11 7:11 3:11,VEA Ata,2023
2023 Pacific Games,2023-11-20,TAKOOA Nooa,ENESA Maeli,KIR,SAM,3,0,"0,0,0|0,0,0",QUAL,OTHER,MS,2715,Qualification,TAKOOA Nooa (KIR),ENESA Maeli (SAM),,,0 - 3,0:0 0:0 0:0,TAKOOA Nooa,2023
2023 Pacific Games,2023-11-20,REO Kevin,NGIRUOS Abba,KIR,PLW,3,0,"11,11,11|7,6,6",QUAL,OTHER,MS,2715,Qualification,REO Kevin (KIR),NGIRUOS Abba (PLW),,,3 - 0,11:7 11:6 11:6,REO Kevin,2023
2023 Pacific Games,2023-11-20,BWEBWENIMEANG Iotebwa,VIRA Reuben,KIR,VAN,3,2,"11,7,10,11,11|2,11,12,6,7",QUAL,OTHER,MS,2715,Qualification,BWEBWENIMEANG Iotebwa (KIR),VIRA Reuben (VAN),,,2 - 3,2:11 11:7 12:10 6:11 7:11,BWEBWENIMEANG Iotebwa,2023
2023 Pacific Games,2023-11-20,PERROT Adrien,AGUON Elias,NCL,PLW,3,0,"11,11,11|5,7,8",QUAL,OTHER,MS,2715,Qualification,PERROT Adrien (NCL),AGUON Elias (PLW),,,3 - 0,11:5 11:7 11:8,PERROT Adrien,2023
2023 Pacific Games,2023-11-20,SEPA Gasika,GUA Lenson,PNG,SOL,3,1,"11,4,11,11|7,11,7,8",QUAL,OTHER,MS,2715,Qualification,SEPA Gasika (PNG),GUA Lenson (SOL),,,3 - 1,11:7 4:11 11:7 11:8,SEPA Gasika,2023
2023 Pacific Games,2023-11-20,NUOPULA Gary,VEA Ata,SOL,SAM,3,0,"14,11,11|12,8,8",QUAL,OTHER,MS,2715,Qualification,NUOPULA Gary (SOL),VEA Ata (SAM),,,3 - 0,14:12 11:8 11:8,NUOPULA Gary,2023
2023 Pacific Games,2023-11-20,YEE Joshua,TAKOOA Nooa,FIJ,KIR,3,0,"11,11,11|8,8,5",QUAL,OTHER,MS,2715,Qualification,YEE Joshua (FIJ),TAKOOA Nooa (KIR),,,3 - 0,11:8 11:8 11:5,YEE Joshua,2023
2023 Pacific Games,2023-11-20,MORISSEAU Jerome,NGIRUOS Abba,NCL,PLW,3,0,"11,11,11|3,2,4",QUAL,OTHER,MS,2715,Qualification,MORISSEAU Jerome (NCL),NGIRUOS Abba (PLW),,,3 - 0,11:3 11:2 11:4,MORISSEAU Jerome,2023
2023 Pacific Games,2023-11-20,CLOUET Olivier,BWEBWENIMEANG Iotebwa,NCL,KIR,3,0,"11,11,11|7,8,9",QUAL,OTHER,MS,2715,Qualification,CLOUET Olivier (NCL),BWEBWENIMEANG Iotebwa (KIR),,,3 - 0,11:7 11:8 11:9,CLOUET Olivier,2023
2023 Pacific Games,2023-11-20,BOBBY Boe,BOKADRIK Ricky,PNG,MHL,3,0,"11,11,11|3,8,4",QUAL,OTHER,MS,2715,Qualification,BOBBY Boe (PNG),BOKADRIK Ricky (MHL),,,0 - 3,3:11 8:11 4:11,BOBBY Boe,2023
2023 Pacific Games,2023-11-20,GENDRON Hugo,PEPA Simote,PYF,TGA,3,0,"11,11,11|2,0,0",QUAL,OTHER,MS,2715,Qualification,GENDRON Hugo (PYF),PEPA Simote (TGA),,,3 - 0,11:2 11:0 11:0,GENDRON Hugo,2023
2023 Pacific Games,2023-11-20,LOI David,ONGOSIA Viliami,PNG,TGA,3,0,"11,11,11|2,4,7",QUAL,OTHER,MS,2715,Qualification,LOI David (PNG),ONGOSIA Viliami (TGA),,,3 - 0,11:2 11:4 11:7,LOI David,2023
2023 Pacific Games,2023-11-20,SALVI Clement,ENESA Maeli,WLF,SAM,3,0,"0,0,0|0,0,0",QUAL,OTHER,MS,2715,Qualification,SALVI Clement (WLF),ENESA Maeli (SAM),,,3 - 0,0:0 0:0 0:0,SALVI Clement,2023
2023 Pacific Games,2023-11-20,ZHANG Bei Yan,VIRA Reuben,FIJ,VAN,3,0,"11,11,11|2,6,9",QUAL,OTHER,MS,2715,Qualification,ZHANG Bei Yan (FIJ),VIRA Reuben (VAN),,,3 - 0,11:2 11:6 11:9,ZHANG Bei Yan,2023
2023 Pacific Games,2023-11-20,DEY Jeremy,FAATIGA Marshall,NCL,NRU,3,0,"11,11,11|4,4,1",QUAL,OTHER,MS,2715,Qualification,DEY Jeremy (NCL),FAATIGA Marshall (NRU),,,3 - 0,11:4 11:4 11:1,DEY Jeremy,2023
2023 Pacific Games,2023-11-20,LOI Geoffrey,CARLOT Brendan,PNG,VAN,3,0,"11,11,11|1,2,1",QUAL,OTHER,MS,2715,Qualification,LOI Geoffrey (PNG),CARLOT Brendan (VAN),,,3 - 0,11:1 11:2 11:1,LOI Geoffrey,2023
2023 Pacific Games,2023-11-20,BELROSE Ocean,MELTON Kalton,PYF,TUV,3,0,"11,11,11|5,4,8",QUAL,OTHER,MS,2715,Qualification,BELROSE Ocean (PYF),MELTON Kalton (TUV),,,3 - 0,11:5 11:4 11:8,BELROSE Ocean,2023
2023 Pacific Games,2023-11-20,WU Vicky,FINAU Laipeli,FIJ,TGA,3,0,"11,11,11|8,7,5",QUAL,OTHER,MS,2715,Qualification,WU Vicky (FIJ),FINAU Laipeli (TGA),,,3 - 0,11:8 11:7 11:5,WU Vicky,2023
2023 Pacific Games,2023-11-20,HOTAN Kenji,BILL Pretude,PYF,NRU,3,0,"11,11,11|4,5,2",QUAL,OTHER,MS,2715,Qualification,HOTAN Kenji (PYF),BILL Pretude (NRU),,,3 - 0,11:4 11:5 11:2,HOTAN Kenji,2023
2023 Pacific Games,2023-11-20,WILLIAM Randy,TERAKA Binoka,VAN,SOL,3,1,"7,12,15,11|11,10,13,4",QUAL,OTHER,MS,2715,Qualification,WILLIAM Randy (VAN),TERAKA Binoka (SOL),,,3 - 1,7:11 12:10 15:13 11:4,WILLIAM Randy,2023
2023 Pacific Games,2023-11-20,PEPA Inoke,PUAKAVASE Emmanuel,TGA,WLF,3,2,"13,11,8,5,13|11,9,11,11,11",QUAL,OTHER,MS,2715,Qualification,PEPA Inoke (TGA),PUAKAVASE Emmanuel (WLF),,,3 - 2,13:11 11:9 8:11 5:11 13:11,PEPA Inoke,2023
2023 Pacific Games,2023-11-20,CARNET Bydhir,MERIANG Dillon,PYF,PLW,3,0,"11,11,11|3,9,3",QUAL,OTHER,MS,2715,Qualification,CARNET Bydhir (PYF),MERIANG Dillon (PLW),,,3 - 0,11:3 11:9 11:3,CARNET Bydhir,2023
2023 Pacific Games,2023-11-20,KOUTO Selwyn,TAMTRENG Djud,SOL,PLW,3,0,"11,11,14|5,5,12",QUAL,OTHER,MS,2715,Qualification,KOUTO Selwyn (SOL),TAMTRENG Djud (PLW),,,3 - 0,11:5 11:5 14:12,KOUTO Selwyn,2023
2023 Pacific Games,2023-11-20,DEY Jeremy,WILLIAM Randy,NCL,VAN,3,0,"11,11,11|6,6,5",QUAL,OTHER,MS,2715,Qualification,DEY Jeremy (NCL),WILLIAM Randy (VAN),,,3 - 0,11:6 11:6 11:5,DEY Jeremy,2023
2023 Pacific Games,2023-11-20,LOI Geoffrey,BOB Kabuati,PNG,MHL,3,0,"11,11,11|3,2,1",QUAL,OTHER,MS,2715,Qualification,LOI Geoffrey (PNG),BOB Kabuati (MHL),,,3 - 0,11:3 11:2 11:1,LOI Geoffrey,2023
2023 Pacific Games,2023-11-20,BELROSE Ocean,PEPA Inoke,PYF,TGA,3,0,"11,11,11|4,6,2",QUAL,OTHER,MS,2715,Qualification,BELROSE Ocean (PYF),PEPA Inoke (TGA),,,3 - 0,11:4 11:6 11:2,BELROSE Ocean,2023
2023 Pacific Games,2023-11-20,CARNET Bydhir,WU Vicky,PYF,FIJ,3,0,"11,11,11|7,8,8",QUAL,OTHER,MS,2715,Qualification,CARNET Bydhir (PYF),WU Vicky (FIJ),,,0 - 3,7:11 8:11 8:11,CARNET Bydhir,2023
2023 Pacific Games,2023-11-20,HOTAN Kenji,KOUTO Selwyn,PYF,SOL,3,0,"11,11,11|4,3,3",QUAL,OTHER,MS,2715,Qualification,HOTAN Kenji (PYF),KOUTO Selwyn (SOL),,,3 - 0,11:4 11:3 11:3,HOTAN Kenji,2023
2023 Pacific Games,2023-11-20,TERAKA Binoka,FAATIGA Marshall,SOL,NRU,3,0,"11,11,11|9,7,7",QUAL,OTHER,MS,2715,Qualification,TERAKA Binoka (SOL),FAATIGA Marshall (NRU),,,0 - 3,9:11 7:11 7:11,TERAKA Binoka,2023
2023 Pacific Games,2023-11-20,TOKAIBURE Marvin,CARLOT Brendan,NRU,VAN,3,0,"11,11,22|8,5,20",QUAL,OTHER,MS,2715,Qualification,TOKAIBURE Marvin (NRU),CARLOT Brendan (VAN),,,0 - 3,8:11 5:11 20:22,TOKAIBURE Marvin,2023
2023 Pacific Games,2023-11-20,MELTON Kalton,PUAKAVASE Emmanuel,TUV,WLF,3,1,"11,7,11,12|5,11,8,10",QUAL,OTHER,MS,2715,Qualification,MELTON Kalton (TUV),PUAKAVASE Emmanuel (WLF),,,3 - 1,11:5 7:11 11:8 12:10,MELTON Kalton,2023
2023 Pacific Games,2023-11-20,MERIANG Dillon,FINAU Laipeli,PLW,TGA,3,2,"11,10,11,9,11|3,12,7,11,7",QUAL,OTHER,MS,2715,Qualification,MERIANG Dillon (PLW),FINAU Laipeli (TGA),,,2 - 3,3:11 12:10 7:11 11:9 7:11,MERIANG Dillon,2023
2023 Pacific Games,2023-11-20,TAMTRENG Djud,BILL Pretude,PLW,NRU,3,1,"2,11,12,12|11,5,10,10",QUAL,OTHER,MS,2715,Qualification,TAMTRENG Djud (PLW),BILL Pretude (NRU),,,1 - 3,11:2 5:11 10:12 10:12,TAMTRENG Djud,2023
2023 Pacific Games,2023-11-20,DEY Jeremy,TERAKA Binoka,NCL,SOL,3,0,"11,11,11|4,7,6",QUAL,OTHER,MS,2715,Qualification,DEY Jeremy (NCL),TERAKA Binoka (SOL),,,3 - 0,11:4 11:7 11:6,DEY Jeremy,2023
2023 Pacific Games,2023-11-20,LOI Geoffrey,TOKAIBURE Marvin,PNG,NRU,3,0,"11,11,11|5,1,9",QUAL,OTHER,MS,2715,Qualification,LOI Geoffrey (PNG),TOKAIBURE Marvin (NRU),,,3 - 0,11:5 11:1 11:9,LOI Geoffrey,2023
2023 Pacific Games,2023-11-20,BELROSE Ocean,PUAKAVASE Emmanuel,PYF,WLF,3,0,"11,11,11|4,4,1",QUAL,OTHER,MS,2715,Qualification,BELROSE Ocean (PYF),PUAKAVASE Emmanuel (WLF),,,3 - 0,11:4 11:4 11:1,BELROSE Ocean,2023
2023 Pacific Games,2023-11-20,HOTAN Kenji,TAMTRENG Djud,PYF,PLW,3,0,"11,11,11|5,7,6",QUAL,OTHER,MS,2715,Qualification,HOTAN Kenji (PYF),TAMTRENG Djud (PLW),,,3 - 0,11:5 11:7 11:6,HOTAN Kenji,2023
2023 Pacific Games,2023-11-20,WILLIAM Randy,FAATIGA Marshall,VAN,NRU,3,0,"11,11,11|4,5,4",QUAL,OTHER,MS,2715,Qualification,WILLIAM Randy (VAN),FAATIGA Marshall (NRU),,,3 - 0,11:4 11:5 11:4,WILLIAM Randy,2023
2023 Pacific Games,2023-11-20,BOB Kabuati,CARLOT Brendan,MHL,VAN,3,0,"12,13,11|10,11,7",QUAL,OTHER,MS,2715,Qualification,BOB Kabuati (MHL),CARLOT Brendan (VAN),,,3 - 0,12:10 13:11 11:7,BOB Kabuati,2023
2023 Pacific Games,2023-11-20,MELTON Kalton,PEPA Inoke,TUV,TGA,3,0,"11,11,12|5,9,10",QUAL,OTHER,MS,2715,Qualification,MELTON Kalton (TUV),PEPA Inoke (TGA),,,0 - 3,5:11 9:11 10:12,MELTON Kalton,2023
2023 Pacific Games,2023-11-20,FINAU Laipeli/FUNGAVAI Melekaufusi,NUOPULA Gary/AMEHANA Pauline,TGA,SOL,3,0,"0,0,0|0,0,0",R64,OTHER,XD,2715,Main Draw,FINAU Laipeli (TGA) / FUNGAVAI Melekaufusi (TGA),NUOPULA Gary (SOL) / AMEHANA Pauline (SOL),FUNGAVAI Melekaufusi (TGA),AMEHANA Pauline (SOL),0 - 3,0:0 0:0 0:0,FINAU Laipeli,2023
2023 Pacific Games,2023-11-20,KOUTO Selwyn/SOGAVARE Shannon,AGUON Elias/WATANABE Meg,SOL,PLW,3,0,"11,11,11|3,8,7",R64,OTHER,XD,2715,Main Draw,KOUTO Selwyn (SOL) / SOGAVARE Shannon (SOL),AGUON Elias (PLW) / WATANABE Meg (PLW),SOGAVARE Shannon (SOL),WATANABE Meg (PLW),3 - 0,11:3 11:8 11:7,KOUTO Selwyn,2023
2023 Pacific Games,2023-11-20,PERROT Adrien/PAUL Anais,TERAKA Binoka/FALU Annie,NCL,SOL,3,1,"8,11,11,11|11,6,5,5",R64,OTHER,XD,2715,Main Draw,PERROT Adrien (NCL) / PAUL Anais (NCL),TERAKA Binoka (SOL) / FALU Annie (SOL),PAUL Anais (NCL),FALU Annie (SOL),1 - 3,11:8 6:11 5:11 5:11,PERROT Adrien,2023
2023 Pacific Games,2023-11-20,GENDRON Hugo/WONG Heimoe,TAMTRENG Djud/LUKAS Denglei,PYF,PLW,3,0,"11,12,11|5,10,2",R64,OTHER,XD,2715,Main Draw,GENDRON Hugo (PYF) / WONG Heimoe (PYF),TAMTRENG Djud (PLW) / LUKAS Denglei (PLW),WONG Heimoe (PYF),LUKAS Denglei (PLW),0 - 3,5:11 10:12 2:11,GENDRON Hugo,2023
2023 Pacific Games,2023-11-20,BELROSE Ocean/TEHAHETUA Kelley,NGIRUOS Abba/WATANABE Jeramei,PYF,PLW,3,0,"11,11,11|3,5,5",R32,OTHER,XD,2715,Main Draw,BELROSE Ocean (PYF) / TEHAHETUA Kelley (PYF),NGIRUOS Abba (PLW) / WATANABE Jeramei (PLW),TEHAHETUA Kelley (PYF),WATANABE Jeramei (PLW),3 - 0,11:3 11:5 11:5,BELROSE Ocean,2023
2023 Pacific Games,2023-11-20,CLOUET Olivier/FAEHAU Fabiana,ENESA Maeli/ELISARA Cedrella,NCL,SAM,3,0,"11,11,14|7,8,12",R32,OTHER,XD,2715,Main Draw,CLOUET Olivier (NCL) / FAEHAU Fabiana (NCL),ENESA Maeli (SAM) / ELISARA Cedrella (SAM),FAEHAU Fabiana (NCL),ELISARA Cedrella (SAM),0 - 3,7:11 8:11 12:14,CLOUET Olivier,2023
2023 Pacific Games,2023-11-20,WU Vicky/YEE Grace Rosi,LULU Edwin/LULU Anolyn,FIJ,VAN,3,1,"11,11,12,11|7,7,14,9",R32,OTHER,XD,2715,Main Draw,WU Vicky (FIJ) / YEE Grace Rosi (FIJ),LULU Edwin (VAN) / LULU Anolyn (VAN),YEE Grace Rosi (FIJ),LULU Anolyn (VAN),1 - 3,7:11 7:11 14:12 9:11,WU Vicky,2023
