tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
ITTF-Oceania Cup 2023,2023-12-09,LIU Yangzi,LI Carolyn,AUS,FIJ,4,0,"11,11,11,11|8,1,1,2",QUAL,OTHER,WS,2714,Qualification,LIU Yangzi (AUS),LI Carolyn (FIJ),,,4 - 0,11:8 11:1 11:1 11:2,LIU Yangzi,2023
ITTF-Oceania Cup 2023,2023-12-09,YANG Joanna,WANEGUI Julie,NZL,NCL,4,1,"7,11,12,11,13|11,4,10,2,11",QUAL,OTHER,WS,2714,Qualification,YANG Joanna (NZL),WANEGUI Julie (NCL),,,1 - 4,11:7 4:11 10:12 2:11 11:13,YANG Joanna,2023
ITTF-Oceania Cup 2023,2023-12-09,SAREEN Aditya,DEY Jeremy,AUS,NCL,4,0,"11,11,11,11|3,4,6,4",QUAL,OTHER,MS,2714,Qualification,SAREEN Aditya (AUS),DEY Jeremy (NCL),,,4 - 0,11:3 11:4 11:6 11:4,SAREEN Aditya,2023
ITTF-Oceania Cup 2023,2023-12-09,BELROSE Ocean,AMOR Kelsey,PYF,NZL,4,0,"11,11,11,13|5,8,9,11",QUAL,OTHER,MS,2714,Qualification,BELROSE Ocean (PYF),AMOR Kelsey (NZL),,,4 - 0,11:5 11:8 11:9 13:11,BELROSE Ocean,2023
ITTF-Oceania Cup 2023,2023-12-09,JEE Minhyung,YEE Grace Rosi,AUS,FIJ,4,0,"11,11,11,11|8,3,4,3",QUAL,OTHER,WS,2714,Qualification,JEE Minhyung (AUS),YEE Grace Rosi (FIJ),,,4 - 0,11:8 11:3 11:4 11:3,JEE Minhyung,2023
ITTF-Oceania Cup 2023,2023-12-09,LI Carolyn,TEHAHETUA Kelley,FIJ,PYF,4,2,"12,13,14,9,1,16|10,11,12,11,11,14",QUAL,OTHER,WS,2714,Qualification,LI Carolyn (FIJ),TEHAHETUA Kelley (PYF),,,4 - 2,12:10 13:11 14:12 9:11 1:11 16:14,LI Carolyn,2023
ITTF-Oceania Cup 2023,2023-12-09,LUM Nicholas,WU Vicky,AUS,FIJ,4,0,"11,11,11,11|2,4,7,7",QUAL,OTHER,MS,2714,Qualification,LUM Nicholas (AUS),WU Vicky (FIJ),,,4 - 0,11:2 11:4 11:7 11:7,LUM Nicholas,2023
ITTF-Oceania Cup 2023,2023-12-09,LUU Finn,DELA PENA Alfred,AUS,NZL,4,0,"11,11,14,11|3,6,12,5",QUAL,OTHER,MS,2714,Qualification,LUU Finn (AUS),DELA PENA Alfred (NZL),,,4 - 0,11:3 11:6 14:12 11:5,LUU Finn,2023
ITTF-Oceania Cup 2023,2023-12-09,LIU Yangzi,LAM Jocelyn,AUS,NZL,4,0,"11,11,11,11|8,5,1,4",QUAL,OTHER,WS,2714,Qualification,LIU Yangzi (AUS),LAM Jocelyn (NZL),,,4 - 0,11:8 11:5 11:1 11:4,LIU Yangzi,2023
ITTF-Oceania Cup 2023,2023-12-09,JEE Minhyung,YANG Joanna,AUS,NZL,4,0,"11,11,11,11|9,7,8,5",QUAL,OTHER,WS,2714,Qualification,JEE Minhyung (AUS),YANG Joanna (NZL),,,4 - 0,11:9 11:7 11:8 11:5,JEE Minhyung,2023
ITTF-Oceania Cup 2023,2023-12-09,SAREEN Aditya,AMOR Kelsey,AUS,NZL,4,0,"11,11,11,11|5,9,5,2",QUAL,OTHER,MS,2714,Qualification,SAREEN Aditya (AUS),AMOR Kelsey (NZL),,,4 - 0,11:5 11:9 11:5 11:2,SAREEN Aditya,2023
ITTF-Oceania Cup 2023,2023-12-09,BELROSE Ocean,DEY Jeremy,PYF,NCL,4,1,"7,11,14,11,11|11,9,12,5,6",QUAL,OTHER,MS,2714,Qualification,BELROSE Ocean (PYF),DEY Jeremy (NCL),,,1 - 4,11:7 9:11 12:14 5:11 6:11,BELROSE Ocean,2023
