slug,name,name_en,name_zh,tier,country,city,start_date,end_date,aliases
2019-world-table-tennis-championships-men-s-singles,2019 World Table Tennis Championships (Men's Singles),2019 World Table Tennis Championships (Men's Singles),2019 世界乒乓球锦标赛（男单）,WORLD_CHAMPIONSHIPS,,,2019-04-15,2019-04-15,
2019-world-championships-men,World Championships 2019 (Men),World Championships 2019 (Men),2019 World Championships（Men）,WORLD_CHAMPIONSHIPS,,,2019-01-01,2019-01-01,
2019-world-table-tennis-championships-women-s-singles,2019 World Table Tennis Championships (Women's Singles),2019 World Table Tennis Championships (Women's Singles),2019 世界乒乓球锦标赛（女单）,WORLD_CHAMPIONSHIPS,,,2019-04-15,2019-04-15,
2019-world-championships-women,World Championships 2019 (Women),World Championships 2019 (Women),2019 World Championships（Women）,WORLD_CHAMPIONSHIPS,,,2019-01-01,2019-01-01,
2019-world-team-cup-tokyo,World Team Cup Tokyo 2019,World Team Cup Tokyo 2019,2019 World Team Cup Tokyo,WORLD_CUP,,,2019-11-06,2019-11-06,
2019-xviii-games-of-the-small-states-of-europe-budva,XVIII Games of the Small States of Europe Budva 2019,XVIII Games of the Small States of Europe Budva 2019,2019 XVIII Games of the Small States of 欧洲 Budva,OTHER,,,2019-05-27,2019-05-27,
2020-african-singles-and-mixed-doubles-olympic-qualification-tournament-tunisia,African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,African Singles and Mixed Doubles Olympic Qualification Tournament Tunisia 2020,2020 African Singles and Mixed Doubles Olympic Qualification Tournament 突尼斯ia,OTHER,,,2020-02-27,2020-02-27,
2020-national-championships,2020 National Championships,2020 National Championships,2020 National Championships,CN_NATIONAL_CHAMPIONSHIPS,,,2020-10-10,2020-10-11,
2020-dishang-ittf-mens-world-cup-weihai,Dishang 2020 ITTF Men’s World Cup Weihai 2020,Dishang 2020 ITTF Men’s World Cup Weihai 2020,2020 Dishang ITTF Men’s World Cup Weihai,WORLD_CUP,,,2020-11-13,2020-11-13,
2020-dishang-ittf-womens-world-cup-weihai,Dishang 2020 ITTF Women’s World Cup Weihai 2020,Dishang 2020 ITTF Women’s World Cup Weihai 2020,2020 Dishang ITTF Women’s World Cup Weihai,WORLD_CUP,,,2020-11-08,2020-11-08,
2020-europe-top-16-cup-montreux,Europe Top 16 Cup Montreux 2020,Europe Top 16 Cup Montreux 2020,2020 欧洲 Top 16 Cup Montreux,OTHER,,,2020-02-08,2020-02-08,
2020-ittf-africa-top-16-cup-tunisia,ITTF Africa Top 16 Cup Tunisia 2020,ITTF Africa Top 16 Cup Tunisia 2020,2020 ITTF Africa Top 16 Cup 突尼斯ia,OTHER,,,2020-02-24,2020-02-24,
2020-ittf-challenge-plus-oman-open-muscat,ITTF Challenge Plus Oman Open Muscat 2020,ITTF Challenge Plus Oman Open Muscat 2020,2020 ITTF Challenge Plus Oman Open 马斯喀特,WTT_FEEDER,,,2020-03-11,2020-03-11,
2020-ittf-challenge-plus-portugal-open-lisbon,ITTF Challenge Plus Portugal Open Lisbon 2020,ITTF Challenge Plus Portugal Open Lisbon 2020,2020 ITTF Challenge Plus Portugal Open Lisbon,WTT_FEEDER,,,2020-02-12,2020-02-12,
2020-ittf-challenge-polish-open-gliwice,ITTF Challenge Polish Open Gliwice 2020,ITTF Challenge Polish Open Gliwice 2020,2020 ITTF Challenge Polish Open Gliwice,WTT_FEEDER,,,2020-03-11,2020-03-11,
2020-ittf-challenge-spanish-open-granada,ITTF Challenge Spanish Open Granada 2020,ITTF Challenge Spanish Open Granada 2020,2020 ITTF Challenge Spanish Open Granada,WTT_FEEDER,,,2020-02-04,2020-02-04,
2020-ittf-finals-zhengzhou,2020 ITTF Finals Zhengzhou 2020,2020 ITTF Finals Zhengzhou 2020,2020 ITTF Finals Zhengzhou,GRAND_SLAM,,,2020-11-19,2020-11-19,
2020-ittf-pan-america-cup-guaynabo,ITTF Pan America Cup Guaynabo 2020,ITTF Pan America Cup Guaynabo 2020,2020 ITTF Pan America Cup Guaynabo,OTHER,,,2020-02-07,2020-02-07,
2020-ittf-world-team-qualification-event-gondomar,ITTF World Team Qualification Event Gondomar 2020,ITTF World Team Qualification Event Gondomar 2020,2020 ITTF World Team Qualification Event Gondomar,OTHER,,,2020-01-22,2020-01-22,
2020-ittf-world-tour-hungarian-open-budapest,ITTF World Tour Hungarian Open Budapest 2020,ITTF World Tour Hungarian Open Budapest 2020,2020 ITTF World Tour Hungarian Open Budapest,WTT_CONTENDER,,,2020-02-18,2020-02-18,
2020-ittf-world-tour-platinum-german-open-magdeburg,ITTF World Tour Platinum German Open Magdeburg 2020,ITTF World Tour Platinum German Open Magdeburg 2020,2020 ITTF World Tour Platinum German Open Magdeburg,WTT_STAR_CONTENDER,,,2020-01-28,2020-01-28,
2020-ittf-world-tour-platinum-qatar-open-doha,ITTF World Tour Platinum Qatar Open Doha 2020,ITTF World Tour Platinum Qatar Open Doha 2020,2020 ITTF World Tour Platinum Qatar Open 多哈,WTT_STAR_CONTENDER,,,2020-03-03,2020-03-03,
2020-summer-olympics-men-s-singles,2020 Summer Olympics (Men's Singles),2020 Summer Olympics (Men's Singles),2020 夏季奥运会（男单）,OLYMPICS,,,2021-07-30,2021-07-30,
2020-summer-olympics-women-s-singles,2020 Summer Olympics (Women's Singles),2020 Summer Olympics (Women's Singles),2020 夏季奥运会（女单）,OLYMPICS,,,2021-07-29,2021-07-29,
2021-asian-olympic-qualification-tournament-doha,Asian Olympic Qualification Tournament Doha 2021,Asian Olympic Qualification Tournament Doha 2021,2021 Asian Olympic Qualification Tournament 多哈,OTHER,,,2021-03-18,2021-03-18,
2021-national-games,2021 National Games,2021 National Games,2021 National Games,CN_NATIONAL_GAMES,,,2021-09-21,2021-09-26,
2021-central-american-championships-san-jose,Central American Championships San Jose 2021,Central American Championships San Jose 2021,2021 Central American Championships San Jose,OTHER,,,2021-05-14,2021-05-14,
2021-europe-top-16-cup-thessaloniki,Europe Top-16 Cup Thessaloniki 2021,Europe Top-16 Cup Thessaloniki 2021,2021 欧洲 Top 16 Cup Thessaloniki,OTHER,,,2021-09-18,2021-09-18,
2021-ittf-attu-asian-table-tennis-championships-doha,ITTF-ATTU Asian Table Tennis Championships Doha 2021,ITTF-ATTU Asian Table Tennis Championships Doha 2021,2021 ITTF ATTU 亚洲乒乓球锦标赛 多哈,OTHER,,,2021-09-28,2021-09-28,
2021-ittf-african-championships-yaounde,ITTF African Championships Yaounde 2021,ITTF African Championships Yaounde 2021,2021 ITTF African Championships Yaounde,OTHER,,,2021-09-01,2021-09-01,
2021-ittf-czech-international-open-olomouc,ITTF Czech International Open Olomouc 2021,ITTF Czech International Open Olomouc 2021,2021 ITTF Czech International Open 奥洛穆茨,WTT_CONTENDER,,,2021-08-21,2021-08-21,
2021-ittf-ecuador-international-open-cuenca,ITTF Ecuador International Open Cuenca 2021,ITTF Ecuador International Open Cuenca 2021,2021 ITTF Ecuador International Open Cuenca,WTT_CONTENDER,,,2021-11-02,2021-11-02,
2021-ittf-finlandia-open-lohja,ITTF Finlandia Open Lohja 2021,ITTF Finlandia Open Lohja 2021,2021 ITTF Finlandia Open Lohja,WTT_CONTENDER,,,2021-12-02,2021-12-02,
2021-ittf-kazakhstan-international-open-karaganda,ITTF Kazakhstan International Open Karaganda 2021,ITTF Kazakhstan International Open Karaganda 2021,2021 ITTF Kazakhstan International Open Karaganda,WTT_CONTENDER,,,2021-09-15,2021-09-15,
2021-ittf-pan-american-championships-lima,ITTF Pan American Championships Lima 2021,ITTF Pan American Championships Lima 2021,2021 ITTF Pan American Championships 利马,OTHER,,,2021-11-13,2021-11-13,
2021-liebherr-ittf-european-championships-warsaw,LIEBHERR ITTF European Championships Warsaw 2021,LIEBHERR ITTF European Championships Warsaw 2021,2021 LIEBHERR ITTF 欧洲an Championships Warsaw,OTHER,,,2021-06-22,2021-06-22,
2021-latin-american-singles-and-mixed-qualification-tournament-rosario,Latin American Singles and Mixed Qualification Tournament Rosario 2021,Latin American Singles and Mixed Qualification Tournament Rosario 2021,2021 Latin American Singles and Mixed Qualification Tournament Rosario,OTHER,,,2021-04-13,2021-04-13,
2021-wtt-contender-budapest,WTT Contender Budapest 2021,WTT Contender Budapest 2021,2021 WTT 常规挑战赛 Budapest,WTT_CONTENDER,,,2021-08-15,2021-08-15,
2021-wtt-contender-lasko,WTT Contender Lasko 2021,WTT Contender Lasko 2021,2021 WTT 常规挑战赛 Lasko,WTT_CONTENDER,,,2021-11-01,2021-11-01,
2021-wtt-contender-novo-mesto,WTT Contender Novo Mesto 2021,WTT Contender Novo Mesto 2021,2021 WTT 常规挑战赛 Novo Mesto,WTT_CONTENDER,,,2021-11-08,2021-11-08,
2021-wtt-contender-tunis,WTT Contender Tunis 2021,WTT Contender Tunis 2021,2021 WTT 常规挑战赛 突尼斯,WTT_CONTENDER,,,2021-10-24,2021-10-24,
2021-wtt-cup-finals-singapore,WTT Cup Finals Singapore 2021,WTT Cup Finals Singapore 2021,2021 WTT 世界杯总决赛 新加坡,WTT_CHAMPIONS,,,2021-12-04,2021-12-04,
2021-wtt-feeder-dusseldorf,WTT Feeder Dusseldorf 2021,WTT Feeder Dusseldorf 2021,2021 WTT 支线赛 Dusseldorf,WTT_FEEDER,,,2021-12-07,2021-12-07,
2021-wtt-middle-east-hubwtt-contender-doha,WTT Middle East HubWTT Contender Doha 2021,WTT Middle East HubWTT Contender Doha 2021,2021 WTT Middle East HubWTT 常规挑战赛 多哈,WTT_CONTENDER,,,2021-02-28,2021-02-28,
