slug,name,name_en,name_zh,tier,country,city,start_date,end_date,aliases
2019-commonwealth-table-tennis-championships-cuttack,Commonwealth Table Tennis Championships Cuttack 2019,Commonwealth Table Tennis Championships Cuttack 2019,2019 Commonwealth Table Tennis Championships Cuttack,OTHER,,,2019-07-17,2019-07-17,
2019-european-games-minsk,European Games Minsk 2019,European Games Minsk 2019,2019 欧洲an Games Minsk,OTHER,,,2019-06-22,2019-06-22,
2019-fisu-universiade-napoli,FISU Universiade Napoli 2019,FISU Universiade Napoli 2019,2019 FISU Universiade Napoli,OTHER,,,2019-07-03,2019-07-03,
2019-ittf-africa-cup-lagos,ITTF Africa Cup Lagos 2019,ITTF Africa Cup Lagos 2019,2019 ITTF Africa Cup 拉各斯,OTHER,,,2019-08-03,2019-08-03,
2019-ittf-asian-championships-yogyakarta,ITTF Asian Championships Yogyakarta 2019,ITTF Asian Championships Yogyakarta 2019,2019 ITTF Asian Championships Yogyakarta,OTHER,,,2019-09-15,2019-09-15,
2019-ittf-challenge-belarus-open-minsk,ITTF Challenge Belarus Open Minsk 2019,ITTF Challenge Belarus Open Minsk 2019,2019 ITTF Challenge Belarus Open Minsk,WTT_FEEDER,,,2019-10-30,2019-10-30,
2019-ittf-challenge-croatia-open-zagreb,ITTF Challenge Croatia Open Zagreb 2019,ITTF Challenge Croatia Open Zagreb 2019,2019 ITTF Challenge Croatia Open 萨格勒布,WTT_FEEDER,,,2019-05-14,2019-05-14,
2019-ittf-challenge-indonesia-open-jogjakarta,ITTF Challenge Indonesia Open Jogjakarta 2019,ITTF Challenge Indonesia Open Jogjakarta 2019,2019 ITTF Challenge Indonesia Open Jogjakarta,WTT_FEEDER,,,2019-11-13,2019-11-13,
2019-ittf-challenge-plus-canada-open-markham,ITTF Challenge Plus Canada Open Markham 2019,ITTF Challenge Plus Canada Open Markham 2019,2019 ITTF Challenge Plus Canada Open Markham,WTT_FEEDER,,,2019-12-04,2019-12-04,
2019-ittf-challenge-plus-nigeria-open-lagos,ITTF Challenge Plus Nigeria Open Lagos 2019,ITTF Challenge Plus Nigeria Open Lagos 2019,2019 ITTF Challenge Plus Nigeria Open 拉各斯,WTT_FEEDER,,,2019-08-07,2019-08-07,
2019-ittf-challenge-plus-paraguay-open-asuncion,ITTF Challenge Plus Paraguay Open Asuncion 2019,ITTF Challenge Plus Paraguay Open Asuncion 2019,2019 ITTF Challenge Plus Paraguay Open Asuncion,WTT_FEEDER,,,2019-09-25,2019-09-25,
2019-ittf-challenge-plus-pyongyang-open-pyongyang,ITTF Challenge Plus Pyongyang Open Pyongyang 2019,ITTF Challenge Plus Pyongyang Open Pyongyang 2019,2019 ITTF Challenge Plus Pyongyang Open Pyongyang,WTT_FEEDER,,,2019-07-24,2019-07-24,
2019-ittf-challenge-polish-open-wladyslawowo,ITTF Challenge Polish Open Wladyslawowo 2019,ITTF Challenge Polish Open Wladyslawowo 2019,2019 ITTF Challenge Polish Open Wladyslawowo,WTT_FEEDER,,,2019-10-16,2019-10-16,
2019-ittf-challenge-serbia-open-belgrade,ITTF Challenge Serbia Open Belgrade 2019,ITTF Challenge Serbia Open Belgrade 2019,2019 ITTF Challenge Serbia Open Belgrade,WTT_FEEDER,,,2019-05-01,2019-05-01,
2019-ittf-challenge-slovenia-open-otocec,ITTF Challenge Slovenia Open Otocec 2019,ITTF Challenge Slovenia Open Otocec 2019,2019 ITTF Challenge Slovenia Open 奥托切茨,WTT_FEEDER,,,2019-05-08,2019-05-08,
2019-ittf-challenge-thailand-open-bangkok,ITTF Challenge Thailand Open Bangkok 2019,ITTF Challenge Thailand Open Bangkok 2019,2019 ITTF Challenge Thailand Open 曼谷,WTT_FEEDER,,,2019-05-22,2019-05-22,
2019-ittf-european-championships-nantes,ITTF European Championships Nantes 2019,ITTF European Championships Nantes 2019,2019 ITTF 欧洲an Championships Nantes,OTHER,,,2019-09-03,2019-09-03,
2019-ittf-oceania-cup-bora-bora,ITTF Oceania Cup Bora Bora 2019,ITTF Oceania Cup Bora Bora 2019,2019 ITTF Oceania Cup Bora Bora,OTHER,,,2019-05-25,2019-05-25,
2019-ittf-pan-american-championships-asuncion,ITTF Pan American Championships Asuncion 2019,ITTF Pan American Championships Asuncion 2019,2019 ITTF Pan American Championships Asuncion,OTHER,,,2019-09-03,2019-09-03,
2019-ittf-world-tour-bulgarian-open-panagyurishte,ITTF World Tour Bulgarian Open Panagyurishte 2019,ITTF World Tour Bulgarian Open Panagyurishte 2019,2019 ITTF World Tour Bulgarian Open 帕纳久里什泰,WTT_CONTENDER,,,2019-08-13,2019-08-13,
