tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier
2019/20 ETTU Champions League (Women),2019-09-13,KTS Tarnobrzeg,Metz Tt,3,0,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2019-09-13,Tt Saint Quentin,Ttc Villach,3,1,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2019-09-13,Ttc Berlin Eastside,Girbau-Vic Tt,3,0,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2019-09-15,Linz Ag Froschberg,Irun Leka Enea,3,1,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2019-10-22,KTS Tarnobrzeg,SH-ITB Budaorsi Sport Club,3,1,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2019-10-22,Linz Ag Froschberg,SKST Hodonin,3,2,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2019-10-22,Tt Saint Quentin,Ucam Cartagena,3,1,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2019-10-22,Ttc Berlin Eastside,Cp Lyssois Lille Metropole,3,1,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2019-10-25,Girbau-Vic Tt,Cp Lyssois Lille Metropole,3,1,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2019-10-25,SKST Hodonin,Irun Leka Enea,3,0,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2019-10-26,Ttc Villach,Ucam Cartagena,3,1,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2019-10-27,Metz Tt,SH-ITB Budaorsi Sport Club,3,1,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2019-11-01,KTS Tarnobrzeg,Metz Tt,3,0,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2019-11-02,Linz Ag Froschberg,Irun Leka Enea,3,0,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2019-11-02,Tt Saint Quentin,Ttc Villach,3,1,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2019-11-03,Ttc Berlin Eastside,Girbau-Vic Tt,3,0,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2019-11-28,KTS Tarnobrzeg,SH-ITB Budaorsi Sport Club,3,1,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2019-11-29,Ttc Berlin Eastside,Cp Lyssois Lille Metropole,3,0,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2019-11-29,Ucam Cartagena,Tt Saint Quentin,3,1,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2019-12-01,Linz Ag Froschberg,SKST Hodonin,3,2,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2019-12-06,Metz Tt,SH-ITB Budaorsi Sport Club,3,0,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2019-12-06,SKST Hodonin,Irun Leka Enea,3,1,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2019-12-06,Ucam Cartagena,Ttc Villach,3,0,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2019-12-10,Cp Lyssois Lille Metropole,Girbau-Vic Tt,3,2,,GROUP,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2020-01-10,KTS Tarnobrzeg,SKST Hodonin,3,2,,QF,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2020-01-10,Metz Tt,Linz Ag Froschberg,3,2,,QF,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2020-01-10,Tt Saint Quentin,Girbau-Vic Tt,3,0,,QF,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2020-01-10,Ttc Berlin Eastside,Ucam Cartagena,3,0,,QF,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2020-02-14,Ucam Cartagena,Ttc Berlin Eastside,3,2,,QF,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2020-02-16,KTS Tarnobrzeg,SKST Hodonin,3,1,,QF,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2020-02-16,Linz Ag Froschberg,Metz Tt,3,1,,QF,EURO_LEAGUE
2019/20 ETTU Champions League (Women),2020-02-16,Tt Saint Quentin,Girbau-Vic Tt,3,1,,QF,EURO_LEAGUE
