tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier
2016/17 ETTU Champions League (Women),2016-09-30,Alcl Tt Grand-Quevilly,Bursa Buyuksehir,3,1,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2016-09-30,KTS Tarnobrzeg,SKST Hodonin,3,1,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2016-09-30,Ttc Berlin Eastside,Postas Sport Egyesulet,3,1,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2016-09-30,Ucam Cartagena,TUS Bad Driburg,3,1,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2016-10-28,Metz Tt,KTS Tarnobrzeg,3,1,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2016-10-28,Szekszard AC,Bursa Buyuksehir,3,1,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2016-10-28,Ttc Berlin Eastside,Tt Saint Quentin,3,0,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2016-10-30,Linz Ag Froschberg,Ucam Cartagena,3,1,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2016-11-04,Linz Ag Froschberg,TUS Bad Driburg,3,2,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2016-11-04,Metz Tt,SKST Hodonin,3,0,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2016-11-04,Szekszard AC,Alcl Tt Grand-Quevilly,3,0,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2016-11-04,Tt Saint Quentin,Postas Sport Egyesulet,3,0,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2016-11-25,Alcl Tt Grand-Quevilly,Bursa Buyuksehir,3,1,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2016-11-25,KTS Tarnobrzeg,SKST Hodonin,3,1,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2016-11-25,Ttc Berlin Eastside,Postas Sport Egyesulet,3,0,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2016-11-25,Ucam Cartagena,TUS Bad Driburg,3,0,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2016-12-01,Ttc Berlin Eastside,Tt Saint Quentin,3,1,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2016-12-02,KTS Tarnobrzeg,Metz Tt,3,0,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2016-12-02,Linz Ag Froschberg,Ucam Cartagena,3,1,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2016-12-02,Szekszard AC,Bursa Buyuksehir,3,1,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2016-12-16,Metz Tt,SKST Hodonin,3,1,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2016-12-16,Tt Saint Quentin,Postas Sport Egyesulet,3,1,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2016-12-18,Alcl Tt Grand-Quevilly,Szekszard AC,3,1,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2016-12-18,Linz Ag Froschberg,TUS Bad Driburg,3,1,,GROUP,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2017-01-27,Linz Ag Froschberg,Metz Tt,3,2,,QF,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2017-01-27,Szekszard AC,Tt Saint Quentin,3,2,,QF,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2017-01-27,Ucam Cartagena,KTS Tarnobrzeg,3,0,,QF,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2017-01-29,Ttc Berlin Eastside,Alcl Tt Grand-Quevilly,3,1,,QF,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2017-02-10,KTS Tarnobrzeg,Ucam Cartagena,3,0,,QF,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2017-02-10,Szekszard AC,Tt Saint Quentin,3,0,,QF,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2017-02-10,Ttc Berlin Eastside,Alcl Tt Grand-Quevilly,3,0,,QF,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2017-02-12,Linz Ag Froschberg,Metz Tt,3,0,,QF,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2017-03-10,KTS Tarnobrzeg,Szekszard AC,3,1,,SF,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2017-03-12,Ttc Berlin Eastside,Linz Ag Froschberg,3,2,,SF,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2017-04-07,KTS Tarnobrzeg,Szekszard AC,3,0,,SF,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2017-04-07,Ttc Berlin Eastside,Linz Ag Froschberg,3,0,,SF,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2017-05-07,KTS Tarnobrzeg,Ttc Berlin Eastside,3,2,,F,EURO_LEAGUE
2016/17 ETTU Champions League (Women),2017-05-12,Ttc Berlin Eastside,KTS Tarnobrzeg,3,1,,F,EURO_LEAGUE
