tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier
2025/26 ETTU Champions League,2025-08-29,ASV Gruenwettersbach,Ttc Ostrava 2016,3,0,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-08-29,Alliance Nimes Montpellier Tt,Asd Tt Santa Tecla Nulvi,3,0,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-08-29,Cajasur Priego Tm,AS Pontoise-Cergy Tt,3,1,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-08-29,Post SV Muhlhausen,Dojlidy Bialystok,3,2,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-08-29,SF Skk El Nino Praha,Roskilde Bordtennis Btk61,3,0,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-08-29,SKST Havirov,STK Starr Croatia,3,0,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-08-29,Stk Vyhne,Lille Metropole Tt,3,2,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-08-29,Ttc Sokah Hoboken,SPG Felbermayr Wels,3,1,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-08-30,ASV Gruenwettersbach,AS Pontoise-Cergy Tt,3,0,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-08-30,Alliance Nimes Montpellier Tt,SF Skk El Nino Praha,3,0,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-08-30,Asd Tt Santa Tecla Nulvi,Roskilde Bordtennis Btk61,3,1,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-08-30,Cajasur Priego Tm,Ttc Ostrava 2016,3,0,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-08-30,Dojlidy Bialystok,Lille Metropole Tt,3,1,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-08-30,Post SV Muhlhausen,Stk Vyhne,3,0,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-08-30,SKST Havirov,SPG Felbermayr Wels,3,1,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-08-30,Ttc Sokah Hoboken,STK Starr Croatia,3,0,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-08-31,AS Pontoise-Cergy Tt,Ttc Ostrava 2016,3,2,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-08-31,ASV Gruenwettersbach,Cajasur Priego Tm,3,1,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-08-31,Alliance Nimes Montpellier Tt,Roskilde Bordtennis Btk61,3,0,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-08-31,Dojlidy Bialystok,Stk Vyhne,3,1,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-08-31,Post SV Muhlhausen,Lille Metropole Tt,3,1,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-08-31,SF Skk El Nino Praha,Asd Tt Santa Tecla Nulvi,3,0,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-08-31,SPG Felbermayr Wels,STK Starr Croatia,3,1,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-08-31,Ttc Sokah Hoboken,SKST Havirov,3,2,,GROUP,EURO_LEAGUE
2025/26 ETTU Champions League,2025-11-11,Post SV Muhlhausen,HB Ostrov,3,1,,R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-11-13,Bogoria Grodzisk Mazowiecki,SF Skk El Nino Praha,3,0,,R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-11-13,Ttc Sokah Hoboken,KS Orlicz 1924 Suchedniow,3,0,,R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-11-14,Borussia Dusseldorf,Cajasur Priego Tm,3,0,,R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-11-14,FC Saarbrucken,Dojlidy Bialystok,3,2,,R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-11-14,GV Hennebont Tt,ASV Gruenwettersbach,3,1,,R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-11-16,Alliance Nimes Montpellier Tt,Solex-Consult Wiener Neustadt,3,1,,R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-11-16,Ttf Dekorglass Dzialdowo,SKST Havirov,3,0,,R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-18,Bogoria Grodzisk Mazowiecki,SF Skk El Nino Praha,3,0,,R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-18,Borussia Dusseldorf,Cajasur Priego Tm,3,2,,R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-18,Ttf Dekorglass Dzialdowo,SKST Havirov,3,0,,R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-19,FC Saarbrucken,Dojlidy Bialystok,3,0,,R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-19,Post SV Muhlhausen,HB Ostrov,3,2,,R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-21,Alliance Nimes Montpellier Tt,Solex-Consult Wiener Neustadt,3,0,,R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-21,GV Hennebont Tt,ASV Gruenwettersbach,3,0,,R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-21,KS Orlicz 1924 Suchedniow,Ttc Sokah Hoboken,3,1,,R16,EURO_LEAGUE
2025/26 ETTU Champions League,2026-01-14,Borussia Dusseldorf,Post SV Muhlhausen,3,0,,QF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-01-15,Alliance Nimes Montpellier Tt,Ttf Dekorglass Dzialdowo,3,1,,QF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-01-17,Bogoria Grodzisk Mazowiecki,KS Orlicz 1924 Suchedniow,3,1,,QF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-01-18,FC Saarbrucken,GV Hennebont Tt,3,0,,QF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-02-12,KS Orlicz 1924 Suchedniow,Bogoria Grodzisk Mazowiecki,3,2,,QF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-02-15,Alliance Nimes Montpellier Tt,Ttf Dekorglass Dzialdowo,3,1,,QF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-05-16,Alliance Nimes Montpellier Tt,Borussia Dusseldorf,3,1,,SF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-05-16,FC Saarbrucken,Bogoria Grodzisk Mazowiecki,3,0,,SF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-05-17,FC Saarbrucken,Alliance Nimes Montpellier Tt,3,2,,F,EURO_LEAGUE
