tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier
2020/21 ETTU Champions League,2020-12-11,Bogoria Grodzisk Mazowiecki,Irun Leka Enea Tenis de Mesa,3,0,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-11,Borussia Dusseldorf,De Boer Taverzo,3,0,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-11,FC Saarbrucken,SPG Felbermayr Wels,3,0,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-11,GV Hennebont Tt,Ttf Dekorglass Dzialdowo,3,2,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-11,Gazprom Fakel Orenburg,Post SV Muhlhausen,3,1,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-11,Roskilde Bordtennis Btk61,AS Pontoise-Cergy Tt,3,2,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-11,UMMC Ekaterinburg,Ttc Ostrava 2016,3,0,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-12,AS Pontoise-Cergy Tt,SPG Felbermayr Wels,3,0,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-12,Borussia Dusseldorf,GV Hennebont Tt,3,0,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-12,FC Saarbrucken,Roskilde Bordtennis Btk61,3,0,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-12,Gazprom Fakel Orenburg,Bogoria Grodzisk Mazowiecki,3,1,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-12,Post SV Muhlhausen,Irun Leka Enea Tenis de Mesa,3,0,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-12,Ttf Dekorglass Dzialdowo,De Boer Taverzo,3,0,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-12,UMMC Ekaterinburg,Sporting CP,3,1,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-13,Bogoria Grodzisk Mazowiecki,Post SV Muhlhausen,3,2,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-13,Borussia Dusseldorf,Ttf Dekorglass Dzialdowo,3,2,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-13,FC Saarbrucken,AS Pontoise-Cergy Tt,3,2,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-13,GV Hennebont Tt,De Boer Taverzo,3,0,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-13,Gazprom Fakel Orenburg,Irun Leka Enea Tenis de Mesa,3,0,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-13,Roskilde Bordtennis Btk61,SPG Felbermayr Wels,3,1,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-13,Sporting CP,Ttc Ostrava 2016,3,0,,GROUP,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-15,Borussia Dusseldorf,Sporting CP,3,1,,QF,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-15,FC Saarbrucken,GV Hennebont Tt,3,2,,QF,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-15,Gazprom Fakel Orenburg,Roskilde Bordtennis Btk61,3,0,,QF,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-15,UMMC Ekaterinburg,Bogoria Grodzisk Mazowiecki,3,1,,QF,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-17,Borussia Dusseldorf,UMMC Ekaterinburg,3,2,,SF,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-17,FC Saarbrucken,Gazprom Fakel Orenburg,3,1,,SF,EURO_LEAGUE
2020/21 ETTU Champions League,2020-12-18,Borussia Dusseldorf,FC Saarbrucken,3,1,,F,EURO_LEAGUE
