tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier
2025/26 German League,2025-08-27,Post SV Mühlhausen,ASC Grünwettersbach,3,1,,GROUP,EURO_LEAGUE
2025/26 German League,2025-08-28,BV Borussia 09 Dortmund,TTF Liebherr Ochsenhausen,3,1,,GROUP,EURO_LEAGUE
2025/26 German League,2025-08-29,Borussia Düsseldorf,TTC RhönSprudel Fulda-Maberzell,3,1,,GROUP,EURO_LEAGUE
2025/26 German League,2025-08-30,SV Werder Bremen,TTC OE Clarity-Tel.Syst.Bad Homburg,3,2,,GROUP,EURO_LEAGUE
2025/26 German League,2025-08-30,TTC Zugbrücke Grenzau,TSV Bad Königshofen,3,1,,GROUP,EURO_LEAGUE
2025/26 German League,2025-08-31,TTC Schwalbe Bergneustadt,1. FC Saarbrücken-TT,3,1,,GROUP,EURO_LEAGUE
2025/26 German League,2025-09-05,SV Werder Bremen,Borussia Düsseldorf,3,0,,GROUP,EURO_LEAGUE
2025/26 German League,2025-09-05,TTC Schwalbe Bergneustadt,TTF Liebherr Ochsenhausen,3,1,,GROUP,EURO_LEAGUE
2025/26 German League,2025-09-06,1. FC Saarbrücken-TT,TSV Bad Königshofen,3,1,,GROUP,EURO_LEAGUE
2025/26 German League,2025-09-06,ASC Grünwettersbach,TTC OE Clarity-Tel.Syst.Bad Homburg,3,0,,GROUP,EURO_LEAGUE
2025/26 German League,2025-09-07,TTC RhönSprudel Fulda-Maberzell,BV Borussia 09 Dortmund,3,2,,GROUP,EURO_LEAGUE
2025/26 German League,2025-09-08,Post SV Mühlhausen,TTC Zugbrücke Grenzau,3,1,,GROUP,EURO_LEAGUE
2025/26 German League,2025-09-14,1. FC Saarbrücken-TT,BV Borussia 09 Dortmund,3,0,,GROUP,EURO_LEAGUE
2025/26 German League,2025-09-14,TTF Liebherr Ochsenhausen,TTC Zugbrücke Grenzau,3,1,,GROUP,EURO_LEAGUE
2025/26 German League,2025-09-15,TTC RhönSprudel Fulda-Maberzell,TSV Bad Königshofen,3,0,,GROUP,EURO_LEAGUE
2025/26 German League,2025-09-16,ASC Grünwettersbach,Borussia Düsseldorf,3,1,,GROUP,EURO_LEAGUE
2025/26 German League,2025-09-17,Post SV Mühlhausen,TTC OE Clarity-Tel.Syst.Bad Homburg,3,2,,GROUP,EURO_LEAGUE
2025/26 German League,2025-09-17,SV Werder Bremen,TTC Schwalbe Bergneustadt,3,1,,GROUP,EURO_LEAGUE
2025/26 German League,2025-09-19,TTC Schwalbe Bergneustadt,Post SV Mühlhausen,3,0,,GROUP,EURO_LEAGUE
2025/26 German League,2025-09-19,TTF Liebherr Ochsenhausen,SV Werder Bremen,3,1,,GROUP,EURO_LEAGUE
2025/26 German League,2025-09-21,ASC Grünwettersbach,BV Borussia 09 Dortmund,3,1,,GROUP,EURO_LEAGUE
2025/26 German League,2025-09-21,Borussia Düsseldorf,TSV Bad Königshofen,3,1,,GROUP,EURO_LEAGUE
2025/26 German League,2025-09-21,TTC OE Clarity-Tel.Syst.Bad Homburg,TTC Zugbrücke Grenzau,3,1,,GROUP,EURO_LEAGUE
2025/26 German League,2025-09-22,1. FC Saarbrücken-TT,TTC RhönSprudel Fulda-Maberzell,3,1,,GROUP,EURO_LEAGUE
2025/26 German League,2025-10-05,Borussia Düsseldorf,TTF Liebherr Ochsenhausen,3,1,,GROUP,EURO_LEAGUE
2025/26 German League,2025-10-05,SV Werder Bremen,1. FC Saarbrücken-TT,3,2,,GROUP,EURO_LEAGUE
2025/26 German League,2025-10-05,TSV Bad Königshofen,ASC Grünwettersbach,3,0,,GROUP,EURO_LEAGUE
2025/26 German League,2025-10-06,BV Borussia 09 Dortmund,Post SV Mühlhausen,3,1,,GROUP,EURO_LEAGUE
2025/26 German League,2025-10-06,TTC RhönSprudel Fulda-Maberzell,TTC OE Clarity-Tel.Syst.Bad Homburg,3,1,,GROUP,EURO_LEAGUE
2025/26 German League,2025-10-07,TTC Zugbrücke Grenzau,TTC Schwalbe Bergneustadt,3,2,,GROUP,EURO_LEAGUE
2025/26 German League,2025-10-24,TTF Liebherr Ochsenhausen,TTC OE Clarity-Tel.Syst.Bad Homburg,3,0,,GROUP,EURO_LEAGUE
2025/26 German League,2025-10-25,Borussia Düsseldorf,TTC Zugbrücke Grenzau,3,1,,GROUP,EURO_LEAGUE
