tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier
2022/23 ETTU Champions League (Women),2022-09-06,TTC Novi Sad,Reus Ganxets Miro,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-09-07,SH-ITB Budaorsi Sport Club,Panathinaikos AC,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-09-07,TTC Novi Sad,Ttc Villach,3,2,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-09-07,Tecnigen Linares,SC Ossiacher See Bodensdorf,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-09-07,Ttc Villach,Reus Ganxets Miro,3,2,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-09-08,Panathinaikos AC,SC Ossiacher See Bodensdorf,3,2,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-09-08,SH-ITB Budaorsi Sport Club,SC Ossiacher See Bodensdorf,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-09-08,Tecnigen Linares,Panathinaikos AC,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-09-08,Tecnigen Linares,SH-ITB Budaorsi Sport Club,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-09-10,Asd Quattro Mori Cagliari,Irun Leka Enea,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-09-10,Ttc Moravsky Krumlov,Alcl Tt Grand-Quevilly,3,2,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-09-10,Ttc Moravsky Krumlov,Girbau-Vic Tt,3,2,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-09-11,Alcl Tt Grand-Quevilly,Girbau-Vic Tt,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-10-21,Metz Tt,TTC Novi Sad,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-10-23,Metz Tt,SKST Hodonin,3,2,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-11-08,TTC Novi Sad,SKST Hodonin,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-11-08,Tt Saint Quentin,Ttc Moravsky Krumlov,3,2,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-11-09,Etival Clairefontaine Asrtt,Tecnigen Linares,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-11-09,Ucam Cartagena,Asd Quattro Mori Cagliari,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-11-10,KTS Tarnobrzeg,Tecnigen Linares,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-11-10,Metz Tt,TTC Novi Sad,3,2,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-11-11,Linz Ag Froschberg,Ttc Moravsky Krumlov,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-11-12,Ttc Berlin Eastside,Asd Quattro Mori Cagliari,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-11-13,Linz Ag Froschberg,Ttc Moravsky Krumlov,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-11-15,KTS Tarnobrzeg,Tecnigen Linares,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-11-18,Asd Quattro Mori Cagliari,Ttc Berlin Eastside,3,2,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-11-18,KTS Tarnobrzeg,Etival Clairefontaine Asrtt,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-11-23,Tt Saint Quentin,Linz Ag Froschberg,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-11-26,Etival Clairefontaine Asrtt,Tecnigen Linares,3,2,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-11-27,KTS Tarnobrzeg,Etival Clairefontaine Asrtt,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-11-29,Metz Tt,SKST Hodonin,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-11-29,Ucam Cartagena,Ttc Berlin Eastside,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-12-01,TTC Novi Sad,SKST Hodonin,3,1,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-12-02,Linz Ag Froschberg,Tt Saint Quentin,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-12-02,Ttc Berlin Eastside,Ucam Cartagena,3,2,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-12-04,Ucam Cartagena,Asd Quattro Mori Cagliari,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2022-12-05,Tt Saint Quentin,Ttc Moravsky Krumlov,3,0,,GROUP,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2023-01-22,Ttc Berlin Eastside,Metz Tt,3,2,,QF,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2023-01-23,Tt Saint Quentin,Ucam Cartagena,3,2,,QF,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2023-01-24,KTS Tarnobrzeg,TTC Novi Sad,3,0,,QF,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2023-01-24,Linz Ag Froschberg,Etival Clairefontaine Asrtt,3,2,,QF,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2023-01-25,Ucam Cartagena,Tt Saint Quentin,3,1,,QF,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2023-01-26,KTS Tarnobrzeg,TTC Novi Sad,3,0,,QF,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2023-01-26,Metz Tt,Ttc Berlin Eastside,3,1,,QF,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2023-01-29,Linz Ag Froschberg,Etival Clairefontaine Asrtt,3,1,,QF,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2023-02-13,KTS Tarnobrzeg,Ucam Cartagena,3,0,,SF,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2023-02-15,Linz Ag Froschberg,Metz Tt,3,2,,SF,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2023-02-19,Metz Tt,Linz Ag Froschberg,3,2,,SF,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2023-02-23,KTS Tarnobrzeg,Ucam Cartagena,3,0,,SF,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2023-03-30,KTS Tarnobrzeg,Metz Tt,3,0,,F,EURO_LEAGUE
2022/23 ETTU Champions League (Women),2023-04-05,KTS Tarnobrzeg,Metz Tt,3,0,,F,EURO_LEAGUE
