tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier
2018/19 ETTU Champions League (Women),2018-10-12,STK DR. Casl Zagreb,SH-ITB Budaorsi Sport Club,3,0,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2018-10-12,Ttc Berlin Eastside,Ucam Cartagena,3,0,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2018-10-13,KTS Tarnobrzeg,Lz Linz Froschberg,3,1,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2018-10-14,Linz Ag Froschberg,Sporting CP,3,0,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2018-10-19,Linz Ag Froschberg,Tt Saint Quentin,3,1,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2018-10-19,Ttc Berlin Eastside,Etival Clairefontaine Asrtt,3,0,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2018-10-20,STK DR. Casl Zagreb,Metz Tt,3,2,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2018-10-22,KTS Tarnobrzeg,SKST Hodonin,3,0,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2018-10-27,Etival Clairefontaine Asrtt,Ucam Cartagena,3,1,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2018-10-27,Metz Tt,SH-ITB Budaorsi Sport Club,3,0,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2018-10-27,SKST Hodonin,Lz Linz Froschberg,3,1,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2018-10-27,Sporting CP,Tt Saint Quentin,3,2,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2018-11-16,Linz Ag Froschberg,Sporting CP,3,1,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2018-11-16,STK DR. Casl Zagreb,SH-ITB Budaorsi Sport Club,3,2,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2018-11-17,KTS Tarnobrzeg,Lz Linz Froschberg,3,2,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2018-11-17,Ttc Berlin Eastside,Ucam Cartagena,3,2,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2018-11-22,SKST Hodonin,KTS Tarnobrzeg,3,1,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2018-11-23,STK DR. Casl Zagreb,Metz Tt,3,1,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2018-11-23,Ttc Berlin Eastside,Etival Clairefontaine Asrtt,3,0,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2018-11-25,Tt Saint Quentin,Linz Ag Froschberg,3,0,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2018-11-30,Etival Clairefontaine Asrtt,Ucam Cartagena,3,2,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2018-11-30,Metz Tt,SH-ITB Budaorsi Sport Club,3,0,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2018-11-30,SKST Hodonin,Lz Linz Froschberg,3,1,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2018-11-30,Sporting CP,Tt Saint Quentin,3,2,,GROUP,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2019-01-25,Linz Ag Froschberg,Metz Tt,3,2,,QF,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2019-01-25,SKST Hodonin,Ttc Berlin Eastside,3,1,,QF,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2019-01-25,STK DR. Casl Zagreb,Etival Clairefontaine Asrtt,3,0,,QF,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2019-01-26,KTS Tarnobrzeg,Sporting CP,3,1,,QF,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2019-01-27,Etival Clairefontaine Asrtt,STK DR. Casl Zagreb,3,1,,QF,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2019-02-08,Ttc Berlin Eastside,SKST Hodonin,3,0,,QF,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2019-02-10,Linz Ag Froschberg,Metz Tt,3,2,,QF,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2019-02-11,KTS Tarnobrzeg,Sporting CP,3,1,,QF,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2019-03-08,Ttc Berlin Eastside,STK DR. Casl Zagreb,3,2,,SF,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2019-03-10,KTS Tarnobrzeg,Linz Ag Froschberg,3,1,,SF,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2019-03-22,KTS Tarnobrzeg,Linz Ag Froschberg,3,1,,SF,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2019-03-24,STK DR. Casl Zagreb,Ttc Berlin Eastside,3,1,,SF,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2019-05-03,KTS Tarnobrzeg,STK DR. Casl Zagreb,3,2,,F,EURO_LEAGUE
2018/19 ETTU Champions League (Women),2019-05-11,KTS Tarnobrzeg,STK DR. Casl Zagreb,3,2,,F,EURO_LEAGUE
