tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier
2024/25 German League,2024-08-23,SV Werder Bremen,BV Borussia 09 Dortmund,3,1,,GROUP,EURO_LEAGUE
2024/25 German League,2024-08-25,1. FC Saarbrücken-TT,TTC OE Clarity Tel. Bad Homburg,3,2,,GROUP,EURO_LEAGUE
2024/25 German League,2024-08-25,Borussia Düsseldorf,ASC Grünwettersbach,3,0,,GROUP,EURO_LEAGUE
2024/25 German League,2024-08-25,TSV Bad Königshofen,Post SV Mühlhausen,3,0,,GROUP,EURO_LEAGUE
2024/25 German League,2024-08-26,TTC RhönSprudel Fulda-Maberzell,TTF Liebherr Ochsenhausen,3,1,,GROUP,EURO_LEAGUE
2024/25 German League,2024-08-26,TTC Schwalbe Bergneustadt,TTC Zugbrücke Grenzau,3,1,,GROUP,EURO_LEAGUE
2024/25 German League,2024-08-29,SV Werder Bremen,ASC Grünwettersbach,3,1,,GROUP,EURO_LEAGUE
2024/25 German League,2024-08-30,TTC RhönSprudel Fulda-Maberzell,Borussia Düsseldorf,3,0,,GROUP,EURO_LEAGUE
2024/25 German League,2024-08-31,TTC Schwalbe Bergneustadt,1. FC Saarbrücken-TT,3,1,,GROUP,EURO_LEAGUE
2024/25 German League,2024-09-01,TSV Bad Königshofen,TTF Liebherr Ochsenhausen,3,2,,GROUP,EURO_LEAGUE
2024/25 German League,2024-09-01,TTC OE Clarity Tel. Bad Homburg,TTC Zugbrücke Grenzau,3,1,,GROUP,EURO_LEAGUE
2024/25 German League,2024-09-02,BV Borussia 09 Dortmund,Post SV Mühlhausen,3,1,,GROUP,EURO_LEAGUE
2024/25 German League,2024-09-03,SV Werder Bremen,1. FC Saarbrücken-TT,3,2,,GROUP,EURO_LEAGUE
2024/25 German League,2024-09-04,Borussia Düsseldorf,TTC OE Clarity Tel. Bad Homburg,3,0,,GROUP,EURO_LEAGUE
2024/25 German League,2024-09-07,TTC RhönSprudel Fulda-Maberzell,TSV Bad Königshofen,3,1,,GROUP,EURO_LEAGUE
2024/25 German League,2024-09-08,ASC Grünwettersbach,BV Borussia 09 Dortmund,3,2,,GROUP,EURO_LEAGUE
2024/25 German League,2024-09-16,TTC Schwalbe Bergneustadt,Post SV Mühlhausen,3,1,,GROUP,EURO_LEAGUE
2024/25 German League,2024-09-20,TTF Liebherr Ochsenhausen,BV Borussia 09 Dortmund,3,1,,GROUP,EURO_LEAGUE
2024/25 German League,2024-09-21,TSV Bad Königshofen,TTC OE Clarity Tel. Bad Homburg,3,2,,GROUP,EURO_LEAGUE
2024/25 German League,2024-09-22,1. FC Saarbrücken-TT,ASC Grünwettersbach,3,2,,GROUP,EURO_LEAGUE
2024/25 German League,2024-09-22,SV Werder Bremen,Post SV Mühlhausen,3,2,,GROUP,EURO_LEAGUE
2024/25 German League,2024-09-23,TTC RhönSprudel Fulda-Maberzell,TTC Schwalbe Bergneustadt,3,2,,GROUP,EURO_LEAGUE
2024/25 German League,2024-09-23,TTF Liebherr Ochsenhausen,TTC Zugbrücke Grenzau,3,0,,GROUP,EURO_LEAGUE
2024/25 German League,2024-10-09,Borussia Düsseldorf,TTC Zugbrücke Grenzau,3,1,,GROUP,EURO_LEAGUE
2024/25 German League,2024-10-09,TTF Liebherr Ochsenhausen,Post SV Mühlhausen,3,1,,GROUP,EURO_LEAGUE
2024/25 German League,2024-10-10,TTC OE Clarity Tel. Bad Homburg,TTC Schwalbe Bergneustadt,3,1,,GROUP,EURO_LEAGUE
2024/25 German League,2024-10-11,Borussia Düsseldorf,1. FC Saarbrücken-TT,3,2,,GROUP,EURO_LEAGUE
2024/25 German League,2024-10-12,ASC Grünwettersbach,TTC RhönSprudel Fulda-Maberzell,3,2,,GROUP,EURO_LEAGUE
2024/25 German League,2024-10-12,TSV Bad Königshofen,BV Borussia 09 Dortmund,3,0,,GROUP,EURO_LEAGUE
2024/25 German League,2024-10-27,Post SV Mühlhausen,TTC OE Clarity Tel. Bad Homburg,3,0,,GROUP,EURO_LEAGUE
2024/25 German League,2024-10-27,TTC RhönSprudel Fulda-Maberzell,SV Werder Bremen,3,0,,GROUP,EURO_LEAGUE
2024/25 German League,2024-10-28,1. FC Saarbrücken-TT,BV Borussia 09 Dortmund,3,2,,GROUP,EURO_LEAGUE
2024/25 German League,2024-10-30,TTC Zugbrücke Grenzau,TSV Bad Königshofen,3,2,,GROUP,EURO_LEAGUE
2024/25 German League,2024-10-31,TTF Liebherr Ochsenhausen,Borussia Düsseldorf,3,1,,GROUP,EURO_LEAGUE
2024/25 German League,2024-11-01,TTC Schwalbe Bergneustadt,ASC Grünwettersbach,3,0,,GROUP,EURO_LEAGUE
2024/25 German League,2024-11-01,TTC Zugbrücke Grenzau,SV Werder Bremen,3,1,,GROUP,EURO_LEAGUE
