tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier
2021/22 ETTU Champions League,2021-09-12,AS Pontoise-Cergy Tt,CSS-SZAK Odorheiu Secuiesc,3,0,,GROUP,EURO_LEAGUE
2021/22 ETTU Champions League,2021-09-12,CTT Borges,GDCS Juncal,3,1,,GROUP,EURO_LEAGUE
2021/22 ETTU Champions League,2021-09-13,CTT Borges,AS Pontoise-Cergy Tt,3,2,,GROUP,EURO_LEAGUE
2021/22 ETTU Champions League,2021-09-13,GDCS Juncal,CSS-SZAK Odorheiu Secuiesc,3,1,,GROUP,EURO_LEAGUE
2021/22 ETTU Champions League,2021-09-14,AS Pontoise-Cergy Tt,GDCS Juncal,3,1,,GROUP,EURO_LEAGUE
2021/22 ETTU Champions League,2021-09-14,CTT Borges,CSS-SZAK Odorheiu Secuiesc,3,0,,GROUP,EURO_LEAGUE
2021/22 ETTU Champions League,2021-09-15,SF Skk El Nino Praha,Irun Leka Enea Tenis de Mesa,3,1,,GROUP,EURO_LEAGUE
2021/22 ETTU Champions League,2021-09-15,SPG Felbermayr Wels,Ttc Sokah Hoboken,3,1,,GROUP,EURO_LEAGUE
2021/22 ETTU Champions League,2021-09-15,Solex-Consult Wiener Neustadt,STK Starr Croatia,3,2,,GROUP,EURO_LEAGUE
2021/22 ETTU Champions League,2021-09-15,Top Spin Messina,Ttc Ostrava 2016,3,2,,GROUP,EURO_LEAGUE
2021/22 ETTU Champions League,2021-09-15,TTC Neu-Ulm,Pte Peac Kalo-Meh,3,1,,GROUP,EURO_LEAGUE
2021/22 ETTU Champions League,2021-09-15,Ttf Dekorglass Dzialdowo,TTSC UMMC-ELEM,3,2,,GROUP,EURO_LEAGUE
2021/22 ETTU Champions League,2021-09-16,SF Skk El Nino Praha,STK Starr Croatia,3,0,,GROUP,EURO_LEAGUE
2021/22 ETTU Champions League,2021-09-16,SPG Felbermayr Wels,Pte Peac Kalo-Meh,3,2,,GROUP,EURO_LEAGUE
2021/22 ETTU Champions League,2021-09-16,Solex-Consult Wiener Neustadt,Irun Leka Enea Tenis de Mesa,3,0,,GROUP,EURO_LEAGUE
2021/22 ETTU Champions League,2021-09-16,Top Spin Messina,TTSC UMMC-ELEM,3,0,,GROUP,EURO_LEAGUE
2021/22 ETTU Champions League,2021-09-16,TTC Neu-Ulm,Ttc Sokah Hoboken,3,0,,GROUP,EURO_LEAGUE
2021/22 ETTU Champions League,2021-09-16,Ttf Dekorglass Dzialdowo,Ttc Ostrava 2016,3,1,,GROUP,EURO_LEAGUE
2021/22 ETTU Champions League,2021-09-17,Irun Leka Enea Tenis de Mesa,STK Starr Croatia,3,2,,GROUP,EURO_LEAGUE
2021/22 ETTU Champions League,2021-09-17,Pte Peac Kalo-Meh,Ttc Sokah Hoboken,3,2,,GROUP,EURO_LEAGUE
2021/22 ETTU Champions League,2021-09-17,Solex-Consult Wiener Neustadt,SF Skk El Nino Praha,3,1,,GROUP,EURO_LEAGUE
2021/22 ETTU Champions League,2021-09-17,TTC Neu-Ulm,SPG Felbermayr Wels,3,0,,GROUP,EURO_LEAGUE
