tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier
2023/24 German League,2023-08-25,SV Werder Bremen,1. FSV Mainz 05,3,0,,GROUP,EURO_LEAGUE
2023/24 German League,2023-08-26,ASV Grünwettersbach,TTC RhönSprudel Fulda-Maberzell,3,0,,GROUP,EURO_LEAGUE
2023/24 German League,2023-08-27,1. FC Saarbrücken-TT,TTC Schwalbe Bergneustadt,3,0,,GROUP,EURO_LEAGUE
2023/24 German League,2023-08-27,Borussia Düsseldorf,TTF Liebherr Ochsenhausen,3,1,,GROUP,EURO_LEAGUE
2023/24 German League,2023-08-28,TTC Zugbrücke Grenzau,TSV Bad Königshofen,3,0,,GROUP,EURO_LEAGUE
2023/24 German League,2023-08-29,SV Werder Bremen,TTC RhönSprudel Fulda-Maberzell,3,0,,GROUP,EURO_LEAGUE
2023/24 German League,2023-09-01,1. FC Saarbrücken-TT,ASV Grünwettersbach,3,0,,GROUP,EURO_LEAGUE
2023/24 German League,2023-09-02,TSV Bad Königshofen,1. FSV Mainz 05,3,0,,GROUP,EURO_LEAGUE
2023/24 German League,2023-09-03,Borussia Düsseldorf,TTC Zugbrücke Grenzau,3,0,,GROUP,EURO_LEAGUE
2023/24 German League,2023-09-04,Post SV Mühlhausen,TTF Liebherr Ochsenhausen,3,1,,GROUP,EURO_LEAGUE
2023/24 German League,2023-09-06,Borussia Düsseldorf,SV Werder Bremen,3,2,,GROUP,EURO_LEAGUE
2023/24 German League,2023-09-06,Post SV Mühlhausen,TTC RhönSprudel Fulda-Maberzell,3,1,,GROUP,EURO_LEAGUE
2023/24 German League,2023-09-06,TTC Schwalbe Bergneustadt,TTC Zugbrücke Grenzau,3,0,,GROUP,EURO_LEAGUE
2023/24 German League,2023-09-07,1. FC Saarbrücken-TT,TSV Bad Königshofen,3,1,,GROUP,EURO_LEAGUE
2023/24 German League,2023-09-07,TTF Liebherr Ochsenhausen,1. FSV Mainz 05,3,1,,GROUP,EURO_LEAGUE
2023/24 German League,2023-09-19,TTF Liebherr Ochsenhausen,SV Werder Bremen,3,0,,GROUP,EURO_LEAGUE
2023/24 German League,2023-09-22,ASV Grünwettersbach,Post SV Mühlhausen,3,0,,GROUP,EURO_LEAGUE
2023/24 German League,2023-09-23,Borussia Düsseldorf,TSV Bad Königshofen,3,0,,GROUP,EURO_LEAGUE
2023/24 German League,2023-09-24,1. FSV Mainz 05,TTC Schwalbe Bergneustadt,3,2,,GROUP,EURO_LEAGUE
2023/24 German League,2023-09-25,1. FC Saarbrücken-TT,TTC Zugbrücke Grenzau,3,1,,GROUP,EURO_LEAGUE
2023/24 German League,2023-09-29,TTF Liebherr Ochsenhausen,ASV Grünwettersbach,3,1,,GROUP,EURO_LEAGUE
2023/24 German League,2023-09-30,Borussia Düsseldorf,TTC Schwalbe Bergneustadt,3,0,,GROUP,EURO_LEAGUE
2023/24 German League,2023-10-01,1. FC Saarbrücken-TT,Post SV Mühlhausen,3,1,,GROUP,EURO_LEAGUE
2023/24 German League,2023-10-02,TTC Zugbrücke Grenzau,1. FSV Mainz 05,3,0,,GROUP,EURO_LEAGUE
2023/24 German League,2023-10-04,TSV Bad Königshofen,TTC RhönSprudel Fulda-Maberzell,3,2,,GROUP,EURO_LEAGUE
2023/24 German League,2023-10-06,ASV Grünwettersbach,1. FSV Mainz 05,3,2,,GROUP,EURO_LEAGUE
2023/24 German League,2023-10-07,TTC Schwalbe Bergneustadt,TTC RhönSprudel Fulda-Maberzell,3,1,,GROUP,EURO_LEAGUE
2023/24 German League,2023-10-08,Borussia Düsseldorf,Post SV Mühlhausen,3,1,,GROUP,EURO_LEAGUE
2023/24 German League,2023-10-08,TSV Bad Königshofen,TTF Liebherr Ochsenhausen,3,1,,GROUP,EURO_LEAGUE
2023/24 German League,2023-10-09,SV Werder Bremen,TTC Zugbrücke Grenzau,3,2,,GROUP,EURO_LEAGUE
2023/24 German League,2023-10-13,TTC Zugbrücke Grenzau,TTC RhönSprudel Fulda-Maberzell,3,2,,GROUP,EURO_LEAGUE
2023/24 German League,2023-10-14,SV Werder Bremen,TSV Bad Königshofen,3,0,,GROUP,EURO_LEAGUE
2023/24 German League,2023-10-15,ASV Grünwettersbach,TTC Schwalbe Bergneustadt,3,2,,GROUP,EURO_LEAGUE
2023/24 German League,2023-10-15,Post SV Mühlhausen,1. FSV Mainz 05,3,1,,GROUP,EURO_LEAGUE
2023/24 German League,2023-10-16,1. FC Saarbrücken-TT,TTF Liebherr Ochsenhausen,3,1,,GROUP,EURO_LEAGUE
2023/24 German League,2023-11-23,Borussia Düsseldorf,ASV Grünwettersbach,3,2,,GROUP,EURO_LEAGUE
2023/24 German League,2023-11-24,TTF Liebherr Ochsenhausen,TTC Zugbrücke Grenzau,3,0,,GROUP,EURO_LEAGUE
2023/24 German League,2023-11-25,TSV Bad Königshofen,TTC Schwalbe Bergneustadt,3,2,,GROUP,EURO_LEAGUE
