tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
2025 China Table Tennis Super League (Women's Finals),2025-12-28,KUAI Man/Miu Hirano,QIAN TianYi/Chen Xingtong,3,0,,F,CN_NATIONAL_LEAGUE,WD,,Main Draw,KUAI Man (CHN) / Miu Hirano (CHN),QIAN TianYi (CHN) / Chen Xingtong (CHN)
2025 China Table Tennis Super League (Women's Finals),2025-12-28,QIN YuXuan,XU Yi,3,0,"13,11,11|11,8,8",F,CN_NATIONAL_LEAGUE,WS,,Main Draw,QIN YuXuan (CHN),XU Yi (CHN)
2025 China Table Tennis Super League (Women's Finals),2025-12-28,Chen Xingtong,Miu Hirano,3,0,"11,11,11|9,5,6",F,CN_NATIONAL_LEAGUE,WS,,Main Draw,Chen Xingtong (CHN),Miu Hirano (CHN)
2025 China Table Tennis Super League (Women's Finals),2025-12-28,QIN YuXuan,QIAN TianYi,3,1,"12,11,9,11|10,2,11,5",F,CN_NATIONAL_LEAGUE,WS,,Main Draw,QIN YuXuan (CHN),QIAN TianYi (CHN)
